a	325975329
b	55069253
c	126335411
d	145396225
e	485158133
f	84130228
g	81824109
h	173085707
i	290927271
j	4910402
k	30716146
l	171053109
m	95464951
n	284956996
o	316394220
p	85253164
q	4378237
r	256644949
s	257698660
t	349918431
u	120220680
v	44303502
w	65098608
x	9013111
y	77556526
z	4171921
A	13551564
B	7419050
C	11828716
D	6802666
E	6652368
F	5852406
G	4732795
H	6167817
I	16300374
J	2657383
K	2258872
L	5667902
M	8726729
N	5444317
O	5596826
P	8253921
Q	539709
R	6356560
S	14034214
T	16543830
U	3039310
V	2290304
W	7215710
X	494930
Y	2579599
Z	435130
😀	855
😡	22
😬	38
👻	7
🤖	22
🎃	28
👍	161
🎩	4
👑	20
🐣	21
🦆	0
🐢	2
🐙	0
🐋	1
🐎	2
🦔	0
🌲	4
🌛	0
🔥	318
🚀	42
🗻	0
🏠	1
⏳	4
🔑	14
🎁	46
📆	3
