index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	55	14	-90.48804092407227	7	2	-12.74106216430664	1
1	55	14	-90.34189224243164	7	2	-9.993892669677734	1
2	55	14	-97.85376358032227	7	2	-12.6837158203125	0
3	55	14	-96.54004096984863	7	2	-10.807779312133789	1
4	55	14	-86.42451858520508	7	2	-11.587593078613281	1
5	55	14	-95.42614555358887	7	2	-11.514854431152344	1
6	55	14	-95.39683723449707	7	2	-11.45224380493164	0
7	55	14	-95.57321739196777	7	2	-10.031391143798828	0
8	55	14	-89.90974426269531	7	2	-9.675569534301758	1
9	55	14	-93.86247634887695	7	2	-12.70962905883789	1
10	55	14	-94.0444564819336	7	2	-12.016777038574219	1
11	55	14	-94.25994300842285	7	2	-14.275428771972656	1
12	55	14	-96.16243553161621	7	2	-11.599668502807617	0
13	55	14	-92.91739845275879	7	2	-12.20193099975586	1
14	55	14	-95.8306770324707	7	2	-9.994071960449219	1
15	55	14	-92.16540908813477	7	2	-11.054914474487305	1
16	55	14	-92.71699523925781	7	2	-12.759193420410156	1
17	55	14	-90.66943359375	7	2	-12.771068572998047	1
18	55	14	-93.1181526184082	7	2	-13.330020904541016	1
19	55	14	-95.6091480255127	7	2	-12.101310729980469	1
20	55	14	-92.28459548950195	7	2	-11.587593078613281	1
21	55	14	-92.47983360290527	7	2	-13.385669708251953	0
22	55	14	-92.42723655700684	7	2	-10.924732208251953	1
23	55	14	-89.37028121948242	7	2	-11.484397888183594	0
24	55	14	-90.68611907958984	7	2	-11.089109420776367	1
25	55	14	-90.05913925170898	7	2	-12.759193420410156	0
26	55	14	-93.87784767150879	7	2	-11.465320587158203	0
27	55	14	-92.96766662597656	7	2	-10.210643768310547	0
28	55	14	-90.44965362548828	7	2	-12.093719482421875	1
29	55	14	-97.11748695373535	7	2	-13.154014587402344	1
30	55	14	-96.03761291503906	7	2	-12.101310729980469	1
31	55	14	-94.45479583740234	7	2	-9.383378982543945	1
32	55	14	-94.67886543273926	7	2	-11.268198013305664	0
33	55	14	-90.08322143554688	7	2	-11.063533782958984	0
34	55	14	-97.8262767791748	7	2	-13.999641418457031	0
35	55	14	-91.58352279663086	7	2	-10.752071380615234	1
36	55	14	-96.28806114196777	7	2	-10.294994354248047	0
37	55	14	-93.79548835754395	7	2	-13.239269256591797	1
38	55	14	-93.14242362976074	7	2	-12.91080093383789	1
39	55	14	-93.6246166229248	7	2	-11.45224380493164	1
40	55	14	-93.74980545043945	7	2	-12.95431137084961	0
41	55	14	-92.48446846008301	7	2	-14.022453308105469	1
42	55	14	-93.47519302368164	7	2	-10.525888442993164	1
43	55	14	-94.98385620117188	7	2	-12.408912658691406	1
44	55	14	-93.67041015625	7	2	-13.135690689086914	1
45	55	14	-93.74350166320801	7	2	-15.359481811523438	1
46	55	14	-94.8468074798584	7	2	-12.925018310546875	0
47	55	14	-92.53179550170898	7	2	-11.923931121826172	1
48	55	14	-93.66458320617676	7	2	-11.054914474487305	0
49	55	14	-93.59040641784668	7	2	-10.963314056396484	1
50	55	14	-94.11661529541016	7	2	-11.80225944519043	1
51	55	14	-94.52216529846191	7	2	-9.352027893066406	1
52	55	14	-93.38102722167969	7	2	-10.171314239501953	0
53	55	14	-94.42492866516113	7	2	-9.993892669677734	1
54	55	14	-95.4533462524414	7	2	-10.171314239501953	1
55	55	14	-89.75754356384277	7	2	-11.816215515136719	1
56	55	14	-96.7080249786377	7	2	-10.45144271850586	0
57	55	14	-93.46696472167969	7	2	-12.91080093383789	0
58	55	14	-85.14249420166016	7	2	-13.385669708251953	0
59	55	14	-95.19101333618164	7	2	-12.771068572998047	0
60	55	14	-94.8340950012207	7	2	-9.352027893066406	1
61	55	14	-96.64603424072266	7	2	-13.239269256591797	1
62	55	14	-95.46662521362305	7	2	-13.048370361328125	0
63	55	14	-95.79332160949707	7	2	-13.749870300292969	0
64	55	14	-94.07939529418945	7	2	-14.023914337158203	1
65	55	14	-93.46906661987305	7	2	-11.66064453125	0
66	55	14	-95.47174835205078	7	2	-13.154014587402344	1
67	55	14	-92.1248836517334	7	2	-11.089109420776367	1
68	55	14	-94.91546440124512	7	2	-13.253917694091797	1
69	55	14	-94.32520294189453	7	2	-10.553281784057617	1
70	55	14	-90.84992408752441	7	2	-14.022453308105469	0
71	55	14	-92.67123794555664	7	2	-13.154014587402344	1
72	55	14	-97.20551490783691	7	2	-13.185779571533203	1
73	55	14	-95.4718132019043	7	2	-13.253917694091797	1
74	55	14	-94.87420082092285	7	2	-10.807779312133789	1
75	55	14	-93.54934692382812	7	2	-14.022453308105469	0
76	55	14	-91.47237205505371	7	2	-13.396263122558594	1
77	55	14	-91.27865791320801	7	2	-13.154014587402344	1
78	55	14	-94.57046508789062	7	2	-10.171314239501953	1
79	55	14	-92.52513122558594	7	2	-10.525888442993164	1
80	55	14	-96.91846656799316	7	2	-10.963314056396484	1
81	55	14	-96.07210540771484	7	2	-12.20193099975586	0
82	55	14	-91.7136402130127	7	2	-11.544733047485352	1
83	55	14	-91.14605522155762	7	2	-13.947189331054688	0
84	55	14	-92.04595375061035	7	2	-12.290794372558594	1
85	55	14	-95.35855674743652	7	2	-12.774639129638672	0
86	55	14	-93.23585510253906	7	2	-10.905662536621094	1
87	55	14	-84.91571807861328	7	2	-10.299327850341797	0
88	55	14	-93.06699562072754	7	2	-14.022453308105469	1
89	55	14	-90.22694396972656	7	2	-12.65974235534668	1
90	55	14	-90.82573127746582	7	2	-11.437849044799805	0
91	55	14	-95.91609954833984	7	2	-11.933544158935547	0
92	55	14	-95.63628959655762	7	2	-12.70962905883789	0
93	55	14	-93.76924896240234	7	2	-13.102258682250977	1
94	55	14	-95.79208946228027	7	2	-12.408912658691406	1
95	55	14	-91.06766891479492	7	2	-13.396263122558594	1
96	55	14	-95.11458015441895	7	2	-10.031391143798828	1
97	55	14	-95.55045127868652	7	2	-12.453485488891602	1
98	55	14	-95.30455207824707	7	2	-11.587593078613281	1
99	55	14	-91.96562576293945	7	2	-9.352027893066406	1
100	55	14	-91.99688529968262	7	2	-13.861291885375977	1
101	55	14	-95.03232955932617	7	2	-13.42715835571289	0
102	55	14	-94.90290832519531	7	2	-12.014476776123047	1
103	55	14	-92.85448455810547	7	2	-14.023914337158203	1
104	55	14	-98.01081085205078	7	2	-10.299327850341797	0
105	55	14	-93.09199523925781	7	2	-12.827661514282227	0
106	55	14	-94.18220329284668	7	2	-11.24163818359375	0
107	55	14	-91.30646705627441	7	2	-11.80225944519043	1
108	55	14	-96.31069374084473	7	2	-13.348686218261719	0
109	55	14	-96.59984397888184	7	2	-12.771068572998047	0
110	55	14	-92.67207145690918	7	2	-12.69949722290039	1
111	55	14	-93.99725151062012	7	2	-11.633838653564453	0
112	55	14	-91.72713661193848	7	2	-14.880535125732422	0
113	55	14	-97.57975769042969	7	2	-11.465320587158203	1
114	55	14	-93.75865745544434	7	2	-10.924732208251953	1
115	55	14	-93.86198997497559	7	2	-9.383378982543945	0
116	55	14	-93.79677772521973	7	2	-10.741535186767578	1
