index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	55	14	-89.36733818054199	7	2	-15.017610549926758	1
1	55	14	-89.19683265686035	7	2	-14.517187118530273	1
2	55	14	-96.61409187316895	7	2	-17.684316635131836	1
3	55	14	-95.7508487701416	7	2	-16.12314796447754	1
4	55	14	-84.66454887390137	7	2	-15.694147109985352	1
5	55	14	-93.83052444458008	7	2	-16.46628761291504	1
6	55	14	-93.80114364624023	7	2	-16.649255752563477	1
7	55	14	-95.91800880432129	7	2	-15.669900894165039	0
8	55	14	-90.18194770812988	7	2	-15.90473747253418	1
9	55	14	-92.64613723754883	7	2	-16.964696884155273	1
10	55	14	-95.00577545166016	7	2	-16.46419334411621	1
11	55	14	-93.23202896118164	7	2	-17.48789405822754	1
12	55	14	-95.30119895935059	7	2	-17.111562728881836	1
13	55	14	-92.3716049194336	7	2	-16.120569229125977	1
14	55	14	-96.2183780670166	7	2	-16.462526321411133	1
15	55	14	-90.13334846496582	7	2	-16.13728141784668	1
16	55	14	-90.12161254882812	7	2	-16.602453231811523	1
17	55	14	-88.93532943725586	7	2	-17.512163162231445	1
18	55	14	-93.05376815795898	7	2	-16.58852195739746	0
19	55	14	-95.95992851257324	7	2	-17.38404655456543	1
20	55	14	-91.41468620300293	7	2	-15.694147109985352	1
21	55	14	-90.57525253295898	7	2	-17.1243953704834	1
22	55	14	-90.9894962310791	7	2	-15.753252029418945	1
23	55	14	-86.17462348937988	7	2	-16.225080490112305	1
24	55	14	-88.95116806030273	7	2	-16.602243423461914	1
25	55	14	-88.26101303100586	7	2	-16.602453231811523	1
26	55	14	-94.1917839050293	7	2	-16.738603591918945	1
27	55	14	-90.88349342346191	7	2	-16.86846351623535	0
28	55	14	-89.28512954711914	7	2	-17.494447708129883	1
29	55	14	-97.71965599060059	7	2	-16.11424446105957	1
30	55	14	-95.16552352905273	7	2	-17.38404655456543	1
31	55	14	-93.32453155517578	7	2	-15.666292190551758	1
32	55	14	-93.55051803588867	7	2	-15.106035232543945	0
33	55	14	-89.51301193237305	7	2	-16.666837692260742	0
34	55	14	-96.5956974029541	7	2	-12.097164154052734	1
35	55	14	-89.97997856140137	7	2	-15.555463790893555	0
36	55	14	-96.75199317932129	7	2	-15.658624649047852	0
37	55	14	-92.67136001586914	7	2	-17.271604537963867	1
38	55	14	-91.78755760192871	7	2	-17.12635612487793	1
39	55	14	-91.73817825317383	7	2	-16.649255752563477	1
40	55	14	-92.53990745544434	7	2	-16.369985580444336	0
41	55	14	-91.69807243347168	7	2	-16.681684494018555	1
42	55	14	-90.91839981079102	7	2	-17.341859817504883	1
43	55	14	-93.988037109375	7	2	-15.857427597045898	1
44	55	14	-93.03395080566406	7	2	-17.620248794555664	1
45	55	14	-91.92770385742188	7	2	-17.6521053314209	0
46	55	14	-92.53233337402344	7	2	-16.82025718688965	1
47	55	14	-91.74788093566895	7	2	-16.021677017211914	0
48	55	14	-92.37209701538086	7	2	-16.13728141784668	1
49	55	14	-92.96463584899902	7	2	-14.484800338745117	1
50	55	14	-92.93817710876465	7	2	-16.60481834411621	1
51	55	14	-93.40357398986816	7	2	-15.824029922485352	1
52	55	14	-92.69493675231934	7	2	-16.09156608581543	1
53	55	14	-94.57834053039551	7	2	-14.517187118530273	1
54	55	14	-93.20125198364258	7	2	-16.09156608581543	1
55	55	14	-88.53811073303223	7	2	-15.023252487182617	0
56	55	14	-95.94173622131348	7	2	-15.761800765991211	1
57	55	14	-90.8729419708252	7	2	-17.12635612487793	1
