index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	55	11	-90.48804092407227	7	3	-12.74106216430664	1
1	55	11	-90.34189224243164	7	2	-9.993892669677734	0
2	55	10	-97.85376358032227	7	2	-12.6837158203125	0
3	55	9	-96.54004096984863	7	2	-10.807779312133789	0
4	55	9	-86.42451858520508	7	2	-11.587593078613281	0
5	55	10	-95.42614555358887	7	2	-11.514854431152344	0
6	55	11	-95.39683723449707	7	2	-11.45224380493164	0
7	55	8	-95.57321739196777	7	2	-10.031391143798828	0
8	55	11	-89.90974426269531	7	2	-9.675569534301758	1
9	55	11	-93.86247634887695	7	2	-12.70962905883789	0
10	55	9	-94.0444564819336	7	2	-12.016777038574219	0
11	55	10	-94.25994300842285	7	2	-14.275428771972656	0
12	55	9	-96.16243553161621	7	2	-11.599668502807617	0
13	55	9	-92.91739845275879	7	2	-12.20193099975586	0
14	55	10	-95.8306770324707	7	1	-9.994071960449219	1
15	55	10	-92.16540908813477	7	2	-11.054914474487305	0
16	55	12	-92.71699523925781	7	2	-12.759193420410156	1
17	55	10	-90.66943359375	7	2	-12.771068572998047	0
18	55	10	-93.1181526184082	7	3	-13.330020904541016	0
19	55	9	-95.6091480255127	7	2	-12.101310729980469	0
20	55	12	-92.28459548950195	7	2	-11.587593078613281	0
21	55	13	-92.47983360290527	7	2	-13.385669708251953	0
22	55	10	-92.42723655700684	7	2	-10.924732208251953	0
23	55	11	-89.37028121948242	7	2	-11.484397888183594	0
24	55	11	-90.68611907958984	7	1	-11.089109420776367	0
25	55	9	-90.05913925170898	7	2	-12.759193420410156	0
26	55	9	-93.87784767150879	7	2	-11.465320587158203	0
27	55	10	-92.96766662597656	7	2	-10.210643768310547	0
28	55	10	-90.44965362548828	7	1	-12.093719482421875	0
29	55	9	-97.11748695373535	7	2	-13.154014587402344	0
30	55	10	-96.03761291503906	7	2	-12.101310729980469	0
31	55	12	-94.45479583740234	7	2	-9.383378982543945	0
32	55	11	-94.67886543273926	7	2	-11.268198013305664	0
33	55	9	-90.08322143554688	7	2	-11.063533782958984	0
34	55	13	-97.8262767791748	7	1	-13.999641418457031	0
35	55	10	-91.58352279663086	7	2	-10.752071380615234	0
36	55	10	-96.28806114196777	7	3	-10.294994354248047	0
37	55	11	-93.79548835754395	7	2	-13.239269256591797	0
38	55	9	-93.14242362976074	7	3	-12.91080093383789	0
39	55	12	-93.6246166229248	7	2	-11.45224380493164	0
40	55	11	-93.74980545043945	7	2	-12.95431137084961	0
41	55	14	-92.48446846008301	7	2	-14.022453308105469	0
42	55	11	-93.47519302368164	7	2	-10.525888442993164	0
43	55	11	-94.98385620117188	7	2	-12.408912658691406	0
44	55	10	-93.67041015625	7	2	-13.135690689086914	0
45	55	10	-93.74350166320801	7	2	-15.359481811523438	0
46	55	10	-94.8468074798584	7	2	-12.925018310546875	0
47	55	10	-92.53179550170898	7	2	-11.923931121826172	0
48	55	10	-93.66458320617676	7	2	-11.054914474487305	0
49	55	10	-93.59040641784668	7	2	-10.963314056396484	1
50	55	9	-94.11661529541016	7	2	-11.80225944519043	0
51	55	11	-94.52216529846191	7	2	-9.352027893066406	0
52	55	11	-93.38102722167969	7	2	-10.171314239501953	0
53	55	10	-94.42492866516113	7	2	-9.993892669677734	0
54	55	13	-95.4533462524414	7	2	-10.171314239501953	0
55	55	8	-89.75754356384277	7	2	-11.816215515136719	0
56	55	9	-96.7080249786377	7	2	-10.45144271850586	0
57	55	13	-93.46696472167969	7	3	-12.91080093383789	0
58	55	8	-85.14249420166016	7	2	-13.385669708251953	0
59	55	11	-95.19101333618164	7	2	-12.771068572998047	0
60	55	9	-94.8340950012207	7	2	-9.352027893066406	0
61	55	10	-96.64603424072266	7	2	-13.239269256591797	0
62	55	13	-95.46662521362305	7	3	-13.048370361328125	0
63	55	10	-95.79332160949707	7	2	-13.749870300292969	0
64	55	9	-94.07939529418945	7	2	-14.023914337158203	0
65	55	13	-93.46906661987305	7	2	-11.66064453125	0
66	55	10	-95.47174835205078	7	2	-13.154014587402344	0
67	55	10	-92.1248836517334	7	1	-11.089109420776367	0
68	55	10	-94.91546440124512	7	2	-13.253917694091797	0
69	55	12	-94.32520294189453	7	2	-10.553281784057617	0
70	55	11	-90.84992408752441	7	2	-14.022453308105469	1
71	55	8	-92.67123794555664	7	2	-13.154014587402344	0
72	55	14	-97.20551490783691	7	2	-13.185779571533203	0
73	55	10	-95.4718132019043	7	2	-13.253917694091797	0
74	55	11	-94.87420082092285	7	2	-10.807779312133789	0
75	55	11	-93.54934692382812	7	2	-14.022453308105469	0
76	55	8	-91.47237205505371	7	3	-13.396263122558594	0
77	55	11	-91.27865791320801	7	2	-13.154014587402344	0
78	55	10	-94.57046508789062	7	2	-10.171314239501953	0
79	55	13	-92.52513122558594	7	2	-10.525888442993164	0
80	55	10	-96.91846656799316	7	2	-10.963314056396484	0
81	55	10	-96.07210540771484	7	2	-12.20193099975586	0
82	55	12	-91.7136402130127	7	2	-11.544733047485352	0
83	55	12	-91.14605522155762	7	3	-13.947189331054688	0
84	55	11	-92.04595375061035	7	2	-12.290794372558594	0
85	55	9	-95.35855674743652	7	2	-12.774639129638672	0
86	55	10	-93.23585510253906	7	2	-10.905662536621094	0
87	55	8	-84.91571807861328	7	2	-10.299327850341797	0
88	55	11	-93.06699562072754	7	2	-14.022453308105469	0
89	55	9	-90.22694396972656	7	2	-12.65974235534668	0
90	55	11	-90.82573127746582	7	2	-11.437849044799805	0
91	55	10	-95.91609954833984	7	2	-11.933544158935547	0
92	55	13	-95.63628959655762	7	2	-12.70962905883789	0
93	55	11	-93.76924896240234	7	2	-13.102258682250977	0
94	55	9	-95.79208946228027	7	2	-12.408912658691406	0
95	55	10	-91.06766891479492	7	3	-13.396263122558594	0
96	55	8	-95.11458015441895	7	2	-10.031391143798828	0
97	55	12	-95.55045127868652	7	2	-12.453485488891602	0
98	55	10	-95.30455207824707	7	2	-11.587593078613281	0
99	55	10	-91.96562576293945	7	2	-9.352027893066406	0
100	55	9	-91.99688529968262	7	2	-13.861291885375977	0
101	55	11	-95.03232955932617	7	2	-13.42715835571289	0
102	55	12	-94.90290832519531	7	3	-12.014476776123047	0
103	55	10	-92.85448455810547	7	2	-14.023914337158203	0
104	55	12	-98.01081085205078	7	2	-10.299327850341797	0
105	55	10	-93.09199523925781	7	2	-12.827661514282227	0
106	55	11	-94.18220329284668	7	1	-11.24163818359375	0
107	55	11	-91.30646705627441	7	2	-11.80225944519043	0
108	55	11	-96.31069374084473	7	2	-13.348686218261719	0
109	55	11	-96.59984397888184	7	2	-12.771068572998047	0
110	55	11	-92.67207145690918	7	2	-12.69949722290039	0
111	55	12	-93.99725151062012	7	2	-11.633838653564453	0
112	55	10	-91.72713661193848	7	2	-14.880535125732422	0
113	55	10	-97.57975769042969	7	2	-11.465320587158203	0
114	55	11	-93.75865745544434	7	2	-10.924732208251953	0
115	55	8	-93.86198997497559	7	2	-9.383378982543945	0
116	55	9	-93.79677772521973	7	2	-10.741535186767578	0
117	55	10	-95.64735984802246	7	2	-10.741535186767578	0
118	55	10	-94.90257453918457	7	1	-9.615446090698242	0
119	55	13	-95.21796989440918	7	2	-12.774639129638672	0
120	55	10	-94.97412490844727	7	3	-10.294994354248047	0
121	55	11	-95.5052661895752	7	2	-11.38608169555664	0
122	55	12	-91.74524879455566	7	2	-11.365163803100586	0
123	55	7	-88.54361152648926	7	2	-10.924732208251953	0
124	55	11	-91.87001419067383	7	3	-12.025495529174805	0
125	55	10	-95.97236251831055	7	2	-11.45224380493164	0
126	55	9	-94.44876861572266	7	3	-13.10013198852539	0
127	55	9	-93.32904052734375	7	2	-10.589897155761719	0
128	55	8	-92.4962043762207	7	3	-11.009044647216797	0
129	55	11	-92.52060317993164	7	2	-12.045700073242188	0
130	55	9	-93.49897384643555	7	2	-10.493534088134766	0
131	55	12	-93.57956314086914	7	2	-14.880535125732422	0
132	55	8	-87.2543888092041	7	2	-10.171314239501953	0
133	55	11	-93.9965705871582	7	1	-9.615446090698242	0
134	55	12	-93.75562858581543	7	2	-12.354145050048828	0
135	55	12	-99.0285701751709	7	1	-13.999641418457031	0
136	55	12	-93.35372924804688	7	2	-11.40249252319336	0
137	55	9	-90.70141983032227	7	2	-12.354145050048828	0
138	55	11	-93.76691055297852	7	2	-9.202739715576172	1
139	55	11	-95.80376815795898	7	2	-12.774639129638672	0
140	55	8	-86.73641586303711	7	2	-10.905662536621094	0
141	55	11	-94.32975959777832	7	2	-13.866561889648438	0
142	55	12	-94.63310623168945	7	2	-11.587593078613281	0
143	55	11	-95.31686019897461	7	2	-14.201126098632812	0
144	55	8	-90.22606086730957	7	2	-12.103023529052734	0
145	55	9	-94.13605880737305	7	3	-13.048370361328125	0
146	55	8	-92.17088890075684	7	2	-11.465320587158203	1
147	55	9	-89.53920555114746	7	2	-9.692934036254883	0
148	55	10	-94.04052543640137	7	2	-11.514854431152344	0
149	55	11	-94.25395202636719	7	1	-13.999641418457031	0
150	55	11	-94.51361083984375	7	2	-10.741535186767578	0
151	55	10	-91.44100379943848	7	2	-11.816215515136719	0
152	55	11	-96.59313011169434	7	2	-11.627861022949219	1
153	55	10	-90.90852165222168	7	2	-12.70962905883789	0
154	55	9	-94.55626487731934	7	2	-11.590301513671875	0
155	55	11	-93.69134902954102	7	2	-9.675569534301758	0
156	55	9	-90.22142791748047	7	2	-11.465320587158203	0
157	55	13	-92.1773509979248	7	2	-14.085197448730469	0
158	55	12	-94.00577163696289	7	2	-11.918054580688477	0
159	55	12	-90.28123474121094	7	2	-15.359481811523438	0
160	55	11	-95.28205490112305	7	2	-14.023914337158203	0
161	55	11	-91.50289154052734	7	2	-11.437849044799805	0
162	55	11	-94.27727508544922	7	2	-10.148731231689453	0
163	55	10	-96.85036659240723	7	2	-12.045700073242188	0
164	55	11	-97.49480247497559	7	3	-13.330020904541016	0
165	55	9	-95.16475296020508	7	2	-14.201126098632812	0
166	55	12	-92.88406372070312	7	2	-10.493534088134766	0
167	55	9	-93.60506057739258	7	3	-11.86605453491211	0
168	55	12	-94.42684364318848	7	2	-11.599668502807617	0
169	55	8	-92.71694946289062	7	2	-11.360797882080078	0
170	55	9	-93.22345733642578	7	3	-12.045047760009766	0
171	55	9	-92.97414588928223	7	2	-12.759193420410156	1
172	55	11	-90.72180366516113	7	2	-10.525888442993164	0
