index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	acronym1	55	14	-90.48804092407227	7	2	-12.74106216430664	1
1	acronym1	55	14	-90.34189224243164	7	2	-9.993892669677734	1
2	acronym1	55	14	-97.85376358032227	7	2	-12.6837158203125	1
3	acronym1	55	14	-96.54004096984863	7	2	-10.807779312133789	0
4	acronym1	55	14	-86.42451858520508	7	2	-11.587593078613281	1
5	acronym1	55	14	-95.42614555358887	7	2	-11.514854431152344	0
6	acronym1	55	14	-95.39683723449707	7	2	-11.45224380493164	1
7	acronym1	55	14	-95.57321739196777	7	2	-10.031391143798828	0
8	acronym1	55	14	-89.90974426269531	7	2	-9.675569534301758	1
9	acronym1	55	14	-93.86247634887695	7	2	-12.70962905883789	1
10	acronym1	55	14	-94.0444564819336	7	2	-12.016777038574219	1
11	acronym1	55	14	-94.25994300842285	7	2	-14.275428771972656	1
12	acronym1	55	14	-96.16243553161621	7	2	-11.599668502807617	1
13	acronym1	55	14	-92.91739845275879	7	2	-12.20193099975586	1
14	acronym1	55	14	-95.8306770324707	7	2	-9.994071960449219	1
15	acronym1	55	14	-92.16540908813477	7	2	-11.054914474487305	1
16	acronym1	55	14	-92.71699523925781	7	2	-12.759193420410156	1
17	acronym1	55	14	-90.66943359375	7	2	-12.771068572998047	1
18	acronym1	55	14	-93.1181526184082	7	2	-13.330020904541016	0
19	acronym1	55	14	-95.6091480255127	7	2	-12.101310729980469	1
20	acronym1	55	14	-92.28459548950195	7	2	-11.587593078613281	1
21	acronym1	55	14	-92.47983360290527	7	2	-13.385669708251953	1
22	acronym1	55	14	-92.42723655700684	7	2	-10.924732208251953	1
23	acronym1	55	14	-89.37028121948242	7	2	-11.484397888183594	1
24	acronym1	55	14	-90.68611907958984	7	2	-11.089109420776367	1
25	acronym1	55	14	-90.05913925170898	7	2	-12.759193420410156	0
26	acronym1	55	14	-93.87784767150879	7	2	-11.465320587158203	1
27	acronym1	55	14	-92.96766662597656	7	2	-10.210643768310547	0
28	acronym1	55	14	-90.44965362548828	7	2	-12.093719482421875	1
29	acronym1	55	14	-97.11748695373535	7	2	-13.154014587402344	1
30	acronym1	55	14	-96.03761291503906	7	2	-12.101310729980469	1
31	acronym1	55	14	-94.45479583740234	7	2	-9.383378982543945	1
32	acronym1	55	14	-94.67886543273926	7	2	-11.268198013305664	1
33	acronym1	55	14	-90.08322143554688	7	2	-11.063533782958984	0
34	acronym1	55	14	-97.8262767791748	7	2	-13.999641418457031	1
35	acronym1	55	14	-91.58352279663086	7	2	-10.752071380615234	1
36	acronym1	55	14	-96.28806114196777	7	2	-10.294994354248047	0
37	acronym1	55	14	-93.79548835754395	7	2	-13.239269256591797	1
38	acronym1	55	14	-93.14242362976074	7	2	-12.91080093383789	1
39	acronym1	55	14	-93.6246166229248	7	2	-11.45224380493164	1
40	acronym1	55	14	-93.74980545043945	7	2	-12.95431137084961	0
41	acronym1	55	14	-92.48446846008301	7	2	-14.022453308105469	1
42	acronym1	55	14	-93.47519302368164	7	2	-10.525888442993164	1
43	acronym1	55	14	-94.98385620117188	7	2	-12.408912658691406	1
44	acronym1	55	14	-93.67041015625	7	2	-13.135690689086914	1
45	acronym1	55	14	-93.74350166320801	7	2	-15.359481811523438	0
46	acronym1	55	14	-94.8468074798584	7	2	-12.925018310546875	1
47	acronym1	55	14	-92.53179550170898	7	2	-11.923931121826172	0
48	acronym1	55	14	-93.66458320617676	7	2	-11.054914474487305	1
49	acronym1	55	14	-93.59040641784668	7	2	-10.963314056396484	1
50	acronym1	55	14	-94.11661529541016	7	2	-11.80225944519043	1
51	acronym1	55	14	-94.52216529846191	7	2	-9.352027893066406	1
52	acronym1	55	14	-93.38102722167969	7	2	-10.171314239501953	1
53	acronym1	55	14	-94.42492866516113	7	2	-9.993892669677734	1
