index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	11	3	-9.400393821253791	13	9	-9.816630709060126	1
1	12	3	-9.34153219655301	14	9	-9.448905928934808	1
2	12	2	-9.20917786446502	18	10	-10.50977788962007	1
3	14	4	-9.07214117220622	15	9	-9.76256348778985	1
4	20	3	-8.273234194689472	13	10	-9.99895226585408	1
5	12	3	-9.488447583045014	11	9	-9.873789122900074	1
6	14	2	-9.532183926468967	12	10	-9.662480029232867	1
7	10	2	-9.11372890178628	18	10	-10.309107194157919	1
8	13	2	-9.108193321639297	17	10	-9.7112701934023	1
9	10	3	-8.325852034352511	14	10	-10.067945137341031	1
10	16	2	-8.044120476388759	14	10	-9.934413744716508	1
11	12	3	-8.920961583582939	16	9	-10.309107194157919	1
12	13	4	-9.548769465063991	14	10	-9.662480029232867	1
13	11	2	-8.065490044982198	15	9	-9.41116560095196	1
14	12	2	-8.717091616653413	15	10	-9.57150825102714	1
15	10	2	-9.61800740455854	13	10	-9.76256348778985	1
16	10	2	-9.382804507391766	17	10	-10.404417373962245	0
17	15	4	-8.13738513066002	18	10	-10.404417373962245	1
18	13	3	-9.314708029796678	14	10	-9.57150825102714	1
19	12	2	-8.820028340689289	16	10	-9.99895226585408	1
20	14	4	-9.567380692581807	16	10	-9.76256348778985	1
21	11	2	-9.636560812454288	17	10	-9.57150825102714	1
22	10	2	-9.099126079960334	14	10	-9.57150825102714	1
23	13	4	-9.533450016530477	17	10	-10.309107194157919	1
24	10	3	-8.79026666589219	16	10	-9.305805085294134	1
25	17	3	-8.423917837748345	17	10	-10.627560925276454	1
26	14	3	-9.379902800604219	17	10	-9.7112701934023	1
27	12	3	-9.640313162072838	12	10	-9.99895226585408	1
28	13	3	-9.598889844624061	12	9	-10.309107194157919	0
29	11	3	-7.536958699176091	16	9	-9.662480029232867	1
30	10	2	-9.174370870408735	15	10	-9.934413744716508	1
31	12	4	-9.27316691826681	15	9	-10.627560925276454	1
32	13	5	-9.67084988593292	13	10	-9.7112701934023	1
33	13	2	-8.974316970578844	16	9	-9.662480029232867	1
34	13	4	-9.697858647719439	12	10	-9.615960013597974	1
35	13	2	-9.488851378729887	17	10	-9.816630709060126	1
36	12	3	-9.621229501707498	14	10	-9.99895226585408	1
37	16	2	-9.263448668797889	11	9	-10.22209581716829	0
38	12	2	-7.6944701473869905	18	10	-9.488126642088089	1
39	12	2	-8.508426084519856	16	9	-9.934413744716508	1
40	11	3	-9.680097944057472	14	9	-9.41116560095196	1
41	12	3	-9.61800740455854	13	9	-9.528948636608344	1
42	13	2	-9.01020187276593	15	10	-9.662480029232867	1
43	12	4	-8.737267656948704	14	10	-9.57150825102714	1
44	10	2	-8.950225167332048	15	10	-10.142053109494753	1
45	12	3	-9.389729995250478	13	10	-9.7112701934023	1
46	13	2	-9.554790988634677	11	9	-9.816630709060126	1
47	12	4	-9.645023486373022	16	10	-9.57150825102714	1
48	12	4	-9.189524926563628	16	10	-9.7112701934023	1
49	13	3	-9.652606461097477	17	10	-9.76256348778985	1
50	16	4	-9.581902399916425	17	10	-9.615960013597974	1
51	11	2	-8.99554504598486	16	9	-9.99895226585408	1
52	10	2	-9.148750837382432	14	10	-9.615960013597974	1
53	11	2	-9.43691208948783	15	10	-10.50977788962007	1
54	14	2	-7.837648459362521	17	9	-10.309107194157919	1
55	9	3	-9.265061832561171	18	10	-10.142053109494753	1
56	11	2	-9.164978374004189	12	10	-9.41116560095196	1
57	10	2	-8.41105192049468	11	9	-9.41116560095196	1
58	7	2	-7.309465822017465	14	10	-9.873789122900074	1
59	10	3	-9.42813173149408	16	10	-9.57150825102714	1
60	13	3	-8.940375181502493	18	10	-9.615960013597974	1
61	13	2	-8.636087294541841	14	10	-10.309107194157919	1
62	13	4	-9.477206999015408	17	9	-10.309107194157919	1
63	12	3	-9.229536371424517	13	10	-10.067945137341031	1
64	17	3	-9.66360872467636	13	10	-9.374797956781086	1
65	14	4	-9.538530467762897	16	10	-10.142053109494753	1
66	12	2	-9.239558378264856	14	10	-9.816630709060126	1
67	10	2	-9.215918086061022	12	9	-9.76256348778985	1
68	13	2	-9.343625707436258	14	10	-10.22209581716829	1
69	13	2	-7.790438482633775	16	9	-9.816630709060126	1
70	11	2	-9.068686019267238	16	10	-9.339706636969815	1
71	12	3	-8.58934038404045	11	9	-10.067945137341031	1
72	13	2	-9.20127028068118	13	10	-10.142053109494753	1
73	14	3	-9.673761096140378	13	10	-9.488126642088089	1
74	11	3	-9.002722406334637	17	10	-9.76256348778985	1
75	14	4	-9.419804658396634	16	9	-10.404417373962245	1
76	11	4	-9.0631297144579	12	9	-9.934413744716508	1
77	11	3	-9.276427436316744	12	10	-10.142053109494753	1
78	11	2	-8.985729016247204	16	9	-9.151654405466877	1
79	9	2	-9.057341747760281	12	10	-9.488126642088089	1
80	11	3	-7.762312767129578	17	10	-10.50977788962007	1
81	14	4	-9.339790945895404	16	10	-10.142053109494753	1
82	14	5	-9.551345679455764	14	10	-10.067945137341031	1
83	13	4	-9.403355689394644	11	9	-9.448905928934808	1
84	10	3	-9.350987703877328	14	10	-9.528948636608344	1
85	19	3	-8.914345841419667	14	10	-9.615960013597974	1
86	11	3	-9.689432327725745	18	10	-9.662480029232867	1
87	10	2	-8.8573390231231	17	10	-9.615960013597974	1
88	11	2	-9.597088042334798	13	10	-9.816630709060126	1
89	13	3	-9.219922403747999	17	10	-9.873789122900074	1
90	12	2	-8.859273883449395	13	10	-9.99895226585408	1
91	17	2	-9.382441333245774	14	10	-10.142053109494753	1
92	16	3	-9.047422585252544	17	9	-9.488126642088089	1
93	15	3	-9.314368759225147	13	9	-10.067945137341031	1
94	17	2	-8.878831221270492	13	10	-9.934413744716508	1
95	10	2	-8.739174235219286	14	9	-9.615960013597974	1
96	15	4	-9.268944076194884	16	9	-9.873789122900074	1
97	12	4	-8.418225354483527	16	9	-9.76256348778985	1
98	13	4	-9.646440921053996	16	10	-10.309107194157919	1
99	15	2	-9.700849676868556	12	10	-9.816630709060126	1
0	10	2	-10.791505682889646	13	9	-9.816630709060126	0
1	13	2	-10.959370578408043	14	9	-9.448905928934808	1
2	15	4	-11.965712932833055	18	10	-10.50977788962007	0
3	14	2	-10.419788426121281	15	9	-9.76256348778985	1
4	10	3	-10.291135718227993	13	10	-9.99895226585408	1
5	12	2	-10.62995304476672	11	9	-9.873789122900074	1
6	14	5	-10.38257950828569	12	10	-9.662480029232867	1
7	13	2	-11.640290532398428	18	10	-10.309107194157919	0
8	10	3	-11.839419207508763	17	10	-9.7112701934023	0
9	14	2	-11.592823995159504	14	10	-10.067945137341031	1
10	10	2	-11.059084111870638	14	10	-9.934413744716508	1
11	12	2	-10.776756152963584	16	9	-10.309107194157919	1
12	16	3	-11.675629898843736	14	10	-9.662480029232867	1
13	14	3	-10.6594612793867	15	9	-9.41116560095196	1
14	12	2	-9.868403137322375	15	10	-9.57150825102714	1
15	16	3	-11.560247824724891	13	10	-9.76256348778985	0
16	11	3	-10.76222101334447	17	10	-10.404417373962245	1
17	12	2	-11.592823995159504	18	10	-10.404417373962245	1
18	14	2	-11.927972604850208	14	10	-9.57150825102714	0
19	14	2	-11.296897852932641	16	10	-9.99895226585408	0
20	18	3	-10.282167048245233	16	10	-9.76256348778985	1
21	15	3	-11.869529008980134	17	10	-9.57150825102714	0
22	16	2	-11.489120480709307	14	10	-9.57150825102714	0
23	15	3	-10.568659352561426	17	10	-10.309107194157919	0
24	13	2	-11.633370089553853	16	10	-9.305805085294134	0
25	10	3	-10.028078693081602	17	10	-10.627560925276454	1
26	11	2	-11.754174927639154	17	10	-9.7112701934023	0
27	10	3	-11.716002354134124	12	10	-9.99895226585408	0
28	16	6	-11.633370089553853	12	9	-10.309107194157919	0
29	14	3	-11.403353658951882	16	9	-9.662480029232867	0
30	12	3	-11.381672592890558	15	10	-9.934413744716508	1
31	11	2	-11.248811666265002	15	9	-10.627560925276454	0
32	12	4	-11.896079241074254	13	10	-9.7112701934023	1
33	10	2	-11.609518873731673	16	9	-9.662480029232867	1
34	12	3	-10.085074174130966	12	10	-9.615960013597974	1
35	12	2	-11.022855173574179	17	10	-9.816630709060126	0
36	15	2	-11.408848178269523	14	10	-9.99895226585408	1
37	17	2	-11.096675085809446	11	9	-10.22209581716829	1
38	15	3	-11.504158358073848	18	10	-9.488126642088089	0
39	12	2	-11.852212558968674	16	9	-9.934413744716508	1
40	13	5	-10.586656239013395	14	9	-9.41116560095196	1
41	18	3	-10.671249235138744	13	9	-9.528948636608344	1
42	13	4	-11.657804114891135	15	10	-9.662480029232867	1
43	18	3	-11.27738503870906	14	10	-9.57150825102714	0
44	11	4	-11.697448946238376	15	10	-10.142053109494753	1
45	14	3	-11.216476285622067	13	10	-9.7112701934023	0
46	14	2	-11.51023740415023	11	9	-9.816630709060126	0
47	11	4	-11.11704238863388	16	10	-9.57150825102714	1
48	8	2	-10.368853802605816	16	10	-9.7112701934023	1
49	11	3	-11.727301909388057	17	10	-9.76256348778985	0
50	11	2	-11.363079759813942	17	10	-9.615960013597974	0
51	12	2	-11.4339540994006	16	9	-9.99895226585408	0
52	10	2	-10.841782836180656	14	10	-9.615960013597974	0
53	15	2	-11.528699466989965	15	10	-10.50977788962007	1
54	14	2	-10.899676814599559	17	9	-10.309107194157919	1
55	11	3	-10.484326947258852	18	10	-10.142053109494753	1
56	13	3	-11.839419207508763	12	10	-9.41116560095196	1
57	21	6	-10.907989414418925	11	9	-9.41116560095196	1
58	12	4	-11.758073568054812	14	10	-9.873789122900074	1
59	12	2	-11.797919476602011	16	10	-9.57150825102714	1
60	11	3	-11.758073568054812	18	10	-9.615960013597974	0
61	13	4	-11.592823995159504	14	10	-10.309107194157919	0
62	12	3	-11.544349238657093	17	9	-10.309107194157919	0
63	15	4	-11.990045033492587	13	10	-10.067945137341031	1
64	12	3	-11.781790094672127	13	10	-9.374797956781086	1
65	10	2	-11.852212558968674	16	10	-10.142053109494753	0
66	18	3	-11.064926387494866	14	10	-9.816630709060126	1
67	15	3	-10.72678144348615	12	9	-9.76256348778985	1
68	14	3	-11.664896343200628	14	10	-10.22209581716829	1
69	11	2	-10.82320645060772	16	9	-9.816630709060126	1
70	14	2	-11.445317858050915	16	10	-9.339706636969815	1
71	10	2	-11.306798923915352	11	9	-10.067945137341031	1
72	15	3	-11.489120480709307	13	10	-10.142053109494753	0
73	14	2	-10.595166928681303	13	10	-9.488126642088089	1
74	11	3	-10.12929269277758	17	10	-9.76256348778985	1
75	13	4	-10.587867626199692	16	9	-10.404417373962245	1
76	10	2	-11.657804114891135	12	9	-9.934413744716508	1
77	11	2	-11.923353658993914	12	10	-10.142053109494753	0
78	20	4	-11.951392879058307	16	9	-9.151654405466877	1
79	10	3	-11.693779217349414	12	10	-9.488126642088089	1
80	14	2	-11.609518873731673	17	10	-10.50977788962007	0
