index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	11	3	-9.400393821253791	13	7	-9.816630709060126	1
1	12	3	-9.34153219655301	14	7	-9.448905928934808	1
2	12	3	-9.20917786446502	18	7	-10.50977788962007	1
3	14	5	-9.07214117220622	15	7	-9.76256348778985	1
4	20	6	-8.273234194689472	13	7	-9.99895226585408	1
5	12	4	-9.488447583045014	11	7	-9.873789122900074	1
6	14	4	-9.532183926468967	12	7	-9.662480029232867	1
7	10	3	-9.11372890178628	18	7	-10.309107194157919	1
8	13	4	-9.108193321639297	17	7	-9.7112701934023	1
9	10	4	-8.325852034352511	14	7	-10.067945137341031	1
10	16	4	-8.044120476388759	14	7	-9.934413744716508	1
11	12	4	-8.920961583582939	16	7	-10.309107194157919	1
12	13	5	-9.548769465063991	14	7	-9.662480029232867	1
13	11	3	-8.065490044982198	15	7	-9.41116560095196	1
14	12	3	-8.717091616653413	15	7	-9.57150825102714	1
15	10	3	-9.61800740455854	13	7	-9.76256348778985	1
16	10	2	-9.382804507391766	17	7	-10.404417373962245	1
17	15	6	-8.13738513066002	18	7	-10.404417373962245	1
18	13	5	-9.314708029796678	14	7	-9.57150825102714	1
19	12	4	-8.820028340689289	16	7	-9.99895226585408	1
20	14	5	-9.567380692581807	16	7	-9.76256348778985	1
21	11	2	-9.636560812454288	17	7	-9.57150825102714	1
22	10	3	-9.099126079960334	14	7	-9.57150825102714	1
23	13	4	-9.533450016530477	17	7	-10.309107194157919	1
24	10	3	-8.79026666589219	16	7	-9.305805085294134	1
25	17	4	-8.423917837748345	17	7	-10.627560925276454	1
26	14	3	-9.379902800604219	17	7	-9.7112701934023	1
27	12	4	-9.640313162072838	12	7	-9.99895226585408	1
28	13	3	-9.598889844624061	12	7	-10.309107194157919	1
29	11	4	-7.536958699176091	16	7	-9.662480029232867	1
30	10	2	-9.174370870408735	15	7	-9.934413744716508	1
31	12	2	-9.27316691826681	15	7	-10.627560925276454	1
32	13	6	-9.67084988593292	13	7	-9.7112701934023	1
33	13	2	-8.974316970578844	16	7	-9.662480029232867	1
34	13	4	-9.697858647719439	12	7	-9.615960013597974	1
35	13	3	-9.488851378729887	17	7	-9.816630709060126	1
36	12	4	-9.621229501707498	14	7	-9.99895226585408	1
37	16	5	-9.263448668797889	11	7	-10.22209581716829	0
38	12	2	-7.6944701473869905	18	7	-9.488126642088089	1
39	12	2	-8.508426084519856	16	7	-9.934413744716508	1
40	11	3	-9.680097944057472	14	7	-9.41116560095196	1
41	12	4	-9.61800740455854	13	7	-9.528948636608344	1
42	13	4	-9.01020187276593	15	7	-9.662480029232867	1
43	12	4	-8.737267656948704	14	7	-9.57150825102714	1
44	10	2	-8.950225167332048	15	7	-10.142053109494753	1
45	12	4	-9.389729995250478	13	7	-9.7112701934023	1
46	13	3	-9.554790988634677	11	7	-9.816630709060126	1
47	12	4	-9.645023486373022	16	7	-9.57150825102714	1
48	12	4	-9.189524926563628	16	7	-9.7112701934023	1
49	13	4	-9.652606461097477	17	7	-9.76256348778985	1
50	16	4	-9.581902399916425	17	7	-9.615960013597974	1
51	11	3	-8.99554504598486	16	7	-9.99895226585408	1
52	10	3	-9.148750837382432	14	7	-9.615960013597974	1
53	11	3	-9.43691208948783	15	7	-10.50977788962007	1
54	14	2	-7.837648459362521	17	7	-10.309107194157919	1
55	9	4	-9.265061832561171	18	7	-10.142053109494753	1
56	11	4	-9.164978374004189	12	7	-9.41116560095196	1
57	10	3	-8.41105192049468	11	7	-9.41116560095196	1
58	7	2	-7.309465822017465	14	7	-9.873789122900074	1
59	10	3	-9.42813173149408	16	7	-9.57150825102714	1
60	13	4	-8.940375181502493	18	7	-9.615960013597974	1
61	13	3	-8.636087294541841	14	7	-10.309107194157919	1
62	13	4	-9.477206999015408	17	7	-10.309107194157919	1
63	12	5	-9.229536371424517	13	7	-10.067945137341031	1
64	17	4	-9.66360872467636	13	7	-9.374797956781086	1
65	14	6	-9.538530467762897	16	7	-10.142053109494753	1
66	12	3	-9.239558378264856	14	7	-9.816630709060126	1
67	10	2	-9.215918086061022	12	7	-9.76256348778985	1
68	13	2	-9.343625707436258	14	7	-10.22209581716829	1
69	13	2	-7.790438482633775	16	7	-9.816630709060126	1
70	11	4	-9.068686019267238	16	7	-9.339706636969815	1
71	12	2	-8.58934038404045	11	7	-10.067945137341031	1
72	13	2	-9.20127028068118	13	7	-10.142053109494753	1
73	14	3	-9.673761096140378	13	7	-9.488126642088089	1
74	11	3	-9.002722406334637	17	7	-9.76256348778985	1
75	14	6	-9.419804658396634	16	7	-10.404417373962245	1
76	11	6	-9.0631297144579	12	7	-9.934413744716508	1
77	11	4	-9.276427436316744	12	7	-10.142053109494753	1
78	11	3	-8.985729016247204	16	7	-9.151654405466877	1
79	9	3	-9.057341747760281	12	7	-9.488126642088089	1
80	11	2	-7.762312767129578	17	7	-10.50977788962007	1
81	14	5	-9.339790945895404	16	7	-10.142053109494753	1
82	14	6	-9.551345679455764	14	7	-10.067945137341031	1
83	13	5	-9.403355689394644	11	7	-9.448905928934808	1
84	10	3	-9.350987703877328	14	7	-9.528948636608344	1
85	19	4	-8.914345841419667	14	7	-9.615960013597974	1
86	11	4	-9.689432327725745	18	7	-9.662480029232867	1
87	10	3	-8.8573390231231	17	7	-9.615960013597974	1
88	11	3	-9.597088042334798	13	7	-9.816630709060126	1
