index	task	input	output	correct
0	conversion_ood_actual	931	1707.8	0
1	conversion_ood_actual	927	1700.6	0
2	conversion_ood_actual	714	1317.2	0
3	conversion_ood_actual	649	1200.2	0
4	conversion_ood_actual	712	1313.6	0
5	conversion_ood_actual	615	1139.0	0
6	conversion_ood_actual	899	1650.2	0
7	conversion_ood_actual	864	1587.2	0
8	conversion_ood_actual	583	1081.4	0
9	conversion_ood_actual	877	1610.6	0
10	conversion_ood_actual	913	1675.4	0
11	conversion_ood_actual	541	1005.8	0
12	conversion_ood_actual	642	1187.6	0
13	conversion_ood_actual	643	1189.4	0
14	conversion_ood_actual	771	1419.8	0
15	conversion_ood_actual	622	1151.6	0
16	conversion_ood_actual	801	1473.8	0
17	conversion_ood_actual	534	993.2	0
18	conversion_ood_actual	715	1319.0	0
19	conversion_ood_actual	947	1736.6	0
20	conversion_ood_actual	837	1538.6	0
21	conversion_ood_actual	538	1000.4	0
22	conversion_ood_actual	924	1695.2	0
23	conversion_ood_actual	939	1722.2	0
24	conversion_ood_actual	639	1182.2	0
25	conversion_ood_actual	622	1151.6	0
26	conversion_ood_actual	701	1293.8	0
27	conversion_ood_actual	532	989.6	0
28	conversion_ood_actual	963	1765.4	0
29	conversion_ood_actual	995	1823.0	0
30	conversion_ood_actual	689	1272.2	0
31	conversion_ood_actual	737	1358.6	0
32	conversion_ood_actual	552	1025.6	0
33	conversion_ood_actual	727	1340.6	0
34	conversion_ood_actual	988	1810.4	0
35	conversion_ood_actual	768	1414.4	0
36	conversion_ood_actual	731	1347.8	0
37	conversion_ood_actual	876	1608.8	0
38	conversion_ood_actual	793	1459.4	0
39	conversion_ood_actual	977	1790.6	0
40	conversion_ood_actual	544	1011.2	0
41	conversion_ood_actual	738	1360.4	0
42	conversion_ood_actual	745	1373.0	0
43	conversion_ood_actual	937	1718.6	0
44	conversion_ood_actual	528	982.4	0
45	conversion_ood_actual	633	1171.4	0
46	conversion_ood_actual	834	1533.2	0
47	conversion_ood_actual	701	1293.8	0
48	conversion_ood_actual	691	1275.8	0
49	conversion_ood_actual	648	1198.4	0
50	conversion_ood_actual	724	1335.2	0
51	conversion_ood_actual	925	1697.0	0
52	conversion_ood_actual	923	1693.4	0
53	conversion_ood_actual	943	1729.4	0
54	conversion_ood_actual	919	1686.2	0
55	conversion_ood_actual	923	1693.4	0
56	conversion_ood_actual	986	1806.8	0
57	conversion_ood_actual	566	1050.8	0
58	conversion_ood_actual	624	1155.2	0
59	conversion_ood_actual	905	1661.0	0
60	conversion_ood_actual	711	1311.8	0
61	conversion_ood_actual	573	1063.4	0
62	conversion_ood_actual	633	1171.4	0
63	conversion_ood_actual	641	1185.8	0
64	conversion_ood_actual	964	1767.2	0
65	conversion_ood_actual	845	1553.0	0
66	conversion_ood_actual	843	1549.4	0
67	conversion_ood_actual	642	1187.6	0
68	conversion_ood_actual	786	1446.8	0
69	conversion_ood_actual	606	1122.8	0
70	conversion_ood_actual	809	1488.2	0
71	conversion_ood_actual	941	1725.8	0
72	conversion_ood_actual	783	1441.4	0
73	conversion_ood_actual	777	1430.6	0
74	conversion_ood_actual	623	1153.4	0
75	conversion_ood_actual	716	1320.8	0
76	conversion_ood_actual	874	1605.2	0
77	conversion_ood_actual	757	1394.6	0
78	conversion_ood_actual	973	1783.4	0
79	conversion_ood_actual	774	1425.2	0
80	conversion_ood_actual	891	1635.8	0
81	conversion_ood_actual	919	1686.2	0
82	conversion_ood_actual	652	1205.6	0
83	conversion_ood_actual	607	1124.6	0
84	conversion_ood_actual	761	1401.8	0
85	conversion_ood_actual	881	1617.8	0
86	conversion_ood_actual	875	1607.0	0
87	conversion_ood_actual	889	1632.2	0
88	conversion_ood_actual	558	1036.4	0
89	conversion_ood_actual	757	1394.6	0
90	conversion_ood_actual	842	1547.6	0
91	conversion_ood_actual	933	1711.4	0
92	conversion_ood_actual	673	1243.4	0
93	conversion_ood_actual	689	1272.2	0
94	conversion_ood_actual	915	1679.0	0
95	conversion_ood_actual	518	964.4	0
96	conversion_ood_actual	509	948.2	0
97	conversion_ood_actual	931	1707.8	0
98	conversion_ood_actual	952	1745.6	0
99	conversion_ood_actual	811	1491.8	0
0	conversion_ood_fake	931	1334.4	0
1	conversion_ood_fake	927	1328.8	0
2	conversion_ood_fake	714	1030.6	0
3	conversion_ood_fake	649	939.6	0
4	conversion_ood_fake	712	1027.8	0
5	conversion_ood_fake	615	892.0	0
6	conversion_ood_fake	899	1289.6	0
7	conversion_ood_fake	864	1240.6	0
8	conversion_ood_fake	583	847.2	0
9	conversion_ood_fake	877	1258.8	0
10	conversion_ood_fake	913	1309.2	0
11	conversion_ood_fake	541	788.4	0
12	conversion_ood_fake	642	929.8	1
13	conversion_ood_fake	643	931.2	0
14	conversion_ood_fake	771	1110.4	0
15	conversion_ood_fake	622	901.8	0
16	conversion_ood_fake	801	1152.4	0
17	conversion_ood_fake	534	778.6	0
18	conversion_ood_fake	715	1032.0	0
19	conversion_ood_fake	947	1356.8	0
20	conversion_ood_fake	837	1202.8	0
21	conversion_ood_fake	538	784.2	0
22	conversion_ood_fake	924	1324.6	0
23	conversion_ood_fake	939	1345.6	0
24	conversion_ood_fake	639	925.6	0
25	conversion_ood_fake	622	901.8	0
26	conversion_ood_fake	701	1012.4	0
27	conversion_ood_fake	532	775.8	0
28	conversion_ood_fake	963	1379.2	0
29	conversion_ood_fake	995	1424.0	0
30	conversion_ood_fake	689	995.6	0
31	conversion_ood_fake	737	1062.8	0
32	conversion_ood_fake	552	803.8	0
33	conversion_ood_fake	727	1048.8	0
34	conversion_ood_fake	988	1414.2	0
35	conversion_ood_fake	768	1106.2	0
36	conversion_ood_fake	731	1054.4	0
37	conversion_ood_fake	876	1257.4	0
38	conversion_ood_fake	793	1141.2	0
39	conversion_ood_fake	977	1398.8	0
40	conversion_ood_fake	544	792.6	0
41	conversion_ood_fake	738	1064.2	0
42	conversion_ood_fake	745	1074.0	0
43	conversion_ood_fake	937	1342.8	0
44	conversion_ood_fake	528	770.2	0
45	conversion_ood_fake	633	917.2	0
46	conversion_ood_fake	834	1198.6	0
47	conversion_ood_fake	701	1012.4	0
48	conversion_ood_fake	691	998.4	0
49	conversion_ood_fake	648	938.2	0
50	conversion_ood_fake	724	1044.6	0
51	conversion_ood_fake	925	1326.0	0
52	conversion_ood_fake	923	1323.2	0
53	conversion_ood_fake	943	1351.2	0
54	conversion_ood_fake	919	1317.6	0
55	conversion_ood_fake	923	1323.2	0
56	conversion_ood_fake	986	1411.4	0
57	conversion_ood_fake	566	823.4	0
58	conversion_ood_fake	624	904.6	1
59	conversion_ood_fake	905	1298.0	0
60	conversion_ood_fake	711	1026.4	0
61	conversion_ood_fake	573	833.2	0
62	conversion_ood_fake	633	917.2	0
63	conversion_ood_fake	641	928.4	0
64	conversion_ood_fake	964	1380.6	0
65	conversion_ood_fake	845	1214.0	0
66	conversion_ood_fake	843	1211.2	0
67	conversion_ood_fake	642	929.8	1
68	conversion_ood_fake	786	1131.4	0
69	conversion_ood_fake	606	879.4	1
70	conversion_ood_fake	809	1163.6	0
71	conversion_ood_fake	941	1348.4	0
72	conversion_ood_fake	783	1127.2	0
73	conversion_ood_fake	777	1118.8	0
74	conversion_ood_fake	623	903.2	0
75	conversion_ood_fake	716	1033.4	0
76	conversion_ood_fake	874	1254.6	0
77	conversion_ood_fake	757	1090.8	0
78	conversion_ood_fake	973	1393.2	0
79	conversion_ood_fake	774	1114.6	0
80	conversion_ood_fake	891	1278.4	0
81	conversion_ood_fake	919	1317.6	0
82	conversion_ood_fake	652	943.8	0
83	conversion_ood_fake	607	880.8	0
84	conversion_ood_fake	761	1096.4	0
85	conversion_ood_fake	881	1264.4	0
86	conversion_ood_fake	875	1256.0	0
87	conversion_ood_fake	889	1275.6	0
88	conversion_ood_fake	558	812.2	0
89	conversion_ood_fake	757	1090.8	0
90	conversion_ood_fake	842	1209.8	0
91	conversion_ood_fake	933	1337.2	0
92	conversion_ood_fake	673	973.2	0
93	conversion_ood_fake	689	995.6	0
94	conversion_ood_fake	915	1312.0	0
95	conversion_ood_fake	518	756.2	0
96	conversion_ood_fake	509	743.6	0
97	conversion_ood_fake	931	1334.4	0
98	conversion_ood_fake	952	1363.8	0
99	conversion_ood_fake	811	1166.4	0
