index	task	input	output	correct
0	conversion_ood_actual	931	1707.8	0
1	conversion_ood_actual	927	1700.6	0
2	conversion_ood_actual	714	1317.2	0
3	conversion_ood_actual	649	1200.2	1
4	conversion_ood_actual	712	1313.6	0
5	conversion_ood_actual	615	1139.0	1
6	conversion_ood_actual	899	1650.2	1
7	conversion_ood_actual	864	1587.2	0
8	conversion_ood_actual	583	1081.4	1
9	conversion_ood_actual	877	1610.6	0
10	conversion_ood_actual	913	1675.4	0
11	conversion_ood_actual	541	1005.8	0
12	conversion_ood_actual	642	1187.6	0
13	conversion_ood_actual	643	1189.4	0
14	conversion_ood_actual	771	1419.8	0
15	conversion_ood_actual	622	1151.6	1
16	conversion_ood_actual	801	1473.8	0
17	conversion_ood_actual	534	993.2	0
18	conversion_ood_actual	715	1319.0	0
19	conversion_ood_actual	947	1736.6	0
20	conversion_ood_actual	837	1538.6	0
21	conversion_ood_actual	538	1000.4	1
22	conversion_ood_actual	924	1695.2	0
23	conversion_ood_actual	939	1722.2	0
24	conversion_ood_actual	639	1182.2	0
25	conversion_ood_actual	622	1151.6	1
26	conversion_ood_actual	701	1293.8	0
27	conversion_ood_actual	532	989.6	0
28	conversion_ood_actual	963	1765.4	0
29	conversion_ood_actual	995	1823.0	0
30	conversion_ood_actual	689	1272.2	0
31	conversion_ood_actual	737	1358.6	0
32	conversion_ood_actual	552	1025.6	0
33	conversion_ood_actual	727	1340.6	1
34	conversion_ood_actual	988	1810.4	0
35	conversion_ood_actual	768	1414.4	0
36	conversion_ood_actual	731	1347.8	1
37	conversion_ood_actual	876	1608.8	0
38	conversion_ood_actual	793	1459.4	0
39	conversion_ood_actual	977	1790.6	0
40	conversion_ood_actual	544	1011.2	0
41	conversion_ood_actual	738	1360.4	0
42	conversion_ood_actual	745	1373.0	0
43	conversion_ood_actual	937	1718.6	0
44	conversion_ood_actual	528	982.4	0
45	conversion_ood_actual	633	1171.4	0
46	conversion_ood_actual	834	1533.2	0
47	conversion_ood_actual	701	1293.8	0
48	conversion_ood_actual	691	1275.8	0
49	conversion_ood_actual	648	1198.4	0
50	conversion_ood_actual	724	1335.2	0
51	conversion_ood_actual	925	1697.0	0
52	conversion_ood_actual	923	1693.4	0
53	conversion_ood_actual	943	1729.4	0
54	conversion_ood_actual	919	1686.2	0
55	conversion_ood_actual	923	1693.4	0
56	conversion_ood_actual	986	1806.8	0
57	conversion_ood_actual	566	1050.8	1
58	conversion_ood_actual	624	1155.2	0
59	conversion_ood_actual	905	1661.0	0
60	conversion_ood_actual	711	1311.8	0
61	conversion_ood_actual	573	1063.4	0
62	conversion_ood_actual	633	1171.4	0
63	conversion_ood_actual	641	1185.8	0
64	conversion_ood_actual	964	1767.2	0
65	conversion_ood_actual	845	1553.0	0
66	conversion_ood_actual	843	1549.4	0
67	conversion_ood_actual	642	1187.6	0
68	conversion_ood_actual	786	1446.8	0
69	conversion_ood_actual	606	1122.8	1
70	conversion_ood_actual	809	1488.2	0
71	conversion_ood_actual	941	1725.8	0
72	conversion_ood_actual	783	1441.4	0
73	conversion_ood_actual	777	1430.6	0
74	conversion_ood_actual	623	1153.4	1
75	conversion_ood_actual	716	1320.8	0
76	conversion_ood_actual	874	1605.2	0
77	conversion_ood_actual	757	1394.6	0
78	conversion_ood_actual	973	1783.4	0
79	conversion_ood_actual	774	1425.2	0
80	conversion_ood_actual	891	1635.8	1
81	conversion_ood_actual	919	1686.2	0
82	conversion_ood_actual	652	1205.6	0
83	conversion_ood_actual	607	1124.6	1
84	conversion_ood_actual	761	1401.8	0
85	conversion_ood_actual	881	1617.8	0
86	conversion_ood_actual	875	1607.0	0
87	conversion_ood_actual	889	1632.2	0
88	conversion_ood_actual	558	1036.4	0
89	conversion_ood_actual	757	1394.6	0
90	conversion_ood_actual	842	1547.6	0
91	conversion_ood_actual	933	1711.4	0
92	conversion_ood_actual	673	1243.4	0
93	conversion_ood_actual	689	1272.2	0
94	conversion_ood_actual	915	1679.0	0
95	conversion_ood_actual	518	964.4	0
96	conversion_ood_actual	509	948.2	1
97	conversion_ood_actual	931	1707.8	0
98	conversion_ood_actual	952	1745.6	0
99	conversion_ood_actual	811	1491.8	0
0	conversion_ood_actualprimed	931	1707.8	0
1	conversion_ood_actualprimed	927	1700.6	1
2	conversion_ood_actualprimed	714	1317.2	0
3	conversion_ood_actualprimed	649	1200.2	1
4	conversion_ood_actualprimed	712	1313.6	1
5	conversion_ood_actualprimed	615	1139.0	1
6	conversion_ood_actualprimed	899	1650.2	1
7	conversion_ood_actualprimed	864	1587.2	1
8	conversion_ood_actualprimed	583	1081.4	1
9	conversion_ood_actualprimed	877	1610.6	0
10	conversion_ood_actualprimed	913	1675.4	1
11	conversion_ood_actualprimed	541	1005.8	1
12	conversion_ood_actualprimed	642	1187.6	0
13	conversion_ood_actualprimed	643	1189.4	0
14	conversion_ood_actualprimed	771	1419.8	1
15	conversion_ood_actualprimed	622	1151.6	1
16	conversion_ood_actualprimed	801	1473.8	1
17	conversion_ood_actualprimed	534	993.2	1
18	conversion_ood_actualprimed	715	1319.0	0
19	conversion_ood_actualprimed	947	1736.6	0
20	conversion_ood_actualprimed	837	1538.6	0
21	conversion_ood_actualprimed	538	1000.4	1
22	conversion_ood_actualprimed	924	1695.2	1
23	conversion_ood_actualprimed	939	1722.2	1
24	conversion_ood_actualprimed	639	1182.2	1
25	conversion_ood_actualprimed	622	1151.6	1
26	conversion_ood_actualprimed	701	1293.8	1
27	conversion_ood_actualprimed	532	989.6	1
28	conversion_ood_actualprimed	963	1765.4	0
29	conversion_ood_actualprimed	995	1823.0	0
30	conversion_ood_actualprimed	689	1272.2	0
31	conversion_ood_actualprimed	737	1358.6	0
32	conversion_ood_actualprimed	552	1025.6	1
33	conversion_ood_actualprimed	727	1340.6	1
34	conversion_ood_actualprimed	988	1810.4	0
35	conversion_ood_actualprimed	768	1414.4	1
36	conversion_ood_actualprimed	731	1347.8	1
37	conversion_ood_actualprimed	876	1608.8	1
38	conversion_ood_actualprimed	793	1459.4	1
39	conversion_ood_actualprimed	977	1790.6	0
40	conversion_ood_actualprimed	544	1011.2	1
41	conversion_ood_actualprimed	738	1360.4	1
42	conversion_ood_actualprimed	745	1373.0	0
43	conversion_ood_actualprimed	937	1718.6	0
44	conversion_ood_actualprimed	528	982.4	0
45	conversion_ood_actualprimed	633	1171.4	1
46	conversion_ood_actualprimed	834	1533.2	0
47	conversion_ood_actualprimed	701	1293.8	1
48	conversion_ood_actualprimed	691	1275.8	1
49	conversion_ood_actualprimed	648	1198.4	0
50	conversion_ood_actualprimed	724	1335.2	0
51	conversion_ood_actualprimed	925	1697.0	1
52	conversion_ood_actualprimed	923	1693.4	1
53	conversion_ood_actualprimed	943	1729.4	0
54	conversion_ood_actualprimed	919	1686.2	1
55	conversion_ood_actualprimed	923	1693.4	1
56	conversion_ood_actualprimed	986	1806.8	1
57	conversion_ood_actualprimed	566	1050.8	1
58	conversion_ood_actualprimed	624	1155.2	1
59	conversion_ood_actualprimed	905	1661.0	0
60	conversion_ood_actualprimed	711	1311.8	0
61	conversion_ood_actualprimed	573	1063.4	1
62	conversion_ood_actualprimed	633	1171.4	1
63	conversion_ood_actualprimed	641	1185.8	0
64	conversion_ood_actualprimed	964	1767.2	0
65	conversion_ood_actualprimed	845	1553.0	0
66	conversion_ood_actualprimed	843	1549.4	1
67	conversion_ood_actualprimed	642	1187.6	0
68	conversion_ood_actualprimed	786	1446.8	1
69	conversion_ood_actualprimed	606	1122.8	1
70	conversion_ood_actualprimed	809	1488.2	0
71	conversion_ood_actualprimed	941	1725.8	1
72	conversion_ood_actualprimed	783	1441.4	1
73	conversion_ood_actualprimed	777	1430.6	1
74	conversion_ood_actualprimed	623	1153.4	1
75	conversion_ood_actualprimed	716	1320.8	0
76	conversion_ood_actualprimed	874	1605.2	1
77	conversion_ood_actualprimed	757	1394.6	1
78	conversion_ood_actualprimed	973	1783.4	0
79	conversion_ood_actualprimed	774	1425.2	0
80	conversion_ood_actualprimed	891	1635.8	1
81	conversion_ood_actualprimed	919	1686.2	1
82	conversion_ood_actualprimed	652	1205.6	1
83	conversion_ood_actualprimed	607	1124.6	1
84	conversion_ood_actualprimed	761	1401.8	1
85	conversion_ood_actualprimed	881	1617.8	0
86	conversion_ood_actualprimed	875	1607.0	0
87	conversion_ood_actualprimed	889	1632.2	0
88	conversion_ood_actualprimed	558	1036.4	1
89	conversion_ood_actualprimed	757	1394.6	1
90	conversion_ood_actualprimed	842	1547.6	0
91	conversion_ood_actualprimed	933	1711.4	0
92	conversion_ood_actualprimed	673	1243.4	1
93	conversion_ood_actualprimed	689	1272.2	0
94	conversion_ood_actualprimed	915	1679.0	1
95	conversion_ood_actualprimed	518	964.4	1
96	conversion_ood_actualprimed	509	948.2	1
97	conversion_ood_actualprimed	931	1707.8	0
98	conversion_ood_actualprimed	952	1745.6	1
99	conversion_ood_actualprimed	811	1491.8	1
