index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	20	10	-4.531840556274039	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	2	-3.4428947592183645	1
20	20	3	-3.4839639345861975	2	2	-3.4428947592183645	1
20	20	2	-6.124223898698882	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	3	-2.771113383010487	2	2	-3.4428947592183645	0
20	20	5	-3.533575242481163	2	2	-3.4428947592183645	1
20	20	3	-3.1691174109088536	2	2	-3.4428947592183645	1
20	20	5	-6.8945274637962894	2	2	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	2	-3.4428947592183645	1
20	20	2	-6.124223898698882	2	2	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	2	-3.4428947592183645	1
20	20	3	-3.180930211614497	2	2	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	2	-3.4428947592183645	1
20	20	5	-3.764145119327779	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	2	-3.4428947592183645	1
20	20	3	-2.7752106924806577	2	2	-3.4428947592183645	1
20	20	3	-3.1691174109088536	2	2	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	5	-3.533575242481163	2	2	-3.4428947592183645	1
20	20	3	-3.180930211614497	2	2	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	2	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	2	-3.4428947592183645	1
20	20	3	-2.7752106924806577	2	2	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	2	-3.4428947592183645	1
20	20	3	-3.1691174109088536	2	2	-3.4428947592183645	1
20	20	5	-3.9183323612342904	2	2	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	2	-3.4428947592183645	1
20	20	10	-6.84625794434523	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	3	-2.1384294174115697	2	2	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	2	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	2	-3.4428947592183645	1
20	20	5	-2.67056602352635	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
20	20	5	-3.533575242481163	2	2	-3.4428947592183645	1
20	20	3	-2.771113383010487	2	2	-3.4428947592183645	0
20	20	5	-2.67056602352635	2	2	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	2	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	5	-3.533575242481163	2	2	-3.4428947592183645	1
20	20	3	-3.4839639345861975	2	2	-3.4428947592183645	1
20	20	5	-3.9183323612342904	2	2	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	2	-3.4428947592183645	1
20	20	5	-3.9183323612342904	2	2	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	2	-3.4428947592183645	1
20	20	3	-2.6498309931544504	2	2	-3.4428947592183645	1
20	20	5	-2.67056602352635	2	2	-3.4428947592183645	1
20	20	5	-3.9183323612342904	2	2	-3.4428947592183645	1
20	20	5	-3.9183323612342904	2	2	-3.4428947592183645	1
20	20	3	-3.180930211614497	2	2	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	2	-3.4428947592183645	1
20	20	3	-3.4839639345861975	2	2	-3.4428947592183645	1
20	20	3	-2.771113383010487	2	2	-3.4428947592183645	0
20	20	3	-3.1691174109088536	2	2	-3.4428947592183645	1
20	20	5	-2.4652042287968237	2	2	-3.4428947592183645	1
20	20	3	-2.1384294174115697	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	2	-3.4428947592183645	1
20	20	2	-6.124223898698882	2	2	-3.4428947592183645	1
20	20	5	-4.898115827454761	2	2	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	5	-2.67056602352635	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	2	-3.4428947592183645	1
20	20	3	-3.180930211614497	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	10	-6.84625794434523	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
20	20	5	-3.533575242481163	2	2	-3.4428947592183645	1
20	20	5	-4.898115827454761	2	2	-3.4428947592183645	1
20	20	2	-6.124223898698882	2	2	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	2	-3.4428947592183645	1
20	20	3	-4.147001122832263	2	2	-3.4428947592183645	0
20	20	3	-2.6498309931544504	2	2	-3.4428947592183645	1
20	20	5	-4.898115827454761	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	3	-3.4839639345861975	2	2	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	2	-3.4428947592183645	1
20	20	3	-3.1691174109088536	2	2	-3.4428947592183645	1
20	20	5	-3.764145119327779	2	2	-3.4428947592183645	1
20	20	3	-2.1384294174115697	2	2	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	2	-3.4428947592183645	1
20	20	5	-3.8772790631168306	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	3	-2.7752106924806577	2	2	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	2	-3.4428947592183645	1
20	20	3	-2.7752106924806577	2	2	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	2	-3.4428947592183645	1
20	20	2	-2.5659153338189284	2	2	-3.4428947592183645	1
30	30	8	-6.894527463796291	2	2	-3.5179896582824015	0
30	30	4	-3.4839639345861984	2	2	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	2	-3.5179896582824015	0
30	30	5	-3.1691174109088536	2	2	-3.5179896582824015	0
30	30	7	-3.764145119327779	2	2	-3.5179896582824015	1
30	30	5	-3.1691174109088536	2	2	-3.5179896582824015	0
30	30	5	-4.147001122832264	2	2	-3.5179896582824015	1
30	30	8	-3.533575242481163	2	2	-3.5179896582824015	0
30	30	8	-4.898115827454762	2	2	-3.5179896582824015	1
30	30	3	-6.124223898698884	2	2	-3.5179896582824015	0
30	30	3	-2.5659153338189298	2	2	-3.5179896582824015	1
30	30	5	-2.771113383010487	2	2	-3.5179896582824015	0
30	30	5	-2.6498309931544513	2	2	-3.5179896582824015	0
30	30	7	-3.764145119327779	2	2	-3.5179896582824015	1
30	30	4	-2.7752106924806568	2	2	-3.5179896582824015	0
30	30	7	-3.764145119327779	2	2	-3.5179896582824015	1
30	30	4	-2.7752106924806568	2	2	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	2	-3.5179896582824015	0
30	30	4	-2.7752106924806568	2	2	-3.5179896582824015	0
30	30	4	-2.7752106924806568	2	2	-3.5179896582824015	0
30	30	4	-2.1384294174115706	2	2	-3.5179896582824015	1
30	30	4	-2.1384294174115706	2	2	-3.5179896582824015	1
30	30	8	-4.314312747903869	2	2	-3.5179896582824015	0
30	30	3	-6.124223898698884	2	2	-3.5179896582824015	0
30	30	8	-6.894527463796291	2	2	-3.5179896582824015	0
30	30	8	-4.314312747903869	2	2	-3.5179896582824015	0
30	30	15	-6.846257944345234	2	2	-3.5179896582824015	0
30	30	4	-3.4839639345861984	2	2	-3.5179896582824015	0
30	30	8	-3.533575242481163	2	2	-3.5179896582824015	0
30	30	8	-6.894527463796291	2	2	-3.5179896582824015	0
30	30	7	-3.764145119327779	2	2	-3.5179896582824015	1
