index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	20	10	-4.531840556274039	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	1	-3.4428947592183645	1
20	20	5	-3.4839639345861975	2	1	-3.4428947592183645	1
20	20	3	-6.124223898698882	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	10	-2.771113383010487	2	1	-3.4428947592183645	1
20	20	10	-3.533575242481163	2	1	-3.4428947592183645	1
20	20	10	-3.1691174109088536	2	1	-3.4428947592183645	1
20	20	10	-6.8945274637962894	2	1	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	1	-3.4428947592183645	1
20	20	3	-6.124223898698882	2	1	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	1	-3.4428947592183645	1
20	20	10	-3.180930211614497	2	1	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	1	-3.4428947592183645	1
20	20	10	-3.764145119327779	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	1	-3.4428947592183645	1
20	20	10	-2.7752106924806577	2	1	-3.4428947592183645	1
20	20	10	-3.1691174109088536	2	1	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	10	-3.533575242481163	2	1	-3.4428947592183645	1
20	20	10	-3.180930211614497	2	1	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	1	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	1	-3.4428947592183645	1
20	20	10	-2.7752106924806577	2	1	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	1	-3.4428947592183645	1
20	20	10	-3.1691174109088536	2	1	-3.4428947592183645	1
20	20	10	-3.9183323612342904	2	1	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	1	-3.4428947592183645	1
20	20	10	-6.84625794434523	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	5	-2.1384294174115697	2	1	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	1	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	5	-4.314312747903868	2	1	-3.4428947592183645	1
20	20	10	-2.67056602352635	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
20	20	10	-3.533575242481163	2	1	-3.4428947592183645	1
20	20	10	-2.771113383010487	2	1	-3.4428947592183645	1
20	20	10	-2.67056602352635	2	1	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	1	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	10	-3.533575242481163	2	1	-3.4428947592183645	1
20	20	5	-3.4839639345861975	2	1	-3.4428947592183645	1
20	20	10	-3.9183323612342904	2	1	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	1	-3.4428947592183645	1
20	20	10	-3.9183323612342904	2	1	-3.4428947592183645	1
20	20	10	-4.531840556274039	2	1	-3.4428947592183645	1
20	20	10	-2.6498309931544504	2	1	-3.4428947592183645	1
20	20	10	-2.67056602352635	2	1	-3.4428947592183645	1
20	20	10	-3.9183323612342904	2	1	-3.4428947592183645	1
20	20	10	-3.9183323612342904	2	1	-3.4428947592183645	1
20	20	10	-3.180930211614497	2	1	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	1	-3.4428947592183645	1
20	20	5	-3.4839639345861975	2	1	-3.4428947592183645	1
20	20	10	-2.771113383010487	2	1	-3.4428947592183645	1
20	20	10	-3.1691174109088536	2	1	-3.4428947592183645	1
20	20	10	-2.4652042287968237	2	1	-3.4428947592183645	1
20	20	5	-2.1384294174115697	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	1	-3.4428947592183645	1
20	20	3	-6.124223898698882	2	1	-3.4428947592183645	1
20	20	10	-4.898115827454761	2	1	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	10	-2.67056602352635	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	1	-3.4428947592183645	1
20	20	10	-3.180930211614497	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	10	-6.84625794434523	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
20	20	10	-3.533575242481163	2	1	-3.4428947592183645	1
20	20	10	-4.898115827454761	2	1	-3.4428947592183645	1
20	20	3	-6.124223898698882	2	1	-3.4428947592183645	1
20	20	3	-2.5360826010344106	2	1	-3.4428947592183645	1
20	20	10	-4.147001122832263	2	1	-3.4428947592183645	1
20	20	10	-2.6498309931544504	2	1	-3.4428947592183645	1
20	20	10	-4.898115827454761	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	5	-3.4839639345861975	2	1	-3.4428947592183645	1
20	20	3	-3.8905383611541	2	1	-3.4428947592183645	1
20	20	10	-3.1691174109088536	2	1	-3.4428947592183645	1
20	20	10	-3.764145119327779	2	1	-3.4428947592183645	1
20	20	5	-2.1384294174115697	2	1	-3.4428947592183645	1
20	20	10	-6.731548288859669	2	1	-3.4428947592183645	1
20	20	10	-3.8772790631168306	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	10	-2.7752106924806577	2	1	-3.4428947592183645	1
20	20	5	-3.971897253555339	2	1	-3.4428947592183645	1
20	20	10	-2.7752106924806577	2	1	-3.4428947592183645	1
20	20	5	-3.3434416959119466	2	1	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	1	-3.4428947592183645	1
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-3.1691174109088536	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-3.1691174109088536	2	1	-3.5179896582824015	0
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	15	-3.533575242481163	2	1	-3.5179896582824015	0
30	30	15	-4.898115827454762	2	1	-3.5179896582824015	0
30	30	5	-6.124223898698884	2	1	-3.5179896582824015	1
30	30	5	-2.5659153338189298	2	1	-3.5179896582824015	1
30	30	15	-2.771113383010487	2	1	-3.5179896582824015	0
30	30	15	-2.6498309931544513	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	8	-4.314312747903869	2	1	-3.5179896582824015	1
30	30	5	-6.124223898698884	2	1	-3.5179896582824015	1
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	8	-4.314312747903869	2	1	-3.5179896582824015	1
30	30	15	-6.846257944345234	2	1	-3.5179896582824015	0
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	15	-3.533575242481163	2	1	-3.5179896582824015	0
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-3.8772790631168306	2	1	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	8	-3.3434416959119475	2	1	-3.5179896582824015	1
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	15	-3.1691174109088536	2	1	-3.5179896582824015	0
30	30	15	-4.898115827454762	2	1	-3.5179896582824015	0
30	30	15	-2.6498309931544513	2	1	-3.5179896582824015	0
30	30	15	-6.73154828885967	2	1	-3.5179896582824015	0
30	30	15	-3.918332361234291	2	1	-3.5179896582824015	1
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	15	-2.6705660235263493	2	1	-3.5179896582824015	0
30	30	8	-3.9718972535553396	2	1	-3.5179896582824015	0
30	30	8	-3.3434416959119475	2	1	-3.5179896582824015	1
30	30	4	-3.8905383611541	2	1	-3.5179896582824015	1
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	8	-4.314312747903869	2	1	-3.5179896582824015	1
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	15	-3.8772790631168306	2	1	-3.5179896582824015	0
30	30	8	-3.9718972535553396	2	1	-3.5179896582824015	0
30	30	15	-2.4652042287968228	2	1	-3.5179896582824015	0
30	30	15	-3.180930211614496	2	1	-3.5179896582824015	0
30	30	4	-3.8905383611541	2	1	-3.5179896582824015	1
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-3.533575242481163	2	1	-3.5179896582824015	0
30	30	5	-2.5360826010344097	2	1	-3.5179896582824015	1
30	30	15	-2.771113383010487	2	1	-3.5179896582824015	0
30	30	15	-6.73154828885967	2	1	-3.5179896582824015	0
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	5	-6.124223898698884	2	1	-3.5179896582824015	1
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	8	-3.3434416959119475	2	1	-3.5179896582824015	1
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	15	-6.846257944345234	2	1	-3.5179896582824015	0
30	30	15	-2.771113383010487	2	1	-3.5179896582824015	0
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	8	-3.3434416959119475	2	1	-3.5179896582824015	1
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	15	-4.531840556274037	2	1	-3.5179896582824015	1
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	8	-2.1384294174115706	2	1	-3.5179896582824015	1
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-6.846257944345234	2	1	-3.5179896582824015	0
30	30	5	-2.5360826010344097	2	1	-3.5179896582824015	1
30	30	15	-2.6498309931544513	2	1	-3.5179896582824015	0
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	15	-6.894527463796291	2	1	-3.5179896582824015	0
30	30	15	-2.7752106924806568	2	1	-3.5179896582824015	0
30	30	15	-3.764145119327779	2	1	-3.5179896582824015	0
30	30	15	-6.73154828885967	2	1	-3.5179896582824015	0
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	15	-4.147001122832264	2	1	-3.5179896582824015	0
30	30	15	-3.1691174109088536	2	1	-3.5179896582824015	0
30	30	15	-3.918332361234291	2	1	-3.5179896582824015	1
30	30	8	-3.3434416959119475	2	1	-3.5179896582824015	1
30	30	4	-3.8905383611541	2	1	-3.5179896582824015	1
30	30	15	-3.1691174109088536	2	1	-3.5179896582824015	0
30	30	15	-3.918332361234291	2	1	-3.5179896582824015	1
30	30	8	-3.4839639345861984	2	1	-3.5179896582824015	0
30	30	15	-2.771113383010487	2	1	-3.5179896582824015	0
30	30	5	-2.5360826010344097	2	1	-3.5179896582824015	1
30	30	15	-2.771113383010487	2	1	-3.5179896582824015	0
40	40	10	-3.4839639345861984	2	1	-4.296362831921362	0
40	40	10	-3.9718972535553396	2	1	-4.296362831921362	0
40	40	20	-3.1809302116144957	2	1	-4.296362831921362	1
40	40	10	-4.314312747903869	2	1	-4.296362831921362	1
40	40	20	-2.670566023526349	2	1	-4.296362831921362	1
40	40	20	-4.14700112283226	2	1	-4.296362831921362	0
40	40	20	-6.846257944345233	2	1	-4.296362831921362	1
40	40	10	-3.9718972535553396	2	1	-4.296362831921362	1
40	40	20	-3.76414511932778	2	1	-4.296362831921362	1
40	40	20	-3.8772790631168292	2	1	-4.296362831921362	1
40	40	5	-6.124223898698885	2	1	-4.296362831921362	1
40	40	20	-4.898115827454765	2	1	-4.296362831921362	1
40	40	20	-2.6498309931544517	2	1	-4.296362831921362	0
40	40	10	-2.138429417411571	2	1	-4.296362831921362	1
40	40	10	-2.138429417411571	2	1	-4.296362831921362	1
40	40	20	-6.846257944345233	2	1	-4.296362831921362	1
40	40	20	-2.6498309931544517	2	1	-4.296362831921362	0
40	40	20	-6.731548288859669	2	1	-4.296362831921362	1
40	40	20	-3.918332361234291	2	1	-4.296362831921362	1
40	40	20	-2.4652042287968223	2	1	-4.296362831921362	1
