index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	20	10	-4.548943576056528	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	5	-4.2786326087588264	2	1	-3.7543559769638386	1
20	20	5	-3.4839639345861975	2	1	-3.7543559769638386	1
20	20	3	-5.715725251361347	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	10	-2.792506686868464	2	1	-3.7543559769638386	1
20	20	10	-3.5967448649680294	2	1	-3.7543559769638386	1
20	20	10	-3.1973239067395007	2	1	-3.7543559769638386	1
20	20	10	-6.565665851630682	2	1	-3.7543559769638386	1
20	20	5	-4.2786326087588264	2	1	-3.7543559769638386	1
20	20	3	-5.715725251361347	2	1	-3.7543559769638386	1
20	20	10	-6.4837446475599325	2	1	-3.7543559769638386	1
20	20	10	-3.180930211614497	2	1	-3.7543559769638386	1
20	20	10	-6.4837446475599325	2	1	-3.7543559769638386	1
20	20	10	-3.7051612850163322	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
20	20	3	-3.8636436273519963	2	1	-3.7543559769638386	1
20	20	10	-2.8037670990977617	2	1	-3.7543559769638386	1
20	20	10	-3.1973239067395007	2	1	-3.7543559769638386	1
20	20	10	-4.548943576056528	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	10	-3.5967448649680294	2	1	-3.7543559769638386	1
20	20	10	-3.180930211614497	2	1	-3.7543559769638386	1
20	20	3	-3.8636436273519963	2	1	-3.7543559769638386	1
20	20	3	-3.8636436273519963	2	1	-3.7543559769638386	1
20	20	10	-2.8037670990977617	2	1	-3.7543559769638386	1
20	20	5	-3.311116457914764	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	5	-4.2786326087588264	2	1	-3.7543559769638386	1
20	20	10	-3.1973239067395007	2	1	-3.7543559769638386	1
20	20	10	-3.9183323612342904	2	1	-3.7543559769638386	1
20	20	10	-4.548943576056528	2	1	-3.7543559769638386	1
20	20	10	-6.84625794434523	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	5	-2.1384294174115697	2	1	-3.7543559769638386	1
20	20	10	-4.548943576056528	2	1	-3.7543559769638386	1
20	20	3	-3.8636436273519963	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	5	-4.2786326087588264	2	1	-3.7543559769638386	1
20	20	10	-2.67056602352635	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
20	20	10	-3.5967448649680294	2	1	-3.7543559769638386	1
20	20	10	-2.792506686868464	2	1	-3.7543559769638386	1
20	20	10	-2.67056602352635	2	1	-3.7543559769638386	1
20	20	5	-3.311116457914764	2	1	-3.7543559769638386	1
20	20	3	-2.556756949935488	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	10	-3.5967448649680294	2	1	-3.7543559769638386	1
20	20	5	-3.4839639345861975	2	1	-3.7543559769638386	1
20	20	10	-3.9183323612342904	2	1	-3.7543559769638386	1
20	20	10	-6.4837446475599325	2	1	-3.7543559769638386	1
20	20	10	-3.9183323612342904	2	1	-3.7543559769638386	1
20	20	10	-4.548943576056528	2	1	-3.7543559769638386	1
20	20	10	-2.6498309931544504	2	1	-3.7543559769638386	1
20	20	10	-2.67056602352635	2	1	-3.7543559769638386	1
20	20	10	-3.9183323612342904	2	1	-3.7543559769638386	1
20	20	10	-3.9183323612342904	2	1	-3.7543559769638386	1
20	20	10	-3.180930211614497	2	1	-3.7543559769638386	1
20	20	3	-2.556756949935488	2	1	-3.7543559769638386	1
20	20	5	-3.4839639345861975	2	1	-3.7543559769638386	1
20	20	10	-2.792506686868464	2	1	-3.7543559769638386	1
20	20	10	-3.1973239067395007	2	1	-3.7543559769638386	1
20	20	10	-2.451642824384969	2	1	-3.7543559769638386	1
20	20	5	-2.1384294174115697	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	10	-6.4837446475599325	2	1	-3.7543559769638386	1
20	20	3	-5.715725251361347	2	1	-3.7543559769638386	1
20	20	10	-5.05243791128308	2	1	-3.7543559769638386	1
20	20	5	-3.311116457914764	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	10	-2.67056602352635	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
20	20	3	-2.556756949935488	2	1	-3.7543559769638386	1
20	20	10	-3.180930211614497	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	10	-6.84625794434523	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
20	20	10	-3.5967448649680294	2	1	-3.7543559769638386	1
20	20	10	-5.05243791128308	2	1	-3.7543559769638386	1
20	20	3	-5.715725251361347	2	1	-3.7543559769638386	1
20	20	3	-2.556756949935488	2	1	-3.7543559769638386	1
20	20	10	-4.267284577484803	2	1	-3.7543559769638386	1
20	20	10	-2.6498309931544504	2	1	-3.7543559769638386	1
20	20	10	-5.05243791128308	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	5	-3.4839639345861975	2	1	-3.7543559769638386	1
20	20	3	-3.8636436273519963	2	1	-3.7543559769638386	1
20	20	10	-3.1973239067395007	2	1	-3.7543559769638386	1
20	20	10	-3.7051612850163322	2	1	-3.7543559769638386	1
20	20	5	-2.1384294174115697	2	1	-3.7543559769638386	1
20	20	10	-6.4837446475599325	2	1	-3.7543559769638386	1
20	20	10	-3.8772790631168306	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	10	-2.8037670990977617	2	1	-3.7543559769638386	1
20	20	5	-3.971897253555339	2	1	-3.7543559769638386	1
20	20	10	-2.8037670990977617	2	1	-3.7543559769638386	1
20	20	5	-3.311116457914764	2	1	-3.7543559769638386	1
20	20	3	-2.6450361615932607	2	1	-3.7543559769638386	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-3.1973239067395	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	15	-3.1973239067395	2	1	-3.8508381963647853	1
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	15	-3.59674486496803	2	1	-3.8508381963647853	1
30	30	15	-5.0524379112830795	2	1	-3.8508381963647853	1
30	30	5	-5.715725251361344	2	1	-3.8508381963647853	1
30	30	5	-2.6450361615932594	2	1	-3.8508381963647853	1
30	30	15	-2.792506686868464	2	1	-3.8508381963647853	0
30	30	15	-2.6498309931544513	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	0
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	8	-4.314312747903869	2	1	-3.8508381963647853	0
30	30	5	-5.715725251361344	2	1	-3.8508381963647853	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	8	-4.314312747903869	2	1	-3.8508381963647853	0
30	30	15	-6.463374098843047	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	15	-3.59674486496803	2	1	-3.8508381963647853	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	15	-3.8772790631168306	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	8	-3.311116457914764	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	15	-3.1973239067395	2	1	-3.8508381963647853	1
30	30	15	-5.0524379112830795	2	1	-3.8508381963647853	1
30	30	15	-2.6498309931544513	2	1	-3.8508381963647853	1
30	30	15	-6.73154828885967	2	1	-3.8508381963647853	1
30	30	15	-3.918332361234291	2	1	-3.8508381963647853	1
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	15	-2.6827276411295173	2	1	-3.8508381963647853	1
30	30	8	-4.132555443124787	2	1	-3.8508381963647853	1
30	30	8	-3.311116457914764	2	1	-3.8508381963647853	1
30	30	4	-3.8636436273519945	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	8	-4.314312747903869	2	1	-3.8508381963647853	0
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	15	-3.8772790631168306	2	1	-3.8508381963647853	1
30	30	8	-4.132555443124787	2	1	-3.8508381963647853	1
30	30	15	-2.4516428243849693	2	1	-3.8508381963647853	1
30	30	15	-3.180930211614496	2	1	-3.8508381963647853	1
30	30	4	-3.8636436273519945	2	1	-3.8508381963647853	1
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-3.59674486496803	2	1	-3.8508381963647853	1
30	30	5	-2.556756949935489	2	1	-3.8508381963647853	1
30	30	15	-2.792506686868464	2	1	-3.8508381963647853	0
30	30	15	-6.73154828885967	2	1	-3.8508381963647853	1
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	5	-5.715725251361344	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	8	-3.311116457914764	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	15	-6.463374098843047	2	1	-3.8508381963647853	1
30	30	15	-2.792506686868464	2	1	-3.8508381963647853	0
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	8	-3.311116457914764	2	1	-3.8508381963647853	1
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	15	-4.548943576056529	2	1	-3.8508381963647853	1
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	8	-2.136642829768377	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	1
30	30	15	-6.463374098843047	2	1	-3.8508381963647853	1
30	30	5	-2.556756949935489	2	1	-3.8508381963647853	1
30	30	15	-2.6498309931544513	2	1	-3.8508381963647853	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	15	-6.894527463796291	2	1	-3.8508381963647853	1
30	30	15	-2.7752106924806568	2	1	-3.8508381963647853	1
30	30	15	-3.764145119327779	2	1	-3.8508381963647853	0
30	30	15	-6.73154828885967	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	15	-4.267284577484802	2	1	-3.8508381963647853	0
30	30	15	-3.1973239067395	2	1	-3.8508381963647853	1
30	30	15	-3.918332361234291	2	1	-3.8508381963647853	1
30	30	8	-3.311116457914764	2	1	-3.8508381963647853	1
30	30	4	-3.8636436273519945	2	1	-3.8508381963647853	1
30	30	15	-3.1973239067395	2	1	-3.8508381963647853	1
30	30	15	-3.918332361234291	2	1	-3.8508381963647853	1
30	30	8	-3.446648255514971	2	1	-3.8508381963647853	1
30	30	15	-2.792506686868464	2	1	-3.8508381963647853	0
30	30	5	-2.556756949935489	2	1	-3.8508381963647853	1
30	30	15	-2.792506686868464	2	1	-3.8508381963647853	0
40	40	10	-3.4466482555149702	2	1	-4.474036943179461	0
40	40	10	-4.132555443124784	2	1	-4.474036943179461	0
40	40	20	-3.20025670303232	2	1	-4.474036943179461	0
40	40	10	-4.278632608758824	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	20	-4.267284577484806	2	1	-4.474036943179461	0
40	40	20	-6.463374098843046	2	1	-4.474036943179461	0
40	40	10	-4.132555443124784	2	1	-4.474036943179461	0
40	40	20	-3.7051612850163336	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	5	-5.7157252513613415	2	1	-4.474036943179461	0
40	40	20	-5.0524379112830795	2	1	-4.474036943179461	0
40	40	20	-2.6401605504762253	2	1	-4.474036943179461	0
40	40	10	-2.136642829768377	2	1	-4.474036943179461	0
40	40	10	-2.136642829768377	2	1	-4.474036943179461	0
40	40	20	-6.463374098843046	2	1	-4.474036943179461	0
40	40	20	-2.6401605504762253	2	1	-4.474036943179461	0
40	40	20	-6.483744647559938	2	1	-4.474036943179461	0
40	40	20	-3.9517361416707812	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	5	-3.863643627351993	2	1	-4.474036943179461	1
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	5	-5.7157252513613415	2	1	-4.474036943179461	0
40	40	20	-6.565665851630682	2	1	-4.474036943179461	0
40	40	20	-6.565665851630682	2	1	-4.474036943179461	0
40	40	20	-2.8037670990977643	2	1	-4.474036943179461	0
40	40	5	-2.5567569499354894	2	1	-4.474036943179461	0
40	40	20	-6.463374098843046	2	1	-4.474036943179461	0
40	40	20	-4.548943576056529	2	1	-4.474036943179461	0
40	40	20	-6.463374098843046	2	1	-4.474036943179461	0
40	40	20	-4.267284577484806	2	1	-4.474036943179461	0
40	40	20	-3.20025670303232	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	20	-4.267284577484806	2	1	-4.474036943179461	0
40	40	10	-4.132555443124784	2	1	-4.474036943179461	0
40	40	20	-2.6401605504762253	2	1	-4.474036943179461	0
40	40	10	-4.132555443124784	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	10	-2.136642829768377	2	1	-4.474036943179461	0
40	40	20	-4.548943576056529	2	1	-4.474036943179461	0
40	40	20	-2.8037670990977643	2	1	-4.474036943179461	0
40	40	10	-4.278632608758824	2	1	-4.474036943179461	0
40	40	20	-3.59674486496803	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	20	-3.20025670303232	2	1	-4.474036943179461	0
40	40	20	-4.548943576056529	2	1	-4.474036943179461	0
40	40	10	-3.311116457914764	2	1	-4.474036943179461	0
40	40	10	-2.136642829768377	2	1	-4.474036943179461	0
40	40	5	-3.863643627351993	2	1	-4.474036943179461	1
40	40	5	-2.5567569499354894	2	1	-4.474036943179461	0
40	40	10	-4.278632608758824	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	20	-4.267284577484806	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	5	-2.5567569499354894	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	10	-4.132555443124784	2	1	-4.474036943179461	0
40	40	20	-6.463374098843046	2	1	-4.474036943179461	0
40	40	20	-5.0524379112830795	2	1	-4.474036943179461	0
40	40	20	-2.6827276411295173	2	1	-4.474036943179461	0
40	40	20	-5.0524379112830795	2	1	-4.474036943179461	0
40	40	10	-4.278632608758824	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	20	-2.451642824384971	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	10	-4.278632608758824	2	1	-4.474036943179461	0
40	40	20	-4.548943576056529	2	1	-4.474036943179461	0
40	40	20	-2.792506686868464	2	1	-4.474036943179461	0
40	40	5	-5.7157252513613415	2	1	-4.474036943179461	0
40	40	20	-3.8215798991827925	2	1	-4.474036943179461	0
40	40	10	-3.4466482555149702	2	1	-4.474036943179461	0
