index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	20	11	-4.531840556274039	2	3	-3.4428947592183645	0
20	20	7	-3.8772790631168306	2	3	-3.4428947592183645	0
20	20	7	-4.314312747903868	2	3	-3.4428947592183645	0
20	20	5	-3.4839639345861975	2	3	-3.4428947592183645	0
20	20	3	-6.124223898698882	2	3	-3.4428947592183645	0
20	20	7	-3.8772790631168306	2	3	-3.4428947592183645	0
20	20	3	-2.771113383010487	2	3	-3.4428947592183645	0
20	20	3	-3.533575242481163	2	3	-3.4428947592183645	0
20	20	3	-3.1691174109088536	2	3	-3.4428947592183645	0
20	20	6	-6.8945274637962894	2	3	-3.4428947592183645	0
20	20	7	-4.314312747903868	2	3	-3.4428947592183645	0
20	20	3	-6.124223898698882	2	3	-3.4428947592183645	0
20	20	11	-6.731548288859669	2	3	-3.4428947592183645	1
20	20	5	-3.180930211614497	2	3	-3.4428947592183645	0
20	20	11	-6.731548288859669	2	3	-3.4428947592183645	1
20	20	4	-3.764145119327779	2	3	-3.4428947592183645	1
20	20	3	-2.5659153338189284	2	3	-3.4428947592183645	0
20	20	2	-3.8905383611541	2	3	-3.4428947592183645	0
20	20	5	-2.7752106924806577	2	3	-3.4428947592183645	0
20	20	3	-3.1691174109088536	2	3	-3.4428947592183645	0
20	20	11	-4.531840556274039	2	3	-3.4428947592183645	0
20	20	4	-3.971897253555339	2	3	-3.4428947592183645	0
20	20	3	-3.533575242481163	2	3	-3.4428947592183645	0
20	20	5	-3.180930211614497	2	3	-3.4428947592183645	0
20	20	2	-3.8905383611541	2	3	-3.4428947592183645	0
20	20	2	-3.8905383611541	2	3	-3.4428947592183645	0
20	20	5	-2.7752106924806577	2	3	-3.4428947592183645	0
20	20	5	-3.3434416959119466	2	3	-3.4428947592183645	0
20	20	7	-3.8772790631168306	2	3	-3.4428947592183645	0
20	20	7	-4.314312747903868	2	3	-3.4428947592183645	0
20	20	3	-3.1691174109088536	2	3	-3.4428947592183645	0
20	20	5	-3.9183323612342904	2	3	-3.4428947592183645	0
20	20	11	-4.531840556274039	2	3	-3.4428947592183645	0
20	20	11	-6.84625794434523	2	3	-3.4428947592183645	1
20	20	4	-3.971897253555339	2	3	-3.4428947592183645	0
20	20	3	-2.1384294174115697	2	3	-3.4428947592183645	0
20	20	11	-4.531840556274039	2	3	-3.4428947592183645	0
20	20	2	-3.8905383611541	2	3	-3.4428947592183645	0
20	20	7	-3.8772790631168306	2	3	-3.4428947592183645	0
20	20	7	-4.314312747903868	2	3	-3.4428947592183645	0
20	20	5	-2.67056602352635	2	3	-3.4428947592183645	0
20	20	3	-2.5659153338189284	2	3	-3.4428947592183645	0
20	20	3	-3.533575242481163	2	3	-3.4428947592183645	0
20	20	3	-2.771113383010487	2	3	-3.4428947592183645	0
20	20	5	-2.67056602352635	2	3	-3.4428947592183645	0
20	20	5	-3.3434416959119466	2	3	-3.4428947592183645	0
