index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	1	1	-3.533575242481163	1	1	-2.5150731166202807	1
1	1	1	-3.1809302116144984	1	1	-2.5150731166202807	1
1	1	1	-3.533575242481163	1	1	-2.5150731166202807	1
1	1	1	-2.6705660235263515	1	1	-2.5150731166202807	1
1	1	1	-3.483963934586196	1	1	-2.5150731166202807	1
1	1	1	-2.536082601034412	1	1	-2.5150731166202807	1
1	1	1	-4.531840556274041	1	1	-2.5150731166202807	1
1	1	1	-2.775210692480659	1	1	-2.5150731166202807	1
1	1	1	-3.764145119327779	1	1	-2.5150731166202807	1
1	1	1	-3.764145119327779	1	1	-2.5150731166202807	1
1	1	1	-3.8772790631168306	1	1	-2.5150731166202807	1
1	1	1	-2.771113383010487	1	1	-2.5150731166202807	1
1	1	1	-4.531840556274041	1	1	-2.5150731166202807	1
1	1	1	-3.1691174109088536	1	1	-2.5150731166202807	1
1	1	1	-2.6705660235263515	1	1	-2.5150731166202807	1
1	1	1	-2.775210692480659	1	1	-2.5150731166202807	1
1	1	1	-3.1809302116144984	1	1	-2.5150731166202807	1
1	1	1	-2.465204228796825	1	1	-2.5150731166202807	1
1	1	1	-2.775210692480659	1	1	-2.5150731166202807	1
1	1	1	-6.731548288859667	1	1	-2.5150731166202807	1
1	1	1	-3.918332361234288	1	1	-2.5150731166202807	1
1	1	1	-4.898115827454763	1	1	-2.5150731166202807	1
1	1	1	-2.771113383010487	1	1	-2.5150731166202807	1
1	1	1	-4.147001122832261	1	1	-2.5150731166202807	1
1	1	1	-2.6705660235263515	1	1	-2.5150731166202807	1
1	1	1	-3.533575242481163	1	1	-2.5150731166202807	1
1	1	1	-3.1809302116144984	1	1	-2.5150731166202807	1
1	1	1	-4.531840556274041	1	1	-2.5150731166202807	1
1	1	1	-2.536082601034412	1	1	-2.5150731166202807	1
1	1	1	-4.314312747903866	1	1	-2.5150731166202807	1
2	2	1	-6.846257944345231	1	1	-2.5196595982818737	1
2	2	1	-2.5659153338189284	1	1	-2.5196595982818737	1
2	2	1	-4.898115827454763	1	1	-2.5196595982818737	1
2	2	1	-3.918332361234288	1	1	-2.5196595982818737	1
2	2	1	-6.894527463796287	1	1	-2.5196595982818737	1
2	2	1	-2.138429417411569	1	1	-2.5196595982818737	1
2	2	1	-4.898115827454763	1	1	-2.5196595982818737	1
2	2	1	-2.775210692480659	1	1	-2.5196595982818737	1
2	2	1	-4.314312747903866	1	1	-2.5196595982818737	1
2	2	1	-3.8772790631168306	1	1	-2.5196595982818737	1
2	2	1	-6.846257944345231	1	1	-2.5196595982818737	1
2	2	1	-6.731548288859667	1	1	-2.5196595982818737	1
2	2	1	-2.771113383010487	1	1	-2.5196595982818737	1
2	2	1	-6.1242238986988795	1	1	-2.5196595982818737	1
2	2	1	-6.846257944345231	1	1	-2.5196595982818737	1
2	2	1	-3.764145119327779	1	1	-2.5196595982818737	1
2	2	1	-3.971897253555337	1	1	-2.5196595982818737	1
2	2	1	-6.731548288859667	1	1	-2.5196595982818737	1
2	2	1	-2.6705660235263515	1	1	-2.5196595982818737	1
2	2	1	-6.1242238986988795	1	1	-2.5196595982818737	1
2	2	1	-2.6705660235263515	1	1	-2.5196595982818737	1
2	2	1	-2.5659153338189284	1	1	-2.5196595982818737	1
2	2	1	-3.8772790631168306	1	1	-2.5196595982818737	1
2	2	1	-3.3434416959119453	1	1	-2.5196595982818737	1
2	2	1	-6.1242238986988795	1	1	-2.5196595982818737	1
2	2	1	-2.775210692480659	1	1	-2.5196595982818737	1
2	2	1	-2.775210692480659	1	1	-2.5196595982818737	1
2	2	1	-3.8772790631168306	1	1	-2.5196595982818737	1
2	2	1	-3.764145119327779	1	1	-2.5196595982818737	1
2	2	1	-4.898115827454763	1	1	-2.5196595982818737	1
3	3	1	-4.314312747903866	1	1	-2.7425484825098065	1
3	3	1	-2.6705660235263515	1	1	-2.7425484825098065	1
3	3	1	-2.771113383010487	1	1	-2.7425484825098065	1
3	3	1	-4.147001122832261	1	1	-2.7425484825098065	1
3	3	1	-2.5659153338189284	1	1	-2.7425484825098065	1
3	3	1	-2.6705660235263515	1	1	-2.7425484825098065	1
3	3	1	-2.138429417411569	1	1	-2.7425484825098065	1
3	3	2	-4.531840556274041	1	1	-2.7425484825098065	1
3	3	1	-3.1691174109088536	1	1	-2.7425484825098065	1
3	3	1	-3.1809302116144984	1	1	-2.7425484825098065	1
3	3	2	-4.531840556274041	1	1	-2.7425484825098065	1
3	3	1	-3.8905383611541	1	1	-2.7425484825098065	1
3	3	1	-2.138429417411569	1	1	-2.7425484825098065	1
3	3	1	-3.1691174109088536	1	1	-2.7425484825098065	1
3	3	1	-3.764145119327779	1	1	-2.7425484825098065	1
3	3	1	-2.771113383010487	1	1	-2.7425484825098065	1
3	3	1	-3.764145119327779	1	1	-2.7425484825098065	1
3	3	1	-6.894527463796287	1	1	-2.7425484825098065	1
3	3	1	-3.8905383611541	1	1	-2.7425484825098065	1
3	3	1	-2.6705660235263515	1	1	-2.7425484825098065	1
3	3	1	-2.465204228796825	1	1	-2.7425484825098065	1
3	3	1	-3.483963934586196	1	1	-2.7425484825098065	1
3	3	1	-2.536082601034412	1	1	-2.7425484825098065	1
3	3	2	-6.84625794434523	1	1	-2.7425484825098065	1
3	3	1	-6.894527463796287	1	1	-2.7425484825098065	1
3	3	1	-3.1691174109088536	1	1	-2.7425484825098065	1
3	3	1	-4.898115827454763	1	1	-2.7425484825098065	1
3	3	1	-4.147001122832261	1	1	-2.7425484825098065	1
3	3	1	-2.649830993154449	1	1	-2.7425484825098065	1
3	3	1	-3.3434416959119453	1	1	-2.7425484825098065	1
4	4	1	-3.3434416959119453	1	1	-3.071512412229978	1
4	4	1	-3.483963934586196	1	1	-3.071512412229978	1
4	4	1	-3.971897253555337	1	1	-3.071512412229978	1
4	4	1	-6.894527463796287	1	1	-3.071512412229978	1
4	4	1	-3.8772790631168306	1	1	-3.071512412229978	1
4	4	1	-3.971897253555337	1	1	-3.071512412229978	1
4	4	2	-6.846257944345231	1	1	-3.071512412229978	1
4	4	2	-4.531840556274041	1	1	-3.071512412229978	1
4	4	1	-3.1691174109088536	1	1	-3.071512412229978	1
4	4	1	-2.138429417411569	1	1	-3.071512412229978	1
4	4	1	-3.3434416959119453	1	1	-3.071512412229978	1
4	4	1	-3.1809302116144984	1	1	-3.071512412229978	1
4	4	1	-4.314312747903866	1	1	-3.071512412229978	1
4	4	1	-6.894527463796287	1	1	-3.071512412229978	1
4	4	1	-3.3434416959119453	1	1	-3.071512412229978	1
4	4	1	-3.3434416959119453	1	1	-3.071512412229978	1
4	4	1	-6.1242238986988795	1	1	-3.071512412229978	1
4	4	1	-2.138429417411569	1	1	-3.071512412229978	1
4	4	1	-4.898115827454763	1	1	-3.071512412229978	1
4	4	1	-3.8772790631168306	1	1	-3.071512412229978	1
4	4	1	-2.649830993154449	1	1	-3.071512412229978	1
4	4	1	-2.771113383010487	1	1	-3.071512412229978	1
4	4	1	-3.918332361234288	1	1	-3.071512412229978	1
4	4	1	-3.971897253555337	1	1	-3.071512412229978	1
4	4	2	-6.846257944345231	1	1	-3.071512412229978	1
4	4	1	-2.536082601034412	1	1	-3.071512412229978	1
4	4	1	-3.764145119327779	1	1	-3.071512412229978	1
4	4	1	-2.536082601034412	1	1	-3.071512412229978	1
4	4	1	-3.1809302116144984	1	1	-3.071512412229978	1
4	4	1	-2.536082601034412	1	1	-3.071512412229978	1
5	5	2	-6.894527463796287	1	1	-2.9729145882735453	1
5	5	3	-6.846257944345231	1	1	-2.9729145882735453	1
5	5	1	-2.5659153338189284	1	1	-2.9729145882735453	1
5	5	1	-3.1809302116144984	1	1	-2.9729145882735453	1
5	5	1	-3.1691174109088536	1	1	-2.9729145882735453	1
5	5	1	-3.483963934586196	1	1	-2.9729145882735453	1
5	5	1	-3.1809302116144984	1	1	-2.9729145882735453	1
5	5	2	-3.764145119327779	1	1	-2.9729145882735453	1
5	5	1	-2.5659153338189284	1	1	-2.9729145882735453	1
5	5	1	-3.533575242481163	1	1	-2.9729145882735453	1
5	5	2	-3.8905383611541	1	1	-2.9729145882735453	1
5	5	1	-3.1809302116144984	1	1	-2.9729145882735453	1
5	5	2	-3.764145119327779	1	1	-2.9729145882735453	1
5	5	1	-2.536082601034412	1	1	-2.9729145882735453	1
5	5	2	-2.465204228796825	1	1	-2.9729145882735453	1
5	5	1	-2.649830993154449	1	1	-2.9729145882735453	1
5	5	2	-6.894527463796287	1	1	-2.9729145882735453	1
5	5	3	-4.531840556274041	1	1	-2.9729145882735453	1
5	5	1	-2.771113383010487	1	1	-2.9729145882735453	1
5	5	1	-4.147001122832261	1	1	-2.9729145882735453	1
5	5	1	-2.5659153338189284	1	1	-2.9729145882735453	1
5	5	1	-2.536082601034412	1	1	-2.9729145882735453	1
5	5	2	-3.918332361234288	1	1	-2.9729145882735453	1
5	5	1	-3.971897253555337	1	1	-2.9729145882735453	1
5	5	1	-6.1242238986988795	1	1	-2.9729145882735453	1
5	5	2	-3.8772790631168306	1	1	-2.9729145882735453	1
5	5	1	-2.771113383010487	1	1	-2.9729145882735453	1
5	5	3	-6.846257944345231	1	1	-2.9729145882735453	1
5	5	2	-2.6705660235263515	1	1	-2.9729145882735453	1
5	5	1	-3.533575242481163	1	1	-2.9729145882735453	1
6	6	1	-2.138429417411569	1	1	-3.394479993914631	1
6	6	1	-2.536082601034412	1	1	-3.394479993914631	1
6	6	1	-2.536082601034412	1	1	-3.394479993914631	1
6	6	2	-3.8772790631168306	1	1	-3.394479993914631	1
6	6	1	-3.764145119327779	1	1	-3.394479993914631	1
6	6	1	-2.536082601034412	1	1	-3.394479993914631	1
6	6	2	-2.771113383010487	1	1	-3.394479993914631	1
6	6	1	-2.138429417411569	1	1	-3.394479993914631	1
6	6	2	-3.918332361234288	1	1	-3.394479993914631	1
6	6	1	-3.8905383611541	1	1	-3.394479993914631	1
6	6	1	-2.536082601034412	1	1	-3.394479993914631	1
6	6	2	-4.314312747903866	1	1	-3.394479993914631	1
6	6	2	-6.894527463796287	1	1	-3.394479993914631	1
6	6	2	-2.771113383010487	1	1	-3.394479993914631	1
6	6	2	-6.894527463796287	1	1	-3.394479993914631	1
6	6	2	-6.894527463796287	1	1	-3.394479993914631	1
6	6	1	-3.764145119327779	1	1	-3.394479993914631	1
6	6	1	-3.764145119327779	1	1	-3.394479993914631	1
6	6	1	-2.775210692480659	1	1	-3.394479993914631	1
6	6	2	-3.533575242481163	1	1	-3.394479993914631	1
6	6	2	-3.3434416959119453	1	1	-3.394479993914631	1
6	6	1	-3.483963934586196	1	1	-3.394479993914631	1
6	6	3	-4.531840556274041	1	1	-3.394479993914631	1
6	6	2	-3.971897253555337	1	1	-3.394479993914631	1
6	6	1	-3.764145119327779	1	1	-3.394479993914631	1
6	6	1	-2.775210692480659	1	1	-3.394479993914631	1
6	6	3	-6.731548288859668	1	1	-3.394479993914631	1
6	6	3	-4.531840556274041	1	1	-3.394479993914631	1
6	6	1	-3.1809302116144984	1	1	-3.394479993914631	1
6	6	2	-4.314312747903866	1	1	-3.394479993914631	1
7	7	4	-6.731548288859669	1	1	-3.6044647789715754	1
7	7	4	-6.846257944345232	1	1	-3.6044647789715754	1
7	7	2	-3.8905383611541	1	1	-3.6044647789715754	1
7	7	2	-2.138429417411569	1	1	-3.6044647789715754	1
7	7	2	-3.764145119327779	1	1	-3.6044647789715754	1
7	7	2	-3.3434416959119453	1	1	-3.6044647789715754	1
7	7	1	-2.5659153338189284	1	1	-3.6044647789715754	1
7	7	1	-3.1809302116144984	1	1	-3.6044647789715754	1
7	7	2	-4.898115827454764	1	1	-3.6044647789715754	1
7	7	2	-3.533575242481163	1	1	-3.6044647789715754	1
7	7	2	-4.314312747903866	1	1	-3.6044647789715754	1
7	7	2	-2.6705660235263515	1	1	-3.6044647789715754	1
7	7	2	-3.8905383611541	1	1	-3.6044647789715754	1
7	7	1	-3.1809302116144984	1	1	-3.6044647789715754	1
7	7	2	-2.649830993154449	1	1	-3.6044647789715754	1
7	7	2	-3.1691174109088536	1	1	-3.6044647789715754	1
7	7	2	-3.8905383611541	1	1	-3.6044647789715754	1
