index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	1	1	-3.596744864968027	1	1	-2.546801614664599	1
1	1	1	-3.2002567030323164	1	1	-2.546801614664599	1
1	1	1	-3.596744864968027	1	1	-2.546801614664599	1
1	1	1	-2.6827276411295173	1	1	-2.546801614664599	1
1	1	1	-3.446648255514969	1	1	-2.546801614664599	1
1	1	1	-2.5567569499354867	1	1	-2.546801614664599	1
1	1	1	-4.531840556274041	1	1	-2.546801614664599	1
1	1	1	-2.8037670990977617	1	1	-2.546801614664599	1
1	1	1	-3.764145119327779	1	1	-2.546801614664599	1
1	1	1	-3.764145119327779	1	1	-2.546801614664599	1
1	1	1	-3.8772790631168306	1	1	-2.546801614664599	1
1	1	1	-2.792506686868464	1	1	-2.546801614664599	1
1	1	1	-4.531840556274041	1	1	-2.546801614664599	1
1	1	1	-3.197323906739502	1	1	-2.546801614664599	1
1	1	1	-2.6827276411295173	1	1	-2.546801614664599	1
1	1	1	-2.8037670990977617	1	1	-2.546801614664599	1
1	1	1	-3.2002567030323164	1	1	-2.546801614664599	1
1	1	1	-2.451642824384969	1	1	-2.546801614664599	1
1	1	1	-2.8037670990977617	1	1	-2.546801614664599	1
1	1	1	-6.4837446475599325	1	1	-2.546801614664599	1
1	1	1	-3.918332361234288	1	1	-2.546801614664599	1
1	1	1	-4.898115827454763	1	1	-2.546801614664599	1
1	1	1	-2.792506686868464	1	1	-2.546801614664599	1
1	1	1	-4.147001122832261	1	1	-2.546801614664599	1
1	1	1	-2.6827276411295173	1	1	-2.546801614664599	1
1	1	1	-3.596744864968027	1	1	-2.546801614664599	1
1	1	1	-3.2002567030323164	1	1	-2.546801614664599	1
1	1	1	-4.531840556274041	1	1	-2.546801614664599	1
1	1	1	-2.5567569499354867	1	1	-2.546801614664599	1
1	1	1	-4.2786326087588264	1	1	-2.546801614664599	1
2	2	1	-6.463374098843046	1	1	-2.7641002499615848	1
2	2	1	-2.6450361615932607	1	1	-2.7641002499615848	1
2	2	1	-4.898115827454763	1	1	-2.7641002499615848	1
2	2	1	-3.918332361234288	1	1	-2.7641002499615848	1
2	2	1	-6.56566585163068	1	1	-2.7641002499615848	1
2	2	1	-2.136642829768377	1	1	-2.7641002499615848	1
2	2	1	-4.898115827454763	1	1	-2.7641002499615848	1
2	2	1	-2.8037670990977617	1	1	-2.7641002499615848	1
2	2	1	-4.314312747903866	1	1	-2.7641002499615848	1
2	2	1	-3.821579899182794	1	1	-2.7641002499615848	1
2	2	1	-6.463374098843046	1	1	-2.7641002499615848	1
2	2	1	-6.4837446475599325	1	1	-2.7641002499615848	1
2	2	1	-2.792506686868464	1	1	-2.7641002499615848	1
2	2	1	-5.715725251361345	1	1	-2.7641002499615848	1
2	2	1	-6.463374098843046	1	1	-2.7641002499615848	1
2	2	1	-3.7051612850163345	1	1	-2.7641002499615848	1
2	2	1	-4.132555443124787	1	1	-2.7641002499615848	1
2	2	1	-6.4837446475599325	1	1	-2.7641002499615848	1
2	2	1	-2.6827276411295173	1	1	-2.7641002499615848	1
2	2	1	-5.715725251361345	1	1	-2.7641002499615848	1
2	2	1	-2.6827276411295173	1	1	-2.7641002499615848	1
2	2	1	-2.6450361615932607	1	1	-2.7641002499615848	1
2	2	1	-3.821579899182794	1	1	-2.7641002499615848	1
2	2	1	-3.3434416959119453	1	1	-2.7641002499615848	1
2	2	1	-5.715725251361345	1	1	-2.7641002499615848	1
2	2	1	-2.8037670990977617	1	1	-2.7641002499615848	1
2	2	1	-2.8037670990977617	1	1	-2.7641002499615848	1
2	2	1	-3.821579899182794	1	1	-2.7641002499615848	1
2	2	1	-3.7051612850163345	1	1	-2.7641002499615848	1
2	2	1	-4.898115827454763	1	1	-2.7641002499615848	1
3	3	1	-4.314312747903866	1	1	-2.9491948887139783	1
3	3	2	-2.6705660235263515	1	1	-2.9491948887139783	1
3	3	1	-2.792506686868464	1	1	-2.9491948887139783	1
3	3	1	-4.147001122832261	1	1	-2.9491948887139783	1
3	3	1	-2.6450361615932607	1	1	-2.9491948887139783	1
3	3	2	-2.6705660235263515	1	1	-2.9491948887139783	1
3	3	1	-2.136642829768377	1	1	-2.9491948887139783	1
3	3	2	-4.548943576056526	1	1	-2.9491948887139783	1
3	3	1	-3.197323906739502	1	1	-2.9491948887139783	1
3	3	2	-3.2002567030323164	1	1	-2.9491948887139783	1
3	3	2	-4.548943576056526	1	1	-2.9491948887139783	1
3	3	1	-3.8636436273519976	1	1	-2.9491948887139783	1
3	3	1	-2.136642829768377	1	1	-2.9491948887139783	1
3	3	1	-3.197323906739502	1	1	-2.9491948887139783	1
3	3	1	-3.7051612850163345	1	1	-2.9491948887139783	1
3	3	1	-2.792506686868464	1	1	-2.9491948887139783	1
3	3	1	-3.7051612850163345	1	1	-2.9491948887139783	1
3	3	2	-6.894527463796287	1	1	-2.9491948887139783	1
3	3	1	-3.8636436273519976	1	1	-2.9491948887139783	1
3	3	2	-2.6705660235263515	1	1	-2.9491948887139783	1
3	3	2	-2.451642824384969	1	1	-2.9491948887139783	1
3	3	1	-3.446648255514969	1	1	-2.9491948887139783	1
3	3	1	-2.5567569499354867	1	1	-2.9491948887139783	1
3	3	2	-6.463374098843045	1	1	-2.9491948887139783	1
3	3	2	-6.894527463796287	1	1	-2.9491948887139783	1
3	3	1	-3.197323906739502	1	1	-2.9491948887139783	1
3	3	2	-5.052437911283082	1	1	-2.9491948887139783	1
3	3	1	-4.147001122832261	1	1	-2.9491948887139783	1
3	3	1	-2.649830993154449	1	1	-2.9491948887139783	1
3	3	1	-3.3434416959119453	1	1	-2.9491948887139783	1
4	4	1	-3.311116457914764	1	1	-3.1428816856731037	1
4	4	1	-3.483963934586196	1	1	-3.1428816856731037	1
