index	demonstration_count	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	0	6	3	-12.694925308227539	1	1	-2.5150731166202807	1
1	0	7	1	-9.008037567138672	1	1	-2.5150731166202807	1
1	0	10	2	-12.001655578613281	1	1	-2.5150731166202807	1
1	0	7	3	-12.745586395263672	1	1	-2.5150731166202807	1
1	0	10	3	-12.434511184692383	1	1	-2.5150731166202807	1
1	0	10	3	-11.608659744262695	1	1	-2.5150731166202807	1
1	0	11	3	-12.313142776489258	1	1	-2.5150731166202807	1
1	0	3	1	-8.683868408203125	1	1	-2.5150731166202807	1
1	0	9	3	-12.664512634277344	1	1	-2.5150731166202807	1
1	0	8	3	-11.845962524414062	1	1	-2.5150731166202807	1
1	0	10	3	-13.429977416992188	1	1	-2.5150731166202807	1
1	0	10	3	-13.046392440795898	1	1	-2.5150731166202807	1
1	0	10	3	-12.450942993164062	1	1	-2.5150731166202807	1
1	0	10	3	-11.608659744262695	1	1	-2.5150731166202807	1
1	0	8	3	-12.559627532958984	1	1	-2.5150731166202807	1
1	0	11	3	-12.998353958129883	1	1	-2.5150731166202807	1
1	0	11	2	-10.924800872802734	1	1	-2.5150731166202807	1
1	0	12	2	-10.48724365234375	1	1	-2.5150731166202807	1
1	0	9	3	-13.321157455444336	1	1	-2.5150731166202807	1
1	0	11	3	-12.374601364135742	1	1	-2.5150731166202807	1
1	0	8	2	-11.51205825805664	1	1	-2.5150731166202807	1
1	0	8	3	-12.616533279418945	1	1	-2.5150731166202807	1
1	0	9	3	-11.830869674682617	1	1	-2.5150731166202807	1
1	0	12	2	-10.48724365234375	1	1	-2.5150731166202807	1
1	0	7	3	-12.745586395263672	1	1	-2.5150731166202807	1
1	0	3	1	-9.246879577636719	1	1	-2.5150731166202807	1
1	0	10	3	-12.461128234863281	1	1	-2.5150731166202807	1
1	0	9	2	-11.757503509521484	1	1	-2.5150731166202807	1
1	0	4	1	-8.728519439697266	1	1	-2.5150731166202807	1
1	0	8	2	-11.228687286376953	1	1	-2.5150731166202807	1
2	0	20	6	-12.495567321777344	1	1	-2.5196595982818737	1
2	0	19	5	-11.996781349182129	1	1	-2.5196595982818737	1
2	0	17	6	-12.259824752807617	1	1	-2.5196595982818737	1
2	0	21	6	-12.172828674316406	1	1	-2.5196595982818737	1
2	0	16	4	-10.998421669006348	1	1	-2.5196595982818737	1
2	0	16	5	-11.734607696533203	1	1	-2.5196595982818737	1
2	0	17	3	-9.910303115844727	1	1	-2.5196595982818737	1
2	0	19	6	-12.560093879699707	1	1	-2.5196595982818737	1
2	0	12	3	-10.259410858154297	1	1	-2.5196595982818737	1
2	0	17	3	-9.745767593383789	1	1	-2.5196595982818737	1
2	0	19	4	-11.234814643859863	1	1	-2.5196595982818737	1
2	0	20	5	-11.900314331054688	1	1	-2.5196595982818737	1
2	0	21	4	-11.236342430114746	1	1	-2.5196595982818737	1
2	0	20	5	-11.911097526550293	1	1	-2.5196595982818737	1
2	0	13	2	-8.847099304199219	1	1	-2.5196595982818737	1
2	0	14	6	-12.065661430358887	1	1	-2.5196595982818737	1
2	0	20	4	-10.63541316986084	1	1	-2.5196595982818737	1
2	0	15	5	-11.578887939453125	1	1	-2.5196595982818737	1
