index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	164	43	-10.390267467498779	2	4	-3.4428947592183645	0
20	166	42	-10.695472621917725	2	4	-3.4428947592183645	0
20	186	49	-10.997536277770996	2	4	-3.4428947592183645	0
20	177	47	-10.898580741882324	2	4	-3.4428947592183645	0
20	189	47	-10.934413814544678	2	4	-3.4428947592183645	0
20	168	43	-10.672951412200927	2	4	-3.4428947592183645	0
20	170	47	-11.239777278900146	2	4	-3.4428947592183645	0
20	174	55	-11.3058012008667	2	4	-3.4428947592183645	0
20	199	48	-11.062149620056152	2	4	-3.4428947592183645	0
20	173	46	-10.931805419921876	2	4	-3.4428947592183645	0
20	196	49	-11.225528526306153	2	4	-3.4428947592183645	0
20	197	50	-11.423548603057862	2	4	-3.4428947592183645	0
20	176	46	-10.774297142028809	2	4	-3.4428947592183645	0
20	182	51	-11.113727569580078	2	4	-3.4428947592183645	0
20	185	54	-11.047417259216308	2	4	-3.4428947592183645	0
20	164	44	-10.708728694915772	2	4	-3.4428947592183645	0
20	166	43	-10.804512119293213	2	4	-3.4428947592183645	0
20	186	48	-11.17918128967285	2	4	-3.4428947592183645	0
20	180	47	-11.1324893951416	2	4	-3.4428947592183645	0
20	190	50	-11.131074333190918	2	4	-3.4428947592183645	0
20	167	42	-10.77988796234131	2	4	-3.4428947592183645	0
20	177	57	-11.454384994506835	2	4	-3.4428947592183645	0
20	172	49	-11.181581783294678	2	4	-3.4428947592183645	0
20	183	53	-11.222846794128419	2	4	-3.4428947592183645	0
20	167	46	-10.680177593231202	2	4	-3.4428947592183645	0
20	166	42	-10.456026744842529	2	4	-3.4428947592183645	0
20	206	52	-11.31197509765625	2	4	-3.4428947592183645	0
20	159	38	-10.253464603424073	2	4	-3.4428947592183645	0
20	156	44	-10.42377529144287	2	4	-3.4428947592183645	0
20	166	44	-10.668914413452148	2	4	-3.4428947592183645	0
20	179	50	-11.3260103225708	2	4	-3.4428947592183645	0
20	175	52	-10.765917301177979	2	4	-3.4428947592183645	0
20	186	45	-10.9084228515625	2	4	-3.4428947592183645	0
20	194	41	-10.82063331604004	2	4	-3.4428947592183645	0
20	176	43	-10.67521162033081	2	4	-3.4428947592183645	0
20	180	56	-11.525081157684326	2	4	-3.4428947592183645	0
20	173	48	-11.197673320770264	2	4	-3.4428947592183645	0
20	161	43	-10.78856840133667	2	4	-3.4428947592183645	0
20	171	45	-10.97303524017334	2	4	-3.4428947592183645	0
20	191	51	-11.023391342163086	2	4	-3.4428947592183645	0
20	172	41	-10.380649280548095	2	4	-3.4428947592183645	0
20	170	49	-10.97505588531494	2	4	-3.4428947592183645	0
20	184	47	-11.100912761688232	2	4	-3.4428947592183645	0
20	181	45	-10.756076908111572	2	4	-3.4428947592183645	0
20	179	42	-10.84487600326538	2	4	-3.4428947592183645	0
20	174	44	-10.903598403930664	2	4	-3.4428947592183645	0
20	182	56	-11.610647583007813	2	4	-3.4428947592183645	0
20	178	47	-11.053935527801514	2	4	-3.4428947592183645	0
20	188	56	-11.573696994781494	2	4	-3.4428947592183645	0
20	186	47	-10.910542869567871	2	4	-3.4428947592183645	0
20	210	56	-11.822611713409424	2	4	-3.4428947592183645	1
20	178	50	-10.951851749420166	2	4	-3.4428947592183645	0
20	183	48	-10.738120746612548	2	4	-3.4428947592183645	0
20	188	50	-10.974186229705811	2	4	-3.4428947592183645	0
20	189	52	-11.232123851776123	2	4	-3.4428947592183645	0
20	177	50	-10.966783237457275	2	4	-3.4428947592183645	0
20	166	47	-11.073427486419678	2	4	-3.4428947592183645	0
20	178	48	-10.457322692871093	2	4	-3.4428947592183645	0
20	153	42	-10.686137771606445	2	4	-3.4428947592183645	0
20	168	44	-10.541348838806153	2	4	-3.4428947592183645	0
20	168	51	-11.129918098449707	2	4	-3.4428947592183645	0
20	178	50	-11.25404396057129	2	4	-3.4428947592183645	0
20	161	47	-11.013731002807617	2	4	-3.4428947592183645	0
20	175	49	-10.929817485809327	2	4	-3.4428947592183645	0
20	161	42	-10.704394245147705	2	4	-3.4428947592183645	0
20	177	53	-11.07330093383789	2	4	-3.4428947592183645	0
20	166	51	-11.033434677124024	2	4	-3.4428947592183645	0
20	158	41	-10.279208278656006	2	4	-3.4428947592183645	0
20	173	47	-11.213345718383788	2	4	-3.4428947592183645	0
20	170	48	-10.822953796386718	2	4	-3.4428947592183645	0
20	171	56	-11.36085844039917	2	4	-3.4428947592183645	0
20	161	40	-10.473433113098144	2	4	-3.4428947592183645	0
20	156	34	-10.094885635375977	2	4	-3.4428947592183645	0
20	175	52	-11.409387111663818	2	4	-3.4428947592183645	0
20	179	53	-11.3356219291687	2	4	-3.4428947592183645	0
20	200	55	-11.394699573516846	2	4	-3.4428947592183645	0
20	188	51	-11.21867265701294	2	4	-3.4428947592183645	0
20	179	47	-10.911816692352295	2	4	-3.4428947592183645	0
20	166	38	-10.116761684417725	2	4	-3.4428947592183645	0
20	185	45	-11.209661388397217	2	4	-3.4428947592183645	0
20	160	43	-10.909050846099854	2	4	-3.4428947592183645	0
20	168	43	-10.705266761779786	2	4	-3.4428947592183645	0
20	161	45	-10.470722579956055	2	4	-3.4428947592183645	0
20	174	42	-10.821037197113037	2	4	-3.4428947592183645	0
20	176	51	-10.947316741943359	2	4	-3.4428947592183645	0
20	187	52	-11.18890323638916	2	4	-3.4428947592183645	0
20	175	48	-11.295838260650635	2	4	-3.4428947592183645	0
20	198	51	-11.022141075134277	2	4	-3.4428947592183645	0
