index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
20	164	37	-10.390267467498779	2	2	-3.4428947592183645	0
20	166	37	-10.695472621917725	2	2	-3.4428947592183645	0
20	186	43	-10.997536277770996	2	2	-3.4428947592183645	0
20	177	44	-10.898580741882324	2	2	-3.4428947592183645	0
20	189	39	-10.934413814544678	2	2	-3.4428947592183645	0
20	168	39	-10.672951412200927	2	2	-3.4428947592183645	0
20	170	43	-11.239777278900146	2	2	-3.4428947592183645	0
20	174	43	-11.3058012008667	2	2	-3.4428947592183645	0
20	199	40	-11.062149620056152	2	2	-3.4428947592183645	0
20	173	41	-10.931805419921876	2	2	-3.4428947592183645	0
20	196	43	-11.225528526306153	2	2	-3.4428947592183645	0
20	197	47	-11.423548603057862	2	2	-3.4428947592183645	0
20	176	40	-10.774297142028809	2	2	-3.4428947592183645	0
20	182	45	-11.113727569580078	2	2	-3.4428947592183645	0
20	185	42	-11.047417259216308	2	2	-3.4428947592183645	0
20	164	40	-10.708728694915772	2	2	-3.4428947592183645	0
20	166	38	-10.804512119293213	2	2	-3.4428947592183645	0
20	186	42	-11.17918128967285	2	2	-3.4428947592183645	0
20	180	40	-11.1324893951416	2	2	-3.4428947592183645	0
20	190	43	-11.131074333190918	2	2	-3.4428947592183645	0
20	167	40	-10.77988796234131	2	2	-3.4428947592183645	0
20	177	44	-11.454384994506835	2	2	-3.4428947592183645	0
20	172	41	-11.181581783294678	2	2	-3.4428947592183645	0
20	183	45	-11.222846794128419	2	2	-3.4428947592183645	1
20	167	40	-10.680177593231202	2	2	-3.4428947592183645	0
20	166	35	-10.456026744842529	2	2	-3.4428947592183645	0
20	206	44	-11.31197509765625	2	2	-3.4428947592183645	0
20	159	34	-10.253464603424073	2	2	-3.4428947592183645	0
20	156	37	-10.42377529144287	2	2	-3.4428947592183645	0
20	166	40	-10.668914413452148	2	2	-3.4428947592183645	0
20	179	47	-11.3260103225708	2	2	-3.4428947592183645	0
20	175	41	-10.765917301177979	2	2	-3.4428947592183645	0
20	186	39	-10.9084228515625	2	2	-3.4428947592183645	0
20	194	39	-10.82063331604004	2	2	-3.4428947592183645	0
20	176	40	-10.67521162033081	2	2	-3.4428947592183645	0
20	180	49	-11.525081157684326	2	2	-3.4428947592183645	0
20	173	44	-11.197673320770264	2	2	-3.4428947592183645	0
20	161	39	-10.78856840133667	2	2	-3.4428947592183645	0
20	171	41	-10.97303524017334	2	2	-3.4428947592183645	0
20	191	42	-11.023391342163086	2	2	-3.4428947592183645	0
20	172	37	-10.380649280548095	2	2	-3.4428947592183645	0
20	170	42	-10.97505588531494	2	2	-3.4428947592183645	0
20	184	42	-11.100912761688232	2	2	-3.4428947592183645	0
20	181	40	-10.756076908111572	2	2	-3.4428947592183645	0
20	179	40	-10.84487600326538	2	2	-3.4428947592183645	0
20	174	41	-10.903598403930664	2	2	-3.4428947592183645	0
20	182	48	-11.610647583007813	2	2	-3.4428947592183645	0
20	178	42	-11.053935527801514	2	2	-3.4428947592183645	0
20	188	47	-11.573696994781494	2	2	-3.4428947592183645	0
20	186	41	-10.910542869567871	2	2	-3.4428947592183645	0
20	210	49	-11.822611713409424	2	2	-3.4428947592183645	0
20	178	41	-10.951851749420166	2	2	-3.4428947592183645	0
20	183	39	-10.738120746612548	2	2	-3.4428947592183645	0
20	188	44	-10.974186229705811	2	2	-3.4428947592183645	0
20	189	44	-11.232123851776123	2	2	-3.4428947592183645	0
20	177	43	-10.966783237457275	2	2	-3.4428947592183645	0
20	166	41	-11.073427486419678	2	2	-3.4428947592183645	0
20	178	37	-10.457322692871093	2	2	-3.4428947592183645	0
20	153	38	-10.686137771606445	2	2	-3.4428947592183645	0
20	168	36	-10.541348838806153	2	2	-3.4428947592183645	0
20	168	41	-11.129918098449707	2	2	-3.4428947592183645	0
20	178	43	-11.25404396057129	2	2	-3.4428947592183645	0
20	161	43	-11.013731002807617	2	2	-3.4428947592183645	0
20	175	42	-10.929817485809327	2	2	-3.4428947592183645	0
20	161	39	-10.704394245147705	2	2	-3.4428947592183645	0
20	177	45	-11.07330093383789	2	2	-3.4428947592183645	1
20	166	43	-11.033434677124024	2	2	-3.4428947592183645	0
20	158	35	-10.279208278656006	2	2	-3.4428947592183645	0
20	173	44	-11.213345718383788	2	2	-3.4428947592183645	0
20	170	41	-10.822953796386718	2	2	-3.4428947592183645	0
20	171	46	-11.36085844039917	2	2	-3.4428947592183645	0
20	161	37	-10.473433113098144	2	2	-3.4428947592183645	0
20	156	33	-10.094885635375977	2	2	-3.4428947592183645	0
20	175	44	-11.409387111663818	2	2	-3.4428947592183645	0
20	179	43	-11.3356219291687	2	2	-3.4428947592183645	0
20	200	46	-11.394699573516846	2	2	-3.4428947592183645	0
20	188	42	-11.21867265701294	2	2	-3.4428947592183645	0
20	179	40	-10.911816692352295	2	2	-3.4428947592183645	0
20	166	33	-10.116761684417725	2	2	-3.4428947592183645	0
20	185	41	-11.209661388397217	2	2	-3.4428947592183645	0
20	160	40	-10.909050846099854	2	2	-3.4428947592183645	0
20	168	38	-10.705266761779786	2	2	-3.4428947592183645	0
20	161	38	-10.470722579956055	2	2	-3.4428947592183645	0
20	174	38	-10.821037197113037	2	2	-3.4428947592183645	0
20	176	45	-10.947316741943359	2	2	-3.4428947592183645	0
20	187	47	-11.18890323638916	2	2	-3.4428947592183645	0
20	175	43	-11.295838260650635	2	2	-3.4428947592183645	0
20	198	41	-11.022141075134277	2	2	-3.4428947592183645	0
20	169	41	-11.129518795013428	2	2	-3.4428947592183645	0
20	118	27	-9.395159339904785	2	2	-3.4428947592183645	0
20	187	44	-11.080725765228271	2	2	-3.4428947592183645	0
20	185	46	-11.30898141860962	2	2	-3.4428947592183645	0
20	185	44	-11.259445858001708	2	2	-3.4428947592183645	0
20	165	39	-10.874660873413086	2	2	-3.4428947592183645	0
20	171	37	-10.44382610321045	2	2	-3.4428947592183645	0
20	180	41	-10.925555992126466	2	2	-3.4428947592183645	0
20	180	46	-11.259022521972657	2	2	-3.4428947592183645	0
20	177	41	-10.857107543945313	2	2	-3.4428947592183645	0
20	201	45	-11.167762279510498	2	2	-3.4428947592183645	1
20	170	45	-11.28130121231079	2	2	-3.4428947592183645	0
30	254	64	-11.009458351135255	2	2	-3.5179896582824015	0
30	257	58	-10.88631140391032	2	2	-3.5179896582824015	0
30	279	64	-10.989262453715007	2	2	-3.5179896582824015	0
30	277	57	-10.732413609822592	2	2	-3.5179896582824015	0
30	274	62	-10.987813631693522	2	2	-3.5179896582824015	0
30	266	64	-11.085516421000163	2	2	-3.5179896582824015	0
30	253	60	-10.98115151723226	2	2	-3.5179896582824015	0
30	259	61	-10.931371815999348	2	2	-3.5179896582824015	0
30	245	62	-10.922966384887696	2	2	-3.5179896582824015	0
30	289	71	-11.645378557840983	2	2	-3.5179896582824015	0
30	273	59	-10.885593477884928	2	2	-3.5179896582824015	0
30	251	65	-11.069097518920898	2	2	-3.5179896582824015	0
30	283	64	-11.164581489562988	2	2	-3.5179896582824015	0
30	255	54	-10.337526575724285	2	2	-3.5179896582824015	0
30	249	57	-10.693001429239908	2	2	-3.5179896582824015	0
30	256	64	-11.139479192097982	2	2	-3.5179896582824015	0
30	268	58	-10.73278128306071	2	2	-3.5179896582824015	0
30	268	63	-10.973664093017579	2	2	-3.5179896582824015	0
30	267	59	-10.789548873901367	2	2	-3.5179896582824015	0
30	276	68	-11.368631935119629	2	2	-3.5179896582824015	0
30	250	58	-10.623499806722005	2	2	-3.5179896582824015	0
30	249	60	-10.975398699442545	2	2	-3.5179896582824015	0
30	240	58	-10.848229598999023	2	2	-3.5179896582824015	0
30	258	61	-11.137691497802734	2	2	-3.5179896582824015	0
30	243	57	-10.642646980285644	2	2	-3.5179896582824015	0
30	275	61	-10.972780418395995	2	2	-3.5179896582824015	0
30	286	64	-11.096469370524089	2	2	-3.5179896582824015	0
30	265	66	-11.064678573608399	2	2	-3.5179896582824015	0
30	256	57	-10.63058058420817	2	2	-3.5179896582824015	0
30	292	66	-11.258648872375488	2	2	-3.5179896582824015	0
30	270	63	-11.0390349706014	2	2	-3.5179896582824015	0
30	271	61	-10.90531094868978	2	2	-3.5179896582824015	0
30	254	58	-10.83274892171224	2	2	-3.5179896582824015	0
30	274	70	-11.52717539469401	2	2	-3.5179896582824015	0
30	272	61	-10.93221575419108	2	2	-3.5179896582824015	0
30	239	55	-10.499848747253418	2	2	-3.5179896582824015	0
30	276	65	-11.262863731384277	2	2	-3.5179896582824015	0
30	282	64	-11.237896283467611	2	2	-3.5179896582824015	0
30	275	66	-11.094400215148926	2	2	-3.5179896582824015	0
30	247	56	-10.650265630086263	2	2	-3.5179896582824015	0
30	261	59	-10.949678039550781	2	2	-3.5179896582824015	0
30	259	59	-10.94884033203125	2	2	-3.5179896582824015	0
30	282	59	-10.772915331522624	2	2	-3.5179896582824015	0
30	259	65	-11.165065383911132	2	2	-3.5179896582824015	0
30	254	58	-10.796606254577636	2	2	-3.5179896582824015	0
30	229	54	-10.37490208943685	2	2	-3.5179896582824015	0
30	267	55	-10.600264676411946	2	2	-3.5179896582824015	0
30	263	62	-10.940145428975423	2	2	-3.5179896582824015	0
30	251	58	-10.848975245157877	2	2	-3.5179896582824015	0
30	246	59	-10.818542098999023	2	2	-3.5179896582824015	0
30	250	55	-10.402496337890625	2	2	-3.5179896582824015	0
30	272	68	-11.17628739674886	2	2	-3.5179896582824015	0
30	280	68	-11.565927441914877	2	2	-3.5179896582824015	0
30	261	60	-10.884694608052571	2	2	-3.5179896582824015	0
30	276	67	-11.235812377929687	2	2	-3.5179896582824015	0
30	248	64	-11.150791104634603	2	2	-3.5179896582824015	1
30	254	57	-10.758263460795085	2	2	-3.5179896582824015	0
30	274	60	-10.909183057149251	2	2	-3.5179896582824015	0
30	252	59	-10.902970631917318	2	2	-3.5179896582824015	0
30	275	66	-11.308450762430827	2	2	-3.5179896582824015	0
30	256	64	-10.885222053527832	2	2	-3.5179896582824015	0
30	262	60	-10.695505460103353	2	2	-3.5179896582824015	0
30	267	66	-11.159017244974772	2	2	-3.5179896582824015	0
30	252	59	-10.775082333882649	2	2	-3.5179896582824015	0
30	271	65	-11.199920272827148	2	2	-3.5179896582824015	0
30	258	56	-10.623341306050618	2	2	-3.5179896582824015	0
30	275	66	-11.25307591756185	2	2	-3.5179896582824015	0
30	260	65	-11.155256907145182	2	2	-3.5179896582824015	0
30	286	67	-11.179426701863607	2	2	-3.5179896582824015	0
30	288	64	-11.25640157063802	2	2	-3.5179896582824015	0
30	256	62	-11.110794385274252	2	2	-3.5179896582824015	0
30	266	64	-11.13119748433431	2	2	-3.5179896582824015	0
30	244	62	-11.1353546778361	2	2	-3.5179896582824015	0
30	284	69	-11.323491414388021	2	2	-3.5179896582824015	0
30	273	63	-10.985785102844238	2	2	-3.5179896582824015	0
30	263	66	-11.32839692433675	2	2	-3.5179896582824015	0
30	252	51	-10.442809804280598	2	2	-3.5179896582824015	0
30	253	58	-10.703011194864908	2	2	-3.5179896582824015	0
30	283	62	-11.07842648824056	2	2	-3.5179896582824015	0
30	261	58	-10.973873647054036	2	2	-3.5179896582824015	0
30	266	63	-11.267787297566732	2	2	-3.5179896582824015	0
30	262	58	-10.84858938852946	2	2	-3.5179896582824015	0
30	231	52	-10.37382361094157	2	2	-3.5179896582824015	0
30	279	62	-11.15324223836263	2	2	-3.5179896582824015	0
30	266	68	-11.459375190734864	2	2	-3.5179896582824015	0
30	278	62	-11.069929885864259	2	2	-3.5179896582824015	0
30	272	62	-11.048221333821614	2	2	-3.5179896582824015	0
30	238	59	-10.80281041463216	2	2	-3.5179896582824015	0
30	253	63	-10.868653615315756	2	2	-3.5179896582824015	0
30	273	65	-11.035056877136231	2	2	-3.5179896582824015	0
30	269	62	-11.15815970102946	2	2	-3.5179896582824015	0
30	265	57	-10.560112126668294	2	2	-3.5179896582824015	0
30	263	63	-11.135659408569335	2	2	-3.5179896582824015	0
30	254	62	-10.977681541442871	2	2	-3.5179896582824015	0
30	253	58	-10.927280489603678	2	2	-3.5179896582824015	0
30	270	59	-10.769318453470866	2	2	-3.5179896582824015	0
30	254	58	-10.829314549763998	2	2	-3.5179896582824015	0
30	281	69	-11.538785171508788	2	2	-3.5179896582824015	0
30	253	64	-11.056970405578614	2	2	-3.5179896582824015	0
30	283	67	-11.171678924560547	2	2	-3.5179896582824015	0
40	365	81	-10.936332321166992	2	2	-4.296362831921362	0
40	350	78	-10.716952419281006	2	2	-4.296362831921362	0
40	332	79	-10.66202130317688	2	2	-4.296362831921362	0
40	343	75	-10.602173805236816	2	2	-4.296362831921362	0
40	374	90	-11.206713485717774	2	2	-4.296362831921362	0
40	344	77	-10.919746541976929	2	2	-4.296362831921362	0
40	346	83	-11.001396369934081	2	2	-4.296362831921362	0
40	341	81	-10.896717405319214	2	2	-4.296362831921362	0
40	344	77	-10.832542514801025	2	2	-4.296362831921362	0
40	357	91	-11.471285200119018	2	2	-4.296362831921362	0
40	324	81	-10.847572851181031	2	2	-4.296362831921362	0
40	354	76	-10.761543560028077	2	2	-4.296362831921362	0
40	344	79	-10.916454935073853	2	2	-4.296362831921362	0
40	354	81	-10.744010639190673	2	2	-4.296362831921362	0
40	345	81	-10.907440567016602	2	2	-4.296362831921362	0
40	343	82	-10.832249450683594	2	2	-4.296362831921362	0
40	359	77	-10.762178754806518	2	2	-4.296362831921362	0
40	344	81	-10.868831253051757	2	2	-4.296362831921362	0
40	308	73	-10.42816915512085	2	2	-4.296362831921362	0
40	335	75	-10.550432682037354	2	2	-4.296362831921362	0
40	300	71	-10.478083324432372	2	2	-4.296362831921362	0
40	371	84	-10.972359609603881	2	2	-4.296362831921362	0
40	371	85	-11.045879077911376	2	2	-4.296362831921362	0
40	349	81	-10.898855924606323	2	2	-4.296362831921362	0
40	359	76	-10.729245948791505	2	2	-4.296362831921362	0
40	327	67	-10.287668991088868	2	2	-4.296362831921362	0
40	363	85	-11.017829132080077	2	2	-4.296362831921362	0
40	356	87	-11.052907752990723	2	2	-4.296362831921362	0
40	346	82	-11.00664849281311	2	2	-4.296362831921362	0
40	356	80	-10.979475450515746	2	2	-4.296362831921362	0
40	332	81	-10.981747341156005	2	2	-4.296362831921362	0
40	345	77	-10.668268918991089	2	2	-4.296362831921362	0
40	364	84	-11.030485153198242	2	2	-4.296362831921362	0
40	367	87	-11.305378627777099	2	2	-4.296362831921362	0
40	375	94	-11.371383428573608	2	2	-4.296362831921362	0
40	322	86	-11.160456418991089	2	2	-4.296362831921362	0
40	378	89	-11.263339138031006	2	2	-4.296362831921362	0
40	367	81	-11.020555639266968	2	2	-4.296362831921362	0
40	351	78	-11.075652027130127	2	2	-4.296362831921362	0
40	361	82	-11.088876295089722	2	2	-4.296362831921362	0
40	340	81	-10.941401529312134	2	2	-4.296362831921362	0
40	360	79	-10.850023984909058	2	2	-4.296362831921362	0
40	377	88	-11.280209684371949	2	2	-4.296362831921362	0
40	361	86	-11.260729455947876	2	2	-4.296362831921362	0
40	380	84	-11.115102863311767	2	2	-4.296362831921362	0
40	328	75	-10.57166109085083	2	2	-4.296362831921362	0
40	342	80	-10.895688772201538	2	2	-4.296362831921362	0
40	334	75	-10.533463430404662	2	2	-4.296362831921362	0
40	364	95	-11.501742315292358	2	2	-4.296362831921362	0
40	344	81	-10.820605087280274	2	2	-4.296362831921362	0
40	350	86	-11.04193115234375	2	2	-4.296362831921362	0
40	350	84	-11.03391466140747	2	2	-4.296362831921362	0
40	360	80	-10.809876823425293	2	2	-4.296362831921362	0
40	363	78	-10.863373613357544	2	2	-4.296362831921362	0
40	341	79	-10.807551717758178	2	2	-4.296362831921362	0
40	345	79	-10.73643126487732	2	2	-4.296362831921362	0
40	320	78	-10.7011634349823	2	2	-4.296362831921362	0
40	345	82	-10.757345724105836	2	2	-4.296362831921362	0
40	344	77	-10.796445274353028	2	2	-4.296362831921362	0
40	355	83	-11.194557094573975	2	2	-4.296362831921362	0
40	341	78	-10.605761098861695	2	2	-4.296362831921362	0
40	308	72	-10.48279848098755	2	2	-4.296362831921362	0
40	376	90	-11.247135019302368	2	2	-4.296362831921362	0
40	352	84	-11.048569822311402	2	2	-4.296362831921362	0
40	343	78	-10.715360355377197	2	2	-4.296362831921362	0
40	349	80	-10.977317142486573	2	2	-4.296362831921362	0
40	357	86	-11.234086990356445	2	2	-4.296362831921362	0
40	327	84	-10.928896141052245	2	2	-4.296362831921362	0
40	333	76	-10.729127073287964	2	2	-4.296362831921362	0
40	347	77	-10.851041221618653	2	2	-4.296362831921362	0
40	368	87	-11.223829126358032	2	2	-4.296362831921362	0
40	341	76	-10.917922830581665	2	2	-4.296362831921362	0
40	340	78	-10.714562463760377	2	2	-4.296362831921362	0
40	368	88	-11.258343505859376	2	2	-4.296362831921362	0
40	356	87	-11.077476215362548	2	2	-4.296362831921362	0
40	354	78	-10.838327789306641	2	2	-4.296362831921362	0
40	350	87	-11.277647304534913	2	2	-4.296362831921362	0
40	337	78	-10.881992626190186	2	2	-4.296362831921362	0
40	333	80	-10.844995737075806	2	2	-4.296362831921362	0
40	340	81	-10.873008012771606	2	2	-4.296362831921362	0
40	363	78	-10.89099998474121	2	2	-4.296362831921362	0
40	332	76	-10.800823450088501	2	2	-4.296362831921362	0
40	363	83	-11.135865116119385	2	2	-4.296362831921362	0
40	335	78	-10.945239448547364	2	2	-4.296362831921362	0
40	362	81	-10.926958513259887	2	2	-4.296362831921362	0
40	344	83	-11.163258743286132	2	2	-4.296362831921362	0
40	368	84	-11.219777631759644	2	2	-4.296362831921362	0
40	322	66	-10.126120853424073	2	2	-4.296362831921362	0
40	347	82	-11.134886074066163	2	2	-4.296362831921362	0
40	360	84	-11.045011377334594	2	2	-4.296362831921362	0
40	318	71	-10.380854749679566	2	2	-4.296362831921362	0
40	348	75	-10.86046323776245	2	2	-4.296362831921362	0
40	357	76	-10.767047691345216	2	2	-4.296362831921362	0
40	392	91	-11.380772304534911	2	2	-4.296362831921362	0
40	338	80	-10.996321964263917	2	2	-4.296362831921362	0
40	340	74	-10.396225643157958	2	2	-4.296362831921362	0
40	333	75	-10.734818601608277	2	2	-4.296362831921362	0
40	369	81	-10.881704950332642	2	2	-4.296362831921362	0
40	339	84	-11.117400741577148	2	2	-4.296362831921362	0
40	350	77	-10.835326004028321	2	2	-4.296362831921362	0
45	407	90	-11.083517286512587	2	2	-5.221912035345631	0
45	400	93	-11.120718171861437	2	2	-5.221912035345631	0
45	390	92	-10.836268785264757	2	2	-5.221912035345631	0
45	359	79	-10.523665322197807	2	2	-5.221912035345631	0
45	404	96	-11.024305852254232	2	2	-5.221912035345631	0
45	388	93	-10.997852579752605	2	2	-5.221912035345631	0
45	399	92	-11.048025682237412	2	2	-5.221912035345631	0
45	401	89	-10.943089209662544	2	2	-5.221912035345631	0
45	411	97	-11.185556877983942	2	2	-5.221912035345631	0
45	377	85	-10.864007907443577	2	2	-5.221912035345631	0
45	372	87	-10.831937917073567	2	2	-5.221912035345631	0
45	403	98	-11.120225694444445	2	2	-5.221912035345631	0
45	414	93	-11.016368654039171	2	2	-5.221912035345631	0
45	398	99	-11.173520872328016	2	2	-5.221912035345631	0
45	380	92	-11.013619867960612	2	2	-5.221912035345631	0
45	405	93	-10.99356549580892	2	2	-5.221912035345631	0
45	407	98	-11.192783906724717	2	2	-5.221912035345631	0
45	394	92	-11.047270414564345	2	2	-5.221912035345631	0
45	376	94	-11.008037651909722	2	2	-5.221912035345631	0
45	390	94	-11.140711000230578	2	2	-5.221912035345631	0
45	394	92	-10.778433142768012	2	2	-5.221912035345631	0
45	381	87	-10.808152431911893	2	2	-5.221912035345631	0
45	382	94	-11.091323640611437	2	2	-5.221912035345631	0
45	392	91	-11.109410179985893	2	2	-5.221912035345631	0
45	375	84	-10.470463477240669	2	2	-5.221912035345631	0
