index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	6	4	-12.694925308227539	1	2	-2.5150731166202807	1
1	7	2	-9.008037567138672	1	2	-2.5150731166202807	1
1	10	3	-12.001655578613281	1	2	-2.5150731166202807	1
1	7	4	-12.745586395263672	1	2	-2.5150731166202807	1
1	10	4	-12.434511184692383	1	2	-2.5150731166202807	1
1	10	4	-11.608659744262695	1	2	-2.5150731166202807	1
1	11	4	-12.313142776489258	1	2	-2.5150731166202807	1
1	3	2	-8.683868408203125	1	2	-2.5150731166202807	1
1	9	4	-12.664512634277344	1	2	-2.5150731166202807	1
1	8	4	-11.845962524414062	1	2	-2.5150731166202807	1
1	10	4	-13.429977416992188	1	2	-2.5150731166202807	1
1	10	4	-13.046392440795898	1	2	-2.5150731166202807	1
1	10	4	-12.450942993164062	1	2	-2.5150731166202807	1
1	10	4	-11.608659744262695	1	2	-2.5150731166202807	1
1	8	4	-12.559627532958984	1	2	-2.5150731166202807	1
1	11	4	-12.998353958129883	1	2	-2.5150731166202807	1
1	11	3	-10.924800872802734	1	2	-2.5150731166202807	1
1	12	3	-10.48724365234375	1	2	-2.5150731166202807	1
1	9	4	-13.321157455444336	1	2	-2.5150731166202807	1
1	11	4	-12.374601364135742	1	2	-2.5150731166202807	1
1	8	3	-11.51205825805664	1	2	-2.5150731166202807	1
1	8	4	-12.616533279418945	1	2	-2.5150731166202807	1
1	9	4	-11.830869674682617	1	2	-2.5150731166202807	1
1	12	3	-10.48724365234375	1	2	-2.5150731166202807	1
1	7	4	-12.745586395263672	1	2	-2.5150731166202807	1
1	3	2	-9.246879577636719	1	2	-2.5150731166202807	1
1	10	4	-12.461128234863281	1	2	-2.5150731166202807	1
1	9	3	-11.757503509521484	1	2	-2.5150731166202807	1
1	4	2	-8.728519439697266	1	2	-2.5150731166202807	1
1	8	3	-11.228687286376953	1	2	-2.5150731166202807	1
2	20	7	-12.495567321777344	1	2	-2.5196595982818737	1
2	19	6	-11.996781349182129	1	2	-2.5196595982818737	1
2	17	7	-12.259824752807617	1	2	-2.5196595982818737	1
2	21	7	-12.172828674316406	1	2	-2.5196595982818737	1
2	16	5	-10.998421669006348	1	2	-2.5196595982818737	1
2	16	6	-11.734607696533203	1	2	-2.5196595982818737	1
2	17	4	-9.910303115844727	1	2	-2.5196595982818737	1
2	19	7	-12.560093879699707	1	2	-2.5196595982818737	1
2	12	4	-10.259410858154297	1	2	-2.5196595982818737	1
2	17	4	-9.745767593383789	1	2	-2.5196595982818737	1
2	19	5	-11.234814643859863	1	2	-2.5196595982818737	1
2	20	6	-11.900314331054688	1	2	-2.5196595982818737	1
2	21	5	-11.236342430114746	1	2	-2.5196595982818737	1
2	20	6	-11.911097526550293	1	2	-2.5196595982818737	1
2	13	3	-8.847099304199219	1	2	-2.5196595982818737	1
2	14	7	-12.065661430358887	1	2	-2.5196595982818737	1
2	20	5	-10.63541316986084	1	2	-2.5196595982818737	1
2	15	6	-11.578887939453125	1	2	-2.5196595982818737	1
2	19	5	-11.209238052368164	1	2	-2.5196595982818737	1
2	19	6	-12.211008071899414	1	2	-2.5196595982818737	1
2	16	4	-10.381123542785645	1	2	-2.5196595982818737	1
2	16	7	-12.39405632019043	1	2	-2.5196595982818737	1
2	12	5	-11.190113067626953	1	2	-2.5196595982818737	1
2	14	7	-12.829728126525879	1	2	-2.5196595982818737	1
2	21	4	-10.586675643920898	1	2	-2.5196595982818737	1
2	17	6	-11.67437744140625	1	2	-2.5196595982818737	1
2	19	6	-11.81266975402832	1	2	-2.5196595982818737	1
2	18	6	-12.107583999633789	1	2	-2.5196595982818737	1
2	19	4	-10.123954772949219	1	2	-2.5196595982818737	1
2	17	6	-10.986291885375977	1	2	-2.5196595982818737	1
3	33	9	-12.513130187988281	1	2	-2.7425484825098065	1
3	27	8	-11.53448232014974	1	2	-2.7425484825098065	1
3	31	10	-12.38890266418457	1	2	-2.7425484825098065	1
3	31	8	-11.061395009358725	1	2	-2.7425484825098065	1
3	27	9	-11.886807123819986	1	2	-2.7425484825098065	1
3	30	8	-11.507977803548178	1	2	-2.7425484825098065	1
3	24	9	-11.64509391784668	1	2	-2.7425484825098065	1
3	21	5	-9.72806167602539	1	2	-2.7425484825098065	1
3	25	8	-11.947121938069662	1	2	-2.7425484825098065	1
