index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	6	3	-11.964147567749023	1	1	-2.546801614664599	1
1	7	1	-9.028606414794922	1	1	-2.546801614664599	1
1	10	2	-10.718992233276367	1	1	-2.546801614664599	1
1	7	3	-12.022045135498047	1	1	-2.546801614664599	1
1	10	3	-11.66653060913086	1	1	-2.546801614664599	1
1	10	3	-10.722700119018555	1	1	-2.546801614664599	1
1	11	3	-11.527824401855469	1	1	-2.546801614664599	1
1	3	1	-8.639604568481445	1	1	-2.546801614664599	1
1	9	3	-11.929389953613281	1	1	-2.546801614664599	1
1	8	3	-10.993904113769531	1	1	-2.546801614664599	1
1	10	3	-12.32585334777832	1	1	-2.546801614664599	1
1	10	3	-12.365823745727539	1	1	-2.546801614664599	1
1	10	3	-12.299802780151367	1	1	-2.546801614664599	1
1	10	3	-10.722700119018555	1	1	-2.546801614664599	1
1	8	3	-12.42660140991211	1	1	-2.546801614664599	1
1	11	3	-12.310922622680664	1	1	-2.546801614664599	1
1	11	2	-10.519304275512695	1	1	-2.546801614664599	1
1	12	2	-10.008819580078125	1	1	-2.546801614664599	1
1	9	3	-12.203432083129883	1	1	-2.546801614664599	1
1	11	3	-11.598062515258789	1	1	-2.546801614664599	1
1	8	2	-11.204437255859375	1	1	-2.546801614664599	1
1	8	3	-11.874555587768555	1	1	-2.546801614664599	1
1	9	3	-10.976654052734375	1	1	-2.546801614664599	1
1	12	2	-10.008819580078125	1	1	-2.546801614664599	1
1	7	3	-12.022045135498047	1	1	-2.546801614664599	1
1	3	1	-9.315217971801758	1	1	-2.546801614664599	1
1	10	3	-11.696950912475586	1	1	-2.546801614664599	1
1	9	2	-10.892807006835938	1	1	-2.546801614664599	1
1	4	1	-8.693185806274414	1	1	-2.546801614664599	1
1	8	2	-10.873838424682617	1	1	-2.546801614664599	1
2	20	6	-11.736309051513672	1	1	-2.7641002499615848	1
2	19	5	-11.166268348693848	1	1	-2.7641002499615848	1
2	17	6	-12.076831817626953	1	1	-2.7641002499615848	1
2	21	6	-11.132000923156738	1	1	-2.7641002499615848	1
2	16	4	-10.671257972717285	1	1	-2.7641002499615848	1
2	16	5	-11.163914680480957	1	1	-2.7641002499615848	1
2	17	3	-9.414898872375488	1	1	-2.7641002499615848	1
2	19	6	-11.810053825378418	1	1	-2.7641002499615848	1
2	12	3	-10.113621711730957	1	1	-2.7641002499615848	1
2	17	3	-9.514436721801758	1	1	-2.7641002499615848	1
2	19	4	-10.571768760681152	1	1	-2.7641002499615848	1
2	20	5	-11.348149299621582	1	1	-2.7641002499615848	1
2	21	4	-10.573514938354492	1	1	-2.7641002499615848	1
2	20	5	-11.068343162536621	1	1	-2.7641002499615848	1
2	13	2	-8.835481643676758	1	1	-2.7641002499615848	1
2	14	6	-11.244988441467285	1	1	-2.7641002499615848	1
2	20	4	-10.246248245239258	1	1	-2.7641002499615848	1
2	15	5	-10.98254108428955	1	1	-2.7641002499615848	1
2	19	4	-10.30167007446289	1	1	-2.7641002499615848	1
2	19	5	-11.41109848022461	1	1	-2.7641002499615848	1
2	16	3	-10.262185096740723	1	1	-2.7641002499615848	1
2	16	6	-11.620296478271484	1	1	-2.7641002499615848	1
2	12	4	-10.828834533691406	1	1	-2.7641002499615848	1
2	14	6	-12.118207931518555	1	1	-2.7641002499615848	1
2	21	3	-10.124825477600098	1	1	-2.7641002499615848	1
2	17	5	-11.093646049499512	1	1	-2.7641002499615848	1
2	19	5	-11.24544620513916	1	1	-2.7641002499615848	1
2	18	5	-11.591876029968262	1	1	-2.7641002499615848	1
2	19	3	-9.954154968261719	1	1	-2.7641002499615848	1
2	17	5	-10.291065216064453	1	1	-2.7641002499615848	1
3	33	8	-11.599387486775717	1	1	-2.9491948887139783	0
3	27	7	-11.030489603678385	1	1	-2.9491948887139783	1
3	31	9	-11.61440658569336	1	1	-2.9491948887139783	1
3	31	7	-10.477909088134766	1	1	-2.9491948887139783	1
3	27	8	-11.232049942016602	1	1	-2.9491948887139783	0
3	30	7	-10.995503743489584	1	1	-2.9491948887139783	1
3	24	8	-11.161499659220377	1	1	-2.9491948887139783	1
3	21	4	-9.617157618204752	1	1	-2.9491948887139783	1
3	25	7	-11.345692952473959	1	1	-2.9491948887139783	1
3	32	7	-11.091264724731445	1	1	-2.9491948887139783	1
3	27	7	-10.457941055297852	1	1	-2.9491948887139783	1
3	29	9	-11.554651896158854	1	1	-2.9491948887139783	1
3	29	7	-9.99263827006022	1	1	-2.9491948887139783	0
3	23	7	-10.948149998982748	1	1	-2.9491948887139783	1
3	29	9	-11.452667872111002	1	1	-2.9491948887139783	1
3	27	4	-9.920502344767252	1	1	-2.9491948887139783	1
3	22	7	-11.202767690022787	1	1	-2.9491948887139783	1
3	28	7	-11.017264048258463	1	1	-2.9491948887139783	1
3	31	7	-11.449480056762695	1	1	-2.9491948887139783	1
3	29	6	-10.579776128133139	1	1	-2.9491948887139783	1
3	23	6	-10.005950291951498	1	1	-2.9491948887139783	1
3	28	5	-10.055056889851889	1	1	-2.9491948887139783	1
3	30	7	-11.492620468139648	1	1	-2.9491948887139783	1
3	33	7	-11.359776178995768	1	1	-2.9491948887139783	1
3	29	7	-10.973389307657877	1	1	-2.9491948887139783	1
3	28	7	-11.334944407145182	1	1	-2.9491948887139783	1
3	33	9	-10.876596450805664	1	1	-2.9491948887139783	1
3	33	7	-11.277905782063803	1	1	-2.9491948887139783	1
3	34	7	-10.562889099121094	1	1	-2.9491948887139783	1
3	33	8	-11.707419713338217	1	1	-2.9491948887139783	1
4	34	8	-9.835474491119385	1	1	-3.1428816856731037	1
4	45	9	-11.132810592651367	1	1	-3.1428816856731037	1
4	38	9	-10.467339992523193	1	1	-3.1428816856731037	1
4	37	8	-10.62389612197876	1	1	-3.1428816856731037	1
4	37	10	-11.552683353424072	1	1	-3.1428816856731037	1
4	35	11	-11.464085578918457	1	1	-3.1428816856731037	1
4	41	11	-11.240777969360352	1	1	-3.1428816856731037	1
4	42	9	-10.377377986907959	1	1	-3.1428816856731037	1
4	35	6	-10.209561347961426	1	1	-3.1428816856731037	1
4	37	10	-11.648503303527832	1	1	-3.1428816856731037	1
4	35	8	-10.759447574615479	1	1	-3.1428816856731037	1
4	34	8	-10.519737243652344	1	1	-3.1428816856731037	1
4	37	9	-10.73850965499878	1	1	-3.1428816856731037	1
4	40	11	-11.896780967712402	1	1	-3.1428816856731037	1
4	39	11	-11.445514678955078	1	1	-3.1428816856731037	1
4	31	7	-9.557644367218018	1	1	-3.1428816856731037	1
4	30	9	-10.62338924407959	1	1	-3.1428816856731037	1
4	45	7	-10.3102126121521	1	1	-3.1428816856731037	1
4	41	8	-10.364339351654053	1	1	-3.1428816856731037	1
4	38	11	-11.75103759765625	1	1	-3.1428816856731037	0
4	39	9	-10.450886726379395	1	1	-3.1428816856731037	1
4	39	11	-11.567277908325195	1	1	-3.1428816856731037	1
4	40	10	-11.38863468170166	1	1	-3.1428816856731037	1
4	41	10	-11.235881328582764	1	1	-3.1428816856731037	1
4	37	12	-11.757349967956543	1	1	-3.1428816856731037	1
4	39	6	-10.248308181762695	1	1	-3.1428816856731037	1
4	42	9	-10.889659404754639	1	1	-3.1428816856731037	1
4	38	11	-11.439274787902832	1	1	-3.1428816856731037	1
4	36	10	-11.110695362091064	1	1	-3.1428816856731037	1
4	40	12	-11.16075325012207	1	1	-3.1428816856731037	1
5	53	10	-11.099007034301758	1	1	-3.0590078256686724	1
5	51	11	-10.824880599975586	1	1	-3.0590078256686724	1
5	48	10	-10.579433059692382	1	1	-3.0590078256686724	1
5	49	11	-10.652313613891602	1	1	-3.0590078256686724	1
5	45	12	-10.829202270507812	1	1	-3.0590078256686724	1
5	39	13	-10.72768440246582	1	1	-3.0590078256686724	1
5	42	10	-10.856782913208008	1	1	-3.0590078256686724	1
5	56	14	-11.150782012939453	1	1	-3.0590078256686724	1
5	50	11	-10.964446640014648	1	1	-3.0590078256686724	1
5	49	11	-11.34869842529297	1	1	-3.0590078256686724	1
5	50	10	-10.766055297851562	1	1	-3.0590078256686724	1
5	49	13	-10.708478546142578	1	1	-3.0590078256686724	0
5	46	14	-10.662483978271485	1	1	-3.0590078256686724	1
5	52	13	-11.342845153808593	1	1	-3.0590078256686724	1
5	44	15	-12.245303726196289	1	1	-3.0590078256686724	1
5	46	13	-11.60857925415039	1	1	-3.0590078256686724	1
5	51	12	-11.246943283081055	1	1	-3.0590078256686724	1
5	40	12	-11.063369750976562	1	1	-3.0590078256686724	1
5	48	12	-11.36365623474121	1	1	-3.0590078256686724	1
5	44	12	-11.245829010009766	1	1	-3.0590078256686724	1
5	45	11	-10.438132095336915	1	1	-3.0590078256686724	1
5	52	13	-11.788227462768555	1	1	-3.0590078256686724	1
5	50	11	-11.119997787475587	1	1	-3.0590078256686724	0
5	41	10	-10.527377700805664	1	1	-3.0590078256686724	1
5	47	10	-10.643201065063476	1	1	-3.0590078256686724	1
5	56	12	-11.195948791503906	1	1	-3.0590078256686724	1
5	42	10	-10.691228866577148	1	1	-3.0590078256686724	1
5	54	10	-10.686251449584962	1	1	-3.0590078256686724	1
5	48	9	-10.406798553466796	1	1	-3.0590078256686724	1
5	55	13	-11.299462509155273	1	1	-3.0590078256686724	1
6	60	15	-11.352038065592447	1	1	-3.373713324312666	1
6	51	14	-11.221354166666666	1	1	-3.373713324312666	0
6	67	15	-10.973601341247559	1	1	-3.373713324312666	1
6	59	15	-11.040722211201986	1	1	-3.373713324312666	1
6	58	14	-10.95281950632731	1	1	-3.373713324312666	1
6	50	13	-11.13030211130778	1	1	-3.373713324312666	0
6	48	12	-10.813677787780762	1	1	-3.373713324312666	1
6	59	10	-10.493164698282877	1	1	-3.373713324312666	1
6	54	12	-10.494145075480143	1	1	-3.373713324312666	1
6	44	10	-10.242751121520996	1	1	-3.373713324312666	1
6	56	16	-11.361332257588705	1	1	-3.373713324312666	1
6	53	14	-10.576590220133463	1	1	-3.373713324312666	1
6	57	15	-11.33551279703776	1	1	-3.373713324312666	0
6	54	14	-10.842530568440756	1	1	-3.373713324312666	1
6	65	15	-11.240449905395508	1	1	-3.373713324312666	0
6	50	16	-11.30289109547933	1	1	-3.373713324312666	1
6	59	15	-11.298857688903809	1	1	-3.373713324312666	1
6	62	14	-11.050097783406576	1	1	-3.373713324312666	1
6	53	16	-11.332515080769857	1	1	-3.373713324312666	1
6	60	16	-11.528606096903482	1	1	-3.373713324312666	1
6	51	15	-10.573419570922852	1	1	-3.373713324312666	1
6	49	12	-10.748697280883789	1	1	-3.373713324312666	1
6	62	12	-10.792149225870768	1	1	-3.373713324312666	1
6	53	14	-10.36385695139567	1	1	-3.373713324312666	1
6	61	18	-12.174298922220865	1	1	-3.373713324312666	1
6	62	14	-10.732877095540365	1	1	-3.373713324312666	1
6	50	14	-11.168270111083984	1	1	-3.373713324312666	1
6	60	16	-11.098785718282064	1	1	-3.373713324312666	1
6	51	13	-11.016144116719564	1	1	-3.373713324312666	1
6	61	13	-11.095754941304525	1	1	-3.373713324312666	1
7	66	18	-11.502280099051339	1	1	-3.486689217546527	1
