index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
1	6	1	-12.694925308227539	1	2	-2.5150731166202807	1
1	7	1	-9.008037567138672	1	2	-2.5150731166202807	1
1	10	2	-12.001655578613281	1	2	-2.5150731166202807	1
1	7	3	-12.745586395263672	1	2	-2.5150731166202807	1
1	10	1	-12.434511184692383	1	2	-2.5150731166202807	1
1	10	1	-11.608659744262695	1	2	-2.5150731166202807	1
1	11	3	-12.313142776489258	1	2	-2.5150731166202807	1
1	3	1	-8.683868408203125	1	2	-2.5150731166202807	1
1	9	2	-12.664512634277344	1	2	-2.5150731166202807	1
1	8	1	-11.845962524414062	1	2	-2.5150731166202807	1
1	10	1	-13.429977416992188	1	2	-2.5150731166202807	1
1	10	1	-13.046392440795898	1	2	-2.5150731166202807	1
1	10	1	-12.450942993164062	1	2	-2.5150731166202807	1
1	10	1	-11.608659744262695	1	2	-2.5150731166202807	1
1	8	2	-12.559627532958984	1	2	-2.5150731166202807	1
1	11	1	-12.998353958129883	1	2	-2.5150731166202807	1
1	11	1	-10.924800872802734	1	2	-2.5150731166202807	1
1	12	1	-10.48724365234375	1	2	-2.5150731166202807	1
1	9	1	-13.321157455444336	1	2	-2.5150731166202807	1
1	11	1	-12.374601364135742	1	2	-2.5150731166202807	1
1	8	1	-11.51205825805664	1	2	-2.5150731166202807	1
1	8	2	-12.616533279418945	1	2	-2.5150731166202807	1
1	9	1	-11.830869674682617	1	2	-2.5150731166202807	1
1	12	1	-10.48724365234375	1	2	-2.5150731166202807	1
1	7	3	-12.745586395263672	1	2	-2.5150731166202807	1
1	3	1	-9.246879577636719	1	2	-2.5150731166202807	1
1	10	1	-12.461128234863281	1	2	-2.5150731166202807	1
1	9	1	-11.757503509521484	1	2	-2.5150731166202807	1
1	4	1	-8.728519439697266	1	2	-2.5150731166202807	1
1	8	1	-11.228687286376953	1	2	-2.5150731166202807	1
2	20	3	-12.495567321777344	1	2	-2.5196595982818737	1
2	19	2	-11.996781349182129	1	2	-2.5196595982818737	1
2	17	3	-12.259824752807617	1	2	-2.5196595982818737	1
2	21	4	-12.172828674316406	1	2	-2.5196595982818737	1
