index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	172	32	-242.93515014648438	172	32	-100.14143371582031	1
1	256	55	-369.25164794921875	256	55	-169.54190063476562	1
2	144	28	-202.13479614257812	144	28	-77.32567596435547	0
3	48	11	-72.69775390625	48	11	-27.93722152709961	1
4	29	8	-68.02767181396484	29	8	-44.1298828125	1
5	137	26	-187.08645629882812	137	26	-69.82656860351562	1
6	59	13	-99.99726867675781	59	13	-50.92900085449219	1
7	89	19	-141.39077758789062	89	19	-56.938880920410156	1
8	63	13	-93.6415786743164	63	13	-50.787513732910156	0
9	50	11	-85.85279846191406	50	11	-38.272117614746094	1
10	118	22	-162.15943908691406	118	20	-71.50328826904297	1
11	124	22	-179.85708618164062	124	21	-57.69941329956055	1
12	35	10	-62.83198547363281	35	10	-30.55268096923828	0
13	74	13	-91.30616760253906	74	12	-38.55802917480469	1
14	58	12	-87.03787231445312	58	12	-36.95106887817383	1
15	112	31	-151.92941284179688	112	32	-60.456268310546875	0
16	103	18	-148.29098510742188	103	18	-66.44187927246094	1
17	113	22	-164.45701599121094	113	21	-73.1137924194336	1
18	57	13	-81.08612823486328	57	13	-42.834903717041016	0
19	185	31	-258.3140869140625	185	31	-140.0038604736328	0
20	146	26	-188.90065002441406	146	26	-107.357421875	0
21	74	18	-123.2337875366211	74	17	-45.26503372192383	1
22	68	11	-87.85035705566406	68	11	-40.26740264892578	1
23	87	19	-131.1754608154297	87	19	-52.46434783935547	1
24	62	15	-105.25286865234375	62	15	-39.41438293457031	0
25	19	6	-32.3380126953125	19	5	-14.968204498291016	1
26	141	31	-194.960205078125	141	31	-86.6181640625	0
27	69	17	-109.70621490478516	69	16	-42.806087493896484	1
28	100	20	-151.0181427001953	100	20	-64.43511962890625	1
29	66	12	-88.47533416748047	66	12	-29.896778106689453	1
30	64	11	-89.5582275390625	64	11	-29.38847541809082	1
31	179	35	-234.50808715820312	179	35	-89.49186706542969	0
32	43	11	-80.84374237060547	43	11	-41.4593505859375	1
33	118	23	-163.76089477539062	118	23	-80.39952850341797	1
34	91	21	-137.3512725830078	91	20	-50.3885383605957	1
35	154	23	-172.90379333496094	154	23	-106.29615783691406	0
36	60	13	-93.71986389160156	60	12	-38.37535858154297	1
37	83	18	-118.78596496582031	83	18	-45.597023010253906	1
38	148	27	-187.23617553710938	148	27	-84.19001007080078	1
39	120	26	-190.7394561767578	120	25	-88.77118682861328	0
40	68	16	-115.12712097167969	68	16	-44.250301361083984	1
41	132	22	-159.75657653808594	133	23	-102.38329315185547	0
42	109	19	-148.30087280273438	109	20	-65.8346939086914	1
43	100	20	-147.87371826171875	100	19	-55.656375885009766	1
44	123	21	-176.49664306640625	123	21	-85.32579040527344	0
45	118	19	-148.35610961914062	118	18	-65.86801147460938	1
46	101	20	-137.63955688476562	101	20	-74.95160675048828	0
47	137	27	-177.9246368408203	137	26	-70.56205749511719	0
48	113	22	-165.8197784423828	113	22	-73.46867370605469	1
49	202	33	-230.25079345703125	202	32	-138.35169982910156	0
50	143	25	-194.12196350097656	143	25	-81.18196105957031	1
51	108	21	-156.51402282714844	108	20	-69.29358673095703	1
52	56	9	-86.31767272949219	56	9	-50.771297454833984	1
53	135	24	-172.1039276123047	135	23	-87.7427749633789	0
54	140	26	-199.641357421875	140	26	-66.41773986816406	1
55	66	14	-108.4140853881836	66	14	-37.51624298095703	1
56	79	19	-130.41595458984375	79	19	-72.13508605957031	1
57	111	19	-133.0026092529297	111	17	-59.75453567504883	1
58	60	12	-80.90644836425781	60	10	-33.179359436035156	1
59	249	46	-293.7006530761719	249	46	-113.09381866455078	0
60	158	28	-217.13967895507812	158	26	-109.76026916503906	0
61	49	12	-88.3786849975586	49	12	-36.10759735107422	0
62	170	31	-225.8909454345703	170	31	-117.64631652832031	1
63	148	30	-218.0320281982422	148	30	-73.00980377197266	0
64	60	12	-89.67875671386719	60	12	-35.16548538208008	1
65	42	10	-61.860595703125	42	10	-29.03803062438965	1
66	20	6	-37.3852424621582	20	5	-9.625055313110352	1
67	93	18	-133.0053253173828	93	18	-52.16108703613281	1
68	162	34	-235.8826904296875	162	34	-121.26632690429688	0
69	161	29	-211.79901123046875	161	31	-99.6169662475586	1
70	83	16	-117.28461456298828	83	16	-35.57762908935547	1
71	50	9	-74.0011215209961	50	9	-36.58509826660156	1
72	47	11	-80.19278717041016	47	10	-26.170827865600586	1
73	85	17	-131.15321350097656	85	17	-50.14432144165039	0
74	65	16	-107.26868438720703	65	15	-37.637943267822266	0
75	135	27	-173.07333374023438	135	26	-86.52629089355469	0
76	91	21	-143.88003540039062	91	21	-51.83712387084961	1
77	155	30	-198.66065979003906	155	31	-67.22700500488281	0
78	140	28	-171.51278686523438	140	27	-81.36456298828125	0
79	138	27	-194.81570434570312	138	26	-81.65805053710938	0
80	133	28	-189.2270050048828	133	27	-75.66192626953125	0
81	69	11	-105.94852447509766	69	11	-48.83175277709961	1
82	63	13	-98.81443786621094	63	12	-32.02788543701172	1
83	27	7	-43.93012237548828	27	7	-17.377723693847656	1
84	138	30	-215.12660217285156	138	29	-80.72598266601562	0
85	53	13	-109.93295288085938	53	14	-74.93423461914062	0
86	80	17	-123.59741973876953	80	17	-51.13898849487305	1
87	182	31	-240.49830627441406	182	31	-96.40208435058594	0
88	114	17	-138.0145263671875	114	17	-61.24848175048828	1
89	70	16	-106.85771942138672	70	16	-54.637413024902344	1
90	67	15	-101.57110595703125	67	14	-42.1377067565918	1
91	95	18	-128.61572265625	95	18	-63.14957046508789	0
92	72	17	-116.0190658569336	72	17	-47.17103958129883	0
93	65	14	-89.0472183227539	65	13	-35.572120666503906	1
94	53	13	-89.02932739257812	53	13	-32.106292724609375	1
95	140	27	-177.76809692382812	140	27	-76.79257202148438	1
96	69	13	-105.72225952148438	69	13	-42.615394592285156	1
97	100	19	-137.048583984375	100	19	-63.276084899902344	1
98	38	9	-53.20754623413086	38	9	-19.992666244506836	1
99	62	13	-91.23391723632812	62	13	-36.750762939453125	1
0	172	32	-241.97987365722656	172	32	-142.71334838867188	0
1	256	55	-382.5237731933594	256	55	-209.18881225585938	1
2	144	30	-213.92152404785156	144	28	-126.2353286743164	0
3	48	11	-77.10546112060547	48	11	-50.79518127441406	1
4	29	8	-66.72154998779297	29	8	-56.14591598510742	1
5	137	26	-192.4901123046875	137	26	-117.00875854492188	0
6	59	13	-97.82783508300781	59	13	-66.11372375488281	0
7	89	19	-144.2189178466797	89	19	-92.25746154785156	0
8	63	13	-105.7328109741211	63	13	-67.47413635253906	1
9	50	12	-93.14179992675781	50	11	-60.33314895629883	1
10	118	21	-171.81137084960938	118	20	-109.27070617675781	1
11	124	21	-183.5096893310547	124	21	-85.34262084960938	1
12	35	10	-70.14151763916016	35	10	-55.53590393066406	1
13	74	13	-93.58815002441406	74	12	-57.00798797607422	0
14	58	12	-89.0020751953125	58	12	-52.32679748535156	1
15	112	31	-153.7186279296875	112	32	-80.31573486328125	0
16	103	18	-162.465087890625	103	18	-106.44721984863281	1
17	113	22	-167.1211395263672	113	21	-95.49641418457031	1
18	57	13	-85.62800598144531	57	13	-61.803829193115234	0
19	185	31	-267.26397705078125	185	31	-192.23577880859375	1
20	146	27	-204.19569396972656	146	26	-147.3023223876953	0
21	74	17	-115.9380874633789	74	17	-58.634700775146484	1
22	68	12	-107.5705795288086	68	11	-59.32599639892578	1
23	87	20	-147.228759765625	87	19	-75.00497436523438	0
24	62	15	-105.564697265625	62	15	-51.437339782714844	0
25	19	6	-36.636573791503906	19	5	-37.00807571411133	1
26	141	31	-223.7782745361328	141	31	-122.47128295898438	0
27	69	16	-106.93448638916016	69	16	-55.8104133605957	1
28	100	20	-158.2366180419922	100	20	-98.18623352050781	1
29	66	12	-102.93437194824219	66	12	-73.40629577636719	1
30	64	10	-92.75979614257812	64	11	-50.27645492553711	1
31	179	35	-247.4580535888672	179	35	-132.50340270996094	0
32	43	11	-80.83231353759766	43	11	-51.18014907836914	1
33	118	23	-171.5537567138672	118	23	-114.54583740234375	0
34	91	21	-160.03057861328125	91	20	-91.77582550048828	0
35	154	24	-190.99203491210938	154	23	-144.90682983398438	0
36	60	13	-100.99017333984375	60	12	-67.68131256103516	1
37	83	18	-120.54515838623047	83	18	-65.78739929199219	0
38	148	27	-206.8800048828125	148	27	-120.35548400878906	0
39	120	26	-194.1805877685547	120	25	-136.75448608398438	1
40	68	16	-115.17304992675781	68	16	-64.97709655761719	1
41	132	23	-189.9806365966797	132	22	-138.29788208007812	1
42	109	19	-148.75962829589844	109	20	-100.98363494873047	1
43	100	20	-139.67926025390625	100	19	-86.93500518798828	0
44	123	21	-179.77182006835938	123	21	-112.32110595703125	0
