index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12dec_highprob_word_0shot	7	4	-25.621875762939453	7	2	-12.659456253051758	0
1	rot12dec_highprob_word_0shot	7	4	-25.723690032958984	7	2	-13.900749206542969	0
2	rot12dec_highprob_word_0shot	7	5	-29.615692138671875	7	2	-13.263816833496094	0
3	rot12dec_highprob_word_0shot	7	3	-24.05099105834961	7	2	-14.191791534423828	0
4	rot12dec_highprob_word_0shot	7	5	-26.753137588500977	7	2	-13.71090316772461	0
5	rot12dec_highprob_word_0shot	7	3	-24.597820281982422	7	2	-13.99105453491211	0
6	rot12dec_highprob_word_0shot	7	4	-26.835437774658203	7	2	-12.968494415283203	0
7	rot12dec_highprob_word_0shot	7	5	-21.281536102294922	7	2	-11.78409194946289	0
8	rot12dec_highprob_word_0shot	7	4	-25.831405639648438	7	2	-13.66192626953125	0
9	rot12dec_highprob_word_0shot	7	3	-21.670751571655273	7	2	-12.84060287475586	0
10	rot12dec_highprob_word_0shot	7	4	-24.678730010986328	7	2	-12.94256591796875	0
11	rot12dec_highprob_word_0shot	7	4	-21.520795822143555	7	2	-14.027942657470703	0
12	rot12dec_highprob_word_0shot	7	4	-27.859722137451172	7	2	-13.740453720092773	0
13	rot12dec_highprob_word_0shot	7	4	-23.10530662536621	7	2	-13.023418426513672	0
14	rot12dec_highprob_word_0shot	7	5	-29.28963851928711	7	2	-13.932308197021484	0
15	rot12dec_highprob_word_0shot	7	4	-28.312217712402344	7	2	-13.177438735961914	0
16	rot12dec_highprob_word_0shot	7	4	-26.5330810546875	7	2	-13.189228057861328	0
17	rot12dec_highprob_word_0shot	7	4	-31.296497344970703	7	2	-13.435707092285156	0
18	rot12dec_highprob_word_0shot	7	4	-24.357784271240234	7	2	-14.161247253417969	0
19	rot12dec_highprob_word_0shot	7	3	-20.527814865112305	7	2	-13.52634048461914	0
20	rot12dec_highprob_word_0shot	7	4	-25.14366340637207	7	2	-12.656457901000977	0
21	rot12dec_highprob_word_0shot	7	5	-28.97824478149414	7	2	-13.880495071411133	0
22	rot12dec_highprob_word_0shot	7	5	-27.93622398376465	7	2	-11.001363754272461	0
23	rot12dec_highprob_word_0shot	7	4	-26.645336151123047	7	2	-13.389801025390625	0
24	rot12dec_highprob_word_0shot	7	4	-30.685428619384766	7	2	-12.384319305419922	0
25	rot12dec_highprob_word_0shot	7	4	-21.3772029876709	7	2	-13.908088684082031	0
26	rot12dec_highprob_word_0shot	7	4	-28.468250274658203	7	2	-12.656782150268555	0
27	rot12dec_highprob_word_0shot	7	4	-25.531944274902344	7	2	-13.727943420410156	0
