index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12dec_highprob_word_overlap_0shot	7	4	-22.459022521972656	7	2	nan	0
1	rot12dec_highprob_word_overlap_0shot	7	5	-24.965646743774414	7	2	-5.373535633087158	0
2	rot12dec_highprob_word_overlap_0shot	7	4	-28.241451263427734	7	2	-7.653436660766602	0
3	rot12dec_highprob_word_overlap_0shot	7	4	-21.418701171875	7	2	-7.388548374176025	0
4	rot12dec_highprob_word_overlap_0shot	7	4	-26.439369201660156	7	2	-5.224005699157715	0
5	rot12dec_highprob_word_overlap_0shot	7	4	-28.683000564575195	7	2	-4.213231086730957	0
6	rot12dec_highprob_word_overlap_0shot	7	4	-25.46722412109375	7	2	-9.930371284484863	0
7	rot12dec_highprob_word_overlap_0shot	7	4	-22.586109161376953	7	2	nan	0
8	rot12dec_highprob_word_overlap_0shot	7	4	-27.04084014892578	7	2	-2.16383957862854	0
9	rot12dec_highprob_word_overlap_0shot	7	4	-23.85321617126465	7	2	-8.068269729614258	0
10	rot12dec_highprob_word_overlap_0shot	7	5	-28.77283477783203	7	2	-7.968777656555176	0
11	rot12dec_highprob_word_overlap_0shot	7	4	-28.133602142333984	7	2	-10.244755744934082	0
12	rot12dec_highprob_word_overlap_0shot	7	4	-28.435714721679688	7	2	-7.427690505981445	0
13	rot12dec_highprob_word_overlap_0shot	7	5	-28.312665939331055	7	2	-4.715298175811768	0
14	rot12dec_highprob_word_overlap_0shot	7	5	-22.52448844909668	7	2	-7.393938064575195	0
15	rot12dec_highprob_word_overlap_0shot	7	5	-26.525930404663086	7	2	-8.808073997497559	0
16	rot12dec_highprob_word_overlap_0shot	7	5	-24.073150634765625	7	2	-13.566551208496094	0
17	rot12dec_highprob_word_overlap_0shot	7	4	-27.758180618286133	7	2	-6.33953857421875	0
18	rot12dec_highprob_word_overlap_0shot	7	4	-22.2501277923584	7	2	-7.089355945587158	0
19	rot12dec_highprob_word_overlap_0shot	7	4	-29.734573364257812	7	2	-4.75218391418457	0
20	rot12dec_highprob_word_overlap_0shot	7	3	-19.035554885864258	7	2	-6.125621318817139	0
21	rot12dec_highprob_word_overlap_0shot	7	4	-20.853652954101562	7	2	-10.679258346557617	0
22	rot12dec_highprob_word_overlap_0shot	7	5	-23.639137268066406	7	2	-7.023262023925781	0
23	rot12dec_highprob_word_overlap_0shot	7	4	-26.795372009277344	7	2	-10.135248184204102	0
24	rot12dec_highprob_word_overlap_0shot	7	4	-29.0493221282959	7	2	-5.191021919250488	0
25	rot12dec_highprob_word_overlap_0shot	7	5	-27.846115112304688	7	2	-9.171798706054688	0
26	rot12dec_highprob_word_overlap_0shot	7	4	-25.123952865600586	7	2	-5.707143783569336	0
27	rot12dec_highprob_word_overlap_0shot	7	5	-28.69474983215332	7	2	-10.781672477722168	0
