index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob_word_10shot	7	2	-10.531944274902344	7	4	-25.621875762939453	0
1	rot12enc_highprob_word_10shot	7	2	-8.847424507141113	7	4	-25.723690032958984	0
2	rot12enc_highprob_word_10shot	7	2	-4.594766616821289	7	5	-29.615692138671875	0
3	rot12enc_highprob_word_10shot	7	2	-3.7209315299987793	7	3	-24.05099105834961	0
4	rot12enc_highprob_word_10shot	7	2	-5.993107795715332	7	5	-26.753137588500977	0
5	rot12enc_highprob_word_10shot	7	2	-6.611053943634033	7	3	-24.597820281982422	0
6	rot12enc_highprob_word_10shot	7	2	-7.464015007019043	7	4	-26.835437774658203	0
7	rot12enc_highprob_word_10shot	7	2	-9.29979133605957	7	5	-21.281536102294922	0
8	rot12enc_highprob_word_10shot	7	2	-6.8266754150390625	7	4	-25.831405639648438	0
9	rot12enc_highprob_word_10shot	7	2	-3.0670876502990723	7	3	-21.670751571655273	0
10	rot12enc_highprob_word_10shot	7	2	-5.470921516418457	7	4	-24.678730010986328	0
11	rot12enc_highprob_word_10shot	7	2	-7.895583152770996	7	4	-21.520795822143555	0
12	rot12enc_highprob_word_10shot	7	2	-7.606566905975342	7	4	-27.859722137451172	0
13	rot12enc_highprob_word_10shot	7	2	-8.11135196685791	7	4	-23.10530662536621	0
14	rot12enc_highprob_word_10shot	7	2	-8.820971488952637	7	5	-29.28963851928711	0
15	rot12enc_highprob_word_10shot	7	2	-5.259960174560547	7	4	-28.312217712402344	0
16	rot12enc_highprob_word_10shot	7	2	-8.063220977783203	7	4	-26.5330810546875	0
17	rot12enc_highprob_word_10shot	7	2	-8.939414024353027	7	4	-31.296497344970703	0
18	rot12enc_highprob_word_10shot	7	2	-7.661011219024658	7	4	-24.357784271240234	0
19	rot12enc_highprob_word_10shot	7	2	-7.463597297668457	7	3	-20.527814865112305	0
20	rot12enc_highprob_word_10shot	7	2	-4.737476348876953	7	4	-25.14366340637207	0
21	rot12enc_highprob_word_10shot	7	2	-9.375957489013672	7	5	-28.97824478149414	0
22	rot12enc_highprob_word_10shot	7	2	-9.909223556518555	7	5	-27.93622398376465	0
23	rot12enc_highprob_word_10shot	7	2	-8.035869598388672	7	4	-26.645336151123047	0
24	rot12enc_highprob_word_10shot	7	2	-6.684998035430908	7	4	-30.685428619384766	0
25	rot12enc_highprob_word_10shot	7	2	-10.395219802856445	7	4	-21.3772029876709	0
26	rot12enc_highprob_word_10shot	7	2	-8.164182662963867	7	4	-28.468250274658203	0
27	rot12enc_highprob_word_10shot	7	2	-8.630595207214355	7	4	-25.531944274902344	0
28	rot12enc_highprob_word_10shot	7	2	-11.462667465209961	7	5	-29.294139862060547	0
29	rot12enc_highprob_word_10shot	7	2	-6.258763313293457	7	3	-26.918155670166016	0
30	rot12enc_highprob_word_10shot	7	2	-7.294890880584717	7	6	-25.92683982849121	0
31	rot12enc_highprob_word_10shot	7	2	-7.98192834854126	7	4	-26.852794647216797	0
32	rot12enc_highprob_word_10shot	7	2	-6.996286392211914	7	4	-23.672550201416016	0
33	rot12enc_highprob_word_10shot	7	2	-9.03361701965332	7	3	-21.512611389160156	0
