index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob_word_overlap_0shot	7	2	-13.50450325012207	7	4	-22.459022521972656	0
1	rot12enc_highprob_word_overlap_0shot	7	2	-13.299434661865234	7	5	-24.965646743774414	0
2	rot12enc_highprob_word_overlap_0shot	7	2	-13.399551391601562	7	4	-28.241451263427734	1
3	rot12enc_highprob_word_overlap_0shot	7	2	-13.826557159423828	7	4	-21.418701171875	0
4	rot12enc_highprob_word_overlap_0shot	7	2	-13.300270080566406	7	4	-26.439369201660156	1
5	rot12enc_highprob_word_overlap_0shot	7	2	-13.670856475830078	7	4	-28.683000564575195	0
6	rot12enc_highprob_word_overlap_0shot	7	2	-13.78280258178711	7	4	-25.46722412109375	0
7	rot12enc_highprob_word_overlap_0shot	7	2	-13.600250244140625	7	4	-22.586109161376953	0
8	rot12enc_highprob_word_overlap_0shot	7	2	-12.091533660888672	7	4	-27.04084014892578	0
9	rot12enc_highprob_word_overlap_0shot	7	2	-13.926189422607422	7	4	-23.85321617126465	0
10	rot12enc_highprob_word_overlap_0shot	7	2	-9.371042251586914	7	5	-28.77283477783203	0
11	rot12enc_highprob_word_overlap_0shot	7	2	-13.1510009765625	7	4	-28.133602142333984	0
12	rot12enc_highprob_word_overlap_0shot	7	2	-13.567512512207031	7	4	-28.435714721679688	1
13	rot12enc_highprob_word_overlap_0shot	7	2	-13.420188903808594	7	5	-28.312665939331055	1
14	rot12enc_highprob_word_overlap_0shot	7	2	-13.00631332397461	7	5	-22.52448844909668	0
15	rot12enc_highprob_word_overlap_0shot	7	2	-13.765079498291016	7	5	-26.525930404663086	1
16	rot12enc_highprob_word_overlap_0shot	7	2	-12.311262130737305	7	5	-24.073150634765625	0
17	rot12enc_highprob_word_overlap_0shot	7	2	-12.69949722290039	7	4	-27.758180618286133	1
18	rot12enc_highprob_word_overlap_0shot	7	2	-14.092643737792969	7	4	-22.2501277923584	0
19	rot12enc_highprob_word_overlap_0shot	7	2	-13.972269058227539	7	4	-29.734573364257812	0
20	rot12enc_highprob_word_overlap_0shot	7	2	-12.967037200927734	7	3	-19.035554885864258	0
21	rot12enc_highprob_word_overlap_0shot	7	2	-14.048105239868164	7	4	-20.853652954101562	0
22	rot12enc_highprob_word_overlap_0shot	7	2	-14.13066291809082	7	5	-23.639137268066406	0
23	rot12enc_highprob_word_overlap_0shot	7	2	-13.02849006652832	7	4	-26.795372009277344	1
