index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	7	3	-25.816265106201172	7	2	-10.531944274902344	1
1	7	3	-24.969005584716797	7	2	-8.847424507141113	1
2	7	4	-24.570598602294922	7	2	-4.594766616821289	1
3	7	3	-16.66840362548828	7	2	-3.7209315299987793	1
4	7	4	-23.912607192993164	7	2	-5.993107795715332	0
5	7	4	-26.12179183959961	7	2	-6.611053943634033	0
6	7	3	-24.099056243896484	7	2	-7.464015007019043	0
7	7	4	-27.83240509033203	7	2	-9.29979133605957	1
8	7	4	-27.613100051879883	7	2	-6.8266754150390625	0
9	7	3	-20.72284507751465	7	2	-3.0670876502990723	1
10	7	4	-25.432723999023438	7	2	-5.470921516418457	0
11	7	5	-25.904254913330078	7	2	-7.895583152770996	1
12	7	4	-19.482948303222656	7	2	-7.606566905975342	1
13	7	3	-23.057443618774414	7	2	-8.11135196685791	0
14	7	5	-27.074378967285156	7	2	-8.820971488952637	1
15	7	5	-27.552303314208984	7	2	-5.259960174560547	0
16	7	4	-27.099214553833008	7	2	-8.063220977783203	0
17	7	4	-23.422042846679688	7	2	-8.939414024353027	0
18	7	4	-30.193809509277344	7	2	-7.661011219024658	1
19	7	4	-29.928390502929688	7	2	-7.463597297668457	1
20	7	4	-25.469223022460938	7	2	-4.737476348876953	0
21	7	4	-22.53751564025879	7	2	-9.375957489013672	0
22	7	3	-21.150270462036133	7	2	-9.909223556518555	1
23	7	4	-22.19774055480957	7	2	-8.035869598388672	0
24	7	3	-21.037437438964844	7	2	-6.684998035430908	0
25	7	4	-18.740327835083008	7	2	-10.395219802856445	1
26	7	4	-28.41474151611328	7	2	-8.164182662963867	1
27	7	3	-14.18400764465332	7	2	-8.630595207214355	0
28	7	3	-21.54569435119629	7	2	-11.462667465209961	1
29	7	3	-24.854019165039062	7	2	-6.258763313293457	1
30	7	4	-27.648637771606445	7	2	-7.294890880584717	0
31	7	4	-27.131122589111328	7	2	-7.98192834854126	0
32	7	4	-28.750442504882812	7	2	-6.996286392211914	0
33	7	4	-25.789154052734375	7	2	-9.03361701965332	0
34	7	4	-30.66830825805664	7	2	-12.480232238769531	0
35	7	4	-25.80234718322754	7	2	-9.10721206665039	1
36	7	3	-27.695035934448242	7	2	-8.346797943115234	1
37	7	3	-22.950267791748047	7	2	-6.451227188110352	1
38	7	4	-28.32788848876953	7	2	-9.518082618713379	1
39	7	4	-24.867355346679688	7	2	-10.45545768737793	1
40	7	3	-24.39691925048828	7	2	-11.024176597595215	0
41	7	3	-21.33208656311035	7	2	-5.627381324768066	0
42	7	3	-20.959575653076172	7	2	-8.38659954071045	0
43	7	5	-27.539485931396484	7	2	-8.251249313354492	1
44	7	3	-24.312978744506836	7	2	-9.082048416137695	1
45	7	3	-25.151187896728516	7	2	-7.703108787536621	0
46	7	3	-23.786930084228516	7	2	-7.73406982421875	0
47	7	4	-28.602527618408203	7	2	-5.726869583129883	1
48	7	3	-21.52402114868164	7	2	-6.1293535232543945	0
49	7	4	-20.17489242553711	7	2	-7.395354747772217	1
50	7	4	-30.455347061157227	7	2	-5.291329383850098	0
51	7	4	-22.678489685058594	7	2	-8.948582649230957	0
52	7	4	-22.790653228759766	7	2	-4.955580711364746	1
53	7	4	-18.62657928466797	7	2	-4.040197372436523	1
54	7	5	-22.670124053955078	7	2	-5.6638383865356445	1
55	7	4	-27.4807071685791	7	2	-8.000404357910156	0
56	7	3	-17.9888916015625	7	2	-12.694604873657227	0
57	7	4	-29.465293884277344	7	2	-5.5675506591796875	0
58	7	4	-33.78569412231445	7	2	-3.9606711864471436	0
59	7	4	-20.246910095214844	7	2	-6.513321876525879	1
60	7	4	-25.764429092407227	7	2	-8.490140914916992	0
61	7	4	-25.79222869873047	7	2	-9.368853569030762	0
62	7	4	-22.96597671508789	7	2	-4.047684669494629	1
63	7	4	-27.995803833007812	7	2	-8.54018783569336	0
64	7	5	-26.142288208007812	7	2	-10.482006072998047	1
65	7	3	-11.251670837402344	7	2	-9.600013732910156	1
66	7	4	-34.86732864379883	7	2	-5.538845539093018	0
67	7	3	-21.526260375976562	7	2	-7.351196765899658	0
68	7	4	-26.38089370727539	7	2	-5.173996925354004	0
69	7	5	-26.509071350097656	7	2	-7.630931377410889	0
70	7	5	-25.94986343383789	7	2	-4.347165584564209	0
71	7	3	-21.96723747253418	7	2	-5.3490214347839355	0
72	7	3	-17.6777400970459	7	2	-6.400052547454834	1
73	7	4	-25.23141098022461	7	2	-6.722893714904785	1
74	7	3	-19.81252670288086	7	2	-9.002290725708008	0
75	7	4	-23.551204681396484	7	2	-10.130821228027344	0
76	7	4	-27.946420669555664	7	2	-10.012516975402832	0
77	7	3	-24.741558074951172	7	2	-9.533520698547363	0
78	7	4	-24.831512451171875	7	2	-9.0965576171875	0
79	7	3	-25.014461517333984	7	2	-7.123181343078613	1
80	7	4	-30.59454345703125	7	2	-7.488029479980469	1
81	7	3	-24.057971954345703	7	2	-2.946624517440796	1
82	7	3	-25.922569274902344	7	2	-7.099272727966309	0
83	7	4	-19.010032653808594	7	2	-4.462528705596924	1
84	7	4	-26.43164825439453	7	2	-1.9700208902359009	0
85	7	5	-26.07608413696289	7	2	-4.187663555145264	0
86	7	3	-23.874595642089844	7	2	-7.714588165283203	1
87	7	4	-29.982200622558594	7	2	-9.882942199707031	1
88	7	3	-25.08420181274414	7	2	-6.841201305389404	1
89	7	3	-22.951189041137695	7	2	-13.184839248657227	0
90	7	4	-31.318199157714844	7	2	-7.782488822937012	0
91	7	3	-22.53217315673828	7	2	-6.27073860168457	1
92	7	3	-17.763044357299805	7	2	-2.3450021743774414	0
93	7	3	-17.50811004638672	7	2	-7.046510219573975	1
94	7	4	-23.981040954589844	7	2	-4.505405426025391	1
95	7	4	-25.69051742553711	7	2	-5.3376922607421875	1
96	7	3	-20.39359474182129	7	2	-5.684192180633545	0
97	7	4	-21.358182907104492	7	2	-8.025548934936523	1
98	7	3	-21.71734619140625	7	2	-5.199803352355957	0
99	7	3	-24.066211700439453	7	2	-8.38565444946289	1
0	7	3	-15.169840812683105	7	2	-9.349218368530273	0
1	7	4	-24.12429428100586	7	2	-8.004310607910156	0
2	7	4	-28.782569885253906	7	2	-7.943697452545166	1
3	7	4	-22.313480377197266	7	2	-13.213567733764648	0
4	7	4	-25.640491485595703	7	2	-6.631597518920898	1
5	7	3	-28.473886489868164	7	2	-11.348590850830078	1
6	7	3	-22.34949493408203	7	2	-10.595683097839355	0
7	7	4	-24.06770896911621	7	2	-9.69167709350586	0
8	7	4	-27.267574310302734	7	2	-8.376648902893066	0
9	7	4	-26.981060028076172	7	2	-7.259474754333496	1
10	7	4	-24.819908142089844	7	2	-10.884679794311523	1
11	7	4	-27.799243927001953	7	2	-11.19925308227539	0
12	7	4	-25.104854583740234	7	2	-6.350127220153809	1
13	7	4	-25.177955627441406	7	2	-10.227487564086914	0
14	7	4	-26.830551147460938	7	2	-8.94870662689209	0
15	7	3	-24.74772834777832	7	2	-5.2593584060668945	0
16	7	4	-26.063583374023438	7	2	-7.947988510131836	1
17	7	3	-23.622737884521484	7	2	-8.520803451538086	0
18	7	4	-22.263036727905273	7	2	-8.470026969909668	0
19	7	3	-17.507587432861328	7	2	-8.325754165649414	1
20	7	4	-28.25119400024414	7	2	-7.745621204376221	0
21	7	3	-25.429588317871094	7	2	-9.95834732055664	1
22	7	4	-24.017810821533203	7	2	-15.28506088256836	0
23	7	4	-24.098371505737305	7	2	-8.585441589355469	0
24	7	3	-24.212692260742188	7	2	-14.20921516418457	0
25	7	3	-19.020002365112305	7	2	-11.189083099365234	0
26	7	4	-24.29515838623047	7	2	-9.999580383300781	1
27	7	4	-27.542186737060547	7	2	-11.58820915222168	0
28	7	5	-24.289457321166992	7	2	-8.267481803894043	1
29	7	4	-28.45448112487793	7	2	-11.547478675842285	0
30	7	3	-22.863727569580078	7	2	-10.640525817871094	0
31	7	3	-18.479095458984375	7	2	-8.52499008178711	0
32	7	4	-30.804086685180664	7	2	-9.882170677185059	0
33	7	4	-26.532474517822266	7	2	-9.273900985717773	0
34	7	3	-21.49508285522461	7	2	-12.267038345336914	0
35	7	4	-21.755746841430664	7	2	-4.3777995109558105	0
36	7	4	-30.21174430847168	7	2	-12.697615623474121	1
37	7	4	-28.78912925720215	7	2	-9.780508041381836	1
38	7	3	-23.395315170288086	7	2	-9.626416206359863	1
39	7	3	-24.109176635742188	7	2	-8.332113265991211	1
40	7	4	-25.544574737548828	7	2	-9.434286117553711	0
41	7	3	-23.56653594970703	7	2	-4.684986591339111	0
42	7	3	-21.98650360107422	7	2	-9.668167114257812	0
43	7	3	-23.53643798828125	7	2	-8.04024887084961	1
44	7	3	-28.978374481201172	7	2	-11.8633451461792	1
45	7	4	-30.62401580810547	7	2	-9.083074569702148	0
46	7	4	-28.654991149902344	7	2	-7.305148124694824	0
47	7	3	-18.815189361572266	7	2	-10.48938274383545	1
48	7	4	-26.83245277404785	7	2	-9.592966079711914	1
49	7	3	-18.468399047851562	7	2	-10.980698585510254	0
50	7	4	-26.44445037841797	7	2	-6.9286699295043945	0
51	7	4	-22.05393409729004	7	2	-6.856043815612793	0
52	7	3	-21.287918090820312	7	2	-6.952644348144531	0
53	7	4	-23.522432327270508	7	2	-9.991536140441895	1
54	7	4	-26.09099578857422	7	2	-4.376482963562012	1
55	7	2	-14.09378719329834	7	2	-7.7115912437438965	0
56	7	3	-17.605148315429688	7	2	-7.135986328125	0
57	7	4	-28.4130802154541	7	2	-8.47903823852539	0
58	7	5	-24.286216735839844	7	2	-6.612337112426758	1
59	7	3	-25.59092903137207	7	2	-8.981914520263672	0
60	7	4	-26.435333251953125	7	2	-6.923185348510742	1
61	7	4	-24.58263397216797	7	2	-8.820560455322266	0
62	7	4	-26.504962921142578	7	2	-8.463067054748535	0
63	7	4	-22.511581420898438	7	2	-9.795705795288086	0
64	7	5	-27.247270584106445	7	2	-9.845316886901855	0
65	7	3	-19.555856704711914	7	2	-5.181741714477539	1
66	7	4	-24.352439880371094	7	2	-9.094449043273926	0
67	7	4	-30.554412841796875	7	2	-10.315903663635254	1
68	7	4	-20.934221267700195	7	2	-9.9103422164917	1
69	7	3	-16.126375198364258	7	2	-8.123271942138672	1
70	7	3	-25.889404296875	7	2	-11.449056625366211	0
71	7	3	-21.494504928588867	7	2	-7.14679479598999	0
72	7	4	-27.83481788635254	7	2	-8.845474243164062	0
73	7	4	-22.56316375732422	7	2	-12.416309356689453	1
74	7	3	-21.81232452392578	7	2	-3.264491081237793	1
75	7	4	-25.345775604248047	7	2	-6.730466842651367	1
76	7	4	-22.15435028076172	7	2	-4.3400983810424805	1
77	7	3	-17.268911361694336	7	2	-11.535719871520996	1
78	7	4	-23.644203186035156	7	2	-14.173011779785156	1
79	7	4	-21.006826400756836	7	2	-13.75231647491455	1
80	7	5	-29.13526725769043	7	2	-9.220322608947754	0
81	7	2	-18.045747756958008	7	2	-5.939383506774902	1
82	7	5	-28.443586349487305	7	2	-8.710634231567383	0
83	7	4	-24.377880096435547	7	2	-4.791701793670654	1
84	7	3	-24.057205200195312	7	2	-8.059932708740234	0
85	7	4	-31.820138931274414	7	2	-8.42074966430664	0
86	7	4	-22.316743850708008	7	2	-6.013861656188965	0
87	7	4	-27.595680236816406	7	2	-7.555947303771973	1
88	7	4	-27.705249786376953	7	2	-7.235876083374023	1
89	7	3	-25.049135208129883	7	2	-7.579230308532715	1
90	7	3	-21.20538330078125	7	2	-8.981656074523926	1
91	7	4	-26.421005249023438	7	2	-12.429710388183594	0
92	7	4	-31.159347534179688	7	2	-8.942292213439941	0
93	7	5	-27.15941619873047	7	2	-12.796799659729004	1
94	7	3	-19.773658752441406	7	2	-9.98190975189209	1
95	7	4	-28.736331939697266	7	2	-9.962366104125977	0
96	7	3	-21.565561294555664	7	2	-11.073081970214844	0
97	7	4	-25.30539894104004	7	2	-8.674064636230469	0
98	7	3	-22.728710174560547	7	2	-11.393755912780762	0
99	7	4	-21.537569046020508	7	2	-6.232431411743164	1
0	7	4	-26.78583526611328	7	2	-9.053202629089355	0
1	7	4	-18.60215950012207	7	2	-11.90870475769043	1
2	7	4	-28.953962326049805	7	2	-6.705697059631348	0
3	7	4	-25.362709045410156	7	2	-11.017293930053711	0
4	7	4	-25.029491424560547	7	2	-10.649504661560059	0
5	7	3	-23.02771759033203	7	2	-11.725143432617188	0
6	7	4	-25.747467041015625	7	2	-8.62724494934082	0
7	7	4	-25.830402374267578	7	2	-10.04029369354248	1
8	7	4	-24.053409576416016	7	2	-14.72064208984375	1
9	7	4	-29.89764404296875	7	2	-9.29994010925293	1
10	7	4	-24.414932250976562	7	2	-12.637945175170898	0
11	7	4	-23.236330032348633	7	2	-9.899840354919434	0
12	7	5	-24.545244216918945	7	2	-10.573083877563477	1
13	7	3	-24.889968872070312	7	2	-10.950820922851562	0
