index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	7	4	-21.657073974609375	7	2	nan	1
1	7	3	-24.34591293334961	7	2	-5.373535633087158	0
2	7	4	-26.369125366210938	7	2	-7.653436660766602	1
3	7	3	-20.627578735351562	7	2	-7.388548374176025	1
4	7	4	-25.682079315185547	7	2	-5.224005699157715	0
5	7	3	-21.7535343170166	7	2	-4.213231086730957	1
6	7	4	-24.97602653503418	7	2	-9.930371284484863	1
7	7	5	-25.665205001831055	7	2	nan	0
8	7	5	-30.92121696472168	7	2	-2.16383957862854	1
9	7	3	-21.082046508789062	7	2	-8.068269729614258	1
10	7	3	-15.057415008544922	7	2	-7.968777656555176	1
11	7	4	-22.282955169677734	7	2	-10.244755744934082	1
12	7	3	-26.335155487060547	7	2	-7.427690505981445	0
13	7	4	-27.936676025390625	7	2	-4.715298175811768	0
14	7	3	-19.231088638305664	7	2	-7.393938064575195	1
15	7	4	-24.507837295532227	7	2	-8.808073997497559	1
16	7	4	-31.082202911376953	7	2	-13.566551208496094	0
17	7	4	-26.02627944946289	7	2	-6.33953857421875	0
18	7	3	-19.109333038330078	7	2	-7.089355945587158	1
19	7	4	-24.722900390625	7	2	-4.75218391418457	0
20	7	4	-23.778045654296875	7	2	-6.125621318817139	1
21	7	4	-27.516202926635742	7	2	-10.679258346557617	0
22	7	4	-23.177223205566406	7	2	-7.023262023925781	0
23	7	3	-18.573699951171875	7	2	-10.135248184204102	1
24	7	2	-18.710573196411133	7	2	-5.191021919250488	0
25	7	3	-26.18072509765625	7	2	-9.171798706054688	1
26	7	4	-21.444501876831055	7	2	-5.707143783569336	1
27	7	3	-15.929693222045898	7	2	-10.781672477722168	0
28	7	3	-13.179823875427246	7	2	-4.293368339538574	0
29	7	4	-25.57530975341797	7	2	-4.519911289215088	0
30	7	3	-25.922569274902344	7	2	-7.099272727966309	0
31	7	4	-27.632137298583984	7	2	-5.514175891876221	0
32	7	3	-18.68341064453125	7	2	-6.515970230102539	1
33	7	4	-27.572063446044922	7	2	-4.472574234008789	0
34	7	4	-26.01231575012207	7	2	-8.141077041625977	0
35	7	3	-27.133136749267578	7	2	-5.555349349975586	1
36	7	3	-21.566715240478516	7	2	-9.837228775024414	1
37	7	4	-19.50670623779297	7	2	-5.835655212402344	1
38	7	5	-28.323871612548828	7	2	-6.147132873535156	1
39	7	3	-24.37677001953125	7	2	nan	0
40	7	3	-22.872756958007812	7	2	-7.023532867431641	1
41	7	4	-25.339805603027344	7	2	-6.3403472900390625	1
42	7	4	-32.09737014770508	7	2	-10.339495658874512	1
43	7	4	-24.867355346679688	7	2	-10.45545768737793	1
44	7	4	-30.88137435913086	7	2	-10.120342254638672	1
45	7	4	-23.245038986206055	7	2	-5.2003936767578125	1
46	7	4	-30.241809844970703	7	2	-8.077905654907227	1
47	7	4	-23.074501037597656	7	2	-12.336723327636719	0
48	7	4	-27.39316177368164	7	2	-7.2667694091796875	0
49	7	3	-17.679309844970703	7	2	-8.910534858703613	0
50	7	3	-24.81395721435547	7	2	-6.955737590789795	0
51	7	3	-21.99132537841797	7	2	-7.862195014953613	0
52	7	5	-26.5490665435791	7	2	-6.306621074676514	1
53	7	5	-26.68353271484375	7	2	-5.683767795562744	0
54	7	4	-25.69043731689453	7	2	-5.446998596191406	1
55	7	3	-20.476238250732422	7	2	-7.684354782104492	1
56	7	3	-29.022216796875	7	2	-7.9687418937683105	0
57	7	3	-28.15114974975586	7	2	-7.998305320739746	0
58	7	4	-18.62657928466797	7	2	-4.040197372436523	1
59	7	4	-22.970623016357422	7	2	-12.417226791381836	1
60	7	3	-22.206714630126953	7	2	-5.991405487060547	1
61	7	5	-26.10321807861328	7	2	-7.571364402770996	0
62	7	4	-26.92261505126953	7	2	-6.975316047668457	1
63	7	3	-21.126262664794922	7	2	-8.451091766357422	0
64	7	4	-22.098512649536133	7	2	-2.093132972717285	0
65	7	3	-26.05411148071289	7	2	-2.2228312492370605	1
66	7	4	-24.240867614746094	7	2	-5.065788269042969	1
67	7	3	-17.238811492919922	7	2	-9.781776428222656	1
68	7	4	-24.750850677490234	7	2	-8.226232528686523	1
69	7	4	-22.78569221496582	7	2	-9.409943580627441	1
70	7	4	-25.619104385375977	7	2	-9.985159873962402	1
71	7	3	-14.980915069580078	7	2	-4.192537307739258	0
72	7	4	-29.15363311767578	7	2	-5.626315593719482	0
73	7	4	-29.328495025634766	7	2	-8.541489601135254	1
74	7	3	-23.130714416503906	7	2	-5.446619987487793	0
75	7	5	-30.093128204345703	7	2	-7.645740032196045	1
76	7	4	-22.322769165039062	7	2	-8.512434005737305	1
77	7	4	-25.509864807128906	7	2	-5.9576416015625	0
78	7	3	-24.016613006591797	7	2	-8.589011192321777	1
79	7	4	-24.89026641845703	7	2	-6.279153347015381	1
80	7	3	-17.6777400970459	7	2	-6.400052547454834	0
81	7	4	-27.4807071685791	7	2	-8.000404357910156	0
82	7	3	-19.6574649810791	7	2	-7.265651226043701	1
83	7	4	-25.747690200805664	7	2	-6.7464375495910645	1
84	7	4	-25.16104507446289	7	2	-5.5620269775390625	0
85	7	4	-24.61031150817871	7	2	-4.862603664398193	1
86	7	4	-26.43164825439453	7	2	-1.9700208902359009	0
87	7	4	-28.044681549072266	7	2	-5.85430383682251	0
88	7	3	-22.119876861572266	7	2	-6.040164947509766	1
89	7	3	-22.099964141845703	7	2	-6.707706451416016	1
90	7	4	-32.38913345336914	7	2	-9.50936508178711	0
91	7	3	-20.048185348510742	7	2	-9.646492004394531	1
92	7	2	-14.715746879577637	7	2	-4.441836357116699	1
93	7	4	-25.789154052734375	7	2	-9.03361701965332	0
94	7	3	-25.606327056884766	7	2	-11.94862174987793	1
95	7	3	-21.490127563476562	7	2	-6.737253189086914	1
96	7	4	-30.455347061157227	7	2	-5.291329383850098	0
97	7	3	-26.35162353515625	7	2	-5.576295852661133	1
98	7	4	-18.740327835083008	7	2	-10.395219802856445	1
99	7	4	-23.442991256713867	7	2	-8.753189086914062	1
0	7	3	-20.796550750732422	7	2	-7.498519420623779	0
1	7	3	-23.095325469970703	7	2	-7.322004795074463	0
2	7	3	-16.645051956176758	7	2	-10.487180709838867	0
3	7	3	-27.473766326904297	7	2	-9.638189315795898	1
4	7	4	-26.008676528930664	7	2	-7.80280065536499	1
5	7	4	-28.530330657958984	7	2	-4.99302864074707	1
6	7	4	-23.354272842407227	7	2	-7.60211181640625	1
7	7	4	-27.059051513671875	7	2	-7.045772552490234	0
