index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	7	2	-12.659456253051758	7	3	-25.816265106201172	1
1	7	2	-13.900749206542969	7	3	-24.969005584716797	1
2	7	2	-13.263816833496094	7	4	-24.570598602294922	1
3	7	2	-14.191791534423828	7	3	-16.66840362548828	1
4	7	2	-13.71090316772461	7	4	-23.912607192993164	1
5	7	2	-13.99105453491211	7	4	-26.12179183959961	0
6	7	2	-12.968494415283203	7	3	-24.099056243896484	0
7	7	2	-11.78409194946289	7	4	-27.83240509033203	0
8	7	2	-13.66192626953125	7	4	-27.613100051879883	0
9	7	2	-12.84060287475586	7	3	-20.72284507751465	0
10	7	2	-12.94256591796875	7	4	-25.432723999023438	1
11	7	2	-14.027942657470703	7	5	-25.904254913330078	0
12	7	2	-13.740453720092773	7	4	-19.482948303222656	0
13	7	2	-13.023418426513672	7	3	-23.057443618774414	0
14	7	2	-13.932308197021484	7	5	-27.074378967285156	0
15	7	2	-13.177438735961914	7	5	-27.552303314208984	1
16	7	2	-13.189228057861328	7	4	-27.099214553833008	0
17	7	2	-13.435707092285156	7	4	-23.422042846679688	1
18	7	2	-14.161247253417969	7	4	-30.193809509277344	0
19	7	2	-13.52634048461914	7	4	-29.928390502929688	0
20	7	2	-12.656457901000977	7	4	-25.469223022460938	1
21	7	2	-13.880495071411133	7	4	-22.53751564025879	1
22	7	2	-11.001363754272461	7	3	-21.150270462036133	0
23	7	2	-13.389801025390625	7	4	-22.19774055480957	1
24	7	2	-12.384319305419922	7	3	-21.037437438964844	1
25	7	2	-13.908088684082031	7	4	-18.740327835083008	0
26	7	2	-12.656782150268555	7	4	-28.41474151611328	0
27	7	2	-13.727943420410156	7	3	-14.18400764465332	1
28	7	2	-13.244775772094727	7	3	-21.54569435119629	1
29	7	2	-11.83145523071289	7	3	-24.854019165039062	0
30	7	2	-13.707481384277344	7	4	-27.648637771606445	0
31	7	2	-9.632732391357422	7	4	-27.131122589111328	0
32	7	2	-14.18985366821289	7	4	-28.750442504882812	0
33	7	2	-13.228939056396484	7	4	-25.789154052734375	0
34	7	2	-13.781255722045898	7	4	-30.66830825805664	0
35	7	2	-11.791549682617188	7	4	-25.80234718322754	0
36	7	2	-13.719970703125	7	3	-27.695035934448242	0
37	7	2	-13.38912582397461	7	3	-22.950267791748047	0
38	7	2	-14.221506118774414	7	4	-28.32788848876953	1
39	7	2	-12.307815551757812	7	4	-24.867355346679688	1
40	7	2	-12.08407974243164	7	3	-24.39691925048828	0
41	7	2	-12.836265563964844	7	3	-21.33208656311035	0
42	7	2	-11.527519226074219	7	3	-20.959575653076172	1
43	7	2	-14.183877944946289	7	5	-27.539485931396484	1
44	7	2	-14.052215576171875	7	3	-24.312978744506836	1
45	7	2	-13.201168060302734	7	3	-25.151187896728516	0
46	7	2	-12.44651985168457	7	3	-23.786930084228516	1
47	7	2	-13.174955368041992	7	4	-28.602527618408203	0
48	7	2	-12.165586471557617	7	3	-21.52402114868164	0
49	7	2	-13.685626983642578	7	4	-20.17489242553711	1
50	7	2	-13.537750244140625	7	4	-30.455347061157227	1
51	7	2	-13.64300537109375	7	4	-22.678489685058594	0
52	7	2	-14.168609619140625	7	4	-22.790653228759766	0
53	7	2	-12.887479782104492	7	4	-18.62657928466797	0
54	7	2	-11.898357391357422	7	5	-22.670124053955078	0
55	7	2	-12.742298126220703	7	4	-27.4807071685791	0
56	7	2	-13.920721054077148	7	3	-17.9888916015625	0
57	7	2	-13.886056900024414	7	4	-29.465293884277344	1
58	7	2	-13.96511459350586	7	4	-33.78569412231445	0
59	7	2	-12.797082901000977	7	4	-20.246910095214844	0
60	7	2	-14.096817016601562	7	4	-25.764429092407227	0
61	7	2	-13.929704666137695	7	4	-25.79222869873047	0
62	7	2	-11.355392456054688	7	4	-22.96597671508789	1
63	7	2	-13.684896469116211	7	4	-27.995803833007812	0
64	7	2	-12.198200225830078	7	5	-26.142288208007812	0
65	7	2	-14.21187973022461	7	3	-11.251670837402344	0
66	7	2	-12.169490814208984	7	4	-34.86732864379883	1
67	7	2	-12.842330932617188	7	3	-21.526260375976562	0
68	7	2	-13.421390533447266	7	4	-26.38089370727539	1
69	7	2	-13.75637435913086	7	5	-26.509071350097656	0
70	7	2	-13.718778610229492	7	5	-25.94986343383789	0
71	7	2	-13.897113800048828	7	3	-21.96723747253418	0
72	7	2	-13.742382049560547	7	3	-17.6777400970459	1
73	7	2	-13.544254302978516	7	4	-25.23141098022461	1
74	7	2	-14.167980194091797	7	3	-19.81252670288086	0
75	7	2	-13.815139770507812	7	4	-23.551204681396484	0
76	7	2	-13.014110565185547	7	4	-27.946420669555664	0
77	7	2	-12.591896057128906	7	3	-24.741558074951172	0
78	7	2	-14.196624755859375	7	4	-24.831512451171875	1
79	7	2	-13.162109375	7	3	-25.014461517333984	0
80	7	2	-13.135967254638672	7	4	-30.59454345703125	0
81	7	2	-12.571277618408203	7	3	-24.057971954345703	1
82	7	2	-13.443870544433594	7	3	-25.922569274902344	0
83	7	2	-10.46377944946289	7	4	-19.010032653808594	0
84	7	2	-12.97530746459961	7	4	-26.43164825439453	1
85	7	2	-13.226509094238281	7	5	-26.07608413696289	0
86	7	2	-12.833396911621094	7	3	-23.874595642089844	1
87	7	2	-13.598073959350586	7	4	-29.982200622558594	0
88	7	2	-14.074798583984375	7	3	-25.08420181274414	0
89	7	2	-14.149188995361328	7	3	-22.951189041137695	0
90	7	2	-13.70175552368164	7	4	-31.318199157714844	1
91	7	2	-13.172557830810547	7	3	-22.53217315673828	0
92	7	2	-13.96856689453125	7	3	-17.763044357299805	0
93	7	2	-13.499393463134766	7	3	-17.50811004638672	1
94	7	2	-13.890668869018555	7	4	-23.981040954589844	1
95	7	2	-13.162296295166016	7	4	-25.69051742553711	1
96	7	2	-13.945907592773438	7	3	-20.39359474182129	1
97	7	2	-13.181673049926758	7	4	-21.358182907104492	0
98	7	2	-13.994625091552734	7	3	-21.71734619140625	0
99	7	2	-14.177127838134766	7	3	-24.066211700439453	1
0	7	2	-17.28861427307129	7	3	-15.169840812683105	0
1	7	2	-16.50832176208496	7	4	-24.12429428100586	0
2	7	2	-17.043550491333008	7	4	-28.782569885253906	1
3	7	2	-16.719757080078125	7	4	-22.313480377197266	0
4	7	2	-16.608661651611328	7	4	-25.640491485595703	1
5	7	2	-17.231582641601562	7	3	-28.473886489868164	0
6	7	2	-17.481201171875	7	3	-22.34949493408203	1
7	7	2	-17.291858673095703	7	4	-24.06770896911621	1
8	7	2	-16.722747802734375	7	4	-27.267574310302734	1
9	7	2	-16.609756469726562	7	4	-26.981060028076172	0
10	7	2	-17.566600799560547	7	4	-24.819908142089844	0
11	7	2	-16.6204833984375	7	4	-27.799243927001953	1
12	7	2	-16.681854248046875	7	4	-25.104854583740234	1
13	7	2	-17.111495971679688	7	4	-25.177955627441406	1
14	7	2	-17.513118743896484	7	4	-26.830551147460938	1
15	7	2	-17.055885314941406	7	3	-24.74772834777832	1
16	7	2	-16.97740364074707	7	4	-26.063583374023438	0
17	7	2	-16.9344539642334	7	3	-23.622737884521484	1
18	7	2	-16.44383430480957	7	4	-22.263036727905273	1
19	7	2	-17.47463607788086	7	3	-17.507587432861328	1
20	7	2	-16.795551300048828	7	4	-28.25119400024414	1
21	7	2	-16.944236755371094	7	3	-25.429588317871094	1
22	7	2	-17.5291690826416	7	4	-24.017810821533203	1
23	7	2	-17.578344345092773	7	4	-24.098371505737305	1
24	7	2	-16.599727630615234	7	3	-24.212692260742188	1
25	7	2	-17.29369354248047	7	3	-19.020002365112305	0
26	7	2	-17.24500274658203	7	4	-24.29515838623047	0
27	7	2	-17.01105308532715	7	4	-27.542186737060547	1
28	7	2	-17.31428337097168	7	5	-24.289457321166992	1
29	7	2	-17.151042938232422	7	4	-28.45448112487793	1
30	7	2	-17.0699405670166	7	3	-22.863727569580078	1
31	7	2	-17.468740463256836	7	3	-18.479095458984375	0
32	7	2	-16.913867950439453	7	4	-30.804086685180664	1
33	7	2	-17.54961395263672	7	4	-26.532474517822266	0
34	7	2	-17.066585540771484	7	3	-21.49508285522461	0
35	7	2	-17.386947631835938	7	4	-21.755746841430664	0
36	7	2	-17.33327293395996	7	4	-30.21174430847168	1
37	7	2	-16.500791549682617	7	4	-28.78912925720215	1
38	7	2	-16.94632339477539	7	3	-23.395315170288086	0
39	7	2	-16.98552894592285	7	3	-24.109176635742188	1
40	7	2	-17.583457946777344	7	4	-25.544574737548828	0
41	7	2	-17.533050537109375	7	3	-23.56653594970703	1
42	7	2	-16.808177947998047	7	3	-21.98650360107422	0
43	7	2	-16.616615295410156	7	3	-23.53643798828125	1
44	7	2	-17.089374542236328	7	3	-28.978374481201172	0
45	7	2	-16.546825408935547	7	4	-30.62401580810547	1
46	7	2	-17.00180435180664	7	4	-28.654991149902344	1
47	7	2	-17.030010223388672	7	3	-18.815189361572266	0
48	7	2	-17.404354095458984	7	4	-26.83245277404785	0
49	7	2	-16.751901626586914	7	3	-18.468399047851562	0
50	7	2	-17.478294372558594	7	4	-26.44445037841797	0
51	7	2	-16.802276611328125	7	4	-22.05393409729004	1
52	7	2	-16.540115356445312	7	3	-21.287918090820312	0
