index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	7	2	nan	7	4	-21.657073974609375	1
1	7	2	-5.373535633087158	7	3	-24.34591293334961	1
2	7	2	-7.653436660766602	7	4	-26.369125366210938	1
3	7	2	-7.388548374176025	7	3	-20.627578735351562	1
4	7	2	-5.224005699157715	7	4	-25.682079315185547	0
5	7	2	-4.213231086730957	7	3	-21.7535343170166	0
6	7	2	-9.930371284484863	7	4	-24.97602653503418	0
7	7	2	nan	7	5	-25.665205001831055	0
8	7	2	-2.16383957862854	7	5	-30.92121696472168	0
9	7	2	-8.068269729614258	7	3	-21.082046508789062	1
10	7	2	-7.968777656555176	7	3	-15.057415008544922	1
11	7	2	-10.244755744934082	7	4	-22.282955169677734	0
12	7	2	-7.427690505981445	7	3	-26.335155487060547	0
13	7	2	-4.715298175811768	7	4	-27.936676025390625	0
14	7	2	-7.393938064575195	7	3	-19.231088638305664	0
15	7	2	-8.808073997497559	7	4	-24.507837295532227	0
16	7	2	-13.566551208496094	7	4	-31.082202911376953	0
17	7	2	-6.33953857421875	7	4	-26.02627944946289	1
18	7	2	-7.089355945587158	7	3	-19.109333038330078	0
19	7	2	-4.75218391418457	7	4	-24.722900390625	0
20	7	2	-6.125621318817139	7	4	-23.778045654296875	0
21	7	2	-10.679258346557617	7	4	-27.516202926635742	0
22	7	2	-7.023262023925781	7	4	-23.177223205566406	0
23	7	2	-10.135248184204102	7	3	-18.573699951171875	0
24	7	2	-5.191021919250488	7	2	-18.710573196411133	0
25	7	2	-9.171798706054688	7	3	-26.18072509765625	1
26	7	2	-5.707143783569336	7	4	-21.444501876831055	1
27	7	2	-10.781672477722168	7	3	-15.929693222045898	1
28	7	2	-4.293368339538574	7	3	-13.179823875427246	1
29	7	2	-4.519911289215088	7	4	-25.57530975341797	0
30	7	2	-7.099272727966309	7	3	-25.922569274902344	0
31	7	2	-5.514175891876221	7	4	-27.632137298583984	0
32	7	2	-6.515970230102539	7	3	-18.68341064453125	0
33	7	2	-4.472574234008789	7	4	-27.572063446044922	1
34	7	2	-8.141077041625977	7	4	-26.01231575012207	0
35	7	2	-5.555349349975586	7	3	-27.133136749267578	0
36	7	2	-9.837228775024414	7	3	-21.566715240478516	1
37	7	2	-5.835655212402344	7	4	-19.50670623779297	1
38	7	2	-6.147132873535156	7	5	-28.323871612548828	1
39	7	2	nan	7	3	-24.37677001953125	1
40	7	2	-7.023532867431641	7	3	-22.872756958007812	0
41	7	2	-6.3403472900390625	7	4	-25.339805603027344	1
42	7	2	-10.339495658874512	7	4	-32.09737014770508	0
43	7	2	-10.45545768737793	7	4	-24.867355346679688	1
44	7	2	-10.120342254638672	7	4	-30.88137435913086	0
45	7	2	-5.2003936767578125	7	4	-23.245038986206055	1
46	7	2	-8.077905654907227	7	4	-30.241809844970703	0
47	7	2	-12.336723327636719	7	4	-23.074501037597656	0
48	7	2	-7.2667694091796875	7	4	-27.39316177368164	0
49	7	2	-8.910534858703613	7	3	-17.679309844970703	0
50	7	2	-6.955737590789795	7	3	-24.81395721435547	0
51	7	2	-7.862195014953613	7	3	-21.99132537841797	1
52	7	2	-6.306621074676514	7	5	-26.5490665435791	0
53	7	2	-5.683767795562744	7	5	-26.68353271484375	0
54	7	2	-5.446998596191406	7	4	-25.69043731689453	0
55	7	2	-7.684354782104492	7	3	-20.476238250732422	1
56	7	2	-7.9687418937683105	7	3	-29.022216796875	1
57	7	2	-7.998305320739746	7	3	-28.15114974975586	1
58	7	2	-4.040197372436523	7	4	-18.62657928466797	0
59	7	2	-12.417226791381836	7	4	-22.970623016357422	0
60	7	2	-5.991405487060547	7	3	-22.206714630126953	0
61	7	2	-7.571364402770996	7	5	-26.10321807861328	1
62	7	2	-6.975316047668457	7	4	-26.92261505126953	1
63	7	2	-8.451091766357422	7	3	-21.126262664794922	1
64	7	2	-2.093132972717285	7	4	-22.098512649536133	0
65	7	2	-2.2228312492370605	7	3	-26.05411148071289	1
66	7	2	-5.065788269042969	7	4	-24.240867614746094	0
67	7	2	-9.781776428222656	7	3	-17.238811492919922	0
68	7	2	-8.226232528686523	7	4	-24.750850677490234	0
69	7	2	-9.409943580627441	7	4	-22.78569221496582	0
70	7	2	-9.985159873962402	7	4	-25.619104385375977	1
71	7	2	-4.192537307739258	7	3	-14.980915069580078	1
72	7	2	-5.626315593719482	7	4	-29.15363311767578	0
73	7	2	-8.541489601135254	7	4	-29.328495025634766	1
74	7	2	-5.446619987487793	7	3	-23.130714416503906	0
75	7	2	-7.645740032196045	7	5	-30.093128204345703	0
76	7	2	-8.512434005737305	7	4	-22.322769165039062	1
77	7	2	-5.9576416015625	7	4	-25.509864807128906	0
78	7	2	-8.589011192321777	7	3	-24.016613006591797	0
79	7	2	-6.279153347015381	7	4	-24.89026641845703	0
80	7	2	-6.400052547454834	7	3	-17.6777400970459	1
81	7	2	-8.000404357910156	7	4	-27.4807071685791	0
82	7	2	-7.265651226043701	7	3	-19.6574649810791	0
83	7	2	-6.7464375495910645	7	4	-25.747690200805664	0
84	7	2	-5.5620269775390625	7	4	-25.16104507446289	0
85	7	2	-4.862603664398193	7	4	-24.61031150817871	1
86	7	2	-1.9700208902359009	7	4	-26.43164825439453	1
87	7	2	-5.85430383682251	7	4	-28.044681549072266	0
88	7	2	-6.040164947509766	7	3	-22.119876861572266	0
89	7	2	-6.707706451416016	7	3	-22.099964141845703	1
90	7	2	-9.50936508178711	7	4	-32.38913345336914	0
91	7	2	-9.646492004394531	7	3	-20.048185348510742	1
92	7	2	-4.441836357116699	7	2	-14.715746879577637	1
93	7	2	-9.03361701965332	7	4	-25.789154052734375	0
94	7	2	-11.94862174987793	7	3	-25.606327056884766	0
95	7	2	-6.737253189086914	7	3	-21.490127563476562	1
