index	method	correct
0	multiplication_number	1
1	multiplication_number	1
2	multiplication_number	1
3	multiplication_number	0
4	multiplication_number	1
5	multiplication_number	1
6	multiplication_number	1
7	multiplication_number	0
8	multiplication_number	1
9	multiplication_number	1
10	multiplication_number	1
11	multiplication_number	1
12	multiplication_number	1
13	multiplication_number	1
14	multiplication_number	1
15	multiplication_number	1
16	multiplication_number	1
17	multiplication_number	1
18	multiplication_number	1
19	multiplication_number	1
20	multiplication_number	0
21	multiplication_number	1
22	multiplication_number	1
23	multiplication_number	1
24	multiplication_number	1
25	multiplication_number	1
26	multiplication_number	1
27	multiplication_number	1
28	multiplication_number	1
29	multiplication_number	1
30	multiplication_number	1
31	multiplication_number	1
32	multiplication_number	1
33	multiplication_number	1
34	multiplication_number	1
35	multiplication_number	1
36	multiplication_number	1
37	multiplication_number	0
38	multiplication_number	0
39	multiplication_number	1
40	multiplication_number	1
41	multiplication_number	1
42	multiplication_number	1
43	multiplication_number	1
44	multiplication_number	1
45	multiplication_number	1
46	multiplication_number	1
47	multiplication_number	1
48	multiplication_number	1
49	multiplication_number	1
50	multiplication_number	1
51	multiplication_number	1
52	multiplication_number	0
53	multiplication_number	1
54	multiplication_number	1
55	multiplication_number	0
56	multiplication_number	1
57	multiplication_number	1
58	multiplication_number	1
59	multiplication_number	1
60	multiplication_number	1
61	multiplication_number	1
62	multiplication_number	0
63	multiplication_number	1
64	multiplication_number	1
65	multiplication_number	1
66	multiplication_number	1
67	multiplication_number	1
68	multiplication_number	1
69	multiplication_number	1
70	multiplication_number	1
71	multiplication_number	1
72	multiplication_number	1
73	multiplication_number	1
74	multiplication_number	1
75	multiplication_number	1
76	multiplication_number	1
77	multiplication_number	1
78	multiplication_number	1
79	multiplication_number	1
80	multiplication_number	1
81	multiplication_number	1
82	multiplication_number	1
83	multiplication_number	1
84	multiplication_number	1
85	multiplication_number	0
86	multiplication_number	1
87	multiplication_number	0
88	multiplication_number	0
89	multiplication_number	1
90	multiplication_number	1
91	multiplication_number	1
92	multiplication_number	0
93	multiplication_number	1
94	multiplication_number	1
95	multiplication_number	1
96	multiplication_number	0
97	multiplication_number	1
98	multiplication_number	1
99	multiplication_number	0
0	multiplication_word	1
1	multiplication_word	0
2	multiplication_word	1
3	multiplication_word	0
4	multiplication_word	1
5	multiplication_word	1
6	multiplication_word	1
7	multiplication_word	1
8	multiplication_word	1
9	multiplication_word	1
10	multiplication_word	1
11	multiplication_word	1
12	multiplication_word	1
13	multiplication_word	1
14	multiplication_word	1
15	multiplication_word	1
16	multiplication_word	1
17	multiplication_word	1
18	multiplication_word	1
19	multiplication_word	1
20	multiplication_word	1
21	multiplication_word	1
22	multiplication_word	1
23	multiplication_word	0
24	multiplication_word	1
25	multiplication_word	1
26	multiplication_word	1
27	multiplication_word	1
28	multiplication_word	1
29	multiplication_word	0
30	multiplication_word	1
31	multiplication_word	1
32	multiplication_word	1
33	multiplication_word	1
34	multiplication_word	1
35	multiplication_word	1
36	multiplication_word	1
37	multiplication_word	1
38	multiplication_word	1
39	multiplication_word	1
40	multiplication_word	1
41	multiplication_word	1
42	multiplication_word	1
43	multiplication_word	0
44	multiplication_word	1
45	multiplication_word	1
46	multiplication_word	1
47	multiplication_word	1
48	multiplication_word	1
49	multiplication_word	1
50	multiplication_word	1
51	multiplication_word	1
52	multiplication_word	1
53	multiplication_word	1
54	multiplication_word	1
55	multiplication_word	1
56	multiplication_word	1
57	multiplication_word	1
58	multiplication_word	1
59	multiplication_word	0
60	multiplication_word	1
61	multiplication_word	1
62	multiplication_word	0
63	multiplication_word	1
64	multiplication_word	1
65	multiplication_word	1
66	multiplication_word	1
67	multiplication_word	1
68	multiplication_word	1
69	multiplication_word	1
70	multiplication_word	1
71	multiplication_word	1
72	multiplication_word	1
73	multiplication_word	1
74	multiplication_word	1
75	multiplication_word	1
76	multiplication_word	1
77	multiplication_word	1
78	multiplication_word	1
79	multiplication_word	1
80	multiplication_word	1
81	multiplication_word	1
82	multiplication_word	1
83	multiplication_word	1
84	multiplication_word	1
85	multiplication_word	1
86	multiplication_word	1
87	multiplication_word	0
88	multiplication_word	1
89	multiplication_word	1
90	multiplication_word	1
91	multiplication_word	1
92	multiplication_word	1
93	multiplication_word	1
94	multiplication_word	1
95	multiplication_word	1
96	multiplication_word	0
97	multiplication_word	1
98	multiplication_word	1
99	multiplication_word	1
0	multiplication_allcaps	1
1	multiplication_allcaps	1
2	multiplication_allcaps	1
3	multiplication_allcaps	0
4	multiplication_allcaps	1
5	multiplication_allcaps	1
6	multiplication_allcaps	1
7	multiplication_allcaps	1
8	multiplication_allcaps	1
9	multiplication_allcaps	1
10	multiplication_allcaps	1
11	multiplication_allcaps	1
12	multiplication_allcaps	1
13	multiplication_allcaps	1
14	multiplication_allcaps	1
15	multiplication_allcaps	1
16	multiplication_allcaps	1
17	multiplication_allcaps	1
18	multiplication_allcaps	1
19	multiplication_allcaps	0
20	multiplication_allcaps	0
21	multiplication_allcaps	1
22	multiplication_allcaps	1
23	multiplication_allcaps	0
24	multiplication_allcaps	1
25	multiplication_allcaps	1
26	multiplication_allcaps	1
27	multiplication_allcaps	1
28	multiplication_allcaps	1
29	multiplication_allcaps	1
30	multiplication_allcaps	1
31	multiplication_allcaps	1
32	multiplication_allcaps	1
33	multiplication_allcaps	1
34	multiplication_allcaps	1
35	multiplication_allcaps	1
36	multiplication_allcaps	1
37	multiplication_allcaps	1
38	multiplication_allcaps	1
39	multiplication_allcaps	1
40	multiplication_allcaps	1
41	multiplication_allcaps	1
42	multiplication_allcaps	1
43	multiplication_allcaps	0
