index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	66	23	-144.09718322753906	48	11	-30.22695541381836	1
1	70	27	-181.81285095214844	52	11	-33.568328857421875	1
2	91	33	-195.66949462890625	65	15	-46.63685989379883	1
3	51	21	-134.83384704589844	35	12	-29.17022132873535	0
4	62	21	-158.1795196533203	46	10	-42.01966094970703	1
5	83	30	-200.02980041503906	63	12	-34.38407897949219	1
6	127	44	-271.44091796875	93	19	-57.030372619628906	0
7	80	27	-203.9578399658203	60	12	-44.13160705566406	1
8	82	26	-198.54412841796875	64	11	-29.84229278564453	1
9	97	35	-215.43922424316406	69	15	-35.56483840942383	1
10	111	35	-226.79583740234375	83	17	-45.93824768066406	1
11	89	29	-203.44903564453125	65	13	-37.231903076171875	1
12	90	25	-183.39584350585938	70	11	-38.03014373779297	1
13	87	32	-211.82151794433594	65	12	-36.2711296081543	1
14	104	37	-213.3206329345703	74	17	-48.818241119384766	1
15	88	28	-200.52288818359375	66	12	-31.062971115112305	1
16	72	27	-193.5261993408203	54	10	-33.82640838623047	1
17	113	36	-219.401123046875	83	18	-58.68632125854492	1
18	123	44	-269.0035705566406	91	20	-52.05624771118164	1
19	80	32	-184.1559295654297	56	14	-38.932559967041016	1
20	202	71	-439.3011779785156	146	31	-86.7518310546875	0
21	41	16	-117.98677825927734	29	8	-45.367950439453125	0
22	135	56	-293.09130859375	97	24	-52.75218963623047	1
23	112	45	-259.0738220214844	82	17	-49.46599578857422	1
24	146	50	-327.36865234375	114	17	-65.35729217529297	1
25	85	28	-173.48776245117188	63	13	-52.5767822265625	1
26	210	65	-375.4304504394531	160	29	-68.16397857666016	1
27	93	32	-222.2692108154297	69	13	-44.78742218017578	1
28	79	29	-185.70823669433594	57	12	-34.395320892333984	1
29	225	80	-419.2216796875	167	33	-110.24634552001953	1
30	115	39	-243.01513671875	85	17	-51.22245407104492	0
31	209	75	-429.1328430175781	151	31	-94.86784362792969	0
32	187	64	-383.445068359375	141	26	-85.37798309326172	1
33	190	67	-390.32586669921875	138	29	-85.90695190429688	0
34	78	25	-183.7773895263672	60	10	-38.51613235473633	1
35	121	42	-253.30038452148438	87	19	-54.80363464355469	1
36	65	21	-157.68905639648438	49	10	-41.21456527709961	1
37	126	46	-295.986572265625	90	20	-62.54371643066406	0
38	94	36	-226.6199188232422	68	16	-44.79998016357422	0
39	98	37	-242.94366455078125	72	16	-60.25666809082031	1
40	154	51	-314.77618408203125	116	21	-68.46855163574219	1
41	189	61	-398.188232421875	143	25	-85.19293975830078	0
42	202	71	-379.49432373046875	148	31	-106.4739990234375	0
43	90	34	-215.12973022460938	66	14	-39.121883392333984	1
44	90	35	-193.14260864257812	62	15	-53.58772659301758	0
45	144	51	-310.2855529785156	108	20	-70.90003967285156	0
46	135	43	-288.83050537109375	101	22	-68.741943359375	0
47	102	34	-213.73019409179688	76	14	-61.004852294921875	1
48	91	36	-208.4638671875	67	14	-47.3330192565918	1
49	60	22	-155.63792419433594	44	10	-39.08855438232422	0
50	202	75	-449.9233093261719	154	27	-123.87109375	1
51	172	61	-366.94989013671875	128	27	-68.1164779663086	0
52	110	38	-257.0723571777344	84	17	-64.16669464111328	0
53	63	23	-150.59371948242188	47	10	-33.70474624633789	0
54	142	51	-258.9015808105469	106	24	-62.38876724243164	0
55	98	37	-219.57228088378906	72	17	-67.8116683959961	0
56	158	48	-311.6770935058594	120	21	-75.96402740478516	1
57	202	64	-368.5970764160156	156	27	-94.36947631835938	0
