index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-30.22695541381836	66	21	-144.09718322753906	0
1	52	11	-33.568328857421875	70	25	-181.81285095214844	0
2	65	15	-46.63685989379883	91	31	-195.66949462890625	0
3	35	13	-29.17022132873535	51	20	-134.83384704589844	0
4	46	10	-42.01966094970703	62	20	-158.1795196533203	0
5	63	12	-34.38407897949219	83	27	-200.02980041503906	0
6	93	19	-57.030372619628906	127	40	-271.44091796875	0
7	60	12	-44.13160705566406	80	25	-203.9578399658203	0
8	64	10	-29.84229278564453	82	26	-198.54412841796875	0
9	69	15	-35.56483840942383	97	32	-215.43922424316406	0
10	83	16	-45.93824768066406	111	34	-226.79583740234375	0
11	65	13	-37.231903076171875	89	28	-203.44903564453125	0
12	70	11	-38.03014373779297	90	24	-183.39584350585938	0
13	65	12	-36.2711296081543	87	28	-211.82151794433594	0
14	74	17	-48.818241119384766	104	35	-213.3206329345703	0
15	66	12	-31.062971115112305	88	27	-200.52288818359375	0
16	54	10	-33.82640838623047	72	24	-193.5261993408203	0
17	83	16	-58.68632125854492	113	34	-219.401123046875	0
18	91	22	-52.05624771118164	123	41	-269.0035705566406	0
19	56	15	-38.932559967041016	80	29	-184.1559295654297	0
20	146	31	-86.7518310546875	202	68	-439.3011779785156	0
21	29	9	-45.367950439453125	41	16	-117.98677825927734	0
22	97	24	-52.75218963623047	135	48	-293.09130859375	0
23	82	17	-49.46599578857422	112	38	-259.0738220214844	0
24	114	17	-65.35729217529297	146	44	-327.36865234375	0
25	63	12	-52.5767822265625	85	27	-173.48776245117188	0
26	160	29	-68.16397857666016	210	61	-375.4304504394531	0
27	69	13	-44.78742218017578	93	31	-222.2692108154297	0
28	57	12	-34.395320892333984	79	27	-185.70823669433594	0
29	167	33	-110.24634552001953	225	74	-419.2216796875	0
30	85	17	-51.22245407104492	115	36	-243.01513671875	0
31	151	31	-94.86784362792969	209	69	-429.1328430175781	0
32	141	25	-85.37798309326172	187	57	-383.445068359375	0
33	138	30	-85.90695190429688	190	63	-390.32586669921875	0
34	60	10	-38.51613235473633	78	25	-183.7773895263672	0
35	87	19	-54.80363464355469	121	39	-253.30038452148438	0
36	49	10	-41.21456527709961	65	19	-157.68905639648438	0
37	90	20	-62.54371643066406	126	46	-295.986572265625	0
38	68	16	-44.79998016357422	94	32	-226.6199188232422	0
39	72	16	-60.25666809082031	98	33	-242.94366455078125	0
40	116	21	-68.46855163574219	154	47	-314.77618408203125	0
41	143	25	-85.19293975830078	189	64	-398.188232421875	0
42	148	30	-106.4739990234375	202	64	-379.49432373046875	0
43	66	14	-39.121883392333984	90	32	-215.12973022460938	0
44	62	15	-53.58772659301758	90	31	-193.14260864257812	0
45	108	20	-70.90003967285156	144	46	-310.2855529785156	0
46	101	20	-68.741943359375	135	40	-288.83050537109375	0
47	76	14	-61.004852294921875	102	32	-213.73019409179688	0
48	67	14	-47.3330192565918	91	31	-208.4638671875	0
49	44	10	-39.08855438232422	60	22	-155.63792419433594	0
50	154	27	-123.87109375	202	66	-449.9233093261719	0
51	128	25	-68.1164779663086	172	56	-366.94989013671875	0
52	84	17	-64.16669464111328	110	34	-257.0723571777344	0
53	47	10	-33.70474624633789	63	21	-150.59371948242188	0
54	106	22	-62.38876724243164	142	45	-258.9015808105469	0
55	72	16	-67.8116683959961	98	33	-219.57228088378906	0
56	120	20	-75.96402740478516	158	47	-311.6770935058594	0
57	156	26	-94.36947631835938	202	61	-368.5970764160156	0
58	144	28	-79.90569305419922	194	63	-389.01947021484375	0
59	140	24	-81.16439056396484	184	52	-353.1314697265625	0
60	65	13	-41.32142639160156	89	30	-212.87896728515625	0
61	74	14	-47.243648529052734	98	30	-203.95065307617188	0
62	125	23	-97.30760955810547	161	53	-349.98529052734375	0
63	78	15	-56.248104095458984	100	29	-203.32167053222656	0
64	118	20	-81.76481628417969	152	45	-327.6550598144531	0
65	53	11	-28.980443954467773	73	26	-150.3999786376953	0
66	53	11	-35.208526611328125	73	24	-164.12606811523438	0
67	140	27	-83.2618408203125	188	58	-347.5411376953125	0
