index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-33.24964904785156	66	23	-150.10122680664062	0
1	52	11	-36.92516326904297	70	27	-187.87327575683594	0
2	65	15	-49.96806335449219	91	33	-201.598876953125	0
3	35	12	-31.822059631347656	51	21	-141.2545166015625	1
4	46	10	-46.22163009643555	62	21	-164.77032470703125	1
5	63	12	-37.50990295410156	83	30	-206.4823760986328	0
6	93	19	-60.198726654052734	127	44	-277.21624755859375	1
7	60	12	-47.809242248535156	80	27	-211.24205017089844	0
8	64	11	-32.82652282714844	82	26	-205.89761352539062	0
9	69	15	-38.105186462402344	97	35	-220.9633026123047	0
10	83	17	-48.80938720703125	111	35	-233.27572631835938	1
11	65	13	-40.33456039428711	89	29	-210.2306671142578	0
12	70	11	-41.83315658569336	90	25	-190.73167419433594	0
13	65	12	-39.568504333496094	87	32	-218.24034118652344	1
14	74	17	-51.869380950927734	104	37	-219.08604431152344	0
15	66	12	-33.886878967285156	88	28	-207.43746948242188	1
16	54	10	-37.58489990234375	72	27	-200.43785095214844	1
17	83	18	-62.354217529296875	113	36	-225.49560546875	0
18	91	20	-54.796051025390625	123	44	-274.9814147949219	0
19	56	14	-41.927371978759766	80	32	-190.09645080566406	1
20	146	31	-89.6435546875	202	71	-445.488525390625	0
21	29	8	-50.408836364746094	41	16	-125.36095428466797	1
22	97	24	-55.04576110839844	135	56	-298.2332763671875	0
23	82	17	-52.557621002197266	112	45	-264.70587158203125	0
24	114	17	-69.44212341308594	146	50	-333.916015625	0
25	63	13	-56.95818328857422	85	28	-180.16036987304688	0
26	160	29	-70.51445770263672	210	65	-381.2965393066406	0
27	69	13	-48.51970672607422	93	32	-229.004638671875	1
28	57	12	-37.52216720581055	79	29	-192.11196899414062	0
29	167	33	-113.69154357910156	225	80	-424.3972473144531	1
30	85	17	-54.423858642578125	115	39	-249.2462921142578	0
31	151	31	-98.03010559082031	209	75	-434.9319152832031	0
32	141	26	-88.79310607910156	187	64	-389.531494140625	0
33	138	29	-88.97505950927734	190	67	-395.9019470214844	0
34	60	10	-42.79570007324219	78	25	-191.1284942626953	0
35	87	19	-57.8482780456543	121	42	-259.19110107421875	0
36	49	10	-45.79396057128906	65	21	-164.85675048828125	1
37	90	20	-65.83548736572266	126	46	-302.027099609375	0
38	68	16	-47.786643981933594	94	36	-232.9149169921875	0
39	72	16	-64.2737808227539	98	37	-249.0172576904297	0
40	116	21	-71.89198303222656	154	51	-320.9482727050781	0
41	143	25	-88.74264526367188	189	61	-404.409912109375	0
42	148	31	-109.70048522949219	202	71	-384.62261962890625	1
43	66	14	-42.131256103515625	90	34	-221.6488037109375	0
44	62	15	-57.41542053222656	90	35	-198.9954071044922	1
45	108	20	-74.63162231445312	144	51	-316.2525939941406	1
46	101	22	-72.17903900146484	135	43	-295.10943603515625	1
47	76	14	-65.6975326538086	102	34	-219.66714477539062	1
48	67	14	-50.974021911621094	91	36	-214.0980224609375	0
49	44	10	-43.431724548339844	60	22	-162.40478515625	0
50	154	27	-128.63536071777344	202	75	-455.7664489746094	0
51	128	27	-70.73634338378906	172	61	-372.7745056152344	1
52	84	17	-67.94120788574219	110	38	-263.6639709472656	0
53	47	10	-37.4497184753418	63	23	-157.4388885498047	0
54	106	24	-65.10132598876953	142	51	-264.07958984375	0
55	72	17	-72.04989624023438	98	37	-225.50665283203125	1
56	120	21	-79.7622299194336	158	48	-318.3085021972656	0
57	156	27	-97.99906921386719	202	64	-374.54217529296875	1
58	144	28	-82.86515808105469	194	68	-394.4986267089844	1
59	140	25	-84.5462417602539	184	53	-359.3267822265625	1
60	65	13	-44.76487731933594	89	33	-219.329833984375	0
61	74	14	-50.877777099609375	98	35	-209.77780151367188	1
62	125	22	-101.94129943847656	161	53	-356.3486633300781	0
63	78	15	-59.99797821044922	100	30	-210.09906005859375	1
64	118	20	-86.06822967529297	152	49	-334.2081604003906	1
65	53	11	-31.878488540649414	73	28	-155.97035217285156	1
66	53	11	-38.72937774658203	73	26	-170.20481872558594	0
67	140	27	-86.46421813964844	188	62	-352.8069152832031	0
68	113	22	-75.18800354003906	149	49	-331.3473815917969	0
69	104	19	-89.46810913085938	140	51	-333.7340087890625	0
70	160	24	-79.36620330810547	200	61	-374.3164978027344	1
71	68	13	-57.288944244384766	90	28	-203.04026794433594	0
72	113	21	-91.37767791748047	151	52	-366.2406921386719	0
73	109	21	-99.0778579711914	141	47	-319.8825988769531	1
74	146	26	-117.63187408447266	192	58	-395.7778015136719	0
75	63	13	-51.76068878173828	87	30	-203.05804443359375	1
76	83	17	-72.48033142089844	115	44	-250.2528076171875	1
77	118	20	-90.80442810058594	150	44	-277.6264343261719	0
78	49	10	-43.10844802856445	65	25	-163.53378295898438	1
79	38	9	-29.130300521850586	54	21	-130.79116821289062	1
80	35	10	-38.84113311767578	51	22	-109.08621215820312	1
81	56	9	-55.68692398071289	70	22	-178.3843994140625	0
82	164	29	-101.61489868164062	220	72	-384.8630065917969	0
83	158	28	-127.58648681640625	204	65	-415.76751708984375	0
84	51	10	-49.24087905883789	67	22	-176.0819549560547	0
85	82	17	-114.53662109375	108	36	-251.20758056640625	0
86	62	13	-42.88875961303711	86	32	-197.93939208984375	0
87	97	16	-76.33981323242188	125	40	-259.9891052246094	1
88	116	25	-98.60811614990234	156	51	-318.81402587890625	0
89	48	12	-69.34771728515625	68	27	-194.32521057128906	1
90	108	22	-96.334716796875	144	49	-330.05096435546875	0
91	44	11	-66.707275390625	62	23	-194.61183166503906	0
92	172	33	-120.14082336425781	234	75	-410.54937744140625	1
93	66	17	-73.50143432617188	94	38	-222.76434326171875	0
94	49	13	-73.24295043945312	69	25	-198.98793029785156	1
95	49	11	-69.4598159790039	63	23	-209.07997131347656	1
96	46	11	-64.25267028808594	62	23	-189.96405029296875	1
97	55	13	-67.91451263427734	75	29	-210.0048370361328	1
98	112	25	-95.81402587890625	154	55	-387.9106750488281	0
99	65	16	-96.91814422607422	87	33	-250.42291259765625	1
0	48	11	-60.40659713745117	66	23	-158.55055236816406	1
1	52	11	-47.127079010009766	70	24	-174.6792449951172	0
2	65	15	-83.38713073730469	91	32	-209.20443725585938	1
3	35	12	-42.3659553527832	51	21	-138.29049682617188	0
4	46	10	-58.2609977722168	62	21	-165.1861114501953	0
5	63	12	-78.71544647216797	83	30	-206.4261932373047	0
6	93	19	-92.10623168945312	127	42	-262.4015808105469	1
7	60	12	-79.21258544921875	80	26	-193.88470458984375	1
8	64	11	-54.34354019165039	82	28	-211.6826171875	0
9	69	15	-49.48733139038086	97	35	-219.89817810058594	0
10	83	17	-54.03776931762695	111	37	-242.56980895996094	1
11	65	13	-54.60056686401367	89	29	-213.5748291015625	0
12	70	11	-88.27166748046875	90	27	-169.06488037109375	0
13	65	12	-67.59613800048828	87	32	-213.58078002929688	1
14	74	17	-64.4890365600586	104	37	-215.20640563964844	0
15	66	12	-62.523399353027344	88	27	-205.2938995361328	1
16	54	10	-61.30801773071289	72	25	-192.18377685546875	0
17	83	18	-77.92012023925781	113	40	-254.62608337402344	0
18	91	20	-98.40154266357422	123	44	-261.79901123046875	0
19	56	14	-52.6644172668457	80	33	-190.33604431152344	1
20	146	31	-144.6704559326172	202	71	-423.9357604980469	0
21	29	8	-64.38446807861328	41	17	-135.27444458007812	1
22	97	24	-69.43051147460938	135	54	-288.888916015625	1
23	82	17	-75.78662109375	112	42	-257.5437316894531	0
24	114	17	-128.1245574951172	146	42	-299.93072509765625	1
25	63	13	-72.41039276123047	85	24	-165.99554443359375	1
26	160	29	-119.81070709228516	210	68	-405.6195373535156	0
27	69	13	-80.7720947265625	93	31	-197.29495239257812	1
28	57	12	-67.99431610107422	79	24	-160.98046875	1
29	167	33	-184.9637451171875	225	77	-470.593017578125	0
30	85	17	-69.96345520019531	115	38	-228.22972106933594	0
31	151	31	-151.0155792236328	209	80	-445.16802978515625	0
32	141	26	-141.51858520507812	187	64	-422.8401184082031	0
33	138	29	-133.2773895263672	190	69	-424.7022399902344	0
34	60	10	-75.86932373046875	78	25	-183.0711212158203	0
35	87	19	-67.55754089355469	121	41	-248.85739135742188	0
36	49	10	-54.11458969116211	65	21	-172.41082763671875	0
37	90	20	-87.50654602050781	126	46	-315.6661376953125	0
38	68	16	-62.55187225341797	94	36	-221.29124450683594	1
39	72	16	-83.43338012695312	98	38	-246.9024200439453	0
40	116	21	-112.200927734375	152	49	-318.0326843261719	1
41	143	25	-148.1253204345703	189	62	-398.4599304199219	0
42	148	31	-137.59620666503906	202	68	-378.3501281738281	1
43	66	14	-78.60423278808594	90	33	-220.95115661621094	1
44	62	15	-63.35273361206055	90	34	-207.0454864501953	1
45	108	20	-107.55370330810547	144	49	-328.7546691894531	0
46	101	22	-84.85174560546875	135	44	-304.0051574707031	0
