index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-30.22695541381836	66	26	-144.09718322753906	0
1	52	12	-33.568328857421875	70	32	-181.81285095214844	0
2	65	16	-46.63685989379883	91	36	-195.66949462890625	0
3	35	14	-29.17022132873535	51	24	-134.83384704589844	0
4	46	12	-42.01966094970703	62	27	-158.1795196533203	0
5	63	13	-34.38407897949219	83	33	-200.02980041503906	0
6	93	21	-57.030372619628906	127	48	-271.44091796875	0
7	60	13	-44.13160705566406	80	33	-203.9578399658203	0
8	64	11	-29.84229278564453	82	29	-198.54412841796875	0
9	69	16	-35.56483840942383	97	40	-215.43922424316406	0
10	83	20	-45.93824768066406	111	41	-226.79583740234375	0
11	65	15	-37.231903076171875	89	33	-203.44903564453125	0
12	70	14	-38.03014373779297	90	29	-183.39584350585938	0
13	65	13	-36.2711296081543	87	35	-211.82151794433594	0
14	74	21	-48.818241119384766	104	38	-213.3206329345703	0
15	66	13	-31.062971115112305	88	31	-200.52288818359375	0
16	54	11	-33.82640838623047	72	30	-193.5261993408203	0
17	83	19	-58.68632125854492	113	39	-219.401123046875	0
18	91	23	-52.05624771118164	123	47	-269.0035705566406	0
19	56	16	-38.932559967041016	80	34	-184.1559295654297	0
20	146	33	-86.7518310546875	202	75	-439.3011779785156	0
21	29	10	-45.367950439453125	41	17	-117.98677825927734	0
22	97	26	-52.75218963623047	135	59	-293.09130859375	0
23	82	19	-49.46599578857422	112	47	-259.0738220214844	0
24	114	20	-65.35729217529297	146	55	-327.36865234375	0
25	63	16	-52.5767822265625	85	31	-173.48776245117188	0
26	160	31	-68.16397857666016	210	69	-375.4304504394531	0
27	69	14	-44.78742218017578	93	35	-222.2692108154297	0
28	57	13	-34.395320892333984	79	33	-185.70823669433594	0
29	167	36	-110.24634552001953	225	83	-419.2216796875	0
30	85	18	-51.22245407104492	115	41	-243.01513671875	0
31	151	35	-94.86784362792969	209	80	-429.1328430175781	0
32	141	29	-85.37798309326172	187	67	-383.445068359375	0
33	138	36	-85.90695190429688	190	73	-390.32586669921875	0
34	60	11	-38.51613235473633	78	27	-183.7773895263672	0
35	87	22	-54.80363464355469	121	47	-253.30038452148438	0
36	49	11	-41.21456527709961	65	23	-157.68905639648438	0
37	90	22	-62.54371643066406	126	52	-295.986572265625	0
38	68	17	-44.79998016357422	94	39	-226.6199188232422	0
39	72	22	-60.25666809082031	98	43	-242.94366455078125	0
40	116	24	-68.46855163574219	154	56	-314.77618408203125	0
41	143	31	-85.19293975830078	189	67	-398.188232421875	0
42	148	36	-106.4739990234375	202	77	-379.49432373046875	0
43	66	16	-39.121883392333984	90	38	-215.12973022460938	0
44	62	16	-53.58772659301758	90	37	-193.14260864257812	0
45	108	24	-70.90003967285156	144	55	-310.2855529785156	0
46	101	27	-68.741943359375	135	53	-288.83050537109375	0
47	76	17	-61.004852294921875	102	38	-213.73019409179688	0
48	67	15	-47.3330192565918	91	38	-208.4638671875	0
49	44	14	-39.08855438232422	60	26	-155.63792419433594	0
50	154	31	-123.87109375	202	78	-449.9233093261719	0
51	128	29	-68.1164779663086	172	65	-366.94989013671875	0
52	84	21	-64.16669464111328	110	44	-257.0723571777344	0
53	47	12	-33.70474624633789	63	24	-150.59371948242188	0
54	106	28	-62.38876724243164	142	53	-258.9015808105469	0
55	72	20	-67.8116683959961	98	39	-219.57228088378906	0
56	120	24	-75.96402740478516	158	51	-311.6770935058594	0
57	156	32	-94.36947631835938	202	68	-368.5970764160156	0
58	144	29	-79.90569305419922	194	73	-389.01947021484375	0
59	140	29	-81.16439056396484	184	62	-353.1314697265625	0
60	65	16	-41.32142639160156	89	34	-212.87896728515625	0
61	74	15	-47.243648529052734	98	37	-203.95065307617188	0
62	125	28	-97.30760955810547	161	62	-349.98529052734375	0
63	78	17	-56.248104095458984	100	33	-203.32167053222656	0
64	118	24	-81.76481628417969	152	55	-327.6550598144531	0
65	53	12	-28.980443954467773	73	30	-150.3999786376953	0
66	53	14	-35.208526611328125	73	30	-164.12606811523438	0
67	140	28	-83.2618408203125	188	68	-347.5411376953125	0
