index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-30.22695541381836	66	24	-144.09718322753906	0
1	52	12	-33.568328857421875	70	28	-181.81285095214844	0
2	65	16	-46.63685989379883	91	34	-195.66949462890625	0
3	35	13	-29.17022132873535	51	22	-134.83384704589844	0
4	46	11	-42.01966094970703	62	22	-158.1795196533203	0
5	63	13	-34.38407897949219	83	31	-200.02980041503906	0
6	93	20	-57.030372619628906	127	45	-271.44091796875	0
7	60	13	-44.13160705566406	80	28	-203.9578399658203	0
8	64	12	-29.84229278564453	82	27	-198.54412841796875	0
9	69	16	-35.56483840942383	97	36	-215.43922424316406	0
10	83	18	-45.93824768066406	111	36	-226.79583740234375	0
11	65	14	-37.231903076171875	89	30	-203.44903564453125	0
12	70	12	-38.03014373779297	90	25	-183.39584350585938	0
13	65	13	-36.2711296081543	87	33	-211.82151794433594	0
14	74	18	-48.818241119384766	104	37	-213.3206329345703	0
15	66	13	-31.062971115112305	88	29	-200.52288818359375	0
16	54	11	-33.82640838623047	72	28	-193.5261993408203	0
17	83	19	-58.68632125854492	113	37	-219.401123046875	1
18	91	21	-52.05624771118164	123	45	-269.0035705566406	1
19	56	15	-38.932559967041016	80	32	-184.1559295654297	0
20	146	32	-86.7518310546875	202	71	-439.3011779785156	0
21	29	9	-45.367950439453125	41	17	-117.98677825927734	0
22	97	25	-52.75218963623047	135	57	-293.09130859375	0
23	82	18	-49.46599578857422	112	46	-259.0738220214844	0
24	114	18	-65.35729217529297	146	51	-327.36865234375	0
25	63	14	-52.5767822265625	85	27	-173.48776245117188	0
26	160	30	-68.16397857666016	210	66	-375.4304504394531	0
27	69	14	-44.78742218017578	93	33	-222.2692108154297	0
28	57	13	-34.395320892333984	79	29	-185.70823669433594	0
29	167	34	-110.24634552001953	225	81	-419.2216796875	0
30	85	18	-51.22245407104492	115	40	-243.01513671875	0
31	151	32	-94.86784362792969	209	74	-429.1328430175781	0
32	141	27	-85.37798309326172	187	64	-383.445068359375	0
33	138	30	-85.90695190429688	190	67	-390.32586669921875	0
34	60	11	-38.51613235473633	78	26	-183.7773895263672	0
35	87	20	-54.80363464355469	121	43	-253.30038452148438	0
36	49	11	-41.21456527709961	65	22	-157.68905639648438	0
37	90	21	-62.54371643066406	126	46	-295.986572265625	0
38	68	17	-44.79998016357422	94	37	-226.6199188232422	0
39	72	17	-60.25666809082031	98	38	-242.94366455078125	0
40	116	22	-68.46855163574219	154	52	-314.77618408203125	0
41	143	26	-85.19293975830078	189	62	-398.188232421875	0
42	148	32	-106.4739990234375	202	72	-379.49432373046875	0
43	66	15	-39.121883392333984	90	35	-215.12973022460938	0
44	62	16	-53.58772659301758	90	36	-193.14260864257812	0
45	108	21	-70.90003967285156	144	51	-310.2855529785156	0
46	101	23	-68.741943359375	135	44	-288.83050537109375	0
47	76	15	-61.004852294921875	102	35	-213.73019409179688	0
48	67	15	-47.3330192565918	91	36	-208.4638671875	0
49	44	11	-39.08855438232422	60	23	-155.63792419433594	0
50	154	28	-123.87109375	202	76	-449.9233093261719	0
51	128	28	-68.1164779663086	172	61	-366.94989013671875	0
52	84	18	-64.16669464111328	110	39	-257.0723571777344	0
53	47	11	-33.70474624633789	63	24	-150.59371948242188	0
54	106	25	-62.38876724243164	142	52	-258.9015808105469	0
55	72	18	-67.8116683959961	98	38	-219.57228088378906	0
56	120	22	-75.96402740478516	158	48	-311.6770935058594	0
57	156	28	-94.36947631835938	202	65	-368.5970764160156	0
58	144	29	-79.90569305419922	194	69	-389.01947021484375	0
59	140	26	-81.16439056396484	184	54	-353.1314697265625	0
60	65	14	-41.32142639160156	89	34	-212.87896728515625	0
61	74	15	-47.243648529052734	98	36	-203.95065307617188	1
62	125	23	-97.30760955810547	161	54	-349.98529052734375	0
63	78	16	-56.248104095458984	100	31	-203.32167053222656	1
64	118	21	-81.76481628417969	152	50	-327.6550598144531	0
65	53	12	-28.980443954467773	73	29	-150.3999786376953	0
66	53	12	-35.208526611328125	73	26	-164.12606811523438	0
67	140	28	-83.2618408203125	188	63	-347.5411376953125	0
68	113	23	-71.91896057128906	149	50	-324.8503723144531	0
69	104	20	-84.99470520019531	140	51	-327.55377197265625	0
70	160	25	-76.1915512084961	200	62	-368.64501953125	0
71	68	14	-52.882102966308594	90	29	-196.27224731445312	0
72	113	22	-87.72257232666016	151	52	-359.8154296875	0
73	109	22	-94.5743179321289	141	48	-313.6103820800781	0
74	146	27	-113.10757446289062	192	59	-389.4956359863281	0
75	63	14	-47.77909851074219	87	30	-196.50778198242188	0
76	83	18	-68.21678161621094	115	44	-244.81253051757812	0
77	118	21	-86.67694854736328	150	45	-271.4569396972656	0
78	49	11	-38.797603607177734	65	25	-157.2440185546875	0
79	38	10	-25.893600463867188	54	22	-125.34153747558594	0
80	35	11	-34.9570198059082	51	23	-104.34333801269531	1
81	56	10	-50.624473571777344	70	23	-170.9517059326172	0
82	164	30	-98.1109390258789	220	72	-379.66217041015625	0
83	158	29	-123.33360290527344	204	66	-409.7419128417969	0
84	51	11	-44.31679153442383	67	23	-168.07823181152344	0
85	82	18	-108.8097915649414	108	37	-245.08056640625	0
86	62	14	-39.58962631225586	86	33	-191.7537841796875	0
87	97	17	-71.25048828125	125	41	-253.6479034423828	0
88	116	26	-94.81549835205078	156	52	-313.12091064453125	0
89	48	13	-64.3943099975586	68	28	-187.62432861328125	0
90	108	23	-92.32077026367188	144	50	-323.8235778808594	0
91	44	12	-61.57594299316406	62	23	-187.1267547607422	0
92	172	34	-116.7082290649414	234	74	-405.4175109863281	0
93	66	18	-69.6329345703125	94	39	-217.1952362060547	0
94	49	14	-68.36009216308594	69	26	-191.61801147460938	0
95	49	12	-64.49839782714844	63	24	-201.03843688964844	0
96	46	12	-59.310157775878906	62	24	-182.36549377441406	0
97	55	14	-63.386878967285156	75	30	-203.23048400878906	0
98	112	26	-92.51009368896484	154	55	-381.654052734375	0
99	65	17	-91.81719207763672	87	33	-244.00180053710938	0
0	48	12	-54.91508865356445	66	24	-152.20852661132812	0
1	52	12	-42.842796325683594	70	25	-167.9608154296875	0
2	65	16	-77.82798767089844	91	33	-202.6667938232422	0
3	35	13	-38.8354606628418	51	22	-132.0045623779297	0
4	46	11	-52.434898376464844	62	22	-158.0041046142578	0
5	63	13	-72.15582275390625	83	31	-199.76727294921875	0
6	93	20	-87.25852966308594	127	43	-256.5704345703125	0
7	60	13	-73.11930847167969	80	27	-186.7037811279297	0
8	64	12	-49.403221130371094	82	29	-204.85415649414062	0
9	69	16	-46.188175201416016	97	36	-214.259765625	0
10	83	18	-50.85907745361328	111	38	-236.1864013671875	0
11	65	14	-50.4005241394043	89	30	-206.68531799316406	0
12	70	12	-80.2469711303711	90	27	-162.5623779296875	0
13	65	13	-61.9631233215332	87	33	-206.6910858154297	0
14	74	18	-60.69556427001953	104	38	-209.68829345703125	0
15	66	13	-57.31311798095703	88	28	-197.96197509765625	0
16	54	11	-55.177215576171875	72	26	-184.79208374023438	0
17	83	19	-73.59122467041016	113	41	-248.5635528564453	0
18	91	21	-93.71575164794922	123	45	-256.22882080078125	0
19	56	15	-48.902671813964844	80	34	-184.5682830810547	0
20	146	32	-140.00367736816406	202	72	-418.12841796875	0
21	29	9	-57.946022033691406	41	18	-127.75920104980469	0
22	97	25	-66.5375747680664	135	55	-283.6363830566406	0
23	82	18	-71.32858276367188	112	43	-251.6904754638672	0
24	114	18	-120.58782196044922	146	43	-293.68218994140625	0
25	63	14	-66.84036254882812	85	24	-159.355712890625	1
26	160	30	-115.8170166015625	210	69	-399.4737854003906	0
27	69	14	-74.55885314941406	93	32	-191.12948608398438	0
28	57	13	-62.328125	79	24	-154.54124450683594	0
29	167	34	-179.35877990722656	225	78	-464.71063232421875	0
30	85	18	-65.84796142578125	115	39	-222.37767028808594	0
31	151	32	-146.1441192626953	209	80	-439.6034240722656	0
