index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ay	48	11	-30.22695541381836	66	23	-144.09718322753906	0
1	ay	52	11	-33.568328857421875	70	27	-181.81285095214844	0
2	ay	65	15	-46.63685989379883	91	33	-195.66949462890625	0
3	ay	35	12	-29.17022132873535	51	21	-134.83384704589844	1
4	ay	46	10	-42.01966094970703	62	21	-158.1795196533203	1
5	ay	63	12	-34.38407897949219	83	30	-200.02980041503906	0
6	ay	93	19	-57.030372619628906	127	44	-271.44091796875	0
7	ay	60	12	-44.13160705566406	80	27	-203.9578399658203	1
8	ay	64	11	-29.84229278564453	82	26	-198.54412841796875	1
9	ay	69	15	-35.56483840942383	97	35	-215.43922424316406	0
10	ay	83	17	-45.93824768066406	111	35	-226.79583740234375	1
11	ay	65	13	-37.231903076171875	89	29	-203.44903564453125	0
12	ay	70	11	-38.03014373779297	90	25	-183.39584350585938	0
13	ay	65	12	-36.2711296081543	87	32	-211.82151794433594	0
14	ay	74	17	-48.818241119384766	104	37	-213.3206329345703	0
15	ay	66	12	-31.062971115112305	88	28	-200.52288818359375	0
16	ay	54	10	-33.82640838623047	72	27	-193.5261993408203	0
17	ay	83	18	-58.68632125854492	113	36	-219.401123046875	0
18	ay	91	20	-52.05624771118164	123	44	-269.0035705566406	1
19	ay	56	14	-38.932559967041016	80	32	-184.1559295654297	0
20	ay	146	31	-86.7518310546875	202	71	-439.3011779785156	1
21	ay	29	8	-45.367950439453125	41	16	-117.98677825927734	1
22	ay	97	24	-52.75218963623047	135	56	-293.09130859375	0
23	ay	82	17	-49.46599578857422	112	45	-259.0738220214844	0
24	ay	114	17	-65.35729217529297	146	50	-327.36865234375	0
25	ay	63	13	-52.5767822265625	85	28	-173.48776245117188	1
26	ay	160	29	-68.16397857666016	210	65	-375.4304504394531	1
27	ay	69	13	-44.78742218017578	93	32	-222.2692108154297	1
28	ay	57	12	-34.395320892333984	79	29	-185.70823669433594	0
29	ay	167	33	-110.24634552001953	225	80	-419.2216796875	0
30	ay	85	17	-51.22245407104492	115	39	-243.01513671875	0
31	ay	151	31	-94.86784362792969	209	75	-429.1328430175781	0
32	ay	141	26	-85.37798309326172	187	64	-383.445068359375	0
33	ay	138	29	-85.90695190429688	190	67	-390.32586669921875	0
34	ay	60	10	-38.51613235473633	78	25	-183.7773895263672	1
35	ay	87	19	-54.80363464355469	121	42	-253.30038452148438	0
36	ay	49	10	-41.21456527709961	65	21	-157.68905639648438	1
37	ay	90	20	-62.54371643066406	126	46	-295.986572265625	0
38	ay	68	16	-44.79998016357422	94	36	-226.6199188232422	1
39	ay	72	16	-60.25666809082031	98	37	-242.94366455078125	0
40	ay	116	21	-68.46855163574219	154	51	-314.77618408203125	0
41	ay	143	25	-85.19293975830078	189	61	-398.188232421875	0
42	ay	148	31	-106.4739990234375	202	71	-379.49432373046875	0
43	ay	66	14	-39.121883392333984	90	34	-215.12973022460938	0
44	ay	62	15	-53.58772659301758	90	35	-193.14260864257812	0
45	ay	108	20	-70.90003967285156	144	51	-310.2855529785156	0
46	ay	101	22	-68.741943359375	135	43	-288.83050537109375	1
47	ay	76	14	-61.004852294921875	102	34	-213.73019409179688	0
48	ay	67	14	-47.3330192565918	91	36	-208.4638671875	0
49	ay	44	10	-39.08855438232422	60	22	-155.63792419433594	0
50	ay	154	27	-123.87109375	202	75	-449.9233093261719	0
51	ay	128	27	-68.1164779663086	172	61	-366.94989013671875	0
52	ay	84	17	-64.16669464111328	110	38	-257.0723571777344	0
53	ay	47	10	-33.70474624633789	63	23	-150.59371948242188	1
54	ay	106	24	-62.38876724243164	142	51	-258.9015808105469	1
55	ay	72	17	-67.8116683959961	98	37	-219.57228088378906	1
56	ay	120	21	-75.96402740478516	158	48	-311.6770935058594	0
57	ay	156	27	-94.36947631835938	202	64	-368.5970764160156	0
58	ay	144	28	-79.90569305419922	194	68	-389.01947021484375	1
59	ay	140	25	-81.16439056396484	184	53	-353.1314697265625	0
60	ay	65	13	-41.32142639160156	89	33	-212.87896728515625	1
61	ay	74	14	-47.243648529052734	98	35	-203.95065307617188	1
62	ay	125	22	-97.30760955810547	161	53	-349.98529052734375	0
63	ay	78	15	-56.248104095458984	100	30	-203.32167053222656	1
64	ay	118	20	-81.76481628417969	152	49	-327.6550598144531	0
65	ay	53	11	-28.980443954467773	73	28	-150.3999786376953	1
66	ay	53	11	-35.208526611328125	73	26	-164.12606811523438	0
67	ay	140	27	-83.2618408203125	188	62	-347.5411376953125	0
