index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ay	48	11	-33.24964904785156	66	23	-150.10122680664062	0
1	ay	52	11	-36.92516326904297	70	27	-187.87327575683594	0
2	ay	65	15	-49.96806335449219	91	33	-201.598876953125	0
3	ay	35	12	-31.822059631347656	51	21	-141.2545166015625	1
4	ay	46	10	-46.22163009643555	62	21	-164.77032470703125	1
5	ay	63	12	-37.50990295410156	83	30	-206.4823760986328	0
6	ay	93	19	-60.198726654052734	127	44	-277.21624755859375	0
7	ay	60	12	-47.809242248535156	80	27	-211.24205017089844	1
8	ay	64	11	-32.82652282714844	82	26	-205.89761352539062	1
9	ay	69	15	-38.105186462402344	97	35	-220.9633026123047	0
10	ay	83	17	-48.80938720703125	111	35	-233.27572631835938	1
11	ay	65	13	-40.33456039428711	89	29	-210.2306671142578	0
12	ay	70	11	-41.83315658569336	90	25	-190.73167419433594	0
13	ay	65	12	-39.568504333496094	87	32	-218.24034118652344	0
14	ay	74	17	-51.869380950927734	104	37	-219.08604431152344	0
15	ay	66	12	-33.886878967285156	88	28	-207.43746948242188	0
16	ay	54	10	-37.58489990234375	72	27	-200.43785095214844	0
17	ay	83	18	-62.354217529296875	113	36	-225.49560546875	0
18	ay	91	20	-54.796051025390625	123	44	-274.9814147949219	1
19	ay	56	14	-41.927371978759766	80	32	-190.09645080566406	0
20	ay	146	31	-89.6435546875	202	71	-445.488525390625	1
21	ay	29	8	-50.408836364746094	41	16	-125.36095428466797	1
22	ay	97	24	-55.04576110839844	135	56	-298.2332763671875	0
23	ay	82	17	-52.557621002197266	112	45	-264.70587158203125	0
24	ay	114	17	-69.44212341308594	146	50	-333.916015625	0
25	ay	63	13	-56.95818328857422	85	28	-180.16036987304688	1
26	ay	160	29	-70.51445770263672	210	65	-381.2965393066406	1
27	ay	69	13	-48.51970672607422	93	32	-229.004638671875	1
28	ay	57	12	-37.52216720581055	79	29	-192.11196899414062	0
29	ay	167	33	-113.69154357910156	225	80	-424.3972473144531	0
