index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ay	48	12	-30.22695541381836	66	26	-144.09718322753906	0
1	ay	52	12	-33.568328857421875	70	32	-181.81285095214844	0
2	ay	65	16	-46.63685989379883	91	36	-195.66949462890625	0
3	ay	35	14	-29.17022132873535	51	24	-134.83384704589844	0
4	ay	46	12	-42.01966094970703	62	27	-158.1795196533203	0
5	ay	63	13	-34.38407897949219	83	33	-200.02980041503906	0
6	ay	93	21	-57.030372619628906	127	48	-271.44091796875	0
7	ay	60	13	-44.13160705566406	80	33	-203.9578399658203	0
8	ay	64	11	-29.84229278564453	82	29	-198.54412841796875	0
9	ay	69	16	-35.56483840942383	97	40	-215.43922424316406	0
10	ay	83	20	-45.93824768066406	111	41	-226.79583740234375	0
11	ay	65	15	-37.231903076171875	89	33	-203.44903564453125	0
12	ay	70	14	-38.03014373779297	90	29	-183.39584350585938	0
13	ay	65	13	-36.2711296081543	87	35	-211.82151794433594	0
14	ay	74	21	-48.818241119384766	104	38	-213.3206329345703	0
15	ay	66	13	-31.062971115112305	88	31	-200.52288818359375	0
16	ay	54	11	-33.82640838623047	72	30	-193.5261993408203	0
17	ay	83	19	-58.68632125854492	113	39	-219.401123046875	0
18	ay	91	23	-52.05624771118164	123	47	-269.0035705566406	0
19	ay	56	16	-38.932559967041016	80	34	-184.1559295654297	0
20	ay	146	33	-86.7518310546875	202	75	-439.3011779785156	0
21	ay	29	10	-45.367950439453125	41	17	-117.98677825927734	0
22	ay	97	26	-52.75218963623047	135	59	-293.09130859375	0
23	ay	82	19	-49.46599578857422	112	47	-259.0738220214844	0
24	ay	114	20	-65.35729217529297	146	55	-327.36865234375	0
25	ay	63	16	-52.5767822265625	85	31	-173.48776245117188	0
26	ay	160	31	-68.16397857666016	210	69	-375.4304504394531	0
27	ay	69	14	-44.78742218017578	93	35	-222.2692108154297	0
28	ay	57	13	-34.395320892333984	79	33	-185.70823669433594	0
29	ay	167	36	-110.24634552001953	225	83	-419.2216796875	0
30	ay	85	18	-51.22245407104492	115	41	-243.01513671875	0
31	ay	151	35	-94.86784362792969	209	80	-429.1328430175781	0
32	ay	141	29	-85.37798309326172	187	67	-383.445068359375	0
33	ay	138	36	-85.90695190429688	190	73	-390.32586669921875	0
34	ay	60	11	-38.51613235473633	78	27	-183.7773895263672	0
35	ay	87	22	-54.80363464355469	121	47	-253.30038452148438	0
36	ay	49	11	-41.21456527709961	65	23	-157.68905639648438	0
37	ay	90	22	-62.54371643066406	126	52	-295.986572265625	0
38	ay	68	17	-44.79998016357422	94	39	-226.6199188232422	0
