index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	ay	48	12	-30.22695541381836	66	24	-144.09718322753906	0
1	ay	52	12	-33.568328857421875	70	28	-181.81285095214844	0
2	ay	65	16	-46.63685989379883	91	34	-195.66949462890625	0
3	ay	35	13	-29.17022132873535	51	22	-134.83384704589844	0
4	ay	46	11	-42.01966094970703	62	22	-158.1795196533203	0
5	ay	63	13	-34.38407897949219	83	31	-200.02980041503906	0
6	ay	93	20	-57.030372619628906	127	45	-271.44091796875	0
7	ay	60	13	-44.13160705566406	80	28	-203.9578399658203	0
8	ay	64	12	-29.84229278564453	82	27	-198.54412841796875	0
9	ay	69	16	-35.56483840942383	97	36	-215.43922424316406	0
10	ay	83	18	-45.93824768066406	111	36	-226.79583740234375	0
11	ay	65	14	-37.231903076171875	89	30	-203.44903564453125	0
12	ay	70	12	-38.03014373779297	90	25	-183.39584350585938	0
13	ay	65	13	-36.2711296081543	87	33	-211.82151794433594	0
14	ay	74	18	-48.818241119384766	104	37	-213.3206329345703	0
15	ay	66	13	-31.062971115112305	88	29	-200.52288818359375	0
16	ay	54	11	-33.82640838623047	72	28	-193.5261993408203	0
17	ay	83	19	-58.68632125854492	113	37	-219.401123046875	1
18	ay	91	21	-52.05624771118164	123	45	-269.0035705566406	1
19	ay	56	15	-38.932559967041016	80	32	-184.1559295654297	0
20	ay	146	32	-86.7518310546875	202	71	-439.3011779785156	0
21	ay	29	9	-45.367950439453125	41	17	-117.98677825927734	0
22	ay	97	25	-52.75218963623047	135	57	-293.09130859375	0
23	ay	82	18	-49.46599578857422	112	46	-259.0738220214844	0
24	ay	114	18	-65.35729217529297	146	51	-327.36865234375	0
25	ay	63	14	-52.5767822265625	85	27	-173.48776245117188	0
26	ay	160	30	-68.16397857666016	210	66	-375.4304504394531	0
27	ay	69	14	-44.78742218017578	93	33	-222.2692108154297	0
28	ay	57	13	-34.395320892333984	79	29	-185.70823669433594	0
29	ay	167	34	-110.24634552001953	225	81	-419.2216796875	0
30	ay	85	18	-51.22245407104492	115	40	-243.01513671875	0
31	ay	151	32	-94.86784362792969	209	74	-429.1328430175781	0
32	ay	141	27	-85.37798309326172	187	64	-383.445068359375	0
33	ay	138	30	-85.90695190429688	190	67	-390.32586669921875	0
34	ay	60	11	-38.51613235473633	78	26	-183.7773895263672	0
35	ay	87	20	-54.80363464355469	121	43	-253.30038452148438	0
36	ay	49	11	-41.21456527709961	65	22	-157.68905639648438	0
37	ay	90	21	-62.54371643066406	126	46	-295.986572265625	0
38	ay	68	17	-44.79998016357422	94	37	-226.6199188232422	0
39	ay	72	17	-60.25666809082031	98	38	-242.94366455078125	0
40	ay	116	22	-68.46855163574219	154	52	-314.77618408203125	0
41	ay	143	26	-85.19293975830078	189	62	-398.188232421875	0
42	ay	148	32	-106.4739990234375	202	72	-379.49432373046875	0
43	ay	66	15	-39.121883392333984	90	35	-215.12973022460938	0
44	ay	62	16	-53.58772659301758	90	36	-193.14260864257812	0
45	ay	108	21	-70.90003967285156	144	51	-310.2855529785156	0
46	ay	101	23	-68.741943359375	135	44	-288.83050537109375	0
47	ay	76	15	-61.004852294921875	102	35	-213.73019409179688	0
48	ay	67	15	-47.3330192565918	91	36	-208.4638671875	0
49	ay	44	11	-39.08855438232422	60	23	-155.63792419433594	0
50	ay	154	28	-123.87109375	202	76	-449.9233093261719	0
51	ay	128	28	-68.1164779663086	172	61	-366.94989013671875	0
52	ay	84	18	-64.16669464111328	110	39	-257.0723571777344	0
53	ay	47	11	-33.70474624633789	63	24	-150.59371948242188	0
54	ay	106	25	-62.38876724243164	142	52	-258.9015808105469	0
55	ay	72	18	-67.8116683959961	98	38	-219.57228088378906	0
56	ay	120	22	-75.96402740478516	158	48	-311.6770935058594	0
57	ay	156	28	-94.36947631835938	202	65	-368.5970764160156	0
58	ay	144	29	-79.90569305419922	194	69	-389.01947021484375	0
59	ay	140	26	-81.16439056396484	184	54	-353.1314697265625	0
60	ay	65	14	-41.32142639160156	89	34	-212.87896728515625	0
61	ay	74	15	-47.243648529052734	98	36	-203.95065307617188	1
62	ay	125	23	-97.30760955810547	161	54	-349.98529052734375	0
63	ay	78	16	-56.248104095458984	100	31	-203.32167053222656	1
64	ay	118	21	-81.76481628417969	152	50	-327.6550598144531	0
65	ay	53	12	-28.980443954467773	73	29	-150.3999786376953	0
66	ay	53	12	-35.208526611328125	73	26	-164.12606811523438	0
67	ay	140	28	-83.2618408203125	188	63	-347.5411376953125	0
68	ay	113	23	-71.91896057128906	149	50	-324.8503723144531	0
69	ay	104	20	-84.99470520019531	140	51	-327.55377197265625	0
70	ay	160	25	-76.1915512084961	200	62	-368.64501953125	0
71	ay	68	14	-52.882102966308594	90	29	-196.27224731445312	0
72	ay	113	22	-87.72257232666016	151	52	-359.8154296875	0
73	ay	109	22	-94.5743179321289	141	48	-313.6103820800781	0
74	ay	146	27	-113.10757446289062	192	59	-389.4956359863281	0
75	ay	63	14	-47.77909851074219	87	30	-196.50778198242188	0
76	ay	83	18	-68.21678161621094	115	44	-244.81253051757812	0
77	ay	118	21	-86.67694854736328	150	45	-271.4569396972656	0
78	ay	49	11	-38.797603607177734	65	25	-157.2440185546875	0
79	ay	38	10	-25.893600463867188	54	22	-125.34153747558594	0
80	ay	35	11	-34.9570198059082	51	23	-104.34333801269531	1
81	ay	56	10	-50.624473571777344	70	23	-170.9517059326172	0
82	ay	164	30	-98.1109390258789	220	72	-379.66217041015625	0
83	ay	158	29	-123.33360290527344	204	66	-409.7419128417969	0
84	ay	51	11	-44.31679153442383	67	23	-168.07823181152344	0
85	ay	82	18	-108.8097915649414	108	37	-245.08056640625	0
86	ay	62	14	-39.58962631225586	86	33	-191.7537841796875	0
87	ay	97	17	-71.25048828125	125	41	-253.6479034423828	0
88	ay	116	26	-94.81549835205078	156	52	-313.12091064453125	0
89	ay	48	13	-64.3943099975586	68	28	-187.62432861328125	0
90	ay	108	23	-92.32077026367188	144	50	-323.8235778808594	0
91	ay	44	12	-61.57594299316406	62	23	-187.1267547607422	0
92	ay	172	34	-116.7082290649414	234	74	-405.4175109863281	0
93	ay	66	18	-69.6329345703125	94	39	-217.1952362060547	0
94	ay	49	14	-68.36009216308594	69	26	-191.61801147460938	0
95	ay	49	12	-64.49839782714844	63	24	-201.03843688964844	0
96	ay	46	12	-59.310157775878906	62	24	-182.36549377441406	0
97	ay	55	14	-63.386878967285156	75	30	-203.23048400878906	0
98	ay	112	26	-92.51009368896484	154	55	-381.654052734375	0
99	ay	65	17	-91.81719207763672	87	33	-244.00180053710938	0
0	uv	48	12	-30.22695541381836	66	28	-169.50596618652344	0
1	uv	52	12	-33.568328857421875	70	31	-205.19747924804688	0
2	uv	65	16	-46.63685989379883	91	35	-221.4800262451172	0
3	uv	35	13	-29.17022132873535	51	25	-151.25535583496094	0
4	uv	46	11	-42.01966094970703	62	25	-161.54788208007812	0
5	uv	63	13	-34.38407897949219	83	36	-210.6859893798828	0
6	uv	93	20	-57.030372619628906	127	50	-290.4198303222656	0
7	uv	60	13	-44.13160705566406	80	32	-218.4792022705078	0
8	uv	64	12	-29.84229278564453	82	32	-205.7279510498047	0
9	uv	69	16	-35.56483840942383	97	39	-238.83193969726562	0
10	uv	83	18	-45.93824768066406	111	39	-232.90032958984375	0
11	uv	65	14	-37.231903076171875	89	34	-206.11737060546875	0
12	uv	70	12	-38.03014373779297	90	28	-183.0442657470703	0
13	uv	65	13	-36.2711296081543	87	37	-223.0645751953125	0
14	uv	74	18	-48.818241119384766	104	41	-226.89523315429688	0
15	uv	66	13	-31.062971115112305	88	34	-231.49636840820312	0
16	uv	54	11	-33.82640838623047	72	31	-195.8931427001953	0
17	uv	83	19	-58.68632125854492	113	38	-234.90846252441406	0
18	uv	91	21	-52.05624771118164	123	50	-283.5796203613281	0
19	uv	56	15	-38.932559967041016	80	35	-191.86390686035156	0
20	uv	146	32	-86.7518310546875	202	82	-449.6903991699219	0
21	uv	29	9	-45.367950439453125	41	18	-135.6805877685547	0
22	uv	97	25	-52.75218963623047	135	59	-313.2599792480469	0
23	uv	82	18	-49.46599578857422	112	49	-275.7015380859375	0
24	uv	114	18	-65.35729217529297	146	57	-354.75225830078125	0
25	uv	63	14	-52.5767822265625	85	32	-196.60879516601562	0
26	uv	160	30	-68.16397857666016	210	72	-397.7205505371094	0
27	uv	69	14	-44.78742218017578	93	37	-238.74465942382812	0
28	uv	57	13	-34.395320892333984	79	32	-206.55479431152344	0
29	uv	167	34	-110.24634552001953	225	86	-440.7383117675781	0
30	uv	85	18	-51.22245407104492	115	41	-258.1083679199219	0
31	uv	151	32	-94.86784362792969	209	82	-440.3709716796875	0
32	uv	141	27	-85.37798309326172	187	69	-400.3246154785156	0
33	uv	138	30	-85.90695190429688	190	79	-428.5086669921875	0
34	uv	60	11	-38.51613235473633	78	30	-201.65158081054688	0
35	uv	87	20	-54.80363464355469	121	49	-252.32962036132812	0
36	uv	49	11	-41.21456527709961	65	24	-170.89776611328125	0
37	uv	90	21	-62.54371643066406	126	55	-304.82183837890625	0
