index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	66	21	-144.09718322753906	48	11	-30.22695541381836	1
1	0.293	70	25	-181.81285095214844	52	11	-33.568328857421875	0
2	0.293	91	31	-195.66949462890625	65	15	-46.63685989379883	1
3	0.293	51	20	-134.83384704589844	35	13	-29.17022132873535	1
4	0.293	62	20	-158.1795196533203	46	10	-42.01966094970703	0
5	0.293	83	27	-200.02980041503906	63	12	-34.38407897949219	0
6	0.293	127	40	-271.44091796875	93	19	-57.030372619628906	0
7	0.293	80	25	-203.9578399658203	60	12	-44.13160705566406	1
8	0.293	82	26	-198.54412841796875	64	10	-29.84229278564453	1
9	0.293	97	32	-215.43922424316406	69	15	-35.56483840942383	0
10	0.293	111	34	-226.79583740234375	83	16	-45.93824768066406	1
11	0.293	89	28	-203.44903564453125	65	13	-37.231903076171875	0
12	0.293	90	24	-183.39584350585938	70	11	-38.03014373779297	0
13	0.293	87	28	-211.82151794433594	65	12	-36.2711296081543	0
14	0.293	104	35	-213.3206329345703	74	17	-48.818241119384766	1
15	0.293	88	27	-200.52288818359375	66	12	-31.062971115112305	0
16	0.293	72	24	-193.5261993408203	54	10	-33.82640838623047	0
17	0.293	113	34	-219.401123046875	83	16	-58.68632125854492	0
18	0.293	123	41	-269.0035705566406	91	22	-52.05624771118164	1
19	0.293	80	29	-184.1559295654297	56	15	-38.932559967041016	1
20	0.293	202	68	-439.3011779785156	146	31	-86.7518310546875	0
21	0.293	41	16	-117.98677825927734	29	9	-45.367950439453125	0
22	0.293	135	48	-293.09130859375	97	24	-52.75218963623047	0
23	0.293	112	38	-259.0738220214844	82	17	-49.46599578857422	0
24	0.293	146	44	-327.36865234375	114	17	-65.35729217529297	1
25	0.293	85	27	-173.48776245117188	63	12	-52.5767822265625	0
26	0.293	210	61	-375.4304504394531	160	29	-68.16397857666016	0
27	0.293	93	31	-222.2692108154297	69	13	-44.78742218017578	0
28	0.293	79	27	-185.70823669433594	57	12	-34.395320892333984	0
29	0.293	225	74	-419.2216796875	167	33	-110.24634552001953	1
30	0.293	115	36	-243.01513671875	85	17	-51.22245407104492	0
31	0.293	209	69	-429.1328430175781	151	31	-94.86784362792969	0
32	0.293	187	57	-383.445068359375	141	25	-85.37798309326172	1
33	0.293	190	63	-390.32586669921875	138	30	-85.90695190429688	1
34	0.293	78	25	-183.7773895263672	60	10	-38.51613235473633	0
35	0.293	121	39	-253.30038452148438	87	19	-54.80363464355469	0
36	0.293	65	19	-157.68905639648438	49	10	-41.21456527709961	1
37	0.293	126	46	-295.986572265625	90	20	-62.54371643066406	0
38	0.293	94	32	-226.6199188232422	68	16	-44.79998016357422	0
39	0.293	98	33	-242.94366455078125	72	16	-60.25666809082031	0
40	0.293	154	47	-314.77618408203125	116	21	-68.46855163574219	1
41	0.293	189	64	-398.188232421875	143	25	-85.19293975830078	0
42	0.293	202	64	-379.49432373046875	148	30	-106.4739990234375	1
43	0.293	90	32	-215.12973022460938	66	14	-39.121883392333984	1
44	0.293	90	31	-193.14260864257812	62	15	-53.58772659301758	0
45	0.293	144	46	-310.2855529785156	108	20	-70.90003967285156	0
46	0.293	135	40	-288.83050537109375	101	20	-68.741943359375	0
47	0.293	102	32	-213.73019409179688	76	14	-61.004852294921875	0
48	0.293	91	31	-208.4638671875	67	14	-47.3330192565918	0
49	0.293	60	22	-155.63792419433594	44	10	-39.08855438232422	0
50	0.293	202	66	-449.9233093261719	154	27	-123.87109375	0
51	0.293	172	56	-366.94989013671875	128	25	-68.1164779663086	0
52	0.293	110	34	-257.0723571777344	84	17	-64.16669464111328	0
53	0.293	63	21	-150.59371948242188	47	10	-33.70474624633789	0
54	0.293	142	45	-258.9015808105469	106	22	-62.38876724243164	0
55	0.293	98	33	-219.57228088378906	72	16	-67.8116683959961	0
56	0.293	158	47	-311.6770935058594	120	20	-75.96402740478516	1
57	0.293	202	61	-368.5970764160156	156	26	-94.36947631835938	0
58	0.293	194	63	-389.01947021484375	144	28	-79.90569305419922	1
59	0.293	184	52	-353.1314697265625	140	24	-81.16439056396484	1
60	0.293	89	30	-212.87896728515625	65	13	-41.32142639160156	0
61	0.293	98	30	-203.95065307617188	74	14	-47.243648529052734	1
62	0.293	161	53	-349.98529052734375	125	23	-97.30760955810547	0
63	0.293	100	29	-203.32167053222656	78	15	-56.248104095458984	0
64	0.293	152	45	-327.6550598144531	118	20	-81.76481628417969	1
65	0.293	73	26	-150.3999786376953	53	11	-28.980443954467773	0
66	0.293	73	24	-164.12606811523438	53	11	-35.208526611328125	0
67	0.293	188	58	-347.5411376953125	140	27	-83.2618408203125	1
68	0.293	149	47	-324.8503723144531	113	23	-71.91896057128906	1
69	0.293	140	44	-327.55377197265625	104	19	-84.99470520019531	0
70	0.293	200	57	-368.64501953125	160	24	-76.1915512084961	1
71	0.293	90	30	-196.27224731445312	68	13	-52.882102966308594	0
72	0.293	151	52	-359.8154296875	113	21	-87.72257232666016	0
73	0.293	141	44	-313.6103820800781	109	20	-94.5743179321289	1
74	0.293	192	55	-389.4956359863281	146	26	-113.10757446289062	0
75	0.293	87	27	-196.50778198242188	63	13	-47.77909851074219	1
76	0.293	115	37	-244.81253051757812	83	17	-68.21678161621094	1
77	0.293	150	40	-271.4569396972656	118	20	-86.67694854736328	1
78	0.293	65	23	-157.2440185546875	49	11	-38.797603607177734	0
79	0.293	54	20	-125.34153747558594	38	9	-25.893600463867188	1
80	0.293	51	20	-104.34333801269531	35	10	-34.9570198059082	1
81	0.293	70	21	-170.9517059326172	56	10	-50.624473571777344	0
82	0.293	220	66	-379.66217041015625	164	29	-98.1109390258789	1
83	0.293	204	62	-409.7419128417969	158	28	-123.33360290527344	0
84	0.293	67	21	-168.07823181152344	51	10	-44.31679153442383	0
85	0.293	108	34	-245.08056640625	82	16	-108.8097915649414	0
86	0.293	86	28	-191.7537841796875	62	13	-39.58962631225586	0
87	0.293	125	37	-253.6479034423828	97	15	-71.25048828125	0
88	0.293	156	49	-313.12091064453125	116	25	-94.81549835205078	0
89	0.293	68	24	-187.62432861328125	48	13	-64.3943099975586	0
90	0.293	144	47	-323.8235778808594	108	23	-92.32077026367188	0
91	0.293	62	24	-187.1267547607422	44	12	-61.57594299316406	0
92	0.293	234	71	-405.4175109863281	172	32	-116.7082290649414	0
93	0.293	94	38	-217.1952362060547	66	18	-69.6329345703125	0
94	0.293	69	25	-191.61801147460938	49	14	-68.36009216308594	0
95	0.293	63	26	-201.03843688964844	49	11	-64.49839782714844	0
96	0.293	62	23	-182.36549377441406	46	12	-59.310157775878906	0
97	0.293	75	26	-203.23048400878906	55	14	-63.386878967285156	1
98	0.293	154	51	-381.654052734375	112	27	-92.51009368896484	0
99	0.293	87	30	-244.00180053710938	65	16	-91.81719207763672	0
0	0.427	68	22	-160.1168212890625	48	11	-30.22695541381836	0
1	0.427	70	25	-181.81285095214844	52	11	-33.568328857421875	0
2	0.427	96	29	-227.67088317871094	65	15	-46.63685989379883	1
3	0.427	53	20	-143.7854461669922	35	13	-29.17022132873535	0
4	0.427	63	19	-162.66049194335938	46	10	-42.01966094970703	0
5	0.427	84	27	-204.87457275390625	63	12	-34.38407897949219	1
6	0.427	131	38	-289.9738464355469	93	19	-57.030372619628906	0
7	0.427	84	25	-216.23841857910156	60	12	-44.13160705566406	1
8	0.427	85	26	-204.0088348388672	64	10	-29.84229278564453	1
9	0.427	103	31	-225.29017639160156	69	15	-35.56483840942383	0
10	0.427	117	32	-243.90960693359375	83	16	-45.93824768066406	1
11	0.427	95	25	-211.303466796875	65	13	-37.231903076171875	0
12	0.427	95	23	-176.1075439453125	70	11	-38.03014373779297	0
13	0.427	89	27	-227.61776733398438	65	12	-36.2711296081543	0
14	0.427	112	36	-231.87461853027344	74	17	-48.818241119384766	1
15	0.427	90	27	-206.34129333496094	66	12	-31.062971115112305	0
16	0.427	73	24	-199.66168212890625	54	10	-33.82640838623047	0
17	0.427	122	33	-234.7310791015625	83	16	-58.68632125854492	0
18	0.427	129	43	-289.727783203125	91	22	-52.05624771118164	1
19	0.427	85	29	-182.99563598632812	56	15	-38.932559967041016	1
20	0.427	210	67	-441.4631042480469	146	31	-86.7518310546875	0
21	0.427	44	17	-125.21713256835938	29	9	-45.367950439453125	0
22	0.427	142	48	-332.24383544921875	97	24	-52.75218963623047	1
23	0.427	115	39	-269.01873779296875	82	17	-49.46599578857422	1
24	0.427	149	45	-342.94677734375	114	17	-65.35729217529297	1
25	0.427	89	27	-192.90213012695312	63	12	-52.5767822265625	0
26	0.427	218	60	-401.0021057128906	160	29	-68.16397857666016	1
27	0.427	97	31	-235.8497772216797	69	13	-44.78742218017578	0
28	0.427	81	27	-194.2337188720703	57	12	-34.395320892333984	0
29	0.427	234	76	-441.1298828125	167	33	-110.24634552001953	1
30	0.427	121	36	-263.82562255859375	85	17	-51.22245407104492	0
31	0.427	217	69	-449.3044738769531	151	31	-94.86784362792969	0
32	0.427	195	57	-390.3434143066406	141	25	-85.37798309326172	1
33	0.427	196	63	-402.33099365234375	138	30	-85.90695190429688	1
34	0.427	80	25	-191.44244384765625	60	10	-38.51613235473633	0
35	0.427	129	40	-259.5421142578125	87	19	-54.80363464355469	0
36	0.427	68	18	-164.09390258789062	49	10	-41.21456527709961	1
37	0.427	128	45	-299.5747375488281	90	20	-62.54371643066406	0
38	0.427	97	32	-238.25636291503906	68	16	-44.79998016357422	0
39	0.427	102	32	-255.4156494140625	72	16	-60.25666809082031	1
40	0.427	160	48	-338.3041687011719	116	21	-68.46855163574219	1
41	0.427	199	61	-425.2138366699219	143	25	-85.19293975830078	0
42	0.427	210	64	-405.9510192871094	148	30	-106.4739990234375	1
43	0.427	94	31	-223.0493927001953	66	14	-39.121883392333984	1
44	0.427	95	31	-208.9053192138672	62	15	-53.58772659301758	0
45	0.427	148	46	-321.2733459472656	108	20	-70.90003967285156	0
46	0.427	137	40	-296.7222595214844	101	20	-68.741943359375	0
47	0.427	106	31	-237.68942260742188	76	14	-61.004852294921875	0
48	0.427	94	32	-226.5177001953125	67	14	-47.3330192565918	0
49	0.427	63	22	-173.98509216308594	44	10	-39.08855438232422	0
50	0.427	208	67	-475.2550964355469	154	27	-123.87109375	0
51	0.427	179	57	-392.11444091796875	128	25	-68.1164779663086	0
52	0.427	116	34	-275.4718933105469	84	17	-64.16669464111328	0
53	0.427	67	21	-163.06228637695312	47	10	-33.70474624633789	1
54	0.427	148	46	-280.2693176269531	106	22	-62.38876724243164	0
55	0.427	101	33	-236.46664428710938	72	16	-67.8116683959961	0
56	0.427	170	46	-336.1294250488281	120	20	-75.96402740478516	1
57	0.427	214	58	-407.7900085449219	156	26	-94.36947631835938	0
58	0.427	199	63	-411.21649169921875	144	28	-79.90569305419922	1
59	0.427	193	54	-364.14483642578125	140	24	-81.16439056396484	0
60	0.427	94	30	-227.4553680419922	65	13	-41.32142639160156	0
61	0.427	100	30	-211.4779052734375	74	14	-47.243648529052734	1
62	0.427	165	53	-363.1264343261719	125	23	-97.30760955810547	0
63	0.427	104	29	-224.35646057128906	78	15	-56.248104095458984	0
64	0.427	157	45	-350.14453125	118	20	-81.76481628417969	1
65	0.427	75	26	-163.000244140625	53	11	-28.980443954467773	0
66	0.427	75	23	-169.46095275878906	53	11	-35.208526611328125	0
67	0.427	196	59	-365.3465881347656	140	27	-83.2618408203125	1
68	0.427	156	46	-330.2359313964844	113	23	-71.91896057128906	1
69	0.427	142	43	-330.9309997558594	104	19	-84.99470520019531	0
70	0.427	208	54	-391.940185546875	160	24	-76.1915512084961	1
71	0.427	95	28	-213.02200317382812	68	13	-52.882102966308594	1
72	0.427	158	51	-374.4178466796875	113	21	-87.72257232666016	0
73	0.427	147	45	-331.87255859375	109	20	-94.5743179321289	1
74	0.427	198	53	-402.5591125488281	146	26	-113.10757446289062	0
75	0.427	91	27	-207.3955078125	63	13	-47.77909851074219	1
76	0.427	119	37	-264.3946228027344	83	17	-68.21678161621094	1
77	0.427	158	40	-290.285400390625	118	20	-86.67694854736328	0
78	0.427	66	23	-165.5661163330078	49	11	-38.797603607177734	0
79	0.427	58	20	-140.39878845214844	38	9	-25.893600463867188	1
80	0.427	53	20	-117.46929931640625	35	10	-34.9570198059082	1
81	0.427	71	20	-174.91098022460938	56	10	-50.624473571777344	0
82	0.427	229	67	-399.3219909667969	164	29	-98.1109390258789	1
83	0.427	211	61	-432.50653076171875	158	28	-123.33360290527344	1
84	0.427	70	21	-177.05078125	51	10	-44.31679153442383	0
85	0.427	113	35	-262.6549987792969	82	16	-108.8097915649414	1
86	0.427	91	29	-205.49154663085938	62	13	-39.58962631225586	0
87	0.427	128	37	-264.6036376953125	97	15	-71.25048828125	0
88	0.427	164	48	-330.1529846191406	116	25	-94.81549835205078	0
89	0.427	72	24	-205.176025390625	48	13	-64.3943099975586	0
90	0.427	149	46	-334.1180725097656	108	23	-92.32077026367188	0
91	0.427	64	24	-197.49267578125	44	12	-61.57594299316406	0
92	0.427	247	71	-428.1012878417969	172	32	-116.7082290649414	0
93	0.427	100	37	-240.82781982421875	66	18	-69.6329345703125	0
94	0.427	74	24	-199.62501525878906	49	14	-68.36009216308594	0
95	0.427	63	26	-201.03843688964844	49	11	-64.49839782714844	0
96	0.427	66	23	-187.33944702148438	46	12	-59.310157775878906	1
97	0.427	77	27	-209.10142517089844	55	14	-63.386878967285156	1
98	0.427	159	50	-388.0073547363281	112	27	-92.51009368896484	0
99	0.427	90	29	-256.0989990234375	65	16	-91.81719207763672	0
0	0.16	68	21	-147.46066284179688	48	11	-30.22695541381836	0
1	0.16	70	25	-181.81285095214844	52	11	-33.568328857421875	0
2	0.16	96	31	-206.79144287109375	65	15	-46.63685989379883	0
3	0.16	53	20	-140.44198608398438	35	13	-29.17022132873535	0
4	0.16	63	21	-160.7156982421875	46	10	-42.01966094970703	0
5	0.16	84	27	-206.69557189941406	63	12	-34.38407897949219	1
6	0.16	131	41	-280.93804931640625	93	19	-57.030372619628906	0
7	0.16	84	25	-218.4627227783203	60	12	-44.13160705566406	1
8	0.16	85	27	-203.76632690429688	64	10	-29.84229278564453	1
9	0.16	103	32	-222.51654052734375	69	15	-35.56483840942383	0
10	0.16	117	32	-239.83023071289062	83	16	-45.93824768066406	1
11	0.16	95	27	-209.34339904785156	65	13	-37.231903076171875	0
12	0.16	95	23	-193.34832763671875	70	11	-38.03014373779297	0
13	0.16	89	28	-215.19602966308594	65	12	-36.2711296081543	0
14	0.16	112	37	-231.2903594970703	74	17	-48.818241119384766	1
15	0.16	90	27	-207.210205078125	66	12	-31.062971115112305	0
16	0.16	73	24	-198.0646514892578	54	10	-33.82640838623047	0
17	0.16	122	34	-232.234375	83	16	-58.68632125854492	0
18	0.16	129	44	-290.69891357421875	91	22	-52.05624771118164	0
19	0.16	85	29	-190.95040893554688	56	15	-38.932559967041016	0
20	0.16	210	68	-446.7607727050781	146	31	-86.7518310546875	0
21	0.16	44	17	-132.32070922851562	29	9	-45.367950439453125	0
22	0.16	142	48	-308.7107238769531	97	24	-52.75218963623047	1
