index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	66	23	-150.10122680664062	48	11	-33.24964904785156	1
1	0.293	70	27	-187.87327575683594	52	11	-36.92516326904297	1
2	0.293	91	33	-201.598876953125	65	15	-49.96806335449219	1
3	0.293	51	21	-141.2545166015625	35	12	-31.822059631347656	0
4	0.293	62	21	-164.77032470703125	46	10	-46.22163009643555	1
5	0.293	83	30	-206.4823760986328	63	12	-37.50990295410156	1
6	0.293	127	44	-277.21624755859375	93	19	-60.198726654052734	0
7	0.293	80	27	-211.24205017089844	60	12	-47.809242248535156	1
8	0.293	82	26	-205.89761352539062	64	11	-32.82652282714844	1
9	0.293	97	35	-220.9633026123047	69	15	-38.105186462402344	1
10	0.293	111	35	-233.27572631835938	83	17	-48.80938720703125	1
11	0.293	89	29	-210.2306671142578	65	13	-40.33456039428711	1
12	0.293	90	25	-190.73167419433594	70	11	-41.83315658569336	1
13	0.293	87	32	-218.24034118652344	65	12	-39.568504333496094	1
14	0.293	104	37	-219.08604431152344	74	17	-51.869380950927734	1
15	0.293	88	28	-207.43746948242188	66	12	-33.886878967285156	1
16	0.293	72	27	-200.43785095214844	54	10	-37.58489990234375	1
17	0.293	113	36	-225.49560546875	83	18	-62.354217529296875	1
18	0.293	123	44	-274.9814147949219	91	20	-54.796051025390625	1
19	0.293	80	32	-190.09645080566406	56	14	-41.927371978759766	1
20	0.293	202	71	-445.488525390625	146	31	-89.6435546875	0
21	0.293	41	16	-125.36095428466797	29	8	-50.408836364746094	0
22	0.293	135	56	-298.2332763671875	97	24	-55.04576110839844	1
23	0.293	112	45	-264.70587158203125	82	17	-52.557621002197266	1
24	0.293	146	50	-333.916015625	114	17	-69.44212341308594	1
25	0.293	85	28	-180.16036987304688	63	13	-56.95818328857422	1
26	0.293	210	65	-381.2965393066406	160	29	-70.51445770263672	1
27	0.293	93	32	-229.004638671875	69	13	-48.51970672607422	1
28	0.293	79	29	-192.11196899414062	57	12	-37.52216720581055	1
29	0.293	225	80	-424.3972473144531	167	33	-113.69154357910156	1
30	0.293	115	39	-249.2462921142578	85	17	-54.423858642578125	0
31	0.293	209	75	-434.9319152832031	151	31	-98.03010559082031	0
32	0.293	187	64	-389.531494140625	141	26	-88.79310607910156	1
33	0.293	190	67	-395.9019470214844	138	29	-88.97505950927734	0
34	0.293	78	25	-191.1284942626953	60	10	-42.79570007324219	0
35	0.293	121	42	-259.19110107421875	87	19	-57.8482780456543	1
