index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	66	26	-144.09718322753906	48	12	-30.22695541381836	0
1	0.293	70	32	-181.81285095214844	52	12	-33.568328857421875	0
2	0.293	91	36	-195.66949462890625	65	16	-46.63685989379883	0
3	0.293	51	24	-134.83384704589844	35	14	-29.17022132873535	0
4	0.293	62	27	-158.1795196533203	46	12	-42.01966094970703	0
5	0.293	83	33	-200.02980041503906	63	13	-34.38407897949219	0
6	0.293	127	48	-271.44091796875	93	21	-57.030372619628906	0
7	0.293	80	33	-203.9578399658203	60	13	-44.13160705566406	1
8	0.293	82	29	-198.54412841796875	64	11	-29.84229278564453	0
9	0.293	97	40	-215.43922424316406	69	16	-35.56483840942383	0
10	0.293	111	41	-226.79583740234375	83	20	-45.93824768066406	0
11	0.293	89	33	-203.44903564453125	65	15	-37.231903076171875	0
12	0.293	90	29	-183.39584350585938	70	14	-38.03014373779297	0
13	0.293	87	35	-211.82151794433594	65	13	-36.2711296081543	0
14	0.293	104	38	-213.3206329345703	74	21	-48.818241119384766	0
15	0.293	88	31	-200.52288818359375	66	13	-31.062971115112305	0
16	0.293	72	30	-193.5261993408203	54	11	-33.82640838623047	0
17	0.293	113	39	-219.401123046875	83	19	-58.68632125854492	0
18	0.293	123	47	-269.0035705566406	91	23	-52.05624771118164	0
19	0.293	80	34	-184.1559295654297	56	16	-38.932559967041016	0
20	0.293	202	75	-439.3011779785156	146	33	-86.7518310546875	0
21	0.293	41	17	-117.98677825927734	29	10	-45.367950439453125	0
22	0.293	135	59	-293.09130859375	97	26	-52.75218963623047	0
23	0.293	112	47	-259.0738220214844	82	19	-49.46599578857422	0
24	0.293	146	55	-327.36865234375	114	20	-65.35729217529297	0
25	0.293	85	31	-173.48776245117188	63	16	-52.5767822265625	0
26	0.293	210	69	-375.4304504394531	160	31	-68.16397857666016	0
27	0.293	93	35	-222.2692108154297	69	14	-44.78742218017578	1
28	0.293	79	33	-185.70823669433594	57	13	-34.395320892333984	0
29	0.293	225	83	-419.2216796875	167	36	-110.24634552001953	0
30	0.293	115	41	-243.01513671875	85	18	-51.22245407104492	0
31	0.293	209	80	-429.1328430175781	151	35	-94.86784362792969	0
32	0.293	187	67	-383.445068359375	141	29	-85.37798309326172	0
33	0.293	190	73	-390.32586669921875	138	36	-85.90695190429688	0
34	0.293	78	27	-183.7773895263672	60	11	-38.51613235473633	0
35	0.293	121	47	-253.30038452148438	87	22	-54.80363464355469	0
36	0.293	65	23	-157.68905639648438	49	11	-41.21456527709961	0
37	0.293	126	52	-295.986572265625	90	22	-62.54371643066406	0
38	0.293	94	39	-226.6199188232422	68	17	-44.79998016357422	0
39	0.293	98	43	-242.94366455078125	72	22	-60.25666809082031	0
40	0.293	154	56	-314.77618408203125	116	24	-68.46855163574219	0
41	0.293	189	67	-398.188232421875	143	31	-85.19293975830078	0
42	0.293	202	77	-379.49432373046875	148	36	-106.4739990234375	0
43	0.293	90	38	-215.12973022460938	66	16	-39.121883392333984	0
44	0.293	90	37	-193.14260864257812	62	16	-53.58772659301758	0
45	0.293	144	55	-310.2855529785156	108	24	-70.90003967285156	0
46	0.293	135	53	-288.83050537109375	101	27	-68.741943359375	0
47	0.293	102	38	-213.73019409179688	76	17	-61.004852294921875	0
48	0.293	91	38	-208.4638671875	67	15	-47.3330192565918	0
49	0.293	60	26	-155.63792419433594	44	14	-39.08855438232422	0
50	0.293	202	78	-449.9233093261719	154	31	-123.87109375	0
51	0.293	172	65	-366.94989013671875	128	29	-68.1164779663086	0
52	0.293	110	44	-257.0723571777344	84	21	-64.16669464111328	0
53	0.293	63	24	-150.59371948242188	47	12	-33.70474624633789	0
54	0.293	142	53	-258.9015808105469	106	28	-62.38876724243164	0
55	0.293	98	39	-219.57228088378906	72	20	-67.8116683959961	0
56	0.293	158	51	-311.6770935058594	120	24	-75.96402740478516	0
57	0.293	202	68	-368.5970764160156	156	32	-94.36947631835938	0
58	0.293	194	73	-389.01947021484375	144	29	-79.90569305419922	0
59	0.293	184	62	-353.1314697265625	140	29	-81.16439056396484	0
60	0.293	89	34	-212.87896728515625	65	16	-41.32142639160156	0
61	0.293	98	37	-203.95065307617188	74	15	-47.243648529052734	0
62	0.293	161	62	-349.98529052734375	125	28	-97.30760955810547	0
63	0.293	100	33	-203.32167053222656	78	17	-56.248104095458984	1
64	0.293	152	55	-327.6550598144531	118	24	-81.76481628417969	0
65	0.293	73	30	-150.3999786376953	53	12	-28.980443954467773	0
66	0.293	73	30	-164.12606811523438	53	14	-35.208526611328125	0
67	0.293	188	68	-347.5411376953125	140	28	-83.2618408203125	0
68	0.293	149	52	-324.8503723144531	113	24	-71.91896057128906	0
69	0.293	140	55	-327.55377197265625	104	21	-84.99470520019531	0
70	0.293	200	71	-368.64501953125	160	32	-76.1915512084961	0
71	0.293	90	32	-196.27224731445312	68	15	-52.882102966308594	0
72	0.293	151	57	-359.8154296875	113	27	-87.72257232666016	0
73	0.293	141	53	-313.6103820800781	109	22	-94.5743179321289	0
74	0.293	192	67	-389.4956359863281	146	30	-113.10757446289062	0
75	0.293	87	32	-196.50778198242188	63	14	-47.77909851074219	0
76	0.293	115	48	-244.81253051757812	83	21	-68.21678161621094	0
77	0.293	150	49	-271.4569396972656	118	25	-86.67694854736328	0
78	0.293	65	30	-157.2440185546875	49	12	-38.797603607177734	0
79	0.293	54	25	-125.34153747558594	38	10	-25.893600463867188	0
80	0.293	51	24	-104.34333801269531	35	11	-34.9570198059082	0
81	0.293	70	25	-170.9517059326172	56	12	-50.624473571777344	0
82	0.293	220	76	-379.66217041015625	164	34	-98.1109390258789	0
83	0.293	204	70	-409.7419128417969	158	32	-123.33360290527344	0
84	0.293	67	25	-168.07823181152344	51	12	-44.31679153442383	0
85	0.293	108	42	-245.08056640625	82	21	-108.8097915649414	0
86	0.293	86	34	-191.7537841796875	62	15	-39.58962631225586	0
87	0.293	125	42	-253.6479034423828	97	18	-71.25048828125	0
88	0.293	156	56	-313.12091064453125	116	26	-94.81549835205078	0
89	0.293	68	28	-187.62432861328125	48	15	-64.3943099975586	0
90	0.293	144	54	-323.8235778808594	108	24	-92.32077026367188	0
91	0.293	62	27	-187.1267547607422	44	14	-61.57594299316406	0
92	0.293	234	86	-405.4175109863281	172	41	-116.7082290649414	0
93	0.293	94	41	-217.1952362060547	66	19	-69.6329345703125	0
94	0.293	69	30	-191.61801147460938	49	17	-68.36009216308594	0
95	0.293	63	28	-201.03843688964844	49	17	-64.49839782714844	0
96	0.293	62	26	-182.36549377441406	46	16	-59.310157775878906	0
97	0.293	75	32	-203.23048400878906	55	15	-63.386878967285156	0
98	0.293	154	61	-381.654052734375	112	28	-92.51009368896484	0
99	0.293	87	41	-244.00180053710938	65	21	-91.81719207763672	0
0	0.427	68	27	-160.1168212890625	48	12	-30.22695541381836	0
1	0.427	70	32	-181.81285095214844	52	12	-33.568328857421875	0
2	0.427	96	36	-227.67088317871094	65	16	-46.63685989379883	0
3	0.427	53	24	-143.7854461669922	35	14	-29.17022132873535	0
4	0.427	63	27	-162.66049194335938	46	12	-42.01966094970703	0
5	0.427	84	33	-204.87457275390625	63	13	-34.38407897949219	0
6	0.427	131	47	-289.9738464355469	93	21	-57.030372619628906	0
7	0.427	84	33	-216.23841857910156	60	13	-44.13160705566406	1
8	0.427	85	30	-204.0088348388672	64	11	-29.84229278564453	0
9	0.427	103	39	-225.29017639160156	69	16	-35.56483840942383	0
10	0.427	117	41	-243.90960693359375	83	20	-45.93824768066406	0
11	0.427	95	31	-211.303466796875	65	15	-37.231903076171875	1
12	0.427	95	29	-176.1075439453125	70	14	-38.03014373779297	0
13	0.427	89	34	-227.61776733398438	65	13	-36.2711296081543	0
14	0.427	112	38	-231.87461853027344	74	21	-48.818241119384766	0
15	0.427	90	31	-206.34129333496094	66	13	-31.062971115112305	0
16	0.427	73	30	-199.66168212890625	54	11	-33.82640838623047	0
17	0.427	122	39	-234.7310791015625	83	19	-58.68632125854492	0
18	0.427	129	49	-289.727783203125	91	23	-52.05624771118164	0
19	0.427	85	34	-182.99563598632812	56	16	-38.932559967041016	0
20	0.427	210	75	-441.4631042480469	146	33	-86.7518310546875	0
21	0.427	44	18	-125.21713256835938	29	10	-45.367950439453125	0
22	0.427	142	59	-332.24383544921875	97	26	-52.75218963623047	0
23	0.427	115	47	-269.01873779296875	82	19	-49.46599578857422	0
24	0.427	149	55	-342.94677734375	114	20	-65.35729217529297	0
25	0.427	89	31	-192.90213012695312	63	16	-52.5767822265625	0
26	0.427	218	69	-401.0021057128906	160	31	-68.16397857666016	0
27	0.427	97	35	-235.8497772216797	69	14	-44.78742218017578	0
28	0.427	81	33	-194.2337188720703	57	13	-34.395320892333984	0
29	0.427	234	83	-441.1298828125	167	36	-110.24634552001953	0
30	0.427	121	41	-263.82562255859375	85	18	-51.22245407104492	0
31	0.427	217	79	-449.3044738769531	151	35	-94.86784362792969	0
32	0.427	195	67	-390.3434143066406	141	29	-85.37798309326172	0
33	0.427	196	73	-402.33099365234375	138	36	-85.90695190429688	0
34	0.427	80	27	-191.44244384765625	60	11	-38.51613235473633	0
35	0.427	129	46	-259.5421142578125	87	22	-54.80363464355469	0
36	0.427	68	22	-164.09390258789062	49	11	-41.21456527709961	0
37	0.427	128	52	-299.5747375488281	90	22	-62.54371643066406	0
38	0.427	97	39	-238.25636291503906	68	17	-44.79998016357422	0
39	0.427	102	41	-255.4156494140625	72	22	-60.25666809082031	0
40	0.427	160	56	-338.3041687011719	116	24	-68.46855163574219	0
41	0.427	199	66	-425.2138366699219	143	31	-85.19293975830078	0
42	0.427	210	77	-405.9510192871094	148	36	-106.4739990234375	0
43	0.427	94	37	-223.0493927001953	66	16	-39.121883392333984	0
44	0.427	95	37	-208.9053192138672	62	16	-53.58772659301758	0
45	0.427	148	55	-321.2733459472656	108	24	-70.90003967285156	0
46	0.427	137	53	-296.7222595214844	101	27	-68.741943359375	0
47	0.427	106	38	-237.68942260742188	76	17	-61.004852294921875	0
48	0.427	94	38	-226.5177001953125	67	15	-47.3330192565918	0
49	0.427	63	26	-173.98509216308594	44	14	-39.08855438232422	0
50	0.427	208	78	-475.2550964355469	154	31	-123.87109375	0
51	0.427	179	64	-392.11444091796875	128	29	-68.1164779663086	0
52	0.427	116	44	-275.4718933105469	84	21	-64.16669464111328	0
53	0.427	67	24	-163.06228637695312	47	12	-33.70474624633789	0
54	0.427	148	54	-280.2693176269531	106	28	-62.38876724243164	0
55	0.427	101	39	-236.46664428710938	72	20	-67.8116683959961	0
56	0.427	170	51	-336.1294250488281	120	24	-75.96402740478516	0
57	0.427	214	68	-407.7900085449219	156	32	-94.36947631835938	0
58	0.427	199	73	-411.21649169921875	144	29	-79.90569305419922	0
59	0.427	193	64	-364.14483642578125	140	29	-81.16439056396484	0
60	0.427	94	34	-227.4553680419922	65	16	-41.32142639160156	0
61	0.427	100	37	-211.4779052734375	74	15	-47.243648529052734	0
62	0.427	165	62	-363.1264343261719	125	28	-97.30760955810547	0
63	0.427	104	33	-224.35646057128906	78	17	-56.248104095458984	0
64	0.427	157	55	-350.14453125	118	24	-81.76481628417969	0
65	0.427	75	30	-163.000244140625	53	12	-28.980443954467773	0
