index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	66	24	-144.09718322753906	48	12	-30.22695541381836	1
1	0.293	70	28	-181.81285095214844	52	12	-33.568328857421875	1
2	0.293	91	34	-195.66949462890625	65	16	-46.63685989379883	1
3	0.293	51	22	-134.83384704589844	35	13	-29.17022132873535	0
4	0.293	62	22	-158.1795196533203	46	11	-42.01966094970703	0
5	0.293	83	31	-200.02980041503906	63	13	-34.38407897949219	1
6	0.293	127	45	-271.44091796875	93	20	-57.030372619628906	0
7	0.293	80	28	-203.9578399658203	60	13	-44.13160705566406	1
8	0.293	82	27	-198.54412841796875	64	12	-29.84229278564453	1
9	0.293	97	36	-215.43922424316406	69	16	-35.56483840942383	1
10	0.293	111	36	-226.79583740234375	83	18	-45.93824768066406	1
11	0.293	89	30	-203.44903564453125	65	14	-37.231903076171875	1
12	0.293	90	25	-183.39584350585938	70	12	-38.03014373779297	0
13	0.293	87	33	-211.82151794433594	65	13	-36.2711296081543	1
14	0.293	104	37	-213.3206329345703	74	18	-48.818241119384766	0
15	0.293	88	29	-200.52288818359375	66	13	-31.062971115112305	1
16	0.293	72	28	-193.5261993408203	54	11	-33.82640838623047	1
17	0.293	113	37	-219.401123046875	83	19	-58.68632125854492	0
18	0.293	123	45	-269.0035705566406	91	21	-52.05624771118164	0
19	0.293	80	32	-184.1559295654297	56	15	-38.932559967041016	0
20	0.293	202	71	-439.3011779785156	146	32	-86.7518310546875	0
21	0.293	41	17	-117.98677825927734	29	9	-45.367950439453125	0
22	0.293	135	57	-293.09130859375	97	25	-52.75218963623047	0
23	0.293	112	46	-259.0738220214844	82	18	-49.46599578857422	0
24	0.293	146	51	-327.36865234375	114	18	-65.35729217529297	0
25	0.293	85	27	-173.48776245117188	63	14	-52.5767822265625	0
26	0.293	210	66	-375.4304504394531	160	30	-68.16397857666016	0
27	0.293	93	33	-222.2692108154297	69	14	-44.78742218017578	1
28	0.293	79	29	-185.70823669433594	57	13	-34.395320892333984	0
29	0.293	225	81	-419.2216796875	167	34	-110.24634552001953	0
30	0.293	115	40	-243.01513671875	85	18	-51.22245407104492	0
31	0.293	209	74	-429.1328430175781	151	32	-94.86784362792969	0
32	0.293	187	64	-383.445068359375	141	27	-85.37798309326172	0
33	0.293	190	67	-390.32586669921875	138	30	-85.90695190429688	0
34	0.293	78	26	-183.7773895263672	60	11	-38.51613235473633	1
35	0.293	121	43	-253.30038452148438	87	20	-54.80363464355469	0
36	0.293	65	22	-157.68905639648438	49	11	-41.21456527709961	0
37	0.293	126	46	-295.986572265625	90	21	-62.54371643066406	0
38	0.293	94	37	-226.6199188232422	68	17	-44.79998016357422	0
39	0.293	98	38	-242.94366455078125	72	17	-60.25666809082031	0
40	0.293	154	52	-314.77618408203125	116	22	-68.46855163574219	0
41	0.293	189	62	-398.188232421875	143	26	-85.19293975830078	0
42	0.293	202	72	-379.49432373046875	148	32	-106.4739990234375	0
43	0.293	90	35	-215.12973022460938	66	15	-39.121883392333984	0
44	0.293	90	36	-193.14260864257812	62	16	-53.58772659301758	1
45	0.293	144	51	-310.2855529785156	108	21	-70.90003967285156	0
46	0.293	135	44	-288.83050537109375	101	23	-68.741943359375	0
47	0.293	102	35	-213.73019409179688	76	15	-61.004852294921875	0
48	0.293	91	36	-208.4638671875	67	15	-47.3330192565918	1
49	0.293	60	23	-155.63792419433594	44	11	-39.08855438232422	0
50	0.293	202	76	-449.9233093261719	154	28	-123.87109375	0
51	0.293	172	61	-366.94989013671875	128	28	-68.1164779663086	0
52	0.293	110	39	-257.0723571777344	84	18	-64.16669464111328	0
53	0.293	63	24	-150.59371948242188	47	11	-33.70474624633789	0
54	0.293	142	52	-258.9015808105469	106	25	-62.38876724243164	0
55	0.293	98	38	-219.57228088378906	72	18	-67.8116683959961	0
56	0.293	158	48	-311.6770935058594	120	22	-75.96402740478516	0
57	0.293	202	65	-368.5970764160156	156	28	-94.36947631835938	1
58	0.293	194	69	-389.01947021484375	144	29	-79.90569305419922	0
59	0.293	184	54	-353.1314697265625	140	26	-81.16439056396484	0
60	0.293	89	34	-212.87896728515625	65	14	-41.32142639160156	0
61	0.293	98	36	-203.95065307617188	74	15	-47.243648529052734	1
62	0.293	161	54	-349.98529052734375	125	23	-97.30760955810547	0
63	0.293	100	31	-203.32167053222656	78	16	-56.248104095458984	0
64	0.293	152	50	-327.6550598144531	118	21	-81.76481628417969	0
65	0.293	73	29	-150.3999786376953	53	12	-28.980443954467773	0
66	0.293	73	26	-164.12606811523438	53	12	-35.208526611328125	1
67	0.293	188	63	-347.5411376953125	140	28	-83.2618408203125	0
68	0.293	149	50	-324.8503723144531	113	23	-71.91896057128906	0
69	0.293	140	51	-327.55377197265625	104	20	-84.99470520019531	0
70	0.293	200	62	-368.64501953125	160	25	-76.1915512084961	1
71	0.293	90	29	-196.27224731445312	68	14	-52.882102966308594	0
72	0.293	151	52	-359.8154296875	113	22	-87.72257232666016	0
73	0.293	141	48	-313.6103820800781	109	22	-94.5743179321289	0
74	0.293	192	59	-389.4956359863281	146	27	-113.10757446289062	0
75	0.293	87	30	-196.50778198242188	63	14	-47.77909851074219	0
76	0.293	115	44	-244.81253051757812	83	18	-68.21678161621094	0
77	0.293	150	45	-271.4569396972656	118	21	-86.67694854736328	0
78	0.293	65	25	-157.2440185546875	49	11	-38.797603607177734	0
79	0.293	54	22	-125.34153747558594	38	10	-25.893600463867188	1
80	0.293	51	23	-104.34333801269531	35	11	-34.9570198059082	0
81	0.293	70	23	-170.9517059326172	56	10	-50.624473571777344	0
82	0.293	220	72	-379.66217041015625	164	30	-98.1109390258789	0
83	0.293	204	66	-409.7419128417969	158	29	-123.33360290527344	0
84	0.293	67	23	-168.07823181152344	51	11	-44.31679153442383	1
85	0.293	108	37	-245.08056640625	82	18	-108.8097915649414	0
86	0.293	86	33	-191.7537841796875	62	14	-39.58962631225586	0
87	0.293	125	41	-253.6479034423828	97	17	-71.25048828125	0
88	0.293	156	52	-313.12091064453125	116	26	-94.81549835205078	0
89	0.293	68	28	-187.62432861328125	48	13	-64.3943099975586	0
90	0.293	144	50	-323.8235778808594	108	23	-92.32077026367188	0
91	0.293	62	23	-187.1267547607422	44	12	-61.57594299316406	0
92	0.293	234	74	-405.4175109863281	172	34	-116.7082290649414	0
93	0.293	94	39	-217.1952362060547	66	18	-69.6329345703125	0
94	0.293	69	26	-191.61801147460938	49	14	-68.36009216308594	0
95	0.293	63	24	-201.03843688964844	49	12	-64.49839782714844	0
96	0.293	62	24	-182.36549377441406	46	12	-59.310157775878906	0
97	0.293	75	30	-203.23048400878906	55	14	-63.386878967285156	0
98	0.293	154	55	-381.654052734375	112	26	-92.51009368896484	0
99	0.293	87	33	-244.00180053710938	65	17	-91.81719207763672	0
0	0.427	68	25	-160.1168212890625	48	12	-30.22695541381836	1
1	0.427	70	28	-181.81285095214844	52	12	-33.568328857421875	0
2	0.427	96	35	-227.67088317871094	65	16	-46.63685989379883	0
3	0.427	53	22	-143.7854461669922	35	13	-29.17022132873535	0
4	0.427	63	22	-162.66049194335938	46	11	-42.01966094970703	0
5	0.427	84	31	-204.87457275390625	63	13	-34.38407897949219	1
6	0.427	131	44	-289.9738464355469	93	20	-57.030372619628906	0
7	0.427	84	28	-216.23841857910156	60	13	-44.13160705566406	1
8	0.427	85	28	-204.0088348388672	64	12	-29.84229278564453	0
9	0.427	103	35	-225.29017639160156	69	16	-35.56483840942383	1
10	0.427	117	38	-243.90960693359375	83	18	-45.93824768066406	1
11	0.427	95	28	-211.303466796875	65	14	-37.231903076171875	1
12	0.427	95	26	-176.1075439453125	70	12	-38.03014373779297	0
13	0.427	89	32	-227.61776733398438	65	13	-36.2711296081543	1
14	0.427	112	38	-231.87461853027344	74	18	-48.818241119384766	0
15	0.427	90	29	-206.34129333496094	66	13	-31.062971115112305	1
16	0.427	73	28	-199.66168212890625	54	11	-33.82640838623047	1
17	0.427	122	37	-234.7310791015625	83	19	-58.68632125854492	0
18	0.427	129	45	-289.727783203125	91	21	-52.05624771118164	0
