index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	66	23	-144.09718322753906	48	11	-30.22695541381836	0
1	0.293	70	25	-181.81285095214844	52	11	-33.568328857421875	0
2	0.293	91	35	-195.66949462890625	65	15	-46.63685989379883	0
3	0.293	51	24	-134.83384704589844	35	13	-29.17022132873535	0
4	0.293	62	22	-158.1795196533203	46	10	-42.01966094970703	0
5	0.293	83	32	-200.02980041503906	63	12	-34.38407897949219	1
6	0.293	127	42	-271.44091796875	93	19	-57.030372619628906	1
7	0.293	80	29	-203.9578399658203	60	12	-44.13160705566406	1
8	0.293	82	28	-198.54412841796875	64	10	-29.84229278564453	1
9	0.293	97	36	-215.43922424316406	69	15	-35.56483840942383	0
10	0.293	111	35	-226.79583740234375	83	16	-45.93824768066406	0
11	0.293	89	30	-203.44903564453125	65	13	-37.231903076171875	1
12	0.293	90	24	-183.39584350585938	70	11	-38.03014373779297	0
13	0.293	87	33	-211.82151794433594	65	12	-36.2711296081543	0
14	0.293	104	36	-213.3206329345703	74	17	-48.818241119384766	0
15	0.293	88	26	-200.52288818359375	66	12	-31.062971115112305	0
16	0.293	72	27	-193.5261993408203	54	10	-33.82640838623047	0
17	0.293	113	34	-219.401123046875	83	16	-58.68632125854492	0
18	0.293	123	45	-269.0035705566406	91	22	-52.05624771118164	0
19	0.293	80	30	-184.1559295654297	56	15	-38.932559967041016	0
20	0.293	202	71	-439.3011779785156	146	31	-86.7518310546875	0
21	0.293	41	16	-117.98677825927734	29	9	-45.367950439453125	0
22	0.293	135	51	-293.09130859375	97	24	-52.75218963623047	0
23	0.293	112	42	-259.0738220214844	82	17	-49.46599578857422	1
24	0.293	146	50	-327.36865234375	114	17	-65.35729217529297	0
25	0.293	85	27	-173.48776245117188	63	13	-52.5767822265625	0
26	0.293	210	61	-375.4304504394531	160	28	-68.16397857666016	0
27	0.293	93	31	-222.2692108154297	69	13	-44.78742218017578	1
28	0.293	79	27	-185.70823669433594	57	12	-34.395320892333984	1
29	0.293	225	79	-419.2216796875	167	33	-110.24634552001953	0
30	0.293	115	38	-243.01513671875	85	17	-51.22245407104492	0
31	0.293	209	75	-429.1328430175781	151	31	-94.86784362792969	0
32	0.293	187	60	-383.445068359375	141	25	-85.37798309326172	0
33	0.293	190	65	-390.32586669921875	138	30	-85.90695190429688	1
34	0.293	78	24	-183.7773895263672	60	10	-38.51613235473633	0
35	0.293	121	42	-253.30038452148438	87	19	-54.80363464355469	0
36	0.293	65	22	-157.68905639648438	49	10	-41.21456527709961	0
37	0.293	126	43	-295.986572265625	90	20	-62.54371643066406	0
38	0.293	94	35	-226.6199188232422	68	16	-44.79998016357422	0
39	0.293	98	35	-242.94366455078125	72	15	-60.25666809082031	0
40	0.293	154	52	-314.77618408203125	116	21	-68.46855163574219	0
41	0.293	189	60	-398.188232421875	143	25	-85.19293975830078	0
42	0.293	202	70	-379.49432373046875	148	31	-106.4739990234375	1
43	0.293	90	33	-215.12973022460938	66	13	-39.121883392333984	0
44	0.293	90	33	-193.14260864257812	62	15	-53.58772659301758	0
45	0.293	144	51	-310.2855529785156	108	20	-70.90003967285156	0
46	0.293	135	43	-288.83050537109375	101	20	-68.741943359375	0
47	0.293	102	33	-213.73019409179688	76	14	-61.004852294921875	0
48	0.293	91	35	-208.4638671875	67	14	-47.3330192565918	1
49	0.293	60	23	-155.63792419433594	44	10	-39.08855438232422	0
50	0.293	202	69	-449.9233093261719	154	27	-123.87109375	0
51	0.293	172	61	-366.94989013671875	128	26	-68.1164779663086	1
52	0.293	110	37	-257.0723571777344	84	16	-64.16669464111328	0
53	0.293	63	22	-150.59371948242188	47	10	-33.70474624633789	1
54	0.293	142	48	-258.9015808105469	106	24	-62.38876724243164	0
55	0.293	98	34	-219.57228088378906	72	15	-67.8116683959961	0
56	0.293	158	47	-311.6770935058594	120	20	-75.96402740478516	0
57	0.293	202	62	-368.5970764160156	156	26	-94.36947631835938	0
58	0.293	194	69	-389.01947021484375	144	28	-79.90569305419922	1
59	0.293	184	53	-353.1314697265625	140	24	-81.16439056396484	0
60	0.293	89	31	-212.87896728515625	65	13	-41.32142639160156	0
61	0.293	98	35	-203.95065307617188	74	14	-47.243648529052734	1
62	0.293	161	54	-349.98529052734375	125	23	-97.30760955810547	0
63	0.293	100	29	-203.32167053222656	78	15	-56.248104095458984	0
64	0.293	152	51	-327.6550598144531	118	20	-81.76481628417969	0
65	0.293	73	27	-150.3999786376953	53	11	-28.980443954467773	0
66	0.293	73	27	-164.12606811523438	53	11	-35.208526611328125	0
67	0.293	188	59	-347.5411376953125	140	27	-83.2618408203125	0
68	0.293	149	47	-324.8503723144531	113	22	-71.91896057128906	0
69	0.293	140	49	-327.55377197265625	104	19	-84.99470520019531	0
70	0.293	200	57	-368.64501953125	160	24	-76.1915512084961	1
71	0.293	90	30	-196.27224731445312	68	13	-52.882102966308594	0
72	0.293	151	50	-359.8154296875	113	22	-87.72257232666016	0
73	0.293	141	45	-313.6103820800781	109	20	-94.5743179321289	0
74	0.293	192	59	-389.4956359863281	146	26	-113.10757446289062	0
75	0.293	87	29	-196.50778198242188	63	13	-47.77909851074219	0
76	0.293	115	41	-244.81253051757812	83	17	-68.21678161621094	0
77	0.293	150	44	-271.4569396972656	118	21	-86.67694854736328	1
78	0.293	65	26	-157.2440185546875	49	11	-38.797603607177734	0
79	0.293	54	21	-125.34153747558594	38	9	-25.893600463867188	1
80	0.293	51	24	-104.34333801269531	35	10	-34.9570198059082	1
81	0.293	70	19	-170.9517059326172	56	10	-50.624473571777344	0
82	0.293	220	68	-379.66217041015625	164	29	-98.1109390258789	0
83	0.293	204	61	-409.7419128417969	158	27	-123.33360290527344	0
84	0.293	67	24	-168.07823181152344	51	10	-44.31679153442383	0
85	0.293	108	34	-245.08056640625	82	17	-108.8097915649414	0
86	0.293	86	29	-191.7537841796875	62	13	-39.58962631225586	0
87	0.293	125	38	-253.6479034423828	97	15	-71.25048828125	0
88	0.293	156	51	-313.12091064453125	116	24	-94.81549835205078	0
89	0.293	68	27	-187.62432861328125	48	13	-64.3943099975586	0
90	0.293	144	50	-323.8235778808594	108	23	-92.32077026367188	0
91	0.293	62	24	-187.1267547607422	44	12	-61.57594299316406	0
92	0.293	234	72	-405.4175109863281	172	33	-116.7082290649414	0
93	0.293	94	37	-217.1952362060547	66	18	-69.6329345703125	0
94	0.293	69	26	-191.61801147460938	49	14	-68.36009216308594	0
95	0.293	63	26	-201.03843688964844	49	12	-64.49839782714844	0
96	0.293	62	23	-182.36549377441406	46	12	-59.310157775878906	0
97	0.293	75	30	-203.23048400878906	55	14	-63.386878967285156	1
98	0.293	154	55	-381.654052734375	112	27	-92.51009368896484	0
99	0.293	87	32	-244.00180053710938	65	16	-91.81719207763672	0
0	0.427	68	23	-160.1168212890625	48	11	-30.22695541381836	0
1	0.427	70	25	-181.81285095214844	52	11	-33.568328857421875	0
2	0.427	96	35	-227.67088317871094	65	15	-46.63685989379883	0
3	0.427	53	24	-143.7854461669922	35	13	-29.17022132873535	0
4	0.427	63	22	-162.66049194335938	46	10	-42.01966094970703	0
5	0.427	84	32	-204.87457275390625	63	12	-34.38407897949219	1
6	0.427	131	41	-289.9738464355469	93	19	-57.030372619628906	0
7	0.427	84	29	-216.23841857910156	60	12	-44.13160705566406	1
8	0.427	85	28	-204.0088348388672	64	10	-29.84229278564453	1
9	0.427	103	35	-225.29017639160156	69	15	-35.56483840942383	0
10	0.427	117	35	-243.90960693359375	83	16	-45.93824768066406	0
11	0.427	95	28	-211.303466796875	65	13	-37.231903076171875	1
12	0.427	95	25	-176.1075439453125	70	11	-38.03014373779297	0
13	0.427	89	32	-227.61776733398438	65	12	-36.2711296081543	0
14	0.427	112	37	-231.87461853027344	74	17	-48.818241119384766	0
