index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	48	11	-30.22695541381836	66	23	-144.09718322753906	0
1	0.293	52	11	-33.568328857421875	70	27	-181.81285095214844	0
2	0.293	65	15	-46.63685989379883	91	33	-195.66949462890625	0
3	0.293	35	12	-29.17022132873535	51	21	-134.83384704589844	1
4	0.293	46	10	-42.01966094970703	62	21	-158.1795196533203	1
5	0.293	63	12	-34.38407897949219	83	30	-200.02980041503906	0
6	0.293	93	19	-57.030372619628906	127	44	-271.44091796875	0
7	0.293	60	12	-44.13160705566406	80	27	-203.9578399658203	1
8	0.293	64	11	-29.84229278564453	82	26	-198.54412841796875	1
9	0.293	69	15	-35.56483840942383	97	35	-215.43922424316406	0
10	0.293	83	17	-45.93824768066406	111	35	-226.79583740234375	1
11	0.293	65	13	-37.231903076171875	89	29	-203.44903564453125	0
12	0.293	70	11	-38.03014373779297	90	25	-183.39584350585938	0
13	0.293	65	12	-36.2711296081543	87	32	-211.82151794433594	0
14	0.293	74	17	-48.818241119384766	104	37	-213.3206329345703	0
15	0.293	66	12	-31.062971115112305	88	28	-200.52288818359375	0
16	0.293	54	10	-33.82640838623047	72	27	-193.5261993408203	0
17	0.293	83	18	-58.68632125854492	113	36	-219.401123046875	0
18	0.293	91	20	-52.05624771118164	123	44	-269.0035705566406	1
19	0.293	56	14	-38.932559967041016	80	32	-184.1559295654297	0
20	0.293	146	31	-86.7518310546875	202	71	-439.3011779785156	1
21	0.293	29	8	-45.367950439453125	41	16	-117.98677825927734	1
22	0.293	97	24	-52.75218963623047	135	56	-293.09130859375	0
23	0.293	82	17	-49.46599578857422	112	45	-259.0738220214844	0
24	0.293	114	17	-65.35729217529297	146	50	-327.36865234375	0
25	0.293	63	13	-52.5767822265625	85	28	-173.48776245117188	1
26	0.293	160	29	-68.16397857666016	210	65	-375.4304504394531	1
27	0.293	69	13	-44.78742218017578	93	32	-222.2692108154297	1
28	0.293	57	12	-34.395320892333984	79	29	-185.70823669433594	0
29	0.293	167	33	-110.24634552001953	225	80	-419.2216796875	0
30	0.293	85	17	-51.22245407104492	115	39	-243.01513671875	0
31	0.293	151	31	-94.86784362792969	209	75	-429.1328430175781	0
32	0.293	141	26	-85.37798309326172	187	64	-383.445068359375	0
33	0.293	138	29	-85.90695190429688	190	67	-390.32586669921875	0
34	0.293	60	10	-38.51613235473633	78	25	-183.7773895263672	1
35	0.293	87	19	-54.80363464355469	121	42	-253.30038452148438	0
36	0.293	49	10	-41.21456527709961	65	21	-157.68905639648438	1
37	0.293	90	20	-62.54371643066406	126	46	-295.986572265625	0
38	0.293	68	16	-44.79998016357422	94	36	-226.6199188232422	1
39	0.293	72	16	-60.25666809082031	98	37	-242.94366455078125	0
40	0.293	116	21	-68.46855163574219	154	51	-314.77618408203125	0
41	0.293	143	25	-85.19293975830078	189	61	-398.188232421875	0
42	0.293	148	31	-106.4739990234375	202	71	-379.49432373046875	0
43	0.293	66	14	-39.121883392333984	90	34	-215.12973022460938	0
44	0.293	62	15	-53.58772659301758	90	35	-193.14260864257812	0
45	0.293	108	20	-70.90003967285156	144	51	-310.2855529785156	0
46	0.293	101	22	-68.741943359375	135	43	-288.83050537109375	1
47	0.293	76	14	-61.004852294921875	102	34	-213.73019409179688	0
48	0.293	67	14	-47.3330192565918	91	36	-208.4638671875	0
49	0.293	44	10	-39.08855438232422	60	22	-155.63792419433594	0
50	0.293	154	27	-123.87109375	202	75	-449.9233093261719	0
51	0.293	128	27	-68.1164779663086	172	61	-366.94989013671875	0
52	0.293	84	17	-64.16669464111328	110	38	-257.0723571777344	0
53	0.293	47	10	-33.70474624633789	63	23	-150.59371948242188	1
54	0.293	106	24	-62.38876724243164	142	51	-258.9015808105469	1
55	0.293	72	17	-67.8116683959961	98	37	-219.57228088378906	1
56	0.293	120	21	-75.96402740478516	158	48	-311.6770935058594	0
57	0.293	156	27	-94.36947631835938	202	64	-368.5970764160156	0
58	0.293	144	28	-79.90569305419922	194	68	-389.01947021484375	1
59	0.293	140	25	-81.16439056396484	184	53	-353.1314697265625	0
60	0.293	65	13	-41.32142639160156	89	33	-212.87896728515625	1
61	0.293	74	14	-47.243648529052734	98	35	-203.95065307617188	1
62	0.293	125	22	-97.30760955810547	161	53	-349.98529052734375	0
63	0.293	78	15	-56.248104095458984	100	30	-203.32167053222656	1
64	0.293	118	20	-81.76481628417969	152	49	-327.6550598144531	0
65	0.293	53	11	-28.980443954467773	73	28	-150.3999786376953	1
66	0.293	53	11	-35.208526611328125	73	26	-164.12606811523438	0
67	0.293	140	27	-83.2618408203125	188	62	-347.5411376953125	0
68	0.293	113	22	-71.91896057128906	149	49	-324.8503723144531	0
69	0.293	104	19	-84.99470520019531	140	51	-327.55377197265625	0
70	0.293	160	24	-76.1915512084961	200	61	-368.64501953125	0
71	0.293	68	13	-52.882102966308594	90	28	-196.27224731445312	0
72	0.293	113	21	-87.72257232666016	151	52	-359.8154296875	0
73	0.293	109	21	-94.5743179321289	141	47	-313.6103820800781	0
74	0.293	146	26	-113.10757446289062	192	58	-389.4956359863281	0
75	0.293	63	13	-47.77909851074219	87	30	-196.50778198242188	0
76	0.293	83	17	-68.21678161621094	115	44	-244.81253051757812	0
77	0.293	118	20	-86.67694854736328	150	44	-271.4569396972656	0
78	0.293	49	10	-38.797603607177734	65	25	-157.2440185546875	1
79	0.293	38	9	-25.893600463867188	54	21	-125.34153747558594	1
80	0.293	35	10	-34.9570198059082	51	22	-104.34333801269531	1
81	0.293	56	9	-50.624473571777344	70	22	-170.9517059326172	0
82	0.293	164	29	-98.1109390258789	220	72	-379.66217041015625	0
83	0.293	158	28	-123.33360290527344	204	65	-409.7419128417969	0
84	0.293	51	10	-44.31679153442383	67	22	-168.07823181152344	0
85	0.293	82	17	-108.8097915649414	108	36	-245.08056640625	0
86	0.293	62	13	-39.58962631225586	86	32	-191.7537841796875	0
87	0.293	97	16	-71.25048828125	125	40	-253.6479034423828	0
88	0.293	116	25	-94.81549835205078	156	51	-313.12091064453125	0
89	0.293	48	12	-64.3943099975586	68	27	-187.62432861328125	1
90	0.293	108	22	-92.32077026367188	144	49	-323.8235778808594	0
91	0.293	44	11	-61.57594299316406	62	23	-187.1267547607422	0
92	0.293	172	33	-116.7082290649414	234	75	-405.4175109863281	0
93	0.293	66	17	-69.6329345703125	94	38	-217.1952362060547	0
94	0.293	49	13	-68.36009216308594	69	25	-191.61801147460938	1
95	0.293	49	11	-64.49839782714844	63	23	-201.03843688964844	0
96	0.293	46	11	-59.310157775878906	62	23	-182.36549377441406	1
97	0.293	55	13	-63.386878967285156	75	29	-203.23048400878906	1
98	0.293	112	25	-92.51009368896484	154	55	-381.654052734375	0
99	0.293	65	16	-91.81719207763672	87	33	-244.00180053710938	0
0	0.427	48	11	-30.22695541381836	68	24	-160.1168212890625	0
1	0.427	52	11	-33.568328857421875	70	27	-181.81285095214844	0
2	0.427	65	15	-46.63685989379883	96	34	-227.67088317871094	0
3	0.427	35	12	-29.17022132873535	53	21	-143.7854461669922	1
4	0.427	46	10	-42.01966094970703	63	21	-162.66049194335938	1
5	0.427	63	12	-34.38407897949219	84	30	-204.87457275390625	0
6	0.427	93	19	-57.030372619628906	131	43	-289.9738464355469	0
7	0.427	60	12	-44.13160705566406	84	27	-216.23841857910156	1
8	0.427	64	11	-29.84229278564453	85	27	-204.0088348388672	1
9	0.427	69	15	-35.56483840942383	103	34	-225.29017639160156	0
10	0.427	83	17	-45.93824768066406	117	37	-243.90960693359375	1
11	0.427	65	13	-37.231903076171875	95	27	-211.303466796875	0
12	0.427	70	11	-38.03014373779297	95	25	-176.1075439453125	0
13	0.427	65	12	-36.2711296081543	89	31	-227.61776733398438	0
14	0.427	74	17	-48.818241119384766	112	37	-231.87461853027344	0
15	0.427	66	12	-31.062971115112305	90	28	-206.34129333496094	0
16	0.427	54	10	-33.82640838623047	73	27	-199.66168212890625	0
17	0.427	83	18	-58.68632125854492	122	36	-234.7310791015625	0
18	0.427	91	20	-52.05624771118164	129	44	-289.727783203125	1
19	0.427	56	14	-38.932559967041016	85	32	-182.99563598632812	0
20	0.427	146	31	-86.7518310546875	210	71	-441.4631042480469	0
21	0.427	29	8	-45.367950439453125	44	16	-125.21713256835938	1
22	0.427	97	24	-52.75218963623047	142	56	-332.24383544921875	0
23	0.427	82	17	-49.46599578857422	115	45	-269.01873779296875	0
24	0.427	114	17	-65.35729217529297	149	50	-342.94677734375	0
25	0.427	63	13	-52.5767822265625	89	28	-192.90213012695312	1
26	0.427	160	29	-68.16397857666016	218	67	-401.0021057128906	0
27	0.427	69	13	-44.78742218017578	97	32	-235.8497772216797	0
28	0.427	57	12	-34.395320892333984	81	29	-194.2337188720703	0
29	0.427	167	33	-110.24634552001953	234	80	-441.1298828125	1
30	0.427	85	17	-51.22245407104492	121	39	-263.82562255859375	0
31	0.427	151	31	-94.86784362792969	217	74	-449.3044738769531	0
32	0.427	141	26	-85.37798309326172	195	64	-390.3434143066406	0
33	0.427	138	29	-85.90695190429688	196	67	-402.33099365234375	0
34	0.427	60	10	-38.51613235473633	80	25	-191.44244384765625	0
35	0.427	87	19	-54.80363464355469	129	41	-259.5421142578125	0
36	0.427	49	10	-41.21456527709961	68	20	-164.09390258789062	0
37	0.427	90	20	-62.54371643066406	128	46	-299.5747375488281	1
38	0.427	68	16	-44.79998016357422	97	36	-238.25636291503906	1
39	0.427	72	16	-60.25666809082031	102	35	-255.4156494140625	0
40	0.427	116	21	-68.46855163574219	160	51	-338.3041687011719	1
41	0.427	143	25	-85.19293975830078	199	61	-425.2138366699219	0
42	0.427	148	31	-106.4739990234375	210	71	-405.9510192871094	0
43	0.427	66	14	-39.121883392333984	94	33	-223.0493927001953	0
44	0.427	62	15	-53.58772659301758	95	35	-208.9053192138672	0
45	0.427	108	20	-70.90003967285156	148	51	-321.2733459472656	0
46	0.427	101	22	-68.741943359375	137	43	-296.7222595214844	0
47	0.427	76	14	-61.004852294921875	106	33	-237.68942260742188	1
48	0.427	67	14	-47.3330192565918	94	36	-226.5177001953125	0
49	0.427	44	10	-39.08855438232422	63	22	-173.98509216308594	0
50	0.427	154	27	-123.87109375	208	75	-475.2550964355469	0
51	0.427	128	27	-68.1164779663086	179	60	-392.11444091796875	0
52	0.427	84	17	-64.16669464111328	116	39	-275.4718933105469	1
53	0.427	47	10	-33.70474624633789	67	23	-163.06228637695312	1
54	0.427	106	24	-62.38876724243164	148	52	-280.2693176269531	0
55	0.427	72	17	-67.8116683959961	101	37	-236.46664428710938	1
56	0.427	120	21	-75.96402740478516	170	49	-336.1294250488281	0
57	0.427	156	27	-94.36947631835938	214	65	-407.7900085449219	0
58	0.427	144	28	-79.90569305419922	199	68	-411.21649169921875	1
59	0.427	140	25	-81.16439056396484	193	55	-364.14483642578125	0
60	0.427	65	13	-41.32142639160156	94	33	-227.4553680419922	1
61	0.427	74	14	-47.243648529052734	100	35	-211.4779052734375	0
62	0.427	125	22	-97.30760955810547	165	53	-363.1264343261719	0
63	0.427	78	15	-56.248104095458984	104	31	-224.35646057128906	1
64	0.427	118	20	-81.76481628417969	157	49	-350.14453125	0
65	0.427	53	11	-28.980443954467773	75	28	-163.000244140625	1
66	0.427	53	11	-35.208526611328125	75	26	-169.46095275878906	0
67	0.427	140	27	-83.2618408203125	196	63	-365.3465881347656	0
68	0.427	113	22	-71.91896057128906	156	48	-330.2359313964844	0
69	0.427	104	19	-84.99470520019531	142	51	-330.9309997558594	0
70	0.427	160	24	-76.1915512084961	208	60	-391.940185546875	0
71	0.427	68	13	-52.882102966308594	95	29	-213.02200317382812	0
72	0.427	113	21	-87.72257232666016	158	51	-374.4178466796875	0
73	0.427	109	21	-94.5743179321289	147	47	-331.87255859375	0
74	0.427	146	26	-113.10757446289062	198	57	-402.5591125488281	0
75	0.427	63	13	-47.77909851074219	91	31	-207.3955078125	0
76	0.427	83	17	-68.21678161621094	119	44	-264.3946228027344	0
77	0.427	118	20	-86.67694854736328	158	44	-290.285400390625	0
78	0.427	49	10	-38.797603607177734	66	25	-165.5661163330078	0
79	0.427	38	9	-25.893600463867188	58	21	-140.39878845214844	0
80	0.427	35	10	-34.9570198059082	53	22	-117.46929931640625	1
81	0.427	56	9	-50.624473571777344	71	22	-174.91098022460938	0
82	0.427	164	29	-98.1109390258789	229	73	-399.3219909667969	1
83	0.427	158	28	-123.33360290527344	211	65	-432.50653076171875	0
