index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	0.293	48	12	-30.22695541381836	66	24	-144.09718322753906	0
1	0.293	52	12	-33.568328857421875	70	28	-181.81285095214844	0
2	0.293	65	16	-46.63685989379883	91	34	-195.66949462890625	0
3	0.293	35	13	-29.17022132873535	51	22	-134.83384704589844	0
4	0.293	46	11	-42.01966094970703	62	22	-158.1795196533203	0
5	0.293	63	13	-34.38407897949219	83	31	-200.02980041503906	0
6	0.293	93	20	-57.030372619628906	127	45	-271.44091796875	0
7	0.293	60	13	-44.13160705566406	80	28	-203.9578399658203	0
8	0.293	64	12	-29.84229278564453	82	27	-198.54412841796875	0
9	0.293	69	16	-35.56483840942383	97	36	-215.43922424316406	0
10	0.293	83	18	-45.93824768066406	111	36	-226.79583740234375	0
11	0.293	65	14	-37.231903076171875	89	30	-203.44903564453125	0
12	0.293	70	12	-38.03014373779297	90	25	-183.39584350585938	0
13	0.293	65	13	-36.2711296081543	87	33	-211.82151794433594	0
14	0.293	74	18	-48.818241119384766	104	37	-213.3206329345703	0
15	0.293	66	13	-31.062971115112305	88	29	-200.52288818359375	0
16	0.293	54	11	-33.82640838623047	72	28	-193.5261993408203	0
17	0.293	83	19	-58.68632125854492	113	37	-219.401123046875	1
18	0.293	91	21	-52.05624771118164	123	45	-269.0035705566406	1
19	0.293	56	15	-38.932559967041016	80	32	-184.1559295654297	0
20	0.293	146	32	-86.7518310546875	202	71	-439.3011779785156	0
21	0.293	29	9	-45.367950439453125	41	17	-117.98677825927734	0
22	0.293	97	25	-52.75218963623047	135	57	-293.09130859375	0
23	0.293	82	18	-49.46599578857422	112	46	-259.0738220214844	0
24	0.293	114	18	-65.35729217529297	146	51	-327.36865234375	0
25	0.293	63	14	-52.5767822265625	85	27	-173.48776245117188	0
26	0.293	160	30	-68.16397857666016	210	66	-375.4304504394531	0
27	0.293	69	14	-44.78742218017578	93	33	-222.2692108154297	0
28	0.293	57	13	-34.395320892333984	79	29	-185.70823669433594	0
29	0.293	167	34	-110.24634552001953	225	81	-419.2216796875	0
30	0.293	85	18	-51.22245407104492	115	40	-243.01513671875	0
31	0.293	151	32	-94.86784362792969	209	74	-429.1328430175781	0
32	0.293	141	27	-85.37798309326172	187	64	-383.445068359375	0
33	0.293	138	30	-85.90695190429688	190	67	-390.32586669921875	0
34	0.293	60	11	-38.51613235473633	78	26	-183.7773895263672	0
35	0.293	87	20	-54.80363464355469	121	43	-253.30038452148438	0
