index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-72.69775390625	48	11	-27.93722152709961	1
1	52	13	-79.56768798828125	52	11	-28.953365325927734	1
2	52	12	-75.7944107055664	52	11	-26.487857818603516	1
3	65	16	-107.26868438720703	65	15	-37.637943267822266	1
4	37	10	-65.49588775634766	37	10	-24.102802276611328	1
5	46	10	-78.28828430175781	46	11	-31.41360092163086	1
6	62	15	-105.25286865234375	62	15	-39.41438293457031	0
7	35	12	-64.23466491699219	35	12	-23.923954010009766	1
8	46	10	-70.8199462890625	46	10	-33.841861724853516	1
9	63	13	-98.81443786621094	63	12	-32.02788543701172	1
10	93	19	-143.3631134033203	93	19	-52.94271469116211	0
11	60	13	-93.71986389160156	60	12	-38.37535858154297	1
12	53	13	-89.02932739257812	53	13	-32.106292724609375	1
13	49	12	-88.3786849975586	49	12	-36.10759735107422	0
14	64	11	-89.5582275390625	64	11	-29.38847541809082	1
15	44	10	-71.46345520019531	44	10	-31.455020904541016	1
16	90	18	-125.34253692626953	90	18	-53.77836227416992	1
17	69	17	-109.70621490478516	69	16	-42.806087493896484	1
18	70	16	-107.20510864257812	70	15	-40.61770248413086	1
19	83	16	-117.28461456298828	83	16	-35.57762908935547	1
20	65	14	-89.0472183227539	65	13	-35.572120666503906	1
21	70	11	-93.76577758789062	70	11	-29.387317657470703	1
22	65	13	-95.04051971435547	65	12	-34.81201934814453	1
23	74	18	-123.2337875366211	74	17	-45.26503372192383	1
24	69	13	-105.72225952148438	69	13	-42.615394592285156	1
25	66	12	-88.47533416748047	66	12	-29.896778106689453	1
26	133	28	-189.2270050048828	133	27	-75.66192626953125	0
27	50	9	-74.0011215209961	50	9	-36.58509826660156	1
28	124	22	-179.85708618164062	124	21	-57.69941329956055	0
29	205	36	-265.55194091796875	205	36	-114.3672103881836	1
30	104	19	-127.9238510131836	104	19	-56.213897705078125	1
31	124	21	-159.14207458496094	124	21	-52.600440979003906	1
32	91	21	-143.88003540039062	91	21	-51.83712387084961	1
