index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-79.967529296875	48	11	-30.73094367980957	1
1	52	13	-86.19832611083984	52	11	-31.848703384399414	1
2	52	12	-82.684814453125	52	11	-29.13664436340332	1
3	65	16	-113.97297668457031	65	15	-40.32637023925781	1
4	37	10	-72.04547882080078	37	10	-26.78089141845703	1
5	46	10	-86.98698425292969	46	11	-34.90399932861328	1
6	62	15	-112.77093505859375	62	15	-42.229698181152344	1
7	35	12	-70.07418060302734	35	12	-26.098857879638672	1
8	46	10	-78.68882751464844	46	10	-37.60206985473633	1
9	63	13	-107.0489730834961	63	12	-34.939510345458984	1
10	93	19	-150.90853881835938	93	19	-55.88397979736328	1
11	60	13	-101.52985382080078	60	12	-41.86402893066406	1
12	53	13	-96.44844055175781	53	13	-34.78181838989258	1
13	49	12	-96.4131088256836	49	12	-39.390106201171875	1
14	64	11	-97.69988250732422	64	11	-32.32732391357422	1
15	44	10	-79.40383911132812	44	10	-34.95002365112305	1
16	90	18	-132.7156219482422	90	18	-56.941795349121094	1
17	69	17	-117.01996612548828	69	16	-45.86366271972656	1
18	70	16	-114.35211944580078	70	15	-43.51896667480469	1
19	83	16	-124.61490631103516	83	16	-37.94947052001953	1
20	65	14	-95.89700317382812	65	13	-38.53646469116211	1
21	70	11	-103.14234924316406	70	11	-32.3260498046875	1
22	65	13	-102.35132598876953	65	12	-37.976749420166016	1
23	74	18	-130.4828338623047	74	17	-48.09409713745117	1
24	69	13	-113.85474395751953	69	13	-45.89350128173828	1
25	66	12	-96.51853942871094	66	12	-32.61466598510742	1
26	133	28	-196.79608154296875	133	27	-78.81450653076172	1
27	50	9	-83.25125885009766	50	9	-41.158233642578125	1
28	124	22	-188.4217071533203	124	21	-60.58438491821289	1
29	205	36	-273.1391296386719	205	36	-117.63484954833984	1
30	104	19	-135.03073120117188	104	19	-59.33689498901367	1
31	124	21	-166.72027587890625	124	21	-55.23046112060547	1
32	91	21	-151.07403564453125	91	21	-54.42898178100586	1
33	82	17	-132.21221923828125	82	17	-57.852333068847656	1
34	140	28	-177.8651123046875	140	27	-84.49396514892578	1
35	70	16	-113.9815673828125	70	16	-58.2799072265625	1
36	83	18	-126.21009063720703	83	18	-48.44683837890625	1
37	148	27	-194.1708526611328	148	27	-87.42809295654297	1
38	91	21	-144.58029174804688	91	20	-53.040565490722656	1
39	56	14	-96.50592803955078	56	14	-39.83208084106445	1
40	146	31	-208.77134704589844	146	31	-83.79905700683594	1
41	162	29	-203.68820190429688	162	28	-93.36016845703125	1
42	72	17	-123.75366973876953	72	17	-50.31577682495117	1
43	137	26	-194.56991577148438	137	26	-72.61962890625	1
44	29	8	-75.5863037109375	29	8	-49.033203125	1
45	97	24	-158.51123046875	97	24	-51.3943977355957	0
46	93	18	-140.39451599121094	93	18	-55.22938537597656	1
47	82	17	-127.07400512695312	82	17	-47.02035140991211	1
48	114	17	-146.64044189453125	114	17	-65.0765151977539	1
49	63	13	-101.4450454711914	63	13	-55.019805908203125	1
50	135	27	-179.72999572753906	135	26	-89.98734283447266	1
51	77	15	-122.10017395019531	77	15	-58.296775817871094	1
