index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-72.69775390625	48	12	-27.93722152709961	0
1	52	12	-79.56768798828125	52	12	-28.953365325927734	1
2	52	12	-75.7944107055664	52	12	-26.487857818603516	1
3	65	16	-107.26868438720703	65	16	-37.637943267822266	0
4	37	11	-65.49588775634766	37	11	-24.102802276611328	1
5	46	13	-78.28828430175781	46	13	-31.41360092163086	0
6	62	16	-105.25286865234375	62	16	-39.41438293457031	0
7	35	14	-64.23466491699219	35	14	-23.923954010009766	0
8	46	12	-70.8199462890625	46	12	-33.841861724853516	0
9	63	13	-98.81443786621094	63	13	-32.02788543701172	0
10	93	21	-143.3631134033203	93	21	-52.94271469116211	0
11	60	14	-93.71986389160156	60	14	-38.37535858154297	0
12	53	14	-89.02932739257812	53	14	-32.106292724609375	0
13	49	14	-88.3786849975586	49	14	-36.10759735107422	0
14	64	11	-89.5582275390625	64	11	-29.38847541809082	0
15	44	11	-71.46345520019531	44	11	-31.455020904541016	1
16	90	20	-125.34253692626953	90	20	-53.77836227416992	0
17	69	19	-109.70621490478516	69	19	-42.806087493896484	1
18	70	16	-107.20510864257812	70	16	-40.61770248413086	0
19	83	20	-117.28461456298828	83	20	-35.57762908935547	0
20	65	15	-89.0472183227539	65	15	-35.572120666503906	0
21	70	14	-93.76577758789062	70	14	-29.387317657470703	0
22	65	13	-95.04051971435547	65	13	-34.81201934814453	0
23	74	21	-123.2337875366211	74	21	-45.26503372192383	0
24	69	16	-105.72225952148438	69	16	-42.615394592285156	1
25	66	13	-88.47533416748047	66	13	-29.896778106689453	1
26	133	34	-189.2270050048828	133	34	-75.66192626953125	0
27	50	10	-74.0011215209961	50	10	-36.58509826660156	0
28	124	26	-179.85708618164062	124	26	-57.69941329956055	1
29	205	39	-265.55194091796875	205	39	-114.3672103881836	0
30	104	21	-127.9238510131836	104	21	-56.213897705078125	0
31	124	22	-159.14207458496094	124	22	-52.600440979003906	0
32	91	22	-143.88003540039062	91	22	-51.83712387084961	0
33	82	18	-124.43502807617188	82	18	-54.44925308227539	0
34	140	30	-171.51278686523438	140	30	-81.36456298828125	0
35	70	18	-106.85771942138672	70	18	-54.637413024902344	0
36	83	18	-118.78596496582031	83	18	-45.597023010253906	0
37	148	35	-187.23617553710938	148	35	-84.19001007080078	0
38	91	23	-137.3512725830078	91	23	-50.3885383605957	1
39	56	16	-89.6126480102539	56	16	-36.98693084716797	0
40	146	33	-202.0367889404297	146	33	-81.09586334228516	0
41	162	32	-196.4136199951172	162	32	-90.02587890625	0
42	72	20	-116.0190658569336	72	20	-47.17103958129883	0
43	137	28	-187.08645629882812	137	28	-69.82656860351562	0
