index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-72.69775390625	48	12	-27.93722152709961	1
1	52	14	-79.56768798828125	52	12	-28.953365325927734	0
2	52	13	-75.7944107055664	52	12	-26.487857818603516	1
3	65	17	-107.26868438720703	65	16	-37.637943267822266	1
4	37	11	-65.49588775634766	37	11	-24.102802276611328	1
5	46	11	-78.28828430175781	46	12	-31.41360092163086	1
6	62	16	-105.25286865234375	62	16	-39.41438293457031	1
7	35	13	-64.23466491699219	35	13	-23.923954010009766	1
8	46	11	-70.8199462890625	46	11	-33.841861724853516	1
9	63	14	-98.81443786621094	63	13	-32.02788543701172	1
10	93	20	-143.3631134033203	93	20	-52.94271469116211	0
11	60	14	-93.71986389160156	60	13	-38.37535858154297	1
12	53	14	-89.02932739257812	53	14	-32.106292724609375	1
13	49	13	-88.3786849975586	49	13	-36.10759735107422	1
14	64	12	-89.5582275390625	64	12	-29.38847541809082	1
15	44	11	-71.46345520019531	44	11	-31.455020904541016	1
16	90	19	-125.34253692626953	90	19	-53.77836227416992	1
17	69	18	-109.70621490478516	69	17	-42.806087493896484	1
18	70	17	-107.20510864257812	70	16	-40.61770248413086	0
19	83	17	-117.28461456298828	83	17	-35.57762908935547	0
20	65	15	-89.0472183227539	65	14	-35.572120666503906	0
21	70	12	-93.76577758789062	70	12	-29.387317657470703	1
22	65	14	-95.04051971435547	65	13	-34.81201934814453	1
23	74	19	-123.2337875366211	74	18	-45.26503372192383	0
24	69	14	-105.72225952148438	69	14	-42.615394592285156	1
25	66	13	-88.47533416748047	66	13	-29.896778106689453	1
26	133	29	-189.2270050048828	133	28	-75.66192626953125	0
27	50	10	-74.0011215209961	50	10	-36.58509826660156	1
28	124	23	-179.85708618164062	124	22	-57.69941329956055	0
29	205	37	-265.55194091796875	205	37	-114.3672103881836	0
30	104	20	-127.9238510131836	104	20	-56.213897705078125	0
31	124	22	-159.14207458496094	124	22	-52.600440979003906	0
32	91	22	-143.88003540039062	91	22	-51.83712387084961	1
33	82	18	-124.43502807617188	82	18	-54.44925308227539	0
34	140	29	-171.51278686523438	140	28	-81.36456298828125	0
35	70	17	-106.85771942138672	70	17	-54.637413024902344	0
36	83	19	-118.78596496582031	83	19	-45.597023010253906	1
37	148	28	-187.23617553710938	148	28	-84.19001007080078	1
38	91	22	-137.3512725830078	91	21	-50.3885383605957	1
39	56	15	-89.6126480102539	56	15	-36.98693084716797	1
40	146	32	-202.0367889404297	146	32	-81.09586334228516	1
41	162	30	-196.4136199951172	162	29	-90.02587890625	0
42	72	18	-116.0190658569336	72	18	-47.17103958129883	1
43	137	27	-187.08645629882812	137	27	-69.82656860351562	0
44	29	9	-68.02767181396484	29	9	-44.1298828125	1
45	97	25	-151.90660095214844	97	25	-49.25296401977539	0
46	93	19	-133.0053253173828	93	19	-52.16108703613281	1
47	82	18	-119.59906005859375	82	18	-44.25444793701172	1
48	114	18	-138.0145263671875	114	18	-61.24848175048828	1
49	63	14	-93.6415786743164	63	14	-50.787513732910156	1
50	135	28	-173.07333374023438	135	27	-86.52629089355469	0
51	77	16	-113.96016693115234	77	16	-54.41032409667969	1
52	140	27	-199.641357421875	140	27	-66.41773986816406	0
53	57	13	-84.50439453125	57	13	-34.22383499145508	1
54	123	22	-176.49664306640625	123	22	-85.32579040527344	0
55	85	18	-131.15321350097656	85	18	-50.14432144165039	0
56	151	33	-226.49395751953125	151	32	-92.17733764648438	0
57	141	27	-201.04563903808594	141	27	-83.23876953125	1
58	112	32	-151.92941284179688	112	33	-60.456268310546875	0
59	138	31	-215.12660217285156	138	30	-80.72598266601562	1
60	70	15	-111.13966369628906	70	14	-35.653202056884766	1
61	60	11	-80.6540298461914	60	11	-37.39452362060547	0
62	87	20	-131.1754608154297	87	20	-52.46434783935547	1
63	155	31	-198.66065979003906	155	32	-67.22700500488281	0
64	111	28	-167.7209014892578	111	28	-88.43778228759766	0
65	118	24	-163.76089477539062	118	24	-80.39952850341797	0
66	49	11	-73.08820343017578	49	11	-37.599117279052734	1
67	90	21	-142.10211181640625	90	21	-60.950889587402344	0
68	68	17	-112.06620025634766	68	17	-41.370140075683594	1
69	72	18	-122.05271911621094	72	17	-56.90277099609375	1
70	124	26	-183.91976928710938	124	26	-79.6325454711914	0
71	116	23	-167.98663330078125	116	22	-65.73139190673828	1
72	143	26	-194.12196350097656	143	26	-81.18196105957031	0
73	148	31	-218.0320281982422	148	31	-73.00980377197266	0
74	66	15	-108.4140853881836	66	15	-37.51624298095703	0
75	221	45	-302.8368225097656	221	45	-117.86180114746094	0
76	89	20	-141.39077758789062	89	20	-56.938880920410156	1
77	202	34	-230.25079345703125	202	33	-138.35169982910156	0
78	242	42	-232.96044921875	242	40	-122.52127075195312	0
79	62	16	-102.83198547363281	62	16	-50.67271041870117	1
80	179	36	-234.50808715820312	179	36	-89.49186706542969	0
81	108	22	-156.51402282714844	108	21	-69.29358673095703	0
82	83	22	-134.25210571289062	83	22	-47.37077713012695	1
83	101	24	-152.76284790039062	101	23	-67.709716796875	1
84	76	15	-108.42178344726562	76	15	-59.89448928833008	1
85	100	20	-137.048583984375	100	20	-63.276084899902344	0
86	183	40	-265.4178771972656	183	40	-113.96508026123047	0
87	161	30	-211.79901123046875	161	32	-99.6169662475586	1
88	67	16	-101.57110595703125	67	15	-42.1377067565918	1
89	44	13	-84.94608306884766	44	11	-36.54104995727539	1
90	58	13	-87.03787231445312	58	13	-36.95106887817383	0
91	249	47	-293.7006530761719	249	47	-113.09381866455078	0
92	138	28	-194.81570434570312	138	27	-81.65805053710938	0
93	154	29	-212.41696166992188	154	28	-103.782470703125	0
94	128	27	-184.27105712890625	128	27	-46.309505462646484	0
95	74	16	-106.17884826660156	74	16	-55.2039680480957	0
96	80	16	-114.82819366455078	80	15	-46.31581497192383	0
97	95	23	-154.4678955078125	95	23	-81.11656188964844	1
98	118	20	-148.35610961914062	118	19	-65.86801147460938	0
99	134	30	-187.2027130126953	134	30	-84.08912658691406	0
0	48	12	-77.10546112060547	48	12	-50.79518127441406	1
1	52	14	-91.08013153076172	52	12	-44.44107437133789	1
2	52	13	-83.8567886352539	52	12	-42.101173400878906	1
3	65	16	-109.51557159423828	65	16	-63.09587860107422	0
4	37	12	-76.95215606689453	37	11	-39.92292785644531	1
5	46	11	-87.15707397460938	46	12	-51.946739196777344	0
6	62	16	-105.564697265625	62	16	-51.437339782714844	1
7	35	13	-70.08428955078125	35	13	-35.79888916015625	0
8	46	11	-86.93929290771484	46	11	-65.35826873779297	1
9	63	13	-104.93798828125	63	13	-69.75829315185547	0
10	93	20	-154.1411590576172	93	20	-82.00928497314453	0
11	60	14	-100.99017333984375	60	13	-67.68131256103516	0
12	53	15	-97.59272003173828	53	14	-49.774513244628906	1
13	49	13	-91.55343627929688	49	13	-49.6719970703125	1
14	64	11	-92.75979614257812	64	12	-50.27645492553711	1
15	44	11	-84.26359558105469	44	11	-51.65141296386719	1
16	90	19	-147.09439086914062	90	19	-109.70639038085938	0
17	69	17	-106.93448638916016	69	17	-55.8104133605957	1
18	70	17	-118.3581771850586	70	16	-70.21802520751953	0
19	83	17	-116.16122436523438	83	17	-45.05502700805664	0
20	65	14	-100.01142883300781	65	14	-55.69329071044922	1
21	70	12	-98.48583984375	70	12	-50.64158630371094	1
22	65	14	-106.20660400390625	65	13	-66.71744537353516	0
23	74	18	-115.9380874633789	74	18	-58.634700775146484	1
24	69	15	-118.10249328613281	69	14	-62.501243591308594	1
25	66	13	-102.93437194824219	66	13	-73.40629577636719	1
