index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	11	-30.73094367980957	48	11	-79.967529296875	0
1	52	11	-31.848703384399414	52	13	-86.19832611083984	0
2	52	11	-29.13664436340332	52	12	-82.684814453125	1
3	65	15	-40.32637023925781	65	16	-113.97297668457031	1
4	37	10	-26.78089141845703	37	10	-72.04547882080078	1
5	46	11	-34.90399932861328	46	10	-86.98698425292969	1
6	62	15	-42.229698181152344	62	15	-112.77093505859375	1
7	35	12	-26.098857879638672	35	12	-70.07418060302734	0
8	46	10	-37.60206985473633	46	10	-78.68882751464844	0
9	63	12	-34.939510345458984	63	13	-107.0489730834961	0
10	93	19	-55.88397979736328	93	19	-150.90853881835938	0
11	60	12	-41.86402893066406	60	13	-101.52985382080078	1
12	53	13	-34.78181838989258	53	13	-96.44844055175781	1
13	49	12	-39.390106201171875	49	12	-96.4131088256836	1
14	64	11	-32.32732391357422	64	11	-97.69988250732422	1
15	44	10	-34.95002365112305	44	10	-79.40383911132812	1
16	90	18	-56.941795349121094	90	18	-132.7156219482422	0
17	69	16	-45.86366271972656	69	17	-117.01996612548828	1
18	70	15	-43.51896667480469	70	16	-114.35211944580078	1
19	83	16	-37.94947052001953	83	16	-124.61490631103516	0
20	65	13	-38.53646469116211	65	14	-95.89700317382812	1
21	70	11	-32.3260498046875	70	11	-103.14234924316406	1
22	65	12	-37.976749420166016	65	13	-102.35132598876953	1
23	74	17	-48.09409713745117	74	18	-130.4828338623047	1
24	69	13	-45.89350128173828	69	13	-113.85474395751953	1
25	66	12	-32.61466598510742	66	12	-96.51853942871094	1
26	133	27	-78.81450653076172	133	28	-196.79608154296875	1
27	50	9	-41.158233642578125	50	9	-83.25125885009766	1
28	124	21	-60.58438491821289	124	22	-188.4217071533203	0
29	205	36	-117.63484954833984	205	36	-273.1391296386719	0
30	104	19	-59.33689498901367	104	19	-135.03073120117188	1
31	124	21	-55.23046112060547	124	21	-166.72027587890625	1
32	91	21	-54.42898178100586	91	21	-151.07403564453125	0
33	82	17	-57.852333068847656	82	17	-132.21221923828125	1
34	140	27	-84.49396514892578	140	28	-177.8651123046875	0
35	70	16	-58.2799072265625	70	16	-113.9815673828125	0
36	83	18	-48.44683837890625	83	18	-126.21009063720703	0
37	148	27	-87.42809295654297	148	27	-194.1708526611328	0
38	91	20	-53.040565490722656	91	21	-144.58029174804688	0
39	56	14	-39.83208084106445	56	14	-96.50592803955078	0
40	146	31	-83.79905700683594	146	31	-208.77134704589844	0
41	162	28	-93.36016845703125	162	29	-203.68820190429688	0
42	72	17	-50.31577682495117	72	17	-123.75366973876953	1
43	137	26	-72.61962890625	137	26	-194.56991577148438	0
44	29	8	-49.033203125	29	8	-75.5863037109375	1
45	97	24	-51.3943977355957	97	24	-158.51123046875	1
46	93	18	-55.22938537597656	93	18	-140.39451599121094	0
47	82	17	-47.02035140991211	82	17	-127.07400512695312	0
48	114	17	-65.0765151977539	114	17	-146.64044189453125	1
49	63	13	-55.019805908203125	63	13	-101.4450454711914	1
50	135	26	-89.98734283447266	135	27	-179.72999572753906	0
51	77	15	-58.296775817871094	77	15	-122.10017395019531	0
52	140	26	-69.07444763183594	140	26	-207.62701416015625	1
53	57	12	-37.3350944519043	57	12	-92.18661499023438	1
54	123	21	-89.59208679199219	123	21	-184.9012451171875	0
55	85	17	-53.278343200683594	85	17	-138.86810302734375	0
56	151	31	-95.24991607666016	151	32	-233.5718994140625	0
57	141	26	-86.56832122802734	141	26	-209.08746337890625	1
58	112	32	-62.87451934814453	112	31	-158.006591796875	0
59	138	29	-83.60904693603516	138	30	-222.5447540283203	1
60	70	13	-38.89440155029297	70	14	-119.6888656616211	1
61	60	10	-41.54947280883789	60	10	-88.71943664550781	1
62	87	19	-55.379032135009766	87	19	-138.46298217773438	0
63	155	31	-69.39561462402344	155	30	-205.28268432617188	0
64	111	27	-91.83924102783203	111	27	-174.1717071533203	0
65	118	23	-84.0540542602539	118	23	-171.20457458496094	0
66	49	10	-41.77679443359375	49	10	-81.20911407470703	0
67	90	20	-64.15882873535156	90	20	-149.5811767578125	0
68	68	16	-44.128150939941406	68	16	-119.0703353881836	1
69	72	16	-60.6962890625	72	17	-129.68101501464844	1
70	124	25	-82.95056915283203	124	25	-191.27655029296875	0
71	116	21	-69.01795959472656	116	22	-176.38597106933594	0
72	143	25	-84.56454467773438	143	25	-201.8868408203125	0
73	148	30	-75.52738952636719	148	30	-225.5503692626953	1
74	66	14	-40.40210723876953	66	14	-116.15794372558594	1
75	221	44	-120.73648071289062	221	44	-310.0472106933594	0
76	89	19	-59.935665130615234	89	19	-148.8323974609375	0
77	202	32	-142.54417419433594	202	33	-237.02288818359375	1
78	242	39	-125.74551391601562	242	41	-238.7844696044922	0
79	62	15	-54.29219055175781	62	15	-110.17713165283203	0
80	179	35	-92.12397766113281	179	35	-241.4053955078125	0
81	108	20	-72.94061279296875	108	21	-164.3397216796875	1
82	83	21	-49.739315032958984	83	21	-140.9647216796875	0
