index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-27.93722152709961	48	12	-72.69775390625	0
1	52	12	-28.953365325927734	52	12	-79.56768798828125	0
2	52	12	-26.487857818603516	52	12	-75.7944107055664	0
3	65	16	-37.637943267822266	65	16	-107.26868438720703	0
4	37	11	-24.102802276611328	37	11	-65.49588775634766	0
5	46	13	-31.41360092163086	46	13	-78.28828430175781	0
6	62	16	-39.41438293457031	62	16	-105.25286865234375	0
7	35	14	-23.923954010009766	35	14	-64.23466491699219	0
8	46	12	-33.841861724853516	46	12	-70.8199462890625	0
9	63	13	-32.02788543701172	63	13	-98.81443786621094	0
10	93	21	-52.94271469116211	93	21	-143.3631134033203	0
11	60	14	-38.37535858154297	60	14	-93.71986389160156	0
12	53	14	-32.106292724609375	53	14	-89.02932739257812	0
13	49	14	-36.10759735107422	49	14	-88.3786849975586	0
14	64	11	-29.38847541809082	64	11	-89.5582275390625	0
15	44	11	-31.455020904541016	44	11	-71.46345520019531	0
16	90	20	-53.77836227416992	90	20	-125.34253692626953	0
17	69	19	-42.806087493896484	69	19	-109.70621490478516	0
18	70	16	-40.61770248413086	70	16	-107.20510864257812	0
19	83	20	-35.57762908935547	83	20	-117.28461456298828	0
20	65	15	-35.572120666503906	65	15	-89.0472183227539	0
21	70	14	-29.387317657470703	70	14	-93.76577758789062	0
22	65	13	-34.81201934814453	65	13	-95.04051971435547	0
23	74	21	-45.26503372192383	74	21	-123.2337875366211	0
24	69	16	-42.615394592285156	69	16	-105.72225952148438	0
25	66	13	-29.896778106689453	66	13	-88.47533416748047	0
26	133	34	-75.66192626953125	133	34	-189.2270050048828	0
27	50	10	-36.58509826660156	50	10	-74.0011215209961	0
28	124	26	-57.69941329956055	124	26	-179.85708618164062	0
29	205	39	-114.3672103881836	205	39	-265.55194091796875	0
30	104	21	-56.213897705078125	104	21	-127.9238510131836	0
31	124	22	-52.600440979003906	124	22	-159.14207458496094	0
32	91	22	-51.83712387084961	91	22	-143.88003540039062	0
33	82	18	-54.44925308227539	82	18	-124.43502807617188	0
34	140	30	-81.36456298828125	140	30	-171.51278686523438	0
35	70	18	-54.637413024902344	70	18	-106.85771942138672	0
36	83	18	-45.597023010253906	83	18	-118.78596496582031	0
37	148	35	-84.19001007080078	148	35	-187.23617553710938	0
38	91	23	-50.3885383605957	91	23	-137.3512725830078	0
39	56	16	-36.98693084716797	56	16	-89.6126480102539	0
40	146	33	-81.09586334228516	146	33	-202.0367889404297	0
41	162	32	-90.02587890625	162	32	-196.4136199951172	0
42	72	20	-47.17103958129883	72	20	-116.0190658569336	0
43	137	28	-69.82656860351562	137	28	-187.08645629882812	0
44	29	10	-44.1298828125	29	10	-68.02767181396484	0
45	97	26	-49.25296401977539	97	26	-151.90660095214844	0
46	93	19	-52.16108703613281	93	19	-133.0053253173828	0
47	82	19	-44.25444793701172	82	19	-119.59906005859375	0
48	114	20	-61.24848175048828	114	20	-138.0145263671875	0
49	63	16	-50.787513732910156	63	16	-93.6415786743164	0
50	135	32	-86.52629089355469	135	32	-173.07333374023438	0
51	77	16	-54.41032409667969	77	16	-113.96016693115234	0
52	140	31	-66.41773986816406	140	31	-199.641357421875	0
53	57	13	-34.22383499145508	57	13	-84.50439453125	0
54	123	24	-85.32579040527344	123	24	-176.49664306640625	0
55	85	18	-50.14432144165039	85	18	-131.15321350097656	0
56	151	36	-92.17733764648438	151	36	-226.49395751953125	0
57	141	29	-83.23876953125	141	29	-201.04563903808594	0
58	112	40	-60.456268310546875	112	40	-151.92941284179688	0
59	138	36	-80.72598266601562	138	36	-215.12660217285156	0
60	70	15	-35.653202056884766	70	15	-111.13966369628906	0
61	60	11	-37.39452362060547	60	11	-80.6540298461914	0
62	87	21	-52.46434783935547	87	21	-131.1754608154297	0
63	155	36	-67.22700500488281	155	36	-198.66065979003906	0
64	111	28	-88.43778228759766	111	28	-167.7209014892578	0
65	118	27	-80.39952850341797	118	27	-163.76089477539062	0
66	49	11	-37.599117279052734	49	11	-73.08820343017578	0
67	90	22	-60.950889587402344	90	22	-142.10211181640625	0
68	68	17	-41.370140075683594	68	17	-112.06620025634766	0
69	72	22	-56.90277099609375	72	22	-122.05271911621094	0
70	124	29	-79.6325454711914	124	29	-183.91976928710938	0
71	116	24	-65.73139190673828	116	24	-167.98663330078125	0
72	143	31	-81.18196105957031	143	31	-194.12196350097656	0
73	148	31	-73.00980377197266	148	31	-218.0320281982422	0
74	66	16	-37.51624298095703	66	16	-108.4140853881836	0
75	221	50	-117.86180114746094	221	50	-302.8368225097656	0
76	89	22	-56.938880920410156	89	22	-141.39077758789062	0
77	202	40	-138.35169982910156	202	40	-230.25079345703125	0
78	242	52	-122.52127075195312	242	52	-232.96044921875	0
79	62	16	-50.67271041870117	62	16	-102.83198547363281	0
80	179	38	-89.49186706542969	179	38	-234.50808715820312	0
81	108	24	-69.29358673095703	108	24	-156.51402282714844	0
82	83	22	-47.37077713012695	83	22	-134.25210571289062	0
83	101	27	-67.709716796875	101	27	-152.76284790039062	0
84	76	17	-59.89448928833008	76	17	-108.42178344726562	0
85	100	22	-63.276084899902344	100	22	-137.048583984375	0
86	183	43	-113.96508026123047	183	43	-265.4178771972656	0
87	161	35	-99.6169662475586	161	35	-211.79901123046875	0
88	67	15	-42.1377067565918	67	15	-101.57110595703125	0
89	44	14	-36.54104995727539	44	14	-84.94608306884766	0
90	58	14	-36.95106887817383	58	14	-87.03787231445312	0
91	249	51	-113.09381866455078	249	51	-293.7006530761719	0
92	138	31	-81.65805053710938	138	31	-194.81570434570312	0
93	154	32	-103.782470703125	154	32	-212.41696166992188	0
94	128	30	-46.309505462646484	128	30	-184.27105712890625	0
95	74	17	-55.2039680480957	74	17	-106.17884826660156	0
96	80	16	-46.31581497192383	80	16	-114.82819366455078	0
97	95	24	-81.11656188964844	95	24	-154.4678955078125	0
98	118	23	-65.86801147460938	118	23	-148.35610961914062	0
99	134	32	-84.08912658691406	134	32	-187.2027130126953	0
0	48	12	-50.79518127441406	48	12	-77.10546112060547	0
1	52	15	-44.44107437133789	52	15	-91.08013153076172	0
2	52	13	-42.101173400878906	52	13	-83.8567886352539	0
3	65	17	-63.09587860107422	65	17	-109.51557159423828	0
4	37	12	-39.92292785644531	37	12	-76.95215606689453	0
5	46	15	-51.946739196777344	46	15	-87.15707397460938	0
6	62	16	-51.437339782714844	62	16	-105.564697265625	0
7	35	14	-35.79888916015625	35	14	-70.08428955078125	0
8	46	12	-65.35826873779297	46	12	-86.93929290771484	0
9	63	14	-69.75829315185547	63	14	-104.93798828125	0
10	93	22	-82.00928497314453	93	22	-154.1411590576172	0
11	60	17	-67.68131256103516	60	17	-100.99017333984375	0
12	53	15	-49.774513244628906	53	15	-97.59272003173828	0
13	49	15	-49.6719970703125	49	15	-91.55343627929688	0
14	64	11	-50.27645492553711	64	11	-92.75979614257812	0
15	44	14	-51.65141296386719	44	14	-84.26359558105469	0
16	90	22	-109.70639038085938	90	22	-147.09439086914062	0
17	69	18	-55.8104133605957	69	18	-106.93448638916016	0
18	70	17	-70.21802520751953	70	17	-118.3581771850586	0
19	83	19	-45.05502700805664	83	19	-116.16122436523438	0
20	65	14	-55.69329071044922	65	14	-100.01142883300781	0
21	70	15	-50.64158630371094	70	15	-98.48583984375	0
22	65	14	-66.71744537353516	65	14	-106.20660400390625	0
23	74	19	-58.634700775146484	74	19	-115.9380874633789	0
24	69	18	-62.501243591308594	69	18	-118.10249328613281	0
25	66	16	-73.40629577636719	66	16	-102.93437194824219	0
26	133	34	-83.10807800292969	133	34	-200.6396484375	0
27	50	10	-51.61259841918945	50	10	-83.27442169189453	0
28	124	24	-85.34262084960938	124	24	-183.5096893310547	0
29	205	40	-165.1591796875	205	40	-277.1361389160156	0
30	104	27	-89.64090728759766	104	27	-145.62661743164062	0
31	124	22	-85.13056945800781	124	22	-160.61314392089844	0
32	91	22	-71.79545593261719	91	22	-148.26541137695312	0
33	82	18	-81.69886779785156	82	18	-137.03726196289062	0
34	140	34	-132.84454345703125	140	34	-193.86822509765625	0
35	70	18	-87.8216552734375	70	18	-127.60838317871094	0
36	83	18	-65.78739929199219	83	18	-120.54515838623047	0
37	148	39	-120.35548400878906	148	39	-206.8800048828125	0
38	91	26	-91.77582550048828	91	26	-160.03057861328125	0
39	56	16	-47.135372161865234	56	16	-91.19854736328125	0
40	146	35	-115.51676940917969	146	35	-220.4832763671875	0
41	162	36	-144.81146240234375	162	36	-209.5818634033203	0
42	72	23	-65.83251953125	72	23	-129.15927124023438	0
43	137	31	-117.00875854492188	137	31	-192.4901123046875	0
44	29	10	-56.14591598510742	29	10	-66.72154998779297	0
45	97	25	-61.676483154296875	97	25	-153.18968200683594	0
46	93	21	-74.10143280029297	93	21	-138.91127014160156	0
47	82	20	-65.21685791015625	82	20	-130.93289184570312	0
48	114	20	-110.3782730102539	114	20	-148.16004943847656	0
49	63	17	-67.47413635253906	63	17	-105.7328109741211	0
50	135	34	-127.38660430908203	135	34	-187.45431518554688	0
51	77	16	-74.06902313232422	77	16	-120.50807189941406	0
52	140	29	-103.23493194580078	140	29	-195.29612731933594	0
53	57	15	-61.4296989440918	57	15	-92.59365844726562	0
54	123	26	-112.32110595703125	123	26	-179.77182006835938	0
55	85	20	-75.02105712890625	85	20	-134.80442810058594	0
56	151	38	-130.64503479003906	151	38	-233.06297302246094	0
57	141	33	-136.26255798339844	141	33	-223.91253662109375	0
58	112	39	-80.31573486328125	112	39	-153.7186279296875	0
59	138	36	-110.83162689208984	138	36	-226.36199951171875	0
60	70	16	-56.19609069824219	70	16	-112.0806655883789	0
61	60	12	-64.80462646484375	60	12	-91.08534240722656	0
62	87	22	-75.00497436523438	87	22	-147.228759765625	0
63	155	37	-91.46568298339844	155	37	-211.59754943847656	0
64	111	30	-105.79190063476562	111	30	-176.3959503173828	0
