index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	48	12	-27.93722152709961	48	12	-72.69775390625	0
1	52	12	-28.953365325927734	52	14	-79.56768798828125	0
2	52	12	-26.487857818603516	52	13	-75.7944107055664	0
3	65	16	-37.637943267822266	65	17	-107.26868438720703	0
4	37	11	-24.102802276611328	37	11	-65.49588775634766	0
5	46	12	-31.41360092163086	46	11	-78.28828430175781	0
6	62	16	-39.41438293457031	62	16	-105.25286865234375	0
7	35	13	-23.923954010009766	35	13	-64.23466491699219	0
8	46	11	-33.841861724853516	46	11	-70.8199462890625	0
9	63	13	-32.02788543701172	63	14	-98.81443786621094	0
10	93	20	-52.94271469116211	93	20	-143.3631134033203	0
11	60	13	-38.37535858154297	60	14	-93.71986389160156	0
12	53	14	-32.106292724609375	53	14	-89.02932739257812	0
13	49	13	-36.10759735107422	49	13	-88.3786849975586	0
14	64	12	-29.38847541809082	64	12	-89.5582275390625	0
15	44	11	-31.455020904541016	44	11	-71.46345520019531	1
16	90	19	-53.77836227416992	90	19	-125.34253692626953	0
17	69	17	-42.806087493896484	69	18	-109.70621490478516	1
18	70	16	-40.61770248413086	70	17	-107.20510864257812	0
19	83	17	-35.57762908935547	83	17	-117.28461456298828	1
20	65	14	-35.572120666503906	65	15	-89.0472183227539	0
21	70	12	-29.387317657470703	70	12	-93.76577758789062	0
22	65	13	-34.81201934814453	65	14	-95.04051971435547	0
23	74	18	-45.26503372192383	74	19	-123.2337875366211	0
24	69	14	-42.615394592285156	69	14	-105.72225952148438	0
25	66	13	-29.896778106689453	66	13	-88.47533416748047	0
26	133	28	-75.66192626953125	133	29	-189.2270050048828	0
27	50	10	-36.58509826660156	50	10	-74.0011215209961	0
28	124	22	-57.69941329956055	124	23	-179.85708618164062	0
29	205	37	-114.3672103881836	205	37	-265.55194091796875	0
30	104	20	-56.213897705078125	104	20	-127.9238510131836	0
31	124	22	-52.600440979003906	124	22	-159.14207458496094	0
32	91	22	-51.83712387084961	91	22	-143.88003540039062	0
33	82	18	-54.44925308227539	82	18	-124.43502807617188	0
34	140	28	-81.36456298828125	140	29	-171.51278686523438	0
35	70	17	-54.637413024902344	70	17	-106.85771942138672	0
36	83	19	-45.597023010253906	83	19	-118.78596496582031	0
37	148	28	-84.19001007080078	148	28	-187.23617553710938	0
38	91	21	-50.3885383605957	91	22	-137.3512725830078	0
39	56	15	-36.98693084716797	56	15	-89.6126480102539	0
40	146	32	-81.09586334228516	146	32	-202.0367889404297	0
41	162	29	-90.02587890625	162	30	-196.4136199951172	0
42	72	18	-47.17103958129883	72	18	-116.0190658569336	0
43	137	27	-69.82656860351562	137	27	-187.08645629882812	0
44	29	9	-44.1298828125	29	9	-68.02767181396484	1
45	97	25	-49.25296401977539	97	25	-151.90660095214844	0
46	93	19	-52.16108703613281	93	19	-133.0053253173828	0
47	82	18	-44.25444793701172	82	18	-119.59906005859375	0
48	114	18	-61.24848175048828	114	18	-138.0145263671875	0
49	63	14	-50.787513732910156	63	14	-93.6415786743164	0
50	135	27	-86.52629089355469	135	28	-173.07333374023438	0
51	77	16	-54.41032409667969	77	16	-113.96016693115234	0
52	140	27	-66.41773986816406	140	27	-199.641357421875	0
53	57	13	-34.22383499145508	57	13	-84.50439453125	0
54	123	22	-85.32579040527344	123	22	-176.49664306640625	0
55	85	18	-50.14432144165039	85	18	-131.15321350097656	0
56	151	32	-92.17733764648438	151	33	-226.49395751953125	0
57	141	27	-83.23876953125	141	27	-201.04563903808594	0
58	112	33	-60.456268310546875	112	32	-151.92941284179688	0
59	138	30	-80.72598266601562	138	31	-215.12660217285156	0
60	70	14	-35.653202056884766	70	15	-111.13966369628906	1
61	60	11	-37.39452362060547	60	11	-80.6540298461914	0
62	87	20	-52.46434783935547	87	20	-131.1754608154297	0
63	155	32	-67.22700500488281	155	31	-198.66065979003906	0
64	111	28	-88.43778228759766	111	28	-167.7209014892578	0
65	118	24	-80.39952850341797	118	24	-163.76089477539062	0
66	49	11	-37.599117279052734	49	11	-73.08820343017578	0
67	90	21	-60.950889587402344	90	21	-142.10211181640625	0
68	68	17	-41.370140075683594	68	17	-112.06620025634766	0
69	72	17	-56.90277099609375	72	18	-122.05271911621094	0
70	124	26	-79.6325454711914	124	26	-183.91976928710938	0
71	116	22	-65.73139190673828	116	23	-167.98663330078125	0
72	143	26	-81.18196105957031	143	26	-194.12196350097656	0
73	148	31	-73.00980377197266	148	31	-218.0320281982422	0
74	66	15	-37.51624298095703	66	15	-108.4140853881836	0
75	221	45	-117.86180114746094	221	45	-302.8368225097656	0
76	89	20	-56.938880920410156	89	20	-141.39077758789062	0
77	202	33	-138.35169982910156	202	34	-230.25079345703125	0
78	242	40	-122.52127075195312	242	42	-232.96044921875	0
