index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12dec_highprob	48	24	-172.43739318847656	48	11	-27.93722152709961	0
1	rot12dec_highprob	52	26	-178.4266357421875	52	11	-28.953365325927734	0
2	rot12dec_highprob	52	26	-191.82884216308594	52	11	-26.487857818603516	0
3	rot12dec_highprob	65	32	-209.938232421875	65	15	-37.637943267822266	0
4	rot12dec_highprob	37	17	-132.02415466308594	37	10	-24.102802276611328	0
5	rot12dec_highprob	46	23	-165.9780731201172	46	12	-31.41360092163086	0
6	rot12dec_highprob	62	29	-199.45843505859375	62	15	-39.41438293457031	0
7	rot12dec_highprob	35	18	-125.80809020996094	35	13	-23.923954010009766	0
8	rot12dec_highprob	46	22	-179.4417266845703	46	10	-33.841861724853516	0
9	rot12dec_highprob	63	29	-218.4091796875	63	12	-32.02788543701172	0
10	rot12dec_highprob	93	43	-290.23394775390625	93	19	-52.94271469116211	0
11	rot12dec_highprob	60	30	-214.40870666503906	60	12	-38.37535858154297	0
12	rot12dec_highprob	53	24	-180.7392120361328	53	13	-32.106292724609375	0
13	rot12dec_highprob	49	22	-170.52565002441406	49	12	-36.10759735107422	0
14	rot12dec_highprob	64	28	-221.5067901611328	64	10	-29.38847541809082	0
15	rot12dec_highprob	44	20	-153.27403259277344	44	10	-31.455020904541016	0
16	rot12dec_highprob	90	41	-307.1450500488281	90	18	-53.77836227416992	0
17	rot12dec_highprob	69	35	-248.77133178710938	69	17	-42.806087493896484	0
18	rot12dec_highprob	70	34	-243.43475341796875	70	15	-40.61770248413086	0
19	rot12dec_highprob	83	42	-277.7108459472656	83	16	-35.57762908935547	0
20	rot12dec_highprob	65	28	-229.6200408935547	65	13	-35.572120666503906	0
21	rot12dec_highprob	70	31	-245.23326110839844	70	11	-29.387317657470703	0
22	rot12dec_highprob	65	32	-224.31040954589844	65	12	-34.81201934814453	0
23	rot12dec_highprob	74	37	-245.39549255371094	74	17	-45.26503372192383	0
24	rot12dec_highprob	69	34	-247.2356719970703	69	14	-42.615394592285156	0
25	rot12dec_highprob	66	28	-220.96539306640625	66	12	-29.896778106689453	0
26	rot12dec_highprob	133	67	-439.9765625	133	30	-75.66192626953125	0
27	rot12dec_highprob	50	24	-178.1669158935547	50	9	-36.58509826660156	0
28	rot12dec_highprob	124	61	-419.0816955566406	124	21	-57.69941329956055	0
29	rot12dec_highprob	205	98	-659.2820434570312	205	36	-114.3672103881836	0
30	rot12dec_highprob	104	48	-360.7301330566406	104	17	-56.213897705078125	0
