index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12dec_highprob_10shot	172	88	-563.1207885742188	172	32	-100.14143371582031	0
1	rot12dec_highprob_10shot	256	133	-784.1309814453125	256	55	-169.54190063476562	0
2	rot12dec_highprob_10shot	144	74	-466.7228088378906	144	28	-77.32567596435547	0
3	rot12dec_highprob_10shot	48	25	-172.43739318847656	48	11	-27.93722152709961	0
4	rot12dec_highprob_10shot	29	17	-117.29461669921875	29	8	-44.1298828125	0
5	rot12dec_highprob_10shot	137	74	-470.7762145996094	137	26	-69.82656860351562	0
6	rot12dec_highprob_10shot	59	32	-203.57020568847656	59	13	-50.92900085449219	0
7	rot12dec_highprob_10shot	89	48	-318.7348937988281	89	19	-56.938880920410156	0
8	rot12dec_highprob_10shot	63	32	-208.137939453125	63	13	-50.787513732910156	0
9	rot12dec_highprob_10shot	50	27	-191.91603088378906	50	11	-38.272117614746094	0
10	rot12dec_highprob_10shot	118	61	-379.7263488769531	118	20	-71.50328826904297	0
11	rot12dec_highprob_10shot	124	65	-419.0816955566406	124	21	-57.69941329956055	0
12	rot12dec_highprob_10shot	35	20	-130.98825073242188	35	10	-30.55268096923828	0
13	rot12dec_highprob_10shot	74	42	-262.33966064453125	74	12	-38.55802917480469	0
14	rot12dec_highprob_10shot	58	32	-198.71356201171875	58	12	-36.95106887817383	0
15	rot12dec_highprob_10shot	112	66	-340.1748352050781	112	32	-60.456268310546875	0
16	rot12dec_highprob_10shot	103	50	-337.0351867675781	103	18	-66.44187927246094	0
17	rot12dec_highprob_10shot	113	55	-370.07122802734375	113	21	-73.1137924194336	0
18	rot12dec_highprob_10shot	57	31	-194.38629150390625	57	13	-42.834903717041016	0
19	rot12dec_highprob_10shot	185	97	-629.0176391601562	185	31	-140.0038604736328	0
20	rot12dec_highprob_10shot	146	75	-471.8563232421875	146	26	-107.357421875	0
21	rot12dec_highprob_10shot	74	38	-245.39549255371094	74	17	-45.26503372192383	0
22	rot12dec_highprob_10shot	68	35	-242.2625274658203	68	11	-40.26740264892578	0
23	rot12dec_highprob_10shot	87	44	-295.5520935058594	87	19	-52.46434783935547	0
24	rot12dec_highprob_10shot	62	31	-199.45843505859375	62	15	-39.41438293457031	0
25	rot12dec_highprob_10shot	19	10	-72.84616088867188	19	5	-14.968204498291016	0
26	rot12dec_highprob_10shot	141	76	-452.7984619140625	141	31	-86.6181640625	0
27	rot12dec_highprob_10shot	69	37	-248.77133178710938	69	16	-42.806087493896484	0
28	rot12dec_highprob_10shot	100	50	-325.275390625	100	20	-64.43511962890625	0
29	rot12dec_highprob_10shot	66	34	-220.96539306640625	66	12	-29.896778106689453	0
30	rot12dec_highprob_10shot	64	30	-221.5067901611328	64	11	-29.38847541809082	0
31	rot12dec_highprob_10shot	179	93	-594.0592041015625	179	35	-89.49186706542969	0
32	rot12dec_highprob_10shot	43	23	-155.53179931640625	43	11	-41.4593505859375	0
33	rot12dec_highprob_10shot	118	60	-394.3682861328125	118	23	-80.39952850341797	0
34	rot12dec_highprob_10shot	91	46	-306.56671142578125	91	20	-50.3885383605957	0
35	rot12dec_highprob_10shot	154	80	-448.46771240234375	154	23	-106.29615783691406	0
36	rot12dec_highprob_10shot	60	31	-214.40870666503906	60	12	-38.37535858154297	0
37	rot12dec_highprob_10shot	83	41	-273.6596374511719	83	18	-45.597023010253906	0
38	rot12dec_highprob_10shot	148	79	-518.5247192382812	148	27	-84.19001007080078	0
39	rot12dec_highprob_10shot	120	66	-426.379150390625	120	25	-88.77118682861328	0
40	rot12dec_highprob_10shot	68	35	-234.17294311523438	68	16	-44.250301361083984	0
41	rot12dec_highprob_10shot	133	72	-442.780029296875	133	23	-102.38329315185547	0
42	rot12dec_highprob_10shot	109	61	-389.49542236328125	109	20	-65.8346939086914	0
43	rot12dec_highprob_10shot	100	54	-340.8373718261719	100	19	-55.656375885009766	0
44	rot12dec_highprob_10shot	123	62	-394.9629211425781	123	21	-85.32579040527344	0
45	rot12dec_highprob_10shot	118	60	-399.31121826171875	118	18	-65.86801147460938	0
46	rot12dec_highprob_10shot	101	51	-337.17303466796875	101	20	-74.95160675048828	0
47	rot12dec_highprob_10shot	137	75	-458.1732177734375	137	26	-70.56205749511719	0
48	rot12dec_highprob_10shot	113	53	-375.7195129394531	113	22	-73.46867370605469	0
49	rot12dec_highprob_10shot	202	108	-650.5202026367188	202	32	-138.35169982910156	0
50	rot12dec_highprob_10shot	143	75	-472.82550048828125	143	25	-81.18196105957031	0
51	rot12dec_highprob_10shot	108	48	-356.1669616699219	108	20	-69.29358673095703	0
52	rot12dec_highprob_10shot	56	30	-215.2371826171875	56	9	-50.771297454833984	0
53	rot12dec_highprob_10shot	135	67	-453.3201599121094	135	23	-87.7427749633789	0
54	rot12dec_highprob_10shot	140	73	-471.1703796386719	140	26	-66.41773986816406	0
55	rot12dec_highprob_10shot	66	35	-228.55050659179688	66	14	-37.51624298095703	0
56	rot12dec_highprob_10shot	79	41	-270.9147644042969	79	19	-72.13508605957031	0
57	rot12dec_highprob_10shot	111	57	-377.7915954589844	111	17	-59.75453567504883	0
58	rot12dec_highprob_10shot	60	31	-210.75164794921875	60	10	-33.179359436035156	0
59	rot12dec_highprob_10shot	249	126	-743.3428344726562	249	46	-113.09381866455078	0
60	rot12dec_highprob_10shot	158	83	-501.8628845214844	158	26	-109.76026916503906	0
61	rot12dec_highprob_10shot	49	23	-170.52565002441406	49	12	-36.10759735107422	0
62	rot12dec_highprob_10shot	170	87	-540.0860595703125	170	31	-117.64631652832031	0
63	rot12dec_highprob_10shot	148	74	-445.8799133300781	148	30	-73.00980377197266	0
64	rot12dec_highprob_10shot	60	33	-215.68702697753906	60	12	-35.16548538208008	0
65	rot12dec_highprob_10shot	42	21	-148.04653930664062	42	10	-29.03803062438965	0
66	rot12dec_highprob_10shot	20	11	-85.28498840332031	20	5	-9.625055313110352	0
67	rot12dec_highprob_10shot	93	45	-327.1376037597656	93	18	-52.16108703613281	0
68	rot12dec_highprob_10shot	162	84	-541.1420288085938	162	34	-121.26632690429688	0
69	rot12dec_highprob_10shot	161	81	-530.5552368164062	161	31	-99.6169662475586	0
70	rot12dec_highprob_10shot	83	43	-277.7108459472656	83	16	-35.57762908935547	0
71	rot12dec_highprob_10shot	50	24	-178.1669158935547	50	9	-36.58509826660156	0
