index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12dec_highprob	48	26	-172.43739318847656	48	12	-27.93722152709961	0
1	rot12dec_highprob	52	29	-178.4266357421875	52	12	-28.953365325927734	0
2	rot12dec_highprob	52	28	-191.82884216308594	52	12	-26.487857818603516	0
3	rot12dec_highprob	65	37	-209.938232421875	65	16	-37.637943267822266	0
4	rot12dec_highprob	37	19	-132.02415466308594	37	11	-24.102802276611328	0
5	rot12dec_highprob	46	25	-165.9780731201172	46	12	-31.41360092163086	0
6	rot12dec_highprob	62	32	-199.45843505859375	62	16	-39.41438293457031	0
7	rot12dec_highprob	35	21	-125.80809020996094	35	13	-23.923954010009766	0
8	rot12dec_highprob	46	24	-179.4417266845703	46	11	-33.841861724853516	0
9	rot12dec_highprob	63	33	-218.4091796875	63	13	-32.02788543701172	0
10	rot12dec_highprob	93	50	-290.23394775390625	93	20	-52.94271469116211	0
11	rot12dec_highprob	60	32	-214.40870666503906	60	13	-38.37535858154297	0
12	rot12dec_highprob	53	27	-180.7392120361328	53	14	-32.106292724609375	0
13	rot12dec_highprob	49	24	-170.52565002441406	49	13	-36.10759735107422	0
14	rot12dec_highprob	64	31	-221.5067901611328	64	12	-29.38847541809082	0
15	rot12dec_highprob	44	24	-153.27403259277344	44	11	-31.455020904541016	0
16	rot12dec_highprob	90	45	-307.1450500488281	90	19	-53.77836227416992	0
17	rot12dec_highprob	69	38	-248.77133178710938	69	17	-42.806087493896484	0
18	rot12dec_highprob	70	35	-243.43475341796875	70	16	-40.61770248413086	0
19	rot12dec_highprob	83	44	-277.7108459472656	83	17	-35.57762908935547	0
20	rot12dec_highprob	65	34	-229.6200408935547	65	14	-35.572120666503906	0
21	rot12dec_highprob	70	36	-245.23326110839844	70	12	-29.387317657470703	0
22	rot12dec_highprob	65	35	-224.31040954589844	65	13	-34.81201934814453	0
23	rot12dec_highprob	74	39	-245.39549255371094	74	18	-45.26503372192383	0
24	rot12dec_highprob	69	38	-247.2356719970703	69	14	-42.615394592285156	0
25	rot12dec_highprob	66	35	-220.96539306640625	66	13	-29.896778106689453	0
26	rot12dec_highprob	133	75	-439.9765625	133	28	-75.66192626953125	0
27	rot12dec_highprob	50	25	-178.1669158935547	50	10	-36.58509826660156	0
28	rot12dec_highprob	124	66	-419.0816955566406	124	22	-57.69941329956055	0
29	rot12dec_highprob	205	98	-659.2820434570312	205	37	-114.3672103881836	0
30	rot12dec_highprob	104	54	-360.7301330566406	104	20	-56.213897705078125	0
31	rot12dec_highprob	124	62	-400.3039245605469	124	22	-52.600440979003906	0
32	rot12dec_highprob	91	42	-299.1192626953125	91	22	-51.83712387084961	0
