index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob	48	11	-27.93722152709961	48	25	-172.43739318847656	1
1	rot12enc_highprob	52	11	-28.953365325927734	52	28	-178.4266357421875	0
2	rot12enc_highprob	52	11	-26.487857818603516	52	27	-191.82884216308594	1
3	rot12enc_highprob	65	15	-37.637943267822266	65	36	-209.938232421875	0
4	rot12enc_highprob	37	10	-24.102802276611328	37	18	-132.02415466308594	0
5	rot12enc_highprob	46	11	-31.41360092163086	46	24	-165.9780731201172	1
6	rot12enc_highprob	62	15	-39.41438293457031	62	31	-199.45843505859375	0
7	rot12enc_highprob	35	12	-23.923954010009766	35	20	-125.80809020996094	1
8	rot12enc_highprob	46	10	-33.841861724853516	46	24	-179.4417266845703	0
9	rot12enc_highprob	63	12	-32.02788543701172	63	32	-218.4091796875	1
10	rot12enc_highprob	93	19	-52.94271469116211	93	49	-290.23394775390625	0
11	rot12enc_highprob	60	12	-38.37535858154297	60	31	-214.40870666503906	0
12	rot12enc_highprob	53	13	-32.106292724609375	53	26	-180.7392120361328	0
13	rot12enc_highprob	49	12	-36.10759735107422	49	23	-170.52565002441406	0
14	rot12enc_highprob	64	11	-29.38847541809082	64	30	-221.5067901611328	0
15	rot12enc_highprob	44	10	-31.455020904541016	44	23	-153.27403259277344	1
16	rot12enc_highprob	90	18	-53.77836227416992	90	44	-307.1450500488281	0
17	rot12enc_highprob	69	16	-42.806087493896484	69	37	-248.77133178710938	1
18	rot12enc_highprob	70	15	-40.61770248413086	70	34	-243.43475341796875	0
19	rot12enc_highprob	83	16	-35.57762908935547	83	43	-277.7108459472656	0
20	rot12enc_highprob	65	13	-35.572120666503906	65	33	-229.6200408935547	0
21	rot12enc_highprob	70	11	-29.387317657470703	70	35	-245.23326110839844	0
22	rot12enc_highprob	65	12	-34.81201934814453	65	34	-224.31040954589844	0
23	rot12enc_highprob	74	17	-45.26503372192383	74	38	-245.39549255371094	1
24	rot12enc_highprob	69	13	-42.615394592285156	69	37	-247.2356719970703	0
25	rot12enc_highprob	66	12	-29.896778106689453	66	34	-220.96539306640625	0
26	rot12enc_highprob	133	27	-75.66192626953125	133	74	-439.9765625	0
27	rot12enc_highprob	50	9	-36.58509826660156	50	24	-178.1669158935547	1
28	rot12enc_highprob	124	21	-57.69941329956055	124	65	-419.0816955566406	1
29	rot12enc_highprob	205	36	-114.3672103881836	205	97	-659.2820434570312	0
30	rot12enc_highprob	104	19	-56.213897705078125	104	53	-360.7301330566406	0
31	rot12enc_highprob	124	21	-52.600440979003906	124	61	-400.3039245605469	0
32	rot12enc_highprob	91	21	-51.83712387084961	91	41	-299.1192626953125	0
33	rot12enc_highprob	82	17	-54.44925308227539	82	37	-270.0376281738281	0
34	rot12enc_highprob	140	27	-81.36456298828125	140	70	-421.8086853027344	0
35	rot12enc_highprob	70	16	-54.637413024902344	70	35	-248.73448181152344	0
36	rot12enc_highprob	83	18	-45.597023010253906	83	41	-273.6596374511719	0
37	rot12enc_highprob	148	27	-84.19001007080078	148	79	-518.5247192382812	0
38	rot12enc_highprob	91	20	-50.3885383605957	91	46	-306.56671142578125	0
39	rot12enc_highprob	56	14	-36.98693084716797	56	29	-184.4623260498047	1
40	rot12enc_highprob	146	31	-81.09586334228516	146	73	-453.5570983886719	1
41	rot12enc_highprob	162	28	-90.02587890625	162	84	-524.601806640625	0
42	rot12enc_highprob	72	17	-47.17103958129883	72	36	-240.2914581298828	0
43	rot12enc_highprob	137	26	-69.82656860351562	137	74	-470.7762145996094	0
44	rot12enc_highprob	29	8	-44.1298828125	29	17	-117.29461669921875	0
45	rot12enc_highprob	97	24	-49.25296401977539	97	47	-302.7256164550781	0
46	rot12enc_highprob	93	18	-52.16108703613281	93	45	-327.1376037597656	0
47	rot12enc_highprob	82	17	-44.25444793701172	82	43	-270.0225830078125	0
48	rot12enc_highprob	114	17	-61.24848175048828	114	58	-370.72869873046875	0
49	rot12enc_highprob	63	13	-50.787513732910156	63	32	-208.137939453125	1
50	rot12enc_highprob	135	26	-86.52629089355469	135	69	-440.401123046875	0
51	rot12enc_highprob	77	15	-54.41032409667969	77	40	-268.10931396484375	0
52	rot12enc_highprob	140	26	-66.41773986816406	140	73	-471.1703796386719	0
53	rot12enc_highprob	57	12	-34.22383499145508	57	30	-187.09014892578125	1
54	rot12enc_highprob	123	21	-85.32579040527344	123	62	-394.9629211425781	0
55	rot12enc_highprob	85	17	-50.14432144165039	85	41	-282.73284912109375	0
56	rot12enc_highprob	151	31	-92.17733764648438	151	75	-492.8744812011719	0
57	rot12enc_highprob	141	26	-83.23876953125	141	77	-434.0897521972656	0
58	rot12enc_highprob	112	32	-60.456268310546875	112	66	-340.1748352050781	1
59	rot12enc_highprob	138	29	-80.72598266601562	138	68	-433.88299560546875	0
60	rot12enc_highprob	70	13	-35.653202056884766	70	37	-254.8159942626953	0
61	rot12enc_highprob	60	10	-37.39452362060547	60	34	-212.8885498046875	1
62	rot12enc_highprob	87	19	-52.46434783935547	87	44	-295.5520935058594	0
63	rot12enc_highprob	155	31	-67.22700500488281	155	85	-502.0975341796875	0
64	rot12enc_highprob	111	27	-88.43778228759766	111	54	-317.2287902832031	0
65	rot12enc_highprob	118	23	-80.39952850341797	118	60	-394.3682861328125	0
66	rot12enc_highprob	49	10	-37.599117279052734	49	29	-181.74842834472656	0
67	rot12enc_highprob	90	20	-60.950889587402344	90	41	-297.6395568847656	0
68	rot12enc_highprob	68	16	-41.370140075683594	68	33	-219.07659912109375	0
69	rot12enc_highprob	72	16	-56.90277099609375	72	37	-254.5697784423828	0
70	rot12enc_highprob	124	25	-79.6325454711914	124	63	-404.72833251953125	0
71	rot12enc_highprob	116	21	-65.73139190673828	116	61	-378.2720947265625	0
72	rot12enc_highprob	143	25	-81.18196105957031	143	75	-472.82550048828125	0
73	rot12enc_highprob	148	30	-73.00980377197266	148	74	-445.8799133300781	0
74	rot12enc_highprob	66	14	-37.51624298095703	66	35	-228.55050659179688	0
75	rot12enc_highprob	221	44	-117.86180114746094	221	110	-670.2643432617188	0
76	rot12enc_highprob	89	19	-56.938880920410156	89	48	-318.7348937988281	0
77	rot12enc_highprob	202	32	-138.35169982910156	202	108	-650.5202026367188	0
78	rot12enc_highprob	242	39	-122.52127075195312	242	125	-730.395263671875	0
79	rot12enc_highprob	62	15	-50.67271041870117	62	29	-201.84765625	0
80	rot12enc_highprob	179	35	-89.49186706542969	179	93	-594.0592041015625	0
81	rot12enc_highprob	108	20	-69.29358673095703	108	48	-356.1669616699219	0
82	rot12enc_highprob	83	21	-47.37077713012695	83	38	-230.7324981689453	1
83	rot12enc_highprob	101	22	-67.709716796875	101	49	-324.1885070800781	0
84	rot12enc_highprob	76	14	-59.89448928833008	76	40	-256.8003845214844	0
85	rot12enc_highprob	100	19	-63.276084899902344	100	54	-351.7669982910156	0
86	rot12enc_highprob	183	39	-113.96508026123047	183	90	-572.2526245117188	0
87	rot12enc_highprob	161	31	-99.6169662475586	161	81	-530.5552368164062	0
88	rot12enc_highprob	67	14	-42.1377067565918	67	33	-226.7277374267578	0
89	rot12enc_highprob	44	10	-36.54104995727539	44	22	-156.94044494628906	0
90	rot12enc_highprob	58	12	-36.95106887817383	58	32	-198.71356201171875	1
91	rot12enc_highprob	249	46	-113.09381866455078	249	126	-743.3428344726562	0
92	rot12enc_highprob	138	26	-81.65805053710938	138	71	-461.8179931640625	0
93	rot12enc_highprob	154	27	-103.782470703125	154	78	-509.0399169921875	0
94	rot12enc_highprob	128	26	-46.309505462646484	128	62	-401.9359130859375	0
95	rot12enc_highprob	74	15	-55.2039680480957	74	41	-252.49449157714844	1
96	rot12enc_highprob	80	14	-46.31581497192383	80	43	-271.5168151855469	0
97	rot12enc_highprob	95	22	-81.11656188964844	95	50	-319.1272277832031	0
98	rot12enc_highprob	118	18	-65.86801147460938	118	60	-399.31121826171875	0
99	rot12enc_highprob	134	29	-84.08912658691406	134	68	-443.7432861328125	0
0	rot13enc_highprob	48	11	-27.93722152709961	48	22	-140.60926818847656	1
1	rot13enc_highprob	52	11	-28.953365325927734	52	26	-163.6525421142578	1
2	rot13enc_highprob	52	11	-26.487857818603516	52	25	-171.843505859375	0
3	rot13enc_highprob	65	15	-37.637943267822266	65	31	-206.29026794433594	1
4	rot13enc_highprob	37	10	-24.102802276611328	37	18	-123.99187469482422	1
5	rot13enc_highprob	46	11	-31.41360092163086	46	21	-147.97755432128906	1
6	rot13enc_highprob	62	15	-39.41438293457031	62	29	-196.71104431152344	1
7	rot13enc_highprob	35	12	-23.923954010009766	35	19	-120.37667083740234	1
8	rot13enc_highprob	46	10	-33.841861724853516	46	22	-162.6747589111328	1
9	rot13enc_highprob	63	12	-32.02788543701172	63	27	-199.68048095703125	1
10	rot13enc_highprob	93	19	-52.94271469116211	93	42	-282.2359619140625	1
