index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob	48	11	-27.93722152709961	48	24	-172.43739318847656	0
1	rot12enc_highprob	52	11	-28.953365325927734	52	26	-178.4266357421875	0
2	rot12enc_highprob	52	11	-26.487857818603516	52	26	-191.82884216308594	0
3	rot12enc_highprob	65	15	-37.637943267822266	65	32	-209.938232421875	0
4	rot12enc_highprob	37	10	-24.102802276611328	37	17	-132.02415466308594	0
5	rot12enc_highprob	46	12	-31.41360092163086	46	23	-165.9780731201172	0
6	rot12enc_highprob	62	15	-39.41438293457031	62	29	-199.45843505859375	0
7	rot12enc_highprob	35	13	-23.923954010009766	35	18	-125.80809020996094	0
8	rot12enc_highprob	46	10	-33.841861724853516	46	22	-179.4417266845703	0
9	rot12enc_highprob	63	12	-32.02788543701172	63	29	-218.4091796875	0
10	rot12enc_highprob	93	19	-52.94271469116211	93	43	-290.23394775390625	0
11	rot12enc_highprob	60	12	-38.37535858154297	60	30	-214.40870666503906	0
12	rot12enc_highprob	53	13	-32.106292724609375	53	24	-180.7392120361328	0
13	rot12enc_highprob	49	12	-36.10759735107422	49	22	-170.52565002441406	0
14	rot12enc_highprob	64	10	-29.38847541809082	64	28	-221.5067901611328	0
15	rot12enc_highprob	44	10	-31.455020904541016	44	20	-153.27403259277344	0
16	rot12enc_highprob	90	18	-53.77836227416992	90	41	-307.1450500488281	0
17	rot12enc_highprob	69	17	-42.806087493896484	69	35	-248.77133178710938	0
18	rot12enc_highprob	70	15	-40.61770248413086	70	34	-243.43475341796875	0
19	rot12enc_highprob	83	16	-35.57762908935547	83	42	-277.7108459472656	0
20	rot12enc_highprob	65	13	-35.572120666503906	65	28	-229.6200408935547	0
21	rot12enc_highprob	70	11	-29.387317657470703	70	31	-245.23326110839844	0
22	rot12enc_highprob	65	12	-34.81201934814453	65	32	-224.31040954589844	0
23	rot12enc_highprob	74	17	-45.26503372192383	74	37	-245.39549255371094	0
24	rot12enc_highprob	69	14	-42.615394592285156	69	34	-247.2356719970703	0
25	rot12enc_highprob	66	12	-29.896778106689453	66	28	-220.96539306640625	0
26	rot12enc_highprob	133	30	-75.66192626953125	133	67	-439.9765625	0
27	rot12enc_highprob	50	9	-36.58509826660156	50	24	-178.1669158935547	0
28	rot12enc_highprob	124	21	-57.69941329956055	124	61	-419.0816955566406	0
29	rot12enc_highprob	205	36	-114.3672103881836	205	98	-659.2820434570312	0
30	rot12enc_highprob	104	17	-56.213897705078125	104	48	-360.7301330566406	0
31	rot12enc_highprob	124	21	-52.600440979003906	124	58	-400.3039245605469	0
32	rot12enc_highprob	91	21	-51.83712387084961	91	40	-299.1192626953125	0
33	rot12enc_highprob	82	17	-54.44925308227539	82	36	-270.0376281738281	0
34	rot12enc_highprob	140	27	-81.36456298828125	140	67	-421.8086853027344	0
35	rot12enc_highprob	70	17	-54.637413024902344	70	34	-248.73448181152344	0
36	rot12enc_highprob	83	16	-45.597023010253906	83	39	-273.6596374511719	0
37	rot12enc_highprob	148	28	-84.19001007080078	148	76	-518.5247192382812	0
38	rot12enc_highprob	91	22	-50.3885383605957	91	42	-306.56671142578125	0
39	rot12enc_highprob	56	15	-36.98693084716797	56	29	-184.4623260498047	0
40	rot12enc_highprob	146	31	-81.09586334228516	146	66	-453.5570983886719	0
41	rot12enc_highprob	162	28	-90.02587890625	162	80	-524.601806640625	0
42	rot12enc_highprob	72	19	-47.17103958129883	72	36	-240.2914581298828	0
43	rot12enc_highprob	137	25	-69.82656860351562	137	67	-470.7762145996094	0
44	rot12enc_highprob	29	9	-44.1298828125	29	15	-117.29461669921875	0
45	rot12enc_highprob	97	24	-49.25296401977539	97	45	-302.7256164550781	0
