index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob_0shot	172	32	-100.14143371582031	172	88	-563.1207885742188	0
1	rot12enc_highprob_0shot	256	55	-169.54190063476562	256	133	-784.1309814453125	0
2	rot12enc_highprob_0shot	144	28	-77.32567596435547	144	74	-466.7228088378906	0
3	rot12enc_highprob_0shot	48	11	-27.93722152709961	48	25	-172.43739318847656	0
4	rot12enc_highprob_0shot	29	8	-44.1298828125	29	17	-117.29461669921875	0
5	rot12enc_highprob_0shot	137	26	-69.82656860351562	137	74	-470.7762145996094	0
6	rot12enc_highprob_0shot	59	13	-50.92900085449219	59	32	-203.57020568847656	0
7	rot12enc_highprob_0shot	89	19	-56.938880920410156	89	48	-318.7348937988281	0
8	rot12enc_highprob_0shot	63	13	-50.787513732910156	63	32	-208.137939453125	0
9	rot12enc_highprob_0shot	50	11	-38.272117614746094	50	27	-191.91603088378906	0
10	rot12enc_highprob_0shot	118	20	-71.50328826904297	118	61	-379.7263488769531	0
11	rot12enc_highprob_0shot	124	21	-57.69941329956055	124	65	-419.0816955566406	0
12	rot12enc_highprob_0shot	35	10	-30.55268096923828	35	20	-130.98825073242188	0
13	rot12enc_highprob_0shot	74	12	-38.55802917480469	74	42	-262.33966064453125	0
14	rot12enc_highprob_0shot	58	12	-36.95106887817383	58	32	-198.71356201171875	0
15	rot12enc_highprob_0shot	112	32	-60.456268310546875	112	66	-340.1748352050781	0
16	rot12enc_highprob_0shot	103	18	-66.44187927246094	103	50	-337.0351867675781	0
17	rot12enc_highprob_0shot	113	21	-73.1137924194336	113	55	-370.07122802734375	0
18	rot12enc_highprob_0shot	57	13	-42.834903717041016	57	31	-194.38629150390625	0
19	rot12enc_highprob_0shot	185	31	-140.0038604736328	185	97	-629.0176391601562	0
20	rot12enc_highprob_0shot	146	26	-107.357421875	146	75	-471.8563232421875	0
21	rot12enc_highprob_0shot	74	17	-45.26503372192383	74	38	-245.39549255371094	0
22	rot12enc_highprob_0shot	68	11	-40.26740264892578	68	35	-242.2625274658203	0
23	rot12enc_highprob_0shot	87	19	-52.46434783935547	87	44	-295.5520935058594	0
24	rot12enc_highprob_0shot	62	15	-39.41438293457031	62	31	-199.45843505859375	0
25	rot12enc_highprob_0shot	19	5	-14.968204498291016	19	10	-72.84616088867188	0
