index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot12enc_highprob	48	12	-27.93722152709961	48	26	-172.43739318847656	0
1	rot12enc_highprob	52	12	-28.953365325927734	52	29	-178.4266357421875	0
2	rot12enc_highprob	52	12	-26.487857818603516	52	28	-191.82884216308594	0
3	rot12enc_highprob	65	16	-37.637943267822266	65	37	-209.938232421875	0
4	rot12enc_highprob	37	11	-24.102802276611328	37	19	-132.02415466308594	0
5	rot12enc_highprob	46	12	-31.41360092163086	46	25	-165.9780731201172	0
6	rot12enc_highprob	62	16	-39.41438293457031	62	32	-199.45843505859375	0
7	rot12enc_highprob	35	13	-23.923954010009766	35	21	-125.80809020996094	0
8	rot12enc_highprob	46	11	-33.841861724853516	46	24	-179.4417266845703	0
9	rot12enc_highprob	63	13	-32.02788543701172	63	33	-218.4091796875	0
10	rot12enc_highprob	93	20	-52.94271469116211	93	50	-290.23394775390625	0
11	rot12enc_highprob	60	13	-38.37535858154297	60	32	-214.40870666503906	0
12	rot12enc_highprob	53	14	-32.106292724609375	53	27	-180.7392120361328	0
13	rot12enc_highprob	49	13	-36.10759735107422	49	24	-170.52565002441406	0
14	rot12enc_highprob	64	12	-29.38847541809082	64	31	-221.5067901611328	0
15	rot12enc_highprob	44	11	-31.455020904541016	44	24	-153.27403259277344	0
16	rot12enc_highprob	90	19	-53.77836227416992	90	45	-307.1450500488281	0
17	rot12enc_highprob	69	17	-42.806087493896484	69	38	-248.77133178710938	0
18	rot12enc_highprob	70	16	-40.61770248413086	70	35	-243.43475341796875	0
19	rot12enc_highprob	83	17	-35.57762908935547	83	44	-277.7108459472656	0
20	rot12enc_highprob	65	14	-35.572120666503906	65	34	-229.6200408935547	0
21	rot12enc_highprob	70	12	-29.387317657470703	70	36	-245.23326110839844	0
22	rot12enc_highprob	65	13	-34.81201934814453	65	35	-224.31040954589844	0
23	rot12enc_highprob	74	18	-45.26503372192383	74	39	-245.39549255371094	0
24	rot12enc_highprob	69	14	-42.615394592285156	69	38	-247.2356719970703	0
25	rot12enc_highprob	66	13	-29.896778106689453	66	35	-220.96539306640625	0
26	rot12enc_highprob	133	28	-75.66192626953125	133	75	-439.9765625	0
27	rot12enc_highprob	50	10	-36.58509826660156	50	25	-178.1669158935547	0
28	rot12enc_highprob	124	22	-57.69941329956055	124	66	-419.0816955566406	0
29	rot12enc_highprob	205	37	-114.3672103881836	205	98	-659.2820434570312	0
30	rot12enc_highprob	104	20	-56.213897705078125	104	54	-360.7301330566406	0
31	rot12enc_highprob	124	22	-52.600440979003906	124	62	-400.3039245605469	0
32	rot12enc_highprob	91	22	-51.83712387084961	91	42	-299.1192626953125	0
33	rot12enc_highprob	82	18	-54.44925308227539	82	38	-270.0376281738281	0
34	rot12enc_highprob	140	28	-81.36456298828125	140	71	-421.8086853027344	0
35	rot12enc_highprob	70	17	-54.637413024902344	70	36	-248.73448181152344	0
36	rot12enc_highprob	83	19	-45.597023010253906	83	42	-273.6596374511719	0
37	rot12enc_highprob	148	28	-84.19001007080078	148	78	-518.5247192382812	0
38	rot12enc_highprob	91	21	-50.3885383605957	91	46	-306.56671142578125	0
39	rot12enc_highprob	56	15	-36.98693084716797	56	30	-184.4623260498047	0
40	rot12enc_highprob	146	32	-81.09586334228516	146	74	-453.5570983886719	0
41	rot12enc_highprob	162	29	-90.02587890625	162	85	-524.601806640625	0
42	rot12enc_highprob	72	18	-47.17103958129883	72	37	-240.2914581298828	0
43	rot12enc_highprob	137	27	-69.82656860351562	137	75	-470.7762145996094	0
44	rot12enc_highprob	29	9	-44.1298828125	29	18	-117.29461669921875	0
45	rot12enc_highprob	97	25	-49.25296401977539	97	48	-302.7256164550781	0
46	rot12enc_highprob	93	19	-52.16108703613281	93	46	-327.1376037597656	0
47	rot12enc_highprob	82	18	-44.25444793701172	82	44	-270.0225830078125	0
48	rot12enc_highprob	114	18	-61.24848175048828	114	59	-370.72869873046875	0
49	rot12enc_highprob	63	14	-50.787513732910156	63	33	-208.137939453125	0
50	rot12enc_highprob	135	27	-86.52629089355469	135	70	-440.401123046875	0
51	rot12enc_highprob	77	16	-54.41032409667969	77	41	-268.10931396484375	0
52	rot12enc_highprob	140	27	-66.41773986816406	140	74	-471.1703796386719	0
53	rot12enc_highprob	57	13	-34.22383499145508	57	31	-187.09014892578125	0
54	rot12enc_highprob	123	22	-85.32579040527344	123	63	-394.9629211425781	0
55	rot12enc_highprob	85	18	-50.14432144165039	85	42	-282.73284912109375	0
56	rot12enc_highprob	151	32	-92.17733764648438	151	74	-492.8744812011719	0
57	rot12enc_highprob	141	27	-83.23876953125	141	78	-434.0897521972656	0
58	rot12enc_highprob	112	33	-60.456268310546875	112	67	-340.1748352050781	0
59	rot12enc_highprob	138	30	-80.72598266601562	138	69	-433.88299560546875	0
60	rot12enc_highprob	70	14	-35.653202056884766	70	37	-254.8159942626953	0
61	rot12enc_highprob	60	11	-37.39452362060547	60	34	-212.8885498046875	0
62	rot12enc_highprob	87	20	-52.46434783935547	87	45	-295.5520935058594	0
63	rot12enc_highprob	155	32	-67.22700500488281	155	85	-502.0975341796875	0
64	rot12enc_highprob	111	28	-88.43778228759766	111	55	-317.2287902832031	0
65	rot12enc_highprob	118	24	-80.39952850341797	118	61	-394.3682861328125	0
66	rot12enc_highprob	49	11	-37.599117279052734	49	30	-181.74842834472656	0
67	rot12enc_highprob	90	21	-60.950889587402344	90	42	-297.6395568847656	0
68	rot12enc_highprob	68	17	-41.370140075683594	68	34	-219.07659912109375	0
69	rot12enc_highprob	72	17	-56.90277099609375	72	38	-254.5697784423828	0
70	rot12enc_highprob	124	26	-79.6325454711914	124	64	-404.72833251953125	0
71	rot12enc_highprob	116	22	-65.73139190673828	116	62	-378.2720947265625	0
72	rot12enc_highprob	143	26	-81.18196105957031	143	76	-472.82550048828125	0
73	rot12enc_highprob	148	31	-73.00980377197266	148	75	-445.8799133300781	0
74	rot12enc_highprob	66	15	-37.51624298095703	66	36	-228.55050659179688	0
75	rot12enc_highprob	221	45	-117.86180114746094	221	111	-670.2643432617188	0
76	rot12enc_highprob	89	20	-56.938880920410156	89	47	-318.7348937988281	0
77	rot12enc_highprob	202	33	-138.35169982910156	202	108	-650.5202026367188	0
78	rot12enc_highprob	242	40	-122.52127075195312	242	126	-730.395263671875	0
79	rot12enc_highprob	62	16	-50.67271041870117	62	30	-201.84765625	0
80	rot12enc_highprob	179	36	-89.49186706542969	179	94	-594.0592041015625	0
81	rot12enc_highprob	108	21	-69.29358673095703	108	49	-356.1669616699219	0
82	rot12enc_highprob	83	22	-47.37077713012695	83	39	-230.7324981689453	0
83	rot12enc_highprob	101	23	-67.709716796875	101	50	-324.1885070800781	0
84	rot12enc_highprob	76	15	-59.89448928833008	76	41	-256.8003845214844	0
85	rot12enc_highprob	100	20	-63.276084899902344	100	54	-351.7669982910156	0
86	rot12enc_highprob	183	40	-113.96508026123047	183	91	-572.2526245117188	0
87	rot12enc_highprob	161	32	-99.6169662475586	161	81	-530.5552368164062	0
88	rot12enc_highprob	67	15	-42.1377067565918	67	34	-226.7277374267578	0
89	rot12enc_highprob	44	11	-36.54104995727539	44	23	-156.94044494628906	0
90	rot12enc_highprob	58	13	-36.95106887817383	58	33	-198.71356201171875	0
91	rot12enc_highprob	249	47	-113.09381866455078	249	126	-743.3428344726562	0
