index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	shiftstep_12	48	25	-172.43739318847656	48	11	-27.93722152709961	0
1	shiftstep_12	52	28	-178.4266357421875	52	11	-28.953365325927734	0
2	shiftstep_12	52	27	-191.82884216308594	52	11	-26.487857818603516	0
3	shiftstep_12	65	36	-209.938232421875	65	15	-37.637943267822266	0
4	shiftstep_12	37	18	-132.02415466308594	37	10	-24.102802276611328	0
5	shiftstep_12	46	24	-165.9780731201172	46	11	-31.41360092163086	0
6	shiftstep_12	62	31	-199.45843505859375	62	15	-39.41438293457031	0
7	shiftstep_12	35	20	-125.80809020996094	35	12	-23.923954010009766	0
8	shiftstep_12	46	24	-179.4417266845703	46	10	-33.841861724853516	0
9	shiftstep_12	63	32	-218.4091796875	63	12	-32.02788543701172	0
10	shiftstep_12	93	49	-290.23394775390625	93	19	-52.94271469116211	0
11	shiftstep_12	60	31	-214.40870666503906	60	12	-38.37535858154297	0
12	shiftstep_12	53	26	-180.7392120361328	53	13	-32.106292724609375	0
13	shiftstep_12	49	23	-170.52565002441406	49	12	-36.10759735107422	0
14	shiftstep_12	64	30	-221.5067901611328	64	11	-29.38847541809082	0
15	shiftstep_12	44	23	-153.27403259277344	44	10	-31.455020904541016	0
16	shiftstep_12	90	44	-307.1450500488281	90	18	-53.77836227416992	0
17	shiftstep_12	69	37	-248.77133178710938	69	16	-42.806087493896484	0
18	shiftstep_12	70	34	-243.43475341796875	70	15	-40.61770248413086	0
19	shiftstep_12	83	43	-277.7108459472656	83	16	-35.57762908935547	0
20	shiftstep_12	65	33	-229.6200408935547	65	13	-35.572120666503906	0
21	shiftstep_12	70	35	-245.23326110839844	70	11	-29.387317657470703	0
22	shiftstep_12	65	34	-224.31040954589844	65	12	-34.81201934814453	0
23	shiftstep_12	74	38	-245.39549255371094	74	17	-45.26503372192383	0
24	shiftstep_12	69	37	-247.2356719970703	69	13	-42.615394592285156	0
25	shiftstep_12	66	34	-220.96539306640625	66	12	-29.896778106689453	0
26	shiftstep_12	133	74	-439.9765625	133	27	-75.66192626953125	0
27	shiftstep_12	50	24	-178.1669158935547	50	9	-36.58509826660156	0
28	shiftstep_12	124	65	-419.0816955566406	124	21	-57.69941329956055	0
29	shiftstep_12	205	97	-659.2820434570312	205	36	-114.3672103881836	0
30	shiftstep_12	104	53	-360.7301330566406	104	19	-56.213897705078125	0
31	shiftstep_12	124	61	-400.3039245605469	124	21	-52.600440979003906	0
32	shiftstep_12	91	41	-299.1192626953125	91	21	-51.83712387084961	0
33	shiftstep_12	82	37	-270.0376281738281	82	17	-54.44925308227539	0
34	shiftstep_12	140	70	-421.8086853027344	140	27	-81.36456298828125	0
35	shiftstep_12	70	35	-248.73448181152344	70	16	-54.637413024902344	0
36	shiftstep_12	83	41	-273.6596374511719	83	18	-45.597023010253906	0
37	shiftstep_12	148	79	-518.5247192382812	148	27	-84.19001007080078	0
38	shiftstep_12	91	46	-306.56671142578125	91	20	-50.3885383605957	0
39	shiftstep_12	56	29	-184.4623260498047	56	14	-36.98693084716797	0
40	shiftstep_12	146	73	-453.5570983886719	146	31	-81.09586334228516	0
41	shiftstep_12	162	84	-524.601806640625	162	28	-90.02587890625	0
42	shiftstep_12	72	36	-240.2914581298828	72	17	-47.17103958129883	0
43	shiftstep_12	137	74	-470.7762145996094	137	26	-69.82656860351562	0
44	shiftstep_12	29	17	-117.29461669921875	29	8	-44.1298828125	0
45	shiftstep_12	97	47	-302.7256164550781	97	24	-49.25296401977539	0
46	shiftstep_12	93	45	-327.1376037597656	93	18	-52.16108703613281	0
47	shiftstep_12	82	43	-270.0225830078125	82	17	-44.25444793701172	0
48	shiftstep_12	114	58	-370.72869873046875	114	17	-61.24848175048828	0
49	shiftstep_12	63	32	-208.137939453125	63	13	-50.787513732910156	0
50	shiftstep_12	135	69	-440.401123046875	135	26	-86.52629089355469	0
51	shiftstep_12	77	40	-268.10931396484375	77	15	-54.41032409667969	0
52	shiftstep_12	140	73	-471.1703796386719	140	26	-66.41773986816406	0
53	shiftstep_12	57	30	-187.09014892578125	57	12	-34.22383499145508	0
54	shiftstep_12	123	62	-394.9629211425781	123	21	-85.32579040527344	0
55	shiftstep_12	85	41	-282.73284912109375	85	17	-50.14432144165039	0
56	shiftstep_12	151	75	-492.8744812011719	151	31	-92.17733764648438	0
57	shiftstep_12	141	77	-434.0897521972656	141	26	-83.23876953125	0
58	shiftstep_12	112	66	-340.1748352050781	112	32	-60.456268310546875	0
59	shiftstep_12	138	68	-433.88299560546875	138	29	-80.72598266601562	0
60	shiftstep_12	70	37	-254.8159942626953	70	13	-35.653202056884766	0
61	shiftstep_12	60	34	-212.8885498046875	60	10	-37.39452362060547	0
62	shiftstep_12	87	44	-295.5520935058594	87	19	-52.46434783935547	0
63	shiftstep_12	155	85	-502.0975341796875	155	31	-67.22700500488281	0
64	shiftstep_12	111	54	-317.2287902832031	111	27	-88.43778228759766	0
65	shiftstep_12	118	60	-394.3682861328125	118	23	-80.39952850341797	0
66	shiftstep_12	49	29	-181.74842834472656	49	10	-37.599117279052734	0
67	shiftstep_12	90	41	-297.6395568847656	90	20	-60.950889587402344	0
68	shiftstep_12	68	33	-219.07659912109375	68	16	-41.370140075683594	0
69	shiftstep_12	72	37	-254.5697784423828	72	16	-56.90277099609375	0
70	shiftstep_12	124	63	-404.72833251953125	124	25	-79.6325454711914	0
71	shiftstep_12	116	61	-378.2720947265625	116	21	-65.73139190673828	0
72	shiftstep_12	143	75	-472.82550048828125	143	25	-81.18196105957031	0
