index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot2dec_highprob	48	27	-155.8288116455078	48	11	-27.93722152709961	1
1	rot2dec_highprob	52	32	-183.68392944335938	52	11	-28.953365325927734	0
2	rot2dec_highprob	52	29	-183.39614868164062	52	11	-26.487857818603516	0
3	rot2dec_highprob	65	34	-209.1168212890625	65	15	-37.637943267822266	0
4	rot2dec_highprob	37	20	-129.75022888183594	37	10	-24.102802276611328	0
5	rot2dec_highprob	46	24	-161.29226684570312	46	11	-31.41360092163086	0
6	rot2dec_highprob	62	35	-201.55458068847656	62	15	-39.41438293457031	0
7	rot2dec_highprob	35	20	-122.44876098632812	35	12	-23.923954010009766	0
8	rot2dec_highprob	46	26	-161.80538940429688	46	10	-33.841861724853516	0
9	rot2dec_highprob	63	35	-214.9185333251953	63	12	-32.02788543701172	0
10	rot2dec_highprob	93	49	-283.6676025390625	93	19	-52.94271469116211	0
11	rot2dec_highprob	60	32	-205.12203979492188	60	12	-38.37535858154297	0
12	rot2dec_highprob	53	30	-192.21566772460938	53	13	-32.106292724609375	0
13	rot2dec_highprob	49	27	-178.58290100097656	49	12	-36.10759735107422	1
14	rot2dec_highprob	64	36	-218.15057373046875	64	11	-29.38847541809082	0
15	rot2dec_highprob	44	24	-161.49295043945312	44	10	-31.455020904541016	0
16	rot2dec_highprob	90	49	-297.2159729003906	90	18	-53.77836227416992	0
17	rot2dec_highprob	69	38	-261.68255615234375	69	16	-42.806087493896484	0
18	rot2dec_highprob	70	42	-242.82264709472656	70	15	-40.61770248413086	0
19	rot2dec_highprob	83	44	-285.60595703125	83	16	-35.57762908935547	0
20	rot2dec_highprob	65	34	-238.43191528320312	65	13	-35.572120666503906	0
21	rot2dec_highprob	70	36	-246.3985595703125	70	11	-29.387317657470703	0
22	rot2dec_highprob	65	33	-227.47842407226562	65	12	-34.81201934814453	0
23	rot2dec_highprob	74	35	-242.81407165527344	74	17	-45.26503372192383	0
24	rot2dec_highprob	69	37	-240.81556701660156	69	13	-42.615394592285156	0
25	rot2dec_highprob	66	37	-222.44943237304688	66	12	-29.896778106689453	0
26	rot2dec_highprob	133	73	-451.28314208984375	133	27	-75.66192626953125	0
27	rot2dec_highprob	50	26	-172.2889862060547	50	9	-36.58509826660156	0
28	rot2dec_highprob	124	66	-429.49908447265625	124	21	-57.69941329956055	0
29	rot2dec_highprob	205	107	-658.9337158203125	205	36	-114.3672103881836	0
30	rot2dec_highprob	104	56	-358.55328369140625	104	19	-56.213897705078125	0
31	rot2dec_highprob	124	68	-410.9321594238281	124	21	-52.600440979003906	0
32	rot2dec_highprob	91	45	-285.33135986328125	91	21	-51.83712387084961	0
33	rot2dec_highprob	82	44	-262.28240966796875	82	17	-54.44925308227539	0
34	rot2dec_highprob	140	74	-421.7223815917969	140	27	-81.36456298828125	0
35	rot2dec_highprob	70	38	-239.1513214111328	70	16	-54.637413024902344	0
36	rot2dec_highprob	83	39	-274.5252990722656	83	18	-45.597023010253906	0
37	rot2dec_highprob	148	78	-491.2419128417969	148	27	-84.19001007080078	0
38	rot2dec_highprob	91	49	-293.896728515625	91	20	-50.3885383605957	0
39	rot2dec_highprob	56	29	-192.32891845703125	56	14	-36.98693084716797	0
40	rot2dec_highprob	146	79	-455.2371826171875	146	31	-81.09586334228516	0
41	rot2dec_highprob	162	87	-516.0610961914062	162	28	-90.02587890625	0
42	rot2dec_highprob	72	40	-230.13232421875	72	17	-47.17103958129883	0
43	rot2dec_highprob	137	76	-468.4698181152344	137	26	-69.82656860351562	0
44	rot2dec_highprob	29	16	-119.16302490234375	29	8	-44.1298828125	1
45	rot2dec_highprob	97	50	-300.1570129394531	97	24	-49.25296401977539	0
46	rot2dec_highprob	93	48	-324.6575927734375	93	18	-52.16108703613281	0
47	rot2dec_highprob	82	42	-269.46710205078125	82	17	-44.25444793701172	0
48	rot2dec_highprob	114	63	-368.3907470703125	114	17	-61.24848175048828	0
49	rot2dec_highprob	63	33	-212.10385131835938	63	13	-50.787513732910156	0
50	rot2dec_highprob	135	72	-439.3810729980469	135	26	-86.52629089355469	0
51	rot2dec_highprob	77	42	-259.5744934082031	77	15	-54.41032409667969	0
52	rot2dec_highprob	140	78	-454.7408142089844	140	26	-66.41773986816406	0
53	rot2dec_highprob	57	32	-190.97421264648438	57	12	-34.22383499145508	0
54	rot2dec_highprob	123	65	-382.0364990234375	123	21	-85.32579040527344	0
55	rot2dec_highprob	85	43	-297.4085388183594	85	17	-50.14432144165039	0
56	rot2dec_highprob	151	86	-477.0198974609375	151	31	-92.17733764648438	0
57	rot2dec_highprob	141	75	-438.84307861328125	141	26	-83.23876953125	0
58	rot2dec_highprob	112	62	-343.4538879394531	112	32	-60.456268310546875	0
59	rot2dec_highprob	138	75	-422.8782653808594	138	29	-80.72598266601562	0
60	rot2dec_highprob	70	38	-257.9793395996094	70	13	-35.653202056884766	0
61	rot2dec_highprob	60	32	-205.4180908203125	60	10	-37.39452362060547	0
62	rot2dec_highprob	87	44	-279.16058349609375	87	19	-52.46434783935547	0
63	rot2dec_highprob	155	84	-518.667236328125	155	31	-67.22700500488281	0
64	rot2dec_highprob	111	60	-311.83184814453125	111	27	-88.43778228759766	0
65	rot2dec_highprob	118	64	-386.7345886230469	118	23	-80.39952850341797	0
66	rot2dec_highprob	49	28	-179.1815948486328	49	10	-37.599117279052734	0
67	rot2dec_highprob	90	44	-302.7857666015625	90	20	-60.950889587402344	0
68	rot2dec_highprob	68	36	-228.50767517089844	68	16	-41.370140075683594	0
69	rot2dec_highprob	72	40	-256.77557373046875	72	16	-56.90277099609375	0
70	rot2dec_highprob	124	66	-405.8251953125	124	25	-79.6325454711914	0
71	rot2dec_highprob	116	61	-383.828369140625	116	21	-65.73139190673828	0
72	rot2dec_highprob	143	73	-478.850830078125	143	25	-81.18196105957031	0
73	rot2dec_highprob	148	86	-451.37042236328125	148	30	-73.00980377197266	0
74	rot2dec_highprob	66	34	-236.3471221923828	66	14	-37.51624298095703	0
75	rot2dec_highprob	221	117	-668.916748046875	221	44	-117.86180114746094	0
76	rot2dec_highprob	89	46	-323.8722839355469	89	19	-56.938880920410156	0
77	rot2dec_highprob	202	111	-661.59521484375	202	32	-138.35169982910156	0
78	rot2dec_highprob	242	127	-720.14599609375	242	39	-122.52127075195312	0
79	rot2dec_highprob	62	34	-202.5552520751953	62	15	-50.67271041870117	0
80	rot2dec_highprob	179	97	-585.2628173828125	179	35	-89.49186706542969	0
81	rot2dec_highprob	108	60	-355.3695373535156	108	20	-69.29358673095703	0
82	rot2dec_highprob	83	47	-223.48294067382812	83	21	-47.37077713012695	0
83	rot2dec_highprob	101	55	-322.24212646484375	101	22	-67.709716796875	0
84	rot2dec_highprob	76	41	-260.6187438964844	76	14	-59.89448928833008	0
85	rot2dec_highprob	100	54	-334.5439758300781	100	19	-63.276084899902344	0
86	rot2dec_highprob	183	91	-551.7281494140625	183	39	-113.96508026123047	0
87	rot2dec_highprob	161	85	-533.8335571289062	161	31	-99.6169662475586	0
88	rot2dec_highprob	67	36	-221.15576171875	67	14	-42.1377067565918	0
89	rot2dec_highprob	44	24	-154.04379272460938	44	10	-36.54104995727539	0
90	rot2dec_highprob	58	31	-202.99539184570312	58	12	-36.95106887817383	0
91	rot2dec_highprob	249	141	-714.1932983398438	249	46	-113.09381866455078	0
92	rot2dec_highprob	138	74	-479.1255187988281	138	26	-81.65805053710938	0
93	rot2dec_highprob	154	85	-508.108154296875	154	27	-103.782470703125	0
94	rot2dec_highprob	128	74	-415.1618957519531	128	26	-46.309505462646484	0
95	rot2dec_highprob	74	40	-254.0374755859375	74	15	-55.2039680480957	0
96	rot2dec_highprob	80	45	-265.88262939453125	80	14	-46.31581497192383	0
97	rot2dec_highprob	95	49	-333.5144958496094	95	22	-81.11656188964844	0
98	rot2dec_highprob	118	65	-393.7498779296875	118	18	-65.86801147460938	0
99	rot2dec_highprob	134	72	-446.4569091796875	134	29	-84.08912658691406	0
0	rot13dec_highprob	48	22	-140.60926818847656	48	11	-27.93722152709961	1
1	rot13dec_highprob	52	26	-163.6525421142578	52	11	-28.953365325927734	1
2	rot13dec_highprob	52	25	-171.843505859375	52	11	-26.487857818603516	1
3	rot13dec_highprob	65	31	-206.29026794433594	65	15	-37.637943267822266	1
4	rot13dec_highprob	37	18	-123.99187469482422	37	10	-24.102802276611328	1
5	rot13dec_highprob	46	21	-147.97755432128906	46	11	-31.41360092163086	1
6	rot13dec_highprob	62	29	-196.71104431152344	62	15	-39.41438293457031	1
7	rot13dec_highprob	35	19	-120.37667083740234	35	12	-23.923954010009766	1
8	rot13dec_highprob	46	22	-162.6747589111328	46	10	-33.841861724853516	1
9	rot13dec_highprob	63	27	-199.68048095703125	63	12	-32.02788543701172	1
10	rot13dec_highprob	93	42	-282.2359619140625	93	19	-52.94271469116211	1
11	rot13dec_highprob	60	30	-203.36758422851562	60	12	-38.37535858154297	1
12	rot13dec_highprob	53	24	-172.80935668945312	53	13	-32.106292724609375	1
13	rot13dec_highprob	49	23	-163.3039093017578	49	12	-36.10759735107422	1
14	rot13dec_highprob	64	35	-210.41835021972656	64	11	-29.38847541809082	0
15	rot13dec_highprob	44	21	-151.58209228515625	44	10	-31.455020904541016	1
16	rot13dec_highprob	90	37	-273.0709228515625	90	18	-53.77836227416992	1
17	rot13dec_highprob	69	34	-232.32228088378906	69	16	-42.806087493896484	0
18	rot13dec_highprob	70	31	-228.52511596679688	70	15	-40.61770248413086	0
19	rot13dec_highprob	83	35	-252.00912475585938	83	16	-35.57762908935547	1
20	rot13dec_highprob	65	30	-204.7446746826172	65	13	-35.572120666503906	1
21	rot13dec_highprob	70	33	-227.9893035888672	70	11	-29.387317657470703	1
22	rot13dec_highprob	65	37	-217.43850708007812	65	12	-34.81201934814453	0
23	rot13dec_highprob	74	34	-229.71331787109375	74	17	-45.26503372192383	0
24	rot13dec_highprob	69	33	-222.26239013671875	69	13	-42.615394592285156	1
25	rot13dec_highprob	66	34	-207.86880493164062	66	12	-29.896778106689453	1
26	rot13dec_highprob	133	66	-430.7501220703125	133	27	-75.66192626953125	0
27	rot13dec_highprob	50	25	-166.2104949951172	50	9	-36.58509826660156	0
28	rot13dec_highprob	124	55	-383.0555725097656	124	21	-57.69941329956055	0
29	rot13dec_highprob	205	95	-623.8385620117188	205	36	-114.3672103881836	1
30	rot13dec_highprob	104	48	-342.072265625	104	19	-56.213897705078125	1
31	rot13dec_highprob	124	56	-384.4554748535156	124	21	-52.600440979003906	1
32	rot13dec_highprob	91	40	-263.4158020019531	91	21	-51.83712387084961	1
