index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	rot2encstep_highprob	48	11	-30.73094367980957	48	27	-161.02310180664062	0
1	rot2encstep_highprob	52	11	-31.848703384399414	52	32	-189.08641052246094	0
2	rot2encstep_highprob	52	11	-29.13664436340332	52	29	-188.95359802246094	0
3	rot2encstep_highprob	65	15	-40.32637023925781	65	34	-214.47879028320312	0
4	rot2encstep_highprob	37	10	-26.78089141845703	37	20	-135.64796447753906	0
5	rot2encstep_highprob	46	11	-34.90399932861328	46	24	-167.26605224609375	0
6	rot2encstep_highprob	62	15	-42.229698181152344	62	35	-206.85865783691406	0
7	rot2encstep_highprob	35	12	-26.098857879638672	35	20	-128.01461791992188	0
8	rot2encstep_highprob	46	10	-37.60206985473633	46	26	-167.79818725585938	0
9	rot2encstep_highprob	63	12	-34.939510345458984	63	35	-220.72714233398438	0
10	rot2encstep_highprob	93	19	-55.88397979736328	93	49	-288.8251953125	0
11	rot2encstep_highprob	60	12	-41.86402893066406	60	32	-210.66587829589844	0
12	rot2encstep_highprob	53	13	-34.78181838989258	53	30	-198.41616821289062	0
13	rot2encstep_highprob	49	12	-39.390106201171875	49	27	-184.53567504882812	0
14	rot2encstep_highprob	64	11	-32.32732391357422	64	36	-223.10855102539062	0
15	rot2encstep_highprob	44	10	-34.95002365112305	44	24	-167.95266723632812	0
16	rot2encstep_highprob	90	18	-56.941795349121094	90	49	-302.4302978515625	0
17	rot2encstep_highprob	69	16	-45.86366271972656	69	38	-268.224609375	0
18	rot2encstep_highprob	70	15	-43.51896667480469	70	42	-248.46969604492188	0
19	rot2encstep_highprob	83	16	-37.94947052001953	83	44	-291.0983581542969	0
20	rot2encstep_highprob	65	13	-38.53646469116211	65	34	-244.70645141601562	0
21	rot2encstep_highprob	70	11	-32.3260498046875	70	36	-252.4082794189453	0
22	rot2encstep_highprob	65	12	-37.976749420166016	65	33	-233.46469116210938	0
23	rot2encstep_highprob	74	17	-48.09409713745117	74	35	-248.33258056640625	0
24	rot2encstep_highprob	69	13	-45.89350128173828	69	37	-246.68911743164062	0
25	rot2encstep_highprob	66	12	-32.61466598510742	66	37	-228.0106658935547	0
26	rot2encstep_highprob	133	27	-78.81450653076172	133	73	-456.72027587890625	0
27	rot2encstep_highprob	50	9	-41.158233642578125	50	26	-178.03195190429688	0
28	rot2encstep_highprob	124	21	-60.58438491821289	124	66	-435.3031311035156	0
29	rot2encstep_highprob	205	36	-117.63484954833984	205	107	-664.3794555664062	0
30	rot2encstep_highprob	104	19	-59.33689498901367	104	56	-364.0694885253906	0
31	rot2encstep_highprob	124	21	-55.23046112060547	124	68	-416.2005310058594	0
32	rot2encstep_highprob	91	21	-54.42898178100586	91	45	-290.5191955566406	0
33	rot2encstep_highprob	82	17	-57.852333068847656	82	44	-267.4252014160156	0
34	rot2encstep_highprob	140	27	-84.49396514892578	140	74	-426.6838073730469	0
35	rot2encstep_highprob	70	16	-58.2799072265625	70	38	-244.84539794921875	0
36	rot2encstep_highprob	83	18	-48.44683837890625	83	39	-280.12786865234375	0
37	rot2encstep_highprob	148	27	-87.42809295654297	148	78	-496.70013427734375	0
38	rot2encstep_highprob	91	20	-53.040565490722656	91	49	-299.0528259277344	0
39	rot2encstep_highprob	56	14	-39.83208084106445	56	29	-198.1570587158203	0
40	rot2encstep_highprob	146	31	-83.79905700683594	146	79	-460.1322021484375	0
41	rot2encstep_highprob	162	28	-93.36016845703125	162	87	-521.1705932617188	0
42	rot2encstep_highprob	72	17	-50.31577682495117	72	40	-235.1352081298828	0
43	rot2encstep_highprob	137	26	-72.61962890625	137	76	-474.0468444824219	0
44	rot2encstep_highprob	29	8	-49.033203125	29	16	-125.12117767333984	0
45	rot2encstep_highprob	97	24	-51.3943977355957	97	50	-305.42291259765625	0
46	rot2encstep_highprob	93	18	-55.22938537597656	93	48	-330.6697692871094	0
47	rot2encstep_highprob	82	17	-47.02035140991211	82	42	-275.59136962890625	0
48	rot2encstep_highprob	114	17	-65.0765151977539	114	63	-373.88909912109375	0
49	rot2encstep_highprob	63	13	-55.019805908203125	63	33	-217.54241943359375	0
